sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
AS237	2005	2005-03-30	19	0			
AS237	2005	2005-03-30	20	0			
AS237	2005	2005-03-30	21	0			
AS237	2005	2005-03-30	22	0			
AS237	2005	2005-03-30	23	0			
AS237	2005	2005-03-31	0	0			
AS237	2005	2005-03-31	1	0			
AS237	2005	2005-03-31	2	0			
AS237	2005	2005-03-31	3	0			
AS237	2005	2005-03-31	4	0	6.4		
AS237	2005	2005-03-31	5	0	8.2		
AS237	2005	2005-03-31	6	0	9.0		
AS237	2005	2005-03-31	7	0	8.8		
AS237	2005	2005-03-31	8	0			
AS237	2005	2005-03-31	9	0			
AS237	2005	2005-03-31	10	0	7.2		
AS237	2005	2005-03-31	11	0			
AS237	2005	2005-03-31	12	0			
AS237	2005	2005-03-31	13	0			
AS237	2005	2005-03-31	14	0			
AS237	2005	2005-03-31	15	0			
AS237	2005	2005-03-31	16	0			
AS237	2005	2005-03-31	17	0			
AS237	2005	2005-03-31	18	0			
AS237	2005	2005-03-31	19	0			0.0
AS237	2005	2005-03-31	20	0			0.0
AS237	2005	2005-03-31	21	0			0.0
AS237	2005	2005-03-31	22	0			0.0
AS237	2005	2005-03-31	23	0			0.0
AS237	2005	2005-04-01	0	0			0.0
AS237	2005	2005-04-01	1	0			0.0
AS237	2005	2005-04-01	2	0			0.0
AS237	2005	2005-04-01	3	0			0.0
AS237	2005	2005-04-01	4	0	7.2	6.4	1.0
AS237	2005	2005-04-01	5	0	7.2	8.2	1.0
AS237	2005	2005-04-01	6	0	7.5	9.0	1.0
AS237	2005	2005-04-01	7	0	8.6	8.8	1.0
AS237	2005	2005-04-01	8	0	8.2		0.0
AS237	2005	2005-04-01	9	0	7.6		0.0
AS237	2005	2005-04-01	10	0		7.2	1.0
AS237	2005	2005-04-01	11	0			0.0
AS237	2005	2005-04-01	12	0	8.5		0.0
AS237	2005	2005-04-01	13	0			0.0
AS237	2005	2005-04-01	14	0			0.0
AS237	2005	2005-04-01	15	0			0.0
AS237	2005	2005-04-01	16	0			0.0
AS237	2005	2005-04-01	17	0			0.0
