sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
AU930	2017	2017-07-20	0	0	5.2		
AU930	2017	2017-07-20	0	5	5.35		
AU930	2017	2017-07-20	0	10	5.1		
AU930	2017	2017-07-20	0	15	5.3		
AU930	2017	2017-07-20	0	20	5.35		
AU930	2017	2017-07-20	0	25	5.35		
AU930	2017	2017-07-20	0	30	5.65		
AU930	2017	2017-07-20	0	35	5.45		
AU930	2017	2017-07-20	0	40	5.45		
AU930	2017	2017-07-20	0	45	5.6		
AU930	2017	2017-07-20	0	50	5.6		
AU930	2017	2017-07-20	0	55	5.6		
AU930	2017	2017-07-20	1	0	5.7		
AU930	2017	2017-07-20	1	5	5.6		
AU930	2017	2017-07-20	1	10	5.7		
AU930	2017	2017-07-20	1	15	5.6		
AU930	2017	2017-07-20	1	20	5.6		
AU930	2017	2017-07-20	1	25	6.0		
AU930	2017	2017-07-20	1	30	5.9		
AU930	2017	2017-07-20	1	35	5.9		
AU930	2017	2017-07-20	1	40	5.9		
AU930	2017	2017-07-20	1	45	5.9		
AU930	2017	2017-07-20	1	50	5.7		
AU930	2017	2017-07-20	1	55	6.2		
AU930	2017	2017-07-20	2	0	6.0		
AU930	2017	2017-07-20	2	5	5.4		
AU930	2017	2017-07-20	2	10	5.8		
AU930	2017	2017-07-20	2	15	5.8		
AU930	2017	2017-07-20	2	20	5.9		
AU930	2017	2017-07-20	2	25	5.7		
AU930	2017	2017-07-20	2	30	5.9		
AU930	2017	2017-07-20	2	35	5.8		
AU930	2017	2017-07-20	2	40	5.8		
AU930	2017	2017-07-20	2	45	5.7		
AU930	2017	2017-07-20	2	50	5.7		
AU930	2017	2017-07-20	2	55	5.7		
AU930	2017	2017-07-20	3	0	5.6		
AU930	2017	2017-07-20	3	5	5.6		
AU930	2017	2017-07-20	3	10	5.5		
AU930	2017	2017-07-20	3	15	5.6		
AU930	2017	2017-07-20	3	20	5.4		
AU930	2017	2017-07-20	3	25	5.3		
AU930	2017	2017-07-20	3	30	5.1		
AU930	2017	2017-07-20	3	35	5.1		
AU930	2017	2017-07-20	3	40	4.7		
AU930	2017	2017-07-20	3	45	4.9		
AU930	2017	2017-07-20	3	50	4.91		
AU930	2017	2017-07-20	3	55	4.5		
AU930	2017	2017-07-20	4	0	4.0		
AU930	2017	2017-07-20	4	5	3.5		
