sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
BD840	2012	2012-12-01	0	5			
BD840	2012	2012-12-01	0	20			
BD840	2012	2012-12-01	0	35	4.4060000000000015		
BD840	2012	2012-12-01	0	50			
BD840	2012	2012-12-01	1	5			
BD840	2012	2012-12-01	1	20			
BD840	2012	2012-12-01	1	35			
BD840	2012	2012-12-01	1	50			
BD840	2012	2012-12-01	2	5			
BD840	2012	2012-12-01	2	20			
BD840	2012	2012-12-01	2	35			
BD840	2012	2012-12-01	2	50			
BD840	2012	2012-12-01	3	5			
BD840	2012	2012-12-01	3	20			
BD840	2012	2012-12-01	3	35			
BD840	2012	2012-12-01	3	50			
BD840	2012	2012-12-01	4	5			
BD840	2012	2012-12-01	4	20			
BD840	2012	2012-12-01	4	35	3.7119999999999997		
BD840	2012	2012-12-01	4	50			
BD840	2012	2012-12-01	5	5			
BD840	2012	2012-12-01	5	20			
BD840	2012	2012-12-01	5	35			
BD840	2012	2012-12-01	5	50			
BD840	2012	2012-12-01	6	5	2.489		
BD840	2012	2012-12-01	6	20	2.464		
BD840	2012	2012-12-01	6	35			
BD840	2012	2012-12-01	6	50	2.499		
BD840	2012	2012-12-01	7	5			
BD840	2012	2012-12-01	7	20			
BD840	2012	2012-12-01	7	35	2.827		
BD840	2012	2012-12-01	7	50	2.7460000000000004		
BD840	2012	2012-12-01	8	5			
BD840	2012	2012-12-01	8	20	2.7439999999999998		
BD840	2012	2012-12-01	8	35	2.877		
BD840	2012	2012-12-01	8	50	2.827		
BD840	2012	2012-12-01	9	5	2.9330000000000003		
BD840	2012	2012-12-01	9	20			
BD840	2012	2012-12-01	9	35	3.03		
BD840	2012	2012-12-01	9	50			
BD840	2012	2012-12-01	10	5	3.133		
BD840	2012	2012-12-01	10	20	3.103		
BD840	2012	2012-12-01	10	35	3.0810000000000004		
BD840	2012	2012-12-01	10	50			
BD840	2012	2012-12-01	11	5	3.15		
BD840	2012	2012-12-01	11	20	3.167		
BD840	2012	2012-12-01	11	35	3.197		
BD840	2012	2012-12-01	11	50	3.17		
BD840	2012	2012-12-01	12	5			
BD840	2012	2012-12-01	12	20	3.215		
BD840	2012	2012-12-01	12	35	3.18		
BD840	2012	2012-12-01	12	50	3.205		
BD840	2012	2012-12-01	13	5	3.215		
BD840	2012	2012-12-01	13	20	3.307		
BD840	2012	2012-12-01	13	35	3.657		
BD840	2012	2012-12-01	13	50	4.183		
BD840	2012	2012-12-01	14	5	4.952		
BD840	2012	2012-12-01	14	20	5.3229999999999995		
BD840	2012	2012-12-01	14	35	5.836		
BD840	2012	2012-12-01	14	50	5.968999999999999		
BD840	2012	2012-12-01	15	5	6.023		
BD840	2012	2012-12-01	15	20	6.5710000000000015		
BD840	2012	2012-12-01	15	35	7.086		
BD840	2012	2012-12-01	15	50	6.599		
BD840	2012	2012-12-01	16	5			
BD840	2012	2012-12-01	16	20			
BD840	2012	2012-12-01	16	35			
BD840	2012	2012-12-01	16	50	7.2120000000000015		
BD840	2012	2012-12-01	17	5	7.482		
BD840	2012	2012-12-01	17	20			
BD840	2012	2012-12-01	17	35			
BD840	2012	2012-12-01	17	50			
BD840	2012	2012-12-01	18	5	7.0760000000000005		
BD840	2012	2012-12-01	18	20			
BD840	2012	2012-12-01	18	35	8.897		
BD840	2012	2012-12-01	18	50	8.646		
BD840	2012	2012-12-01	19	5	9.125		
BD840	2012	2012-12-01	19	20	9.075		
BD840	2012	2012-12-01	19	35			
BD840	2012	2012-12-01	19	50	8.809		
BD840	2012	2012-12-01	20	5	8.677999999999999		
BD840	2012	2012-12-01	20	20			
BD840	2012	2012-12-01	20	35			
BD840	2012	2012-12-01	20	50			
BD840	2012	2012-12-01	21	5	6.8320000000000025		
BD840	2012	2012-12-01	21	20	7.005		
BD840	2012	2012-12-01	21	35	5.648		
BD840	2012	2012-12-01	21	50	6.678999999999999		
BD840	2012	2012-12-01	22	5	7.36		
BD840	2012	2012-12-01	22	20	7.381		
BD840	2012	2012-12-01	22	35	6.655		
BD840	2012	2012-12-01	22	50	6.855		
BD840	2012	2012-12-01	23	5	6.0020000000000024		
BD840	2012	2012-12-01	23	20	6.593999999999999		
BD840	2012	2012-12-01	23	35	6.664		
BD840	2012	2012-12-01	23	50	5.319		
BD840	2012	2012-12-02	0	5	4.956		0.0
BD840	2012	2012-12-02	0	20	4.275		0.0
BD840	2012	2012-12-02	0	35	3.737	4.4060000000000015	1.0
BD840	2012	2012-12-02	0	50	3.8310000000000004		0.0
BD840	2012	2012-12-02	1	5	3.6260000000000003		0.0
BD840	2012	2012-12-02	1	20	3.502		0.0
BD840	2012	2012-12-02	1	35	3.299		0.0
BD840	2012	2012-12-02	1	50	2.312		0.0
BD840	2012	2012-12-02	2	5	2.385		0.0
BD840	2012	2012-12-02	2	20			0.0
BD840	2012	2012-12-02	2	35	2.0980000000000003		0.0
BD840	2012	2012-12-02	2	50			0.0
BD840	2012	2012-12-02	3	5	1.973		0.0
BD840	2012	2012-12-02	3	20			0.0
BD840	2012	2012-12-02	3	35			0.0
BD840	2012	2012-12-02	3	50			0.0
BD840	2012	2012-12-02	4	5	2.278		0.0
BD840	2012	2012-12-02	4	20			0.0
BD840	2012	2012-12-02	4	35		3.7119999999999997	1.0
BD840	2012	2012-12-02	4	50			0.0
BD840	2012	2012-12-02	5	5	2.398		0.0
BD840	2012	2012-12-02	5	20	2.406		0.0
BD840	2012	2012-12-02	5	35	2.494		0.0
BD840	2012	2012-12-02	5	50	2.529		0.0
BD840	2012	2012-12-02	6	5	2.137	2.489	1.0
BD840	2012	2012-12-02	6	20	2.18	2.464	1.0
BD840	2012	2012-12-02	6	35	2.213		0.0
BD840	2012	2012-12-02	6	50	2.535	2.499	1.0
BD840	2012	2012-12-02	7	5	2.303		0.0
BD840	2012	2012-12-02	7	20	2.17		0.0
BD840	2012	2012-12-02	7	35		2.827	1.0
BD840	2012	2012-12-02	7	50	2.176	2.7460000000000004	1.0
BD840	2012	2012-12-02	8	5	2.298		0.0
BD840	2012	2012-12-02	8	20	2.385	2.7439999999999998	1.0
BD840	2012	2012-12-02	8	35	2.3209999999999997	2.877	1.0
BD840	2012	2012-12-02	8	50	2.363	2.827	1.0
BD840	2012	2012-12-02	9	5	2.535	2.9330000000000003	1.0
BD840	2012	2012-12-02	9	20	2.838		0.0
BD840	2012	2012-12-02	9	35	2.392	3.03	1.0
BD840	2012	2012-12-02	9	50	2.395		0.0
BD840	2012	2012-12-02	10	5	2.8689999999999998	3.133	1.0
BD840	2012	2012-12-02	10	20	3.17	3.103	1.0
BD840	2012	2012-12-02	10	35	3.075	3.0810000000000004	1.0
BD840	2012	2012-12-02	10	50	3.04		0.0
BD840	2012	2012-12-02	11	5	2.3409999999999997	3.15	1.0
BD840	2012	2012-12-02	11	20	2.4090000000000003	3.167	1.0
BD840	2012	2012-12-02	11	35	3.0039999999999996	3.197	1.0
BD840	2012	2012-12-02	11	50	2.972	3.17	1.0
BD840	2012	2012-12-02	12	5	2.364		0.0
BD840	2012	2012-12-02	12	20	2.426	3.215	1.0
BD840	2012	2012-12-02	12	35	2.327	3.18	1.0
BD840	2012	2012-12-02	12	50	2.306	3.205	1.0
BD840	2012	2012-12-02	13	5	2.8960000000000004	3.215	1.0
BD840	2012	2012-12-02	13	20	3.233	3.307	1.0
BD840	2012	2012-12-02	13	35	3.736	3.657	1.0
BD840	2012	2012-12-02	13	50	4.175	4.183	1.0
BD840	2012	2012-12-02	14	5	4.499	4.952	1.0
BD840	2012	2012-12-02	14	20	5.829	5.3229999999999995	1.0
BD840	2012	2012-12-02	14	35	6.05	5.836	1.0
BD840	2012	2012-12-02	14	50	6.34	5.968999999999999	1.0
BD840	2012	2012-12-02	15	5	6.765	6.023	1.0
BD840	2012	2012-12-02	15	20	6.403	6.5710000000000015	1.0
BD840	2012	2012-12-02	15	35	6.731	7.086	1.0
BD840	2012	2012-12-02	15	50	5.9	6.599	1.0
BD840	2012	2012-12-02	16	5	5.445		0.0
BD840	2012	2012-12-02	16	20	6.731		0.0
BD840	2012	2012-12-02	16	35	7.018		0.0
BD840	2012	2012-12-02	16	50	7.032	7.2120000000000015	1.0
BD840	2012	2012-12-02	17	5	6.395	7.482	1.0
BD840	2012	2012-12-02	17	20	7.121		0.0
BD840	2012	2012-12-02	17	35	6.874		0.0
BD840	2012	2012-12-02	17	50	7.434		0.0
BD840	2012	2012-12-02	18	5	7.27	7.0760000000000005	1.0
BD840	2012	2012-12-02	18	20	7.595		0.0
BD840	2012	2012-12-02	18	35	8.345	8.897	1.0
BD840	2012	2012-12-02	18	50	7.94	8.646	1.0
BD840	2012	2012-12-02	19	5	8.029	9.125	1.0
BD840	2012	2012-12-02	19	20	8.299	9.075	1.0
