sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
BR52P	2004	2004-11-03	0	0	7.987999999999999		
BR52P	2004	2004-11-03	1	0			
BR52P	2004	2004-11-03	2	0	8.935		
BR52P	2004	2004-11-03	3	0	9.567		
BR52P	2004	2004-11-03	4	0	8.765		
BR52P	2004	2004-11-03	5	0	8.988		
BR52P	2004	2004-11-03	6	0			
BR52P	2004	2004-11-03	7	0	9.105		
BR52P	2004	2004-11-03	8	0	10.298		
BR52P	2004	2004-11-03	9	0			
BR52P	2004	2004-11-03	10	0	8.512		
BR52P	2004	2004-11-03	11	0			
BR52P	2004	2004-11-03	12	0			
BR52P	2004	2004-11-03	13	0			
BR52P	2004	2004-11-03	14	0			
BR52P	2004	2004-11-03	15	0	9.095		
BR52P	2004	2004-11-03	16	0			
BR52P	2004	2004-11-03	17	0	4.801		
BR52P	2004	2004-11-03	18	0			
BR52P	2004	2004-11-03	19	0	4.2810000000000015		
BR52P	2004	2004-11-03	20	0	6.534		
BR52P	2004	2004-11-03	21	0	7.192		
BR52P	2004	2004-11-03	22	0	9.705		
BR52P	2004	2004-11-03	23	0	9.782		
BR52P	2004	2004-11-04	1	0	10.888		0.0
BR52P	2004	2004-11-04	2	0	10.737	8.935	1.0
BR52P	2004	2004-11-04	3	0	9.512	9.567	1.0
BR52P	2004	2004-11-04	4	0		8.765	1.0
BR52P	2004	2004-11-04	5	0		8.988	1.0
BR52P	2004	2004-11-04	7	0	8.494	9.105	1.0
BR52P	2004	2004-11-04	8	0	10.677	10.298	1.0
BR52P	2004	2004-11-04	9	0	7.226		0.0
BR52P	2004	2004-11-04	10	0	6.4579999999999975	8.512	1.0
BR52P	2004	2004-11-04	11	0	6.546		0.0
BR52P	2004	2004-11-04	12	0	7.0870000000000015		0.0
BR52P	2004	2004-11-04	13	0			0.0
BR52P	2004	2004-11-04	14	0	7.604		0.0
BR52P	2004	2004-11-04	15	0	6.158	9.095	1.0
BR52P	2004	2004-11-04	16	0	5.66		0.0
BR52P	2004	2004-11-04	17	0		4.801	1.0
BR52P	2004	2004-11-04	18	0	4.604		0.0
BR52P	2004	2004-11-04	19	0	4.707	4.2810000000000015	1.0
BR52P	2004	2004-11-04	20	0	8.661	6.534	1.0
BR52P	2004	2004-11-04	21	0	7.877999999999999	7.192	1.0
BR52P	2004	2004-11-04	22	0		9.705	1.0
BR52P	2004	2004-11-04	23	0	4.711	9.782	1.0
BR52P	2004	2004-11-05	0	0	11.43	7.987999999999999	1.0
BR52P	2004	2004-11-05	1	0	8.343	10.888	1.0
BR52P	2004	2004-11-05	2	0	9.202	9.836	2.0
BR52P	2004	2004-11-05	3	0	9.315	9.5395	2.0
BR52P	2004	2004-11-05	4	0		8.765	1.0
BR52P	2004	2004-11-05	5	0	7.904	8.988	1.0
BR52P	2004	2004-11-05	6	0	8.345		0.0
BR52P	2004	2004-11-05	8	0	8.334	10.4875	2.0
BR52P	2004	2004-11-05	9	0	8.884	7.226	1.0
BR52P	2004	2004-11-05	10	0	7.842	7.484999999999999	2.0
BR52P	2004	2004-11-05	11	0	7.682	6.546	1.0
BR52P	2004	2004-11-05	12	0	8.695	7.0870000000000015	1.0
BR52P	2004	2004-11-05	13	0			0.0
BR52P	2004	2004-11-05	14	0		7.604	1.0
BR52P	2004	2004-11-05	15	0	5.425	7.6265	2.0
BR52P	2004	2004-11-05	16	0		5.66	1.0
BR52P	2004	2004-11-05	17	0		4.801	1.0
BR52P	2004	2004-11-05	18	0		4.604	1.0
BR52P	2004	2004-11-05	19	0		4.494000000000001	2.0
BR52P	2004	2004-11-05	20	0	6.973	7.5975	2.0
BR52P	2004	2004-11-05	21	0		7.535	2.0
BR52P	2004	2004-11-05	22	0	6.972	9.705	1.0
BR52P	2004	2004-11-05	23	0	7.595	7.2465	2.0
BR52P	2004	2004-11-06	0	0	8.632	9.709	2.0
BR52P	2004	2004-11-06	3	0	12.611	9.464666666666666	3.0
BR52P	2004	2004-11-06	4	0	8.682	8.765	1.0
BR52P	2004	2004-11-06	5	0		8.446	2.0
BR52P	2004	2004-11-06	6	0	8.082	8.345	1.0
BR52P	2004	2004-11-06	7	0	8.391	8.7995	2.0
BR52P	2004	2004-11-06	8	0		9.769666666666668	3.0
BR52P	2004	2004-11-06	9	0	7.978	8.055	2.0
BR52P	2004	2004-11-06	10	0	7.2879999999999985	7.603999999999999	3.0
BR52P	2004	2004-11-06	11	0		7.114000000000001	2.0
BR52P	2004	2004-11-06	12	0		7.891000000000001	2.0
BR52P	2004	2004-11-06	13	0	6.534		0.0
BR52P	2004	2004-11-06	14	0		7.604	1.0
BR52P	2004	2004-11-06	15	0		6.892666666666667	3.0
BR52P	2004	2004-11-06	16	0	7.871	5.66	1.0
BR52P	2004	2004-11-06	17	0		4.801	1.0
BR52P	2004	2004-11-06	18	0		4.604	1.0
BR52P	2004	2004-11-06	19	0		4.494000000000001	2.0
BR52P	2004	2004-11-06	20	0	7.412000000000001	7.389333333333333	3.0
BR52P	2004	2004-11-06	21	0	7.101	7.535	2.0
BR52P	2004	2004-11-06	22	0		8.3385	2.0
BR52P	2004	2004-11-06	23	0		7.362666666666667	3.0
BR52P	2004	2004-11-07	0	0		9.35	3.0
BR52P	2004	2004-11-07	2	0		9.624666666666668	3.0
BR52P	2004	2004-11-07	3	0	8.705	10.251249999999999	4.0
BR52P	2004	2004-11-07	4	0		8.723500000000001	2.0
BR52P	2004	2004-11-07	5	0	8.171	8.446	2.0
BR52P	2004	2004-11-07	6	0	9.357	8.2135	2.0
BR52P	2004	2004-11-07	7	0	8.873	8.663333333333334	3.0
BR52P	2004	2004-11-07	8	0	10.448	9.769666666666668	3.0
BR52P	2004	2004-11-07	9	0		8.029333333333334	3.0
BR52P	2004	2004-11-07	10	0		7.524999999999999	4.0
BR52P	2004	2004-11-07	11	0	7.085	7.114000000000001	2.0
BR52P	2004	2004-11-07	12	0	6.017	7.891000000000001	2.0
BR52P	2004	2004-11-07	13	0		6.534	1.0
BR52P	2004	2004-11-07	14	0		7.604	1.0
BR52P	2004	2004-11-07	15	0		6.892666666666667	3.0
BR52P	2004	2004-11-07	16	0		6.7655	2.0
BR52P	2004	2004-11-07	17	0	5.9179999999999975	4.801	1.0
BR52P	2004	2004-11-07	18	0		4.604	1.0
BR52P	2004	2004-11-07	19	0	5.614	4.494000000000001	2.0
BR52P	2004	2004-11-07	20	0		7.395	4.0
BR52P	2004	2004-11-07	21	0	6.59	7.390333333333333	3.0
BR52P	2004	2004-11-07	22	0		8.3385	2.0
BR52P	2004	2004-11-07	23	0		7.362666666666667	3.0
BR52P	2004	2004-11-08	0	0		9.35	3.0
BR52P	2004	2004-11-08	1	0	8.998	9.6155	2.0
BR52P	2004	2004-11-08	2	0		9.624666666666668	3.0
BR52P	2004	2004-11-08	3	0	8.392000000000001	9.941999999999998	5.0
BR52P	2004	2004-11-08	4	0	8.0	8.723500000000001	2.0
BR52P	2004	2004-11-08	5	0	10.675	8.354333333333333	3.0
BR52P	2004	2004-11-08	6	0	10.02	8.594666666666667	3.0
BR52P	2004	2004-11-08	7	0	9.523	8.71575	4.0
BR52P	2004	2004-11-08	8	0		9.939250000000001	4.0
BR52P	2004	2004-11-08	9	0	14.621	8.029333333333334	3.0
BR52P	2004	2004-11-08	10	0	16.368	7.524999999999999	4.0
BR52P	2004	2004-11-08	11	0	17.08	7.104333333333334	3.0
BR52P	2004	2004-11-08	12	0	14.186	7.266333333333335	3.0
BR52P	2004	2004-11-08	13	0	8.441	6.534	1.0
BR52P	2004	2004-11-08	14	0		7.604	1.0
BR52P	2004	2004-11-08	15	0	11.678	6.892666666666667	3.0
BR52P	2004	2004-11-08	16	0	9.254	6.7655	2.0
BR52P	2004	2004-11-08	17	0	8.238999999999999	5.359499999999999	2.0
BR52P	2004	2004-11-08	18	0	7.349	4.604	1.0
BR52P	2004	2004-11-08	19	0	10.455	4.867333333333334	3.0
BR52P	2004	2004-11-08	20	0	12.445	7.395	4.0
BR52P	2004	2004-11-08	21	0	10.883	7.19025	4.0
BR52P	2004	2004-11-08	22	0		8.3385	2.0
BR52P	2004	2004-11-08	23	0		7.362666666666667	3.0
BR52P	2004	2004-11-09	0	0	10.714	9.35	3.0
BR52P	2004	2004-11-09	2	0		9.624666666666668	3.0
