sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
CB53N	2005	2005-03-22	17	0	4.874		
CB53N	2005	2005-03-22	18	0	4.391		
CB53N	2005	2005-03-22	19	0	4.374		
CB53N	2005	2005-03-22	20	0	4.277		
CB53N	2005	2005-03-22	21	0			
CB53N	2005	2005-03-22	22	0	5.7920000000000025		
CB53N	2005	2005-03-22	23	0	6.265		
CB53N	2005	2005-03-23	0	0	6.83		
CB53N	2005	2005-03-23	1	0	7.432		
CB53N	2005	2005-03-23	2	0	7.436		
CB53N	2005	2005-03-23	3	0	7.568		
CB53N	2005	2005-03-23	4	0	7.755		
CB53N	2005	2005-03-23	5	0	8.134		
CB53N	2005	2005-03-23	6	0	7.867000000000001		
CB53N	2005	2005-03-23	7	0	7.943		
CB53N	2005	2005-03-23	8	0	7.404		
CB53N	2005	2005-03-23	9	0	5.867000000000001		
CB53N	2005	2005-03-23	10	0	4.606		
CB53N	2005	2005-03-23	11	0	4.386		
CB53N	2005	2005-03-23	12	0	4.474		
CB53N	2005	2005-03-23	13	0	4.468		
CB53N	2005	2005-03-23	14	0	4.283		
CB53N	2005	2005-03-23	15	0	4.368		
CB53N	2005	2005-03-23	16	0	4.271		
CB53N	2005	2005-03-23	17	0	4.238	4.874	1.0
CB53N	2005	2005-03-23	18	0	4.355	4.391	1.0
CB53N	2005	2005-03-23	19	0	5.505	4.374	1.0
CB53N	2005	2005-03-23	20	0	4.534	4.277	1.0
CB53N	2005	2005-03-23	21	0	5.584		0.0
CB53N	2005	2005-03-23	22	0	6.432	5.7920000000000025	1.0
CB53N	2005	2005-03-23	23	0	6.454	6.265	1.0
CB53N	2005	2005-03-24	0	0	6.489	6.83	1.0
CB53N	2005	2005-03-24	1	0	6.3820000000000014	7.432	1.0
CB53N	2005	2005-03-24	2	0	6.885	7.436	1.0
CB53N	2005	2005-03-24	3	0	7.35	7.568	1.0
CB53N	2005	2005-03-24	4	0	7.603	7.755	1.0
CB53N	2005	2005-03-24	5	0	7.622999999999997	8.134	1.0
CB53N	2005	2005-03-24	6	0	7.48	7.867000000000001	1.0
CB53N	2005	2005-03-24	7	0	7.377000000000002	7.943	1.0
CB53N	2005	2005-03-24	8	0	7.417999999999997	7.404	1.0
CB53N	2005	2005-03-24	9	0	6.9620000000000015	5.867000000000001	1.0
CB53N	2005	2005-03-24	10	0	5.388	4.606	1.0
CB53N	2005	2005-03-24	11	0	5.425	4.386	1.0
CB53N	2005	2005-03-24	12	0	4.3439999999999985	4.474	1.0
CB53N	2005	2005-03-24	13	0	4.362	4.468	1.0
CB53N	2005	2005-03-24	14	0	4.255	4.283	1.0
CB53N	2005	2005-03-24	15	0	4.0280000000000005	4.368	1.0
CB53N	2005	2005-03-24	16	0	4.23	4.271	1.0
CB53N	2005	2005-03-24	17	0	4.454	4.556	2.0
CB53N	2005	2005-03-24	18	0	4.854	4.373	2.0
CB53N	2005	2005-03-24	19	0	4.377	4.9395	2.0
CB53N	2005	2005-03-24	20	0	4.335	4.4055	2.0
CB53N	2005	2005-03-24	21	0	5.445	5.584	1.0
CB53N	2005	2005-03-24	22	0	6.3279999999999985	6.112000000000002	2.0
CB53N	2005	2005-03-24	23	0	7.697999999999999	6.3595	2.0
CB53N	2005	2005-03-25	0	0		6.6594999999999995	2.0
CB53N	2005	2005-03-25	1	0	7.9289999999999985	6.907000000000001	2.0
CB53N	2005	2005-03-25	2	0	8.027999999999999	7.1605	2.0
CB53N	2005	2005-03-25	3	0	7.9	7.459	2.0
CB53N	2005	2005-03-25	4	0	8.107000000000001	7.679	2.0
CB53N	2005	2005-03-25	5	0	7.518	7.878499999999999	2.0
CB53N	2005	2005-03-25	6	0	7.457000000000002	7.673500000000001	2.0
CB53N	2005	2005-03-25	7	0	7.842	7.66	2.0
CB53N	2005	2005-03-25	8	0	8.872	7.410999999999998	2.0
CB53N	2005	2005-03-25	9	0	8.99	6.414500000000001	2.0
CB53N	2005	2005-03-25	10	0	8.11	4.997	2.0
CB53N	2005	2005-03-25	11	0	7.067	4.9055	2.0
CB53N	2005	2005-03-25	12	0	5.439	4.408999999999999	2.0
CB53N	2005	2005-03-25	13	0	4.425	4.415	2.0
CB53N	2005	2005-03-25	14	0	4.293	4.269	2.0
CB53N	2005	2005-03-25	15	0	4.319	4.198	2.0
CB53N	2005	2005-03-25	16	0	4.289	4.250500000000001	2.0
CB53N	2005	2005-03-25	17	0	4.2360000000000015	4.521999999999999	3.0
CB53N	2005	2005-03-25	18	0	3.668	4.533333333333334	3.0
CB53N	2005	2005-03-25	19	0	3.746	4.752	3.0
CB53N	2005	2005-03-25	20	0	3.373	4.382000000000001	3.0
CB53N	2005	2005-03-25	21	0	3.957	5.5145	2.0
CB53N	2005	2005-03-25	22	0	4.296	6.184000000000001	3.0
CB53N	2005	2005-03-25	23	0	4.7	6.805666666666666	3.0
CB53N	2005	2005-03-26	0	0	4.812	6.6594999999999995	2.0
CB53N	2005	2005-03-26	1	0	5.317	7.247666666666667	3.0
CB53N	2005	2005-03-26	2	0	5.31	7.4496666666666655	3.0
CB53N	2005	2005-03-26	3	0	5.39	7.605999999999999	3.0
CB53N	2005	2005-03-26	4	0	5.438	7.821666666666668	3.0
CB53N	2005	2005-03-26	5	0	5.574	7.758333333333333	3.0
CB53N	2005	2005-03-26	6	0	5.921	7.601333333333334	3.0
CB53N	2005	2005-03-26	7	0	5.72	7.720666666666666	3.0
CB53N	2005	2005-03-26	8	0	5.482	7.897999999999999	3.0
CB53N	2005	2005-03-26	9	0	5.388	7.273000000000001	3.0
CB53N	2005	2005-03-26	10	0	5.154	6.034666666666666	3.0
CB53N	2005	2005-03-26	11	0	4.869	5.626	3.0
CB53N	2005	2005-03-26	12	0	4.99	4.752333333333333	3.0
CB53N	2005	2005-03-26	13	0	4.117	4.418333333333333	3.0
CB53N	2005	2005-03-26	14	0	4.092	4.277	3.0
CB53N	2005	2005-03-26	15	0	3.898	4.238333333333333	3.0
CB53N	2005	2005-03-26	16	0	3.947	4.263333333333334	3.0
CB53N	2005	2005-03-26	17	0	3.778	4.4505	4.0
CB53N	2005	2005-03-26	18	0	3.513	4.317	4.0
CB53N	2005	2005-03-26	19	0	2.803	4.5005	4.0
CB53N	2005	2005-03-26	20	0	3.145	4.1297500000000005	4.0
CB53N	2005	2005-03-26	21	0	4.203	4.995333333333334	3.0
CB53N	2005	2005-03-26	22	0	4.806	5.712000000000001	4.0
CB53N	2005	2005-03-26	23	0	5.113	6.279249999999999	4.0
CB53N	2005	2005-03-27	0	0	5.5379999999999985	6.043666666666667	3.0
CB53N	2005	2005-03-27	1	0		6.765000000000001	4.0
CB53N	2005	2005-03-27	2	0	5.694	6.914749999999999	4.0
CB53N	2005	2005-03-27	3	0	6.2029999999999985	7.052	4.0
CB53N	2005	2005-03-27	4	0	6.149	7.225750000000001	4.0
CB53N	2005	2005-03-27	5	0	6.028	7.212249999999999	4.0
CB53N	2005	2005-03-27	6	0	5.9510000000000005	7.18125	4.0
CB53N	2005	2005-03-27	7	0		7.2204999999999995	4.0
CB53N	2005	2005-03-27	8	0	5.711	7.293999999999999	4.0
CB53N	2005	2005-03-27	9	0	5.841	6.80175	4.0
CB53N	2005	2005-03-27	10	0	5.51	5.8145	4.0
CB53N	2005	2005-03-27	11	0	5.783	5.43675	4.0
CB53N	2005	2005-03-27	12	0	4.794	4.81175	4.0
CB53N	2005	2005-03-27	13	0	4.22	4.343	4.0
CB53N	2005	2005-03-27	14	0	3.824	4.23075	4.0
CB53N	2005	2005-03-27	15	0	4.345	4.15325	4.0
CB53N	2005	2005-03-27	16	0	4.2410000000000005	4.1842500000000005	4.0
CB53N	2005	2005-03-27	17	0	4.105	4.316	5.0
CB53N	2005	2005-03-27	18	0	4.101	4.1562	5.0
CB53N	2005	2005-03-27	19	0	3.683	4.161	5.0
CB53N	2005	2005-03-27	20	0	3.663	3.9328000000000003	5.0
CB53N	2005	2005-03-27	21	0	4.984	4.79725	4.0
CB53N	2005	2005-03-27	22	0	5.184	5.530800000000001	5.0
CB53N	2005	2005-03-27	23	0	5.379	6.045999999999999	5.0
CB53N	2005	2005-03-28	0	0	5.5429999999999975	5.917249999999999	4.0
CB53N	2005	2005-03-28	2	0	6.8679999999999986	6.6705999999999985	5.0
CB53N	2005	2005-03-28	3	0	7.062	6.882199999999999	5.0
CB53N	2005	2005-03-28	4	0	7.542999999999997	7.0104	5.0
CB53N	2005	2005-03-28	5	0	7.032	6.975399999999999	5.0
CB53N	2005	2005-03-28	6	0	6.803	6.9352	5.0
CB53N	2005	2005-03-28	7	0	6.757999999999999	7.2204999999999995	4.0
CB53N	2005	2005-03-28	8	0	6.308	6.9773999999999985	5.0
CB53N	2005	2005-03-28	9	0	8.487	6.6096	5.0
CB53N	2005	2005-03-28	10	0	5.7360000000000015	5.7536000000000005	5.0
CB53N	2005	2005-03-28	11	0	5.962999999999999	5.506	5.0
CB53N	2005	2005-03-28	12	0	4.793	4.8082	5.0
CB53N	2005	2005-03-28	13	0	4.7860000000000005	4.3184	5.0
CB53N	2005	2005-03-28	14	0	4.535	4.1494	5.0
CB53N	2005	2005-03-28	15	0	4.195	4.191599999999999	5.0
CB53N	2005	2005-03-28	16	0	4.213	4.195600000000001	5.0
CB53N	2005	2005-03-28	17	0	5.645	4.280833333333333	6.0
CB53N	2005	2005-03-28	18	0	3.262	4.146999999999999	6.0
CB53N	2005	2005-03-28	19	0	4.216	4.081333333333333	6.0
CB53N	2005	2005-03-28	20	0	3.1260000000000003	3.8878333333333335	6.0
CB53N	2005	2005-03-28	21	0	5.506	4.8346	5.0
CB53N	2005	2005-03-28	22	0	5.507999999999999	5.473	6.0
CB53N	2005	2005-03-28	23	0	5.847	5.934833333333333	6.0
