sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
CL424	2000	2000-01-18	2	15	9.95		
CL424	2004	2004-01-01	2	15		9.95	1.0
CL424	2004	2004-01-02	2	15	10.5	9.95	1.0
CL424	2004	2004-01-03	2	15		10.225	2.0
CL424	2004	2004-01-04	2	15	8.9	10.225	2.0
CL424	2004	2004-01-05	2	15	8.6	9.783333333333333	3.0
CL424	2004	2004-01-06	2	15		9.4875	4.0
CL424	2004	2004-01-07	2	15		9.4875	4.0
CL424	2004	2004-10-13	2	15	9.35	9.4875	4.0
CL424	2004	2004-10-14	2	15		9.46	5.0
CL424	2004	2004-10-15	2	15		9.46	5.0
CL424	2004	2004-10-17	2	15	11.31	9.46	5.0
CL424	2004	2004-10-18	2	15	11.2	9.768333333333334	6.0
CL424	2004	2004-10-19	2	15	9.1	9.972857142857142	7.0
CL424	2004	2004-10-20	2	15	9.1	9.86375	8.0
CL424	2004	2004-10-21	2	15	10.3	9.778888888888888	9.0
CL424	2004	2004-10-22	2	15		9.817777777777776	9.0
CL424	2004	2004-10-23	2	15		9.817777777777776	9.0
CL424	2004	2004-10-24	2	15		9.732499999999998	8.0
CL424	2004	2004-10-25	2	15	11.5	9.732499999999998	8.0
CL424	2004	2004-10-26	2	15		10.057499999999997	8.0
CL424	2004	2004-10-27	2	15	10.9	10.265714285714283	7.0
CL424	2004	2004-10-28	2	15	10.95	10.344999999999999	8.0
CL424	2004	2004-10-29	2	15	10.2	10.412222222222221	9.0
CL424	2004	2004-10-30	2	15	11.3	10.506666666666668	9.0
CL424	2004	2004-10-31	2	15		10.586	10.0
CL424	2004	2004-11-01	2	15		10.586	10.0
CL424	2004	2004-11-02	2	15		10.505555555555555	9.0
CL424	2004	2004-11-03	2	15		10.41875	8.0
CL424	2004	2004-11-04	2	15	10.7	10.607142857142858	7.0
CL424	2004	2004-11-05	2	15	10.6	10.835714285714287	7.0
CL424	2004	2004-11-06	2	15	11.2	10.87857142857143	7.0
CL424	2004	2004-11-07	2	15	9.65	10.918750000000001	8.0
CL424	2004	2004-11-08	2	15		10.777777777777779	9.0
CL424	2004	2004-11-09	2	15	9.6	10.777777777777779	9.0
CL424	2004	2004-11-10	2	15		10.566666666666668	9.0
CL424	2004	2004-11-11	2	15	10.2	10.566666666666668	9.0
CL424	2004	2004-11-12	2	15	7.504	10.488888888888889	9.0
CL424	2004	2004-11-13	2	15	7.11	10.106000000000002	9.0
