sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
CN53L	2004	2004-10-18	0	3			
CN53L	2004	2004-10-18	1	3	7.241		
CN53L	2004	2004-10-18	2	3	7.181		
CN53L	2004	2004-10-18	3	3	7.285		
CN53L	2004	2004-10-18	4	3	7.007999999999999		
CN53L	2004	2004-10-18	5	3			
CN53L	2004	2004-10-18	6	3	6.7120000000000015		
CN53L	2004	2004-10-18	7	3			
CN53L	2004	2004-10-18	8	3			
CN53L	2004	2004-10-18	9	3			
CN53L	2004	2004-10-18	10	3	5.408		
CN53L	2004	2004-10-18	11	3			
CN53L	2004	2004-10-18	12	3	4.819		
CN53L	2004	2004-10-18	13	3	4.884		
CN53L	2004	2004-10-18	14	3			
CN53L	2004	2004-10-18	15	3			
CN53L	2004	2004-10-18	16	3			
CN53L	2004	2004-10-18	17	3	3.519		
CN53L	2004	2004-10-18	18	3	3.138		
CN53L	2004	2004-10-18	19	3	3.475		
CN53L	2004	2004-10-18	20	3			
CN53L	2004	2004-10-18	21	3	5.626		
CN53L	2004	2004-10-18	22	3	5.66		
CN53L	2004	2004-10-18	23	3	6.915		
CN53L	2004	2004-10-19	0	3	7.041		0.0
CN53L	2004	2004-10-19	1	3	8.369	7.241	1.0
CN53L	2004	2004-10-19	3	3	7.996	7.285	1.0
CN53L	2004	2004-10-19	4	3	7.311	7.007999999999999	1.0
CN53L	2004	2004-10-19	5	3			0.0
CN53L	2004	2004-10-19	6	3	7.315	6.7120000000000015	1.0
CN53L	2004	2004-10-19	7	3			0.0
CN53L	2004	2004-10-19	8	3			0.0
CN53L	2004	2004-10-19	9	3			0.0
CN53L	2004	2004-10-19	10	3		5.408	1.0
CN53L	2004	2004-10-19	11	3			0.0
CN53L	2004	2004-10-19	12	3		4.819	1.0
CN53L	2004	2004-10-19	13	3		4.884	1.0
CN53L	2004	2004-10-19	14	3			0.0
CN53L	2004	2004-10-19	15	3			0.0
CN53L	2004	2004-10-19	16	3			0.0
CN53L	2004	2004-10-19	17	3	3.729	3.519	1.0
CN53L	2004	2004-10-19	18	3		3.138	1.0
CN53L	2004	2004-10-19	19	3		3.475	1.0
CN53L	2004	2004-10-19	20	3			0.0
CN53L	2004	2004-10-19	21	3	5.6320000000000014	5.626	1.0
CN53L	2004	2004-10-19	22	3	5.6	5.66	1.0
CN53L	2004	2004-10-19	23	3		6.915	1.0
CN53L	2004	2004-10-20	0	3	6.494	7.041	1.0
CN53L	2004	2004-10-20	1	3		7.805	2.0
CN53L	2004	2004-10-20	2	3		7.181	1.0
CN53L	2004	2004-10-20	3	3		7.6405	2.0
CN53L	2004	2004-10-20	4	3		7.1594999999999995	2.0
CN53L	2004	2004-10-20	5	3			0.0
CN53L	2004	2004-10-20	6	3	7.045	7.0135000000000005	2.0
CN53L	2004	2004-10-20	7	3			0.0
CN53L	2004	2004-10-20	8	3			0.0
CN53L	2004	2004-10-20	9	3	7.296		0.0
CN53L	2004	2004-10-20	10	3		5.408	1.0
CN53L	2004	2004-10-20	11	3			0.0
CN53L	2004	2004-10-20	12	3		4.819	1.0
CN53L	2004	2004-10-20	13	3	4.544	4.884	1.0
CN53L	2004	2004-10-20	14	3			0.0
CN53L	2004	2004-10-20	15	3	3.698		0.0
CN53L	2004	2004-10-20	16	3	3.773		0.0
CN53L	2004	2004-10-20	17	3	3.692	3.624	2.0
CN53L	2004	2004-10-20	18	3	3.61	3.138	1.0
CN53L	2004	2004-10-20	19	3	3.956	3.475	1.0
CN53L	2004	2004-10-20	20	3			0.0
CN53L	2004	2004-10-20	21	3	4.581	5.629000000000001	2.0
CN53L	2004	2004-10-20	22	3	4.211	5.63	2.0
CN53L	2004	2004-10-20	23	3		6.915	1.0
CN53L	2004	2004-10-21	0	3		6.7675	2.0
CN53L	2004	2004-10-21	1	3	6.7970000000000015	7.805	2.0
CN53L	2004	2004-10-21	2	3		7.181	1.0
CN53L	2004	2004-10-21	3	3	9.574	7.6405	2.0
CN53L	2004	2004-10-21	4	3	6.834	7.1594999999999995	2.0
