sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
CW46O	2003	2003-04-04	3	0	7.4929999999999986		
CW46O	2004	2004-01-28	0	0	5.599		
CW46O	2004	2004-01-28	1	0			
CW46O	2004	2004-01-28	2	0	4.703		
CW46O	2004	2004-01-28	3	0	5.9	7.4929999999999986	1.0
CW46O	2004	2004-01-28	4	0	4.881		
CW46O	2004	2004-01-28	5	0	12.848		
CW46O	2004	2004-01-28	6	0	6.004		
CW46O	2004	2004-01-28	7	0	4.178		
CW46O	2004	2004-01-28	8	0	6.952000000000001		
CW46O	2004	2004-01-28	9	0	12.814		
CW46O	2004	2004-01-28	10	0	4.7860000000000005		
CW46O	2004	2004-01-28	11	0			
CW46O	2004	2004-01-28	12	0	3.214		
CW46O	2004	2004-01-28	13	0	4.309		
CW46O	2004	2004-01-28	14	0	3.894		
CW46O	2004	2004-01-28	15	0	4.106		
CW46O	2004	2004-01-28	16	0	3.647		
CW46O	2004	2004-01-28	17	0	3.25		
CW46O	2004	2004-01-28	18	0	3.451		
CW46O	2004	2004-01-28	19	0	3.64		
CW46O	2004	2004-01-28	20	0	4.3180000000000005		
CW46O	2004	2004-01-28	21	0	4.051		
CW46O	2004	2004-01-28	22	0	5.647		
CW46O	2004	2004-01-28	23	0	3.696		
CW46O	2004	2004-01-29	0	0	4.788	5.599	1.0
CW46O	2004	2004-01-29	1	0	5.38		0.0
CW46O	2004	2004-01-29	2	0	4.455	4.703	1.0
CW46O	2004	2004-01-29	3	0	4.0139999999999985	6.6964999999999995	2.0
CW46O	2004	2004-01-29	4	0	4.0710000000000015	4.881	1.0
CW46O	2004	2004-01-29	5	0	5.69	12.848	1.0
CW46O	2004	2004-01-29	6	0	7.622000000000001	6.004	1.0
CW46O	2004	2004-01-29	7	0	4.72	4.178	1.0
CW46O	2004	2004-01-29	8	0	4.93	6.952000000000001	1.0
CW46O	2004	2004-01-29	9	0		12.814	1.0
CW46O	2004	2004-01-29	10	0	3.654	4.7860000000000005	1.0
CW46O	2004	2004-01-29	11	0	4.067		0.0
CW46O	2004	2004-01-29	12	0	4.043	3.214	1.0
CW46O	2004	2004-01-29	13	0	4.385	4.309	1.0
CW46O	2004	2004-01-29	14	0	4.129	3.894	1.0
CW46O	2004	2004-01-29	15	0	5.401	4.106	1.0
