sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
DS932	2002	2002-09-29	0	0	9.95		
DS932	2002	2002-09-29	0	30	9.7		
DS932	2002	2002-09-29	1	0	8.8		
DS932	2002	2002-09-29	1	30	7.2		
DS932	2002	2002-09-29	2	0	6.6		
DS932	2002	2002-09-29	2	30	5.6		
DS932	2002	2002-09-29	3	0	5.4		
DS932	2002	2002-09-29	3	30	5.5		
DS932	2002	2002-09-29	4	0	5.1		
DS932	2002	2002-09-29	4	30	5.8		
DS932	2002	2002-09-29	5	0	5.5		
DS932	2002	2002-09-29	5	30	4.9		
DS932	2002	2002-09-29	6	0	4.9		
DS932	2002	2002-09-29	6	30	4.9		
DS932	2002	2002-09-29	7	0	5.4		
DS932	2002	2002-09-29	7	30	4.8		
DS932	2002	2002-09-29	8	0	5.2		
DS932	2002	2002-09-29	8	30	5.1		
DS932	2002	2002-09-29	9	0	4.9		
DS932	2002	2002-09-29	9	30	4.8		
DS932	2002	2002-09-29	10	0	4.8		
DS932	2002	2002-09-29	10	30	4.9		
DS932	2002	2002-09-29	11	0	5.6		
DS932	2002	2002-09-29	11	30	5.1		
DS932	2002	2002-09-29	12	0	5.1		
DS932	2002	2002-09-29	12	30	6.45		
DS932	2002	2002-09-29	13	0	6.65		
DS932	2002	2002-09-29	13	30	6.65		
DS932	2002	2002-09-29	14	0	6.65		
DS932	2002	2002-09-29	14	30	8.35		
DS932	2002	2002-09-29	15	0	9.35		
DS932	2002	2002-09-29	15	30	9.95		
DS932	2002	2002-09-29	16	0	10.4		
DS932	2002	2002-09-29	16	30	10.95		
DS932	2002	2002-09-29	17	0	11.25		
DS932	2002	2002-09-29	17	30	11.65		
DS932	2002	2002-09-29	18	0	11.25		
DS932	2002	2002-09-29	18	30	11.65		
DS932	2002	2002-09-29	19	0	11.95		
DS932	2002	2002-09-29	19	30	12.15		
DS932	2002	2002-09-29	20	0	12.25		
DS932	2002	2002-09-29	20	30	11.65		
DS932	2002	2002-09-29	21	0	11.85		
DS932	2002	2002-09-29	21	30	11.65		
DS932	2002	2002-09-29	22	0	11.65		
DS932	2002	2002-09-29	22	30	12.25		
DS932	2002	2002-09-29	23	0	11.45		
DS932	2002	2002-09-29	23	30	11.45		
DS932	2002	2002-09-30	0	0	11.05	9.95	1.0
DS932	2002	2002-09-30	0	30	10.25	9.7	1.0
DS932	2002	2002-09-30	1	0	9.2	8.8	1.0
DS932	2002	2002-09-30	1	30	7.2	7.2	1.0
DS932	2002	2002-09-30	2	0	6.6	6.6	1.0
DS932	2002	2002-09-30	2	30	6.2	5.6	1.0
DS932	2002	2002-09-30	3	0	6.1	5.4	1.0
DS932	2002	2002-09-30	3	30	6.6	5.5	1.0
DS932	2002	2002-09-30	4	0	5.4	5.1	1.0
DS932	2002	2002-09-30	4	30	5.5	5.8	1.0
DS932	2002	2002-09-30	5	0	5.3	5.5	1.0
DS932	2002	2002-09-30	5	30	5.5	4.9	1.0
DS932	2002	2002-09-30	6	0	5.1	4.9	1.0
DS932	2002	2002-09-30	6	30	5.1	4.9	1.0
DS932	2002	2002-09-30	7	0	4.91	5.4	1.0
DS932	2002	2002-09-30	7	30	5.6	4.8	1.0
DS932	2002	2002-09-30	8	0	6.6	5.2	1.0
DS932	2002	2002-09-30	8	30	5.3	5.1	1.0
DS932	2002	2002-09-30	9	0	5.5	4.9	1.0
DS932	2002	2002-09-30	9	30	5.5	4.8	1.0
DS932	2002	2002-09-30	10	0	5.1	4.8	1.0
DS932	2002	2002-09-30	10	30	4.9	4.9	1.0
DS932	2002	2002-09-30	11	0	5.4	5.6	1.0
DS932	2002	2002-09-30	11	30	5.1	5.1	1.0
DS932	2002	2002-09-30	12	0	5.8	5.1	1.0
DS932	2002	2002-09-30	12	30	5.4	6.45	1.0
DS932	2002	2002-09-30	13	0	6.55	6.65	1.0
DS932	2002	2002-09-30	13	30	7.65	6.65	1.0
DS932	2002	2002-09-30	14	0	8.325	6.65	1.0
DS932	2002	2002-09-30	14	30	6.65	8.35	1.0
DS932	2002	2002-09-30	15	0	6.65	9.35	1.0
DS932	2002	2002-09-30	15	30	7.25	9.95	1.0
DS932	2002	2002-09-30	16	0	8.85	10.4	1.0
DS932	2002	2002-09-30	16	30	9.25	10.95	1.0
DS932	2002	2002-09-30	17	0	9.95	11.25	1.0
DS932	2002	2002-09-30	17	30	10.05	11.65	1.0
DS932	2002	2002-09-30	18	0	9.75	11.25	1.0
DS932	2002	2002-09-30	18	30	9.65	11.65	1.0
DS932	2002	2002-09-30	19	0	9.25	11.95	1.0
DS932	2002	2002-09-30	19	30	9.75	12.15	1.0
DS932	2002	2002-09-30	20	0	9.65	12.25	1.0
DS932	2002	2002-09-30	20	30	9.85	11.65	1.0
DS932	2002	2002-09-30	21	0	9.95	11.85	1.0
DS932	2002	2002-09-30	21	30	9.95	11.65	1.0
DS932	2002	2002-09-30	22	0	9.65	11.65	1.0
DS932	2002	2002-09-30	22	30	9.7	12.25	1.0
DS932	2002	2002-09-30	23	0	9.55	11.45	1.0
DS932	2002	2002-09-30	23	30	9.25	11.45	1.0
DS932	2002	2002-10-01	0	0	9.45	10.5	2.0
DS932	2002	2002-10-01	0	30	9.2	9.975	2.0
DS932	2002	2002-10-01	1	0	4.9	9.0	2.0
DS932	2002	2002-10-01	1	30	6.6	7.2	2.0
DS932	2002	2002-10-01	2	0	6.5	6.6	2.0
DS932	2002	2002-10-01	2	30	6.5	5.9	2.0
DS932	2002	2002-10-01	3	0	6.6	5.75	2.0
DS932	2002	2002-10-01	3	30	6.6	6.05	2.0
DS932	2002	2002-10-01	4	0	6.6	5.25	2.0
DS932	2002	2002-10-01	4	30	6.6	5.65	2.0
DS932	2002	2002-10-01	5	0	6.6	5.4	2.0
DS932	2002	2002-10-01	5	30	7.3	5.2	2.0
DS932	2002	2002-10-01	6	0	6.6	5.0	2.0
DS932	2002	2002-10-01	6	30	6.2	5.0	2.0
DS932	2002	2002-10-01	7	0	6.6	5.155	2.0
DS932	2002	2002-10-01	7	30	6.4	5.199999999999999	2.0
DS932	2002	2002-10-01	8	0	6.3	5.9	2.0
DS932	2002	2002-10-01	8	30	5.9	5.199999999999999	2.0
DS932	2002	2002-10-01	9	0	6.1	5.2	2.0
DS932	2002	2002-10-01	9	30	6.3	5.15	2.0
DS932	2002	2002-10-01	10	0	5.8	4.949999999999999	2.0
DS932	2002	2002-10-01	10	30	5.6	4.9	2.0
DS932	2002	2002-10-01	11	0	5.6	5.5	2.0
DS932	2002	2002-10-01	11	30	5.3	5.1	2.0
DS932	2002	2002-10-01	12	0	4.5	5.449999999999999	2.0
DS932	2002	2002-10-01	12	30	5.65	5.925000000000001	2.0
DS932	2002	2002-10-01	13	0	4.75	6.6	2.0
DS932	2002	2002-10-01	13	30	6.55	7.15	2.0
DS932	2002	2002-10-01	14	0	5.55	7.4875	2.0
DS932	2002	2002-10-01	14	30	5.125	7.5	2.0
DS932	2002	2002-10-01	15	0	5.35	8.0	2.0
DS932	2002	2002-10-01	15	30	5.55	8.6	2.0
DS932	2002	2002-10-01	16	0	5.101	9.625	2.0
DS932	2002	2002-10-01	16	30	7.25	10.1	2.0
DS932	2002	2002-10-01	17	0	6.55	10.6	2.0
DS932	2002	2002-10-01	17	30	9.85	10.850000000000001	2.0
DS932	2002	2002-10-01	18	0	10.65	10.5	2.0
DS932	2002	2002-10-01	18	30	5.825	10.65	2.0
DS932	2002	2002-10-01	19	0	6.65	10.6	2.0
DS932	2002	2002-10-01	19	30	9.85	10.95	2.0
DS932	2002	2002-10-01	20	0	6.25	10.95	2.0
DS932	2002	2002-10-01	20	30	6.65	10.75	2.0
DS932	2002	2002-10-01	21	0	6.65	10.899999999999999	2.0
DS932	2002	2002-10-01	21	30	6.65	10.8	2.0
DS932	2002	2002-10-01	22	0	6.65	10.65	2.0
DS932	2002	2002-10-01	22	30	6.65	10.975	2.0
DS932	2002	2002-10-01	23	0	6.65	10.5	2.0
DS932	2002	2002-10-01	23	30	6.65	10.35	2.0
DS932	2002	2002-10-02	0	0	6.65	10.15	3.0
DS932	2002	2002-10-02	0	30	10.2	9.716666666666667	3.0
DS932	2002	2002-10-02	1	0	6.6	7.633333333333333	3.0
DS932	2002	2002-10-02	1	30	6.3	7.0	3.0
DS932	2002	2002-10-02	2	0	5.5	6.566666666666666	3.0
DS932	2002	2002-10-02	2	30	5.1	6.1000000000000005	3.0
DS932	2002	2002-10-02	3	0	4.8	6.033333333333334	3.0
DS932	2002	2002-10-02	3	30	5.2	6.233333333333333	3.0
DS932	2002	2002-10-02	4	0	4.6	5.7	3.0
DS932	2002	2002-10-02	4	30	5.6	5.966666666666666	3.0
DS932	2002	2002-10-02	5	0	5.2	5.8	3.0
DS932	2002	2002-10-02	5	30	5.2	5.8999999999999995	3.0
DS932	2002	2002-10-02	6	0	4.9	5.533333333333334	3.0
DS932	2002	2002-10-02	6	30	4.9	5.3999999999999995	3.0
DS932	2002	2002-10-02	7	0	6.2	5.636666666666667	3.0
DS932	2002	2002-10-02	7	30		5.599999999999999	3.0
DS932	2002	2002-10-02	8	0	6.6	6.033333333333334	3.0
DS932	2002	2002-10-02	8	30	6.5	5.433333333333333	3.0
DS932	2002	2002-10-02	9	0	6.6	5.5	3.0
DS932	2002	2002-10-02	9	30	6.6	5.533333333333334	3.0
DS932	2002	2002-10-02	10	0	5.9	5.233333333333333	3.0
DS932	2002	2002-10-02	10	30	5.6	5.133333333333334	3.0
DS932	2002	2002-10-02	11	0	5.6	5.533333333333334	3.0
DS932	2002	2002-10-02	11	30	5.4	5.166666666666667	3.0
DS932	2002	2002-10-02	12	0	5.3	5.133333333333333	3.0
DS932	2002	2002-10-02	12	30	6.45	5.833333333333333	3.0
DS932	2002	2002-10-02	13	0	8.05	5.983333333333333	3.0
DS932	2002	2002-10-02	13	30	8.75	6.95	3.0
DS932	2002	2002-10-02	14	0	9.25	6.841666666666666	3.0
DS932	2002	2002-10-02	14	30	10.1	6.708333333333333	3.0
DS932	2002	2002-10-02	15	0	9.85	7.116666666666667	3.0
DS932	2002	2002-10-02	15	30	10.25	7.583333333333333	3.0
DS932	2002	2002-10-02	16	0	9.05	8.116999999999999	3.0
DS932	2002	2002-10-02	16	30	9.95	9.15	3.0
