sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
EA036	2005	2005-01-01	0	0			
EA036	2010	2010-01-23	0	0			0.0
EA036	2010	2010-01-23	0	15	2.7		
EA036	2010	2010-01-23	0	30	2.7		
EA036	2010	2010-01-23	0	45	2.7		
EA036	2010	2010-01-23	1	0	2.8		
EA036	2010	2010-01-23	1	15	2.7		
EA036	2010	2010-01-23	1	30	2.7		
EA036	2010	2010-01-23	1	45			
EA036	2010	2010-01-23	2	0	2.8		
EA036	2010	2010-01-23	2	15	2.7		
EA036	2010	2010-01-23	2	30	2.8		
EA036	2010	2010-01-23	2	45	2.9		
EA036	2010	2010-01-23	3	0	2.8		
EA036	2010	2010-01-23	3	15	2.8		
EA036	2010	2010-01-23	3	30	2.8		
EA036	2010	2010-01-23	3	45	2.8		
EA036	2010	2010-01-23	4	0	2.7		
EA036	2010	2010-01-23	4	15	2.8		
EA036	2010	2010-01-23	4	30	2.7		
EA036	2010	2010-01-23	4	45	2.7		
EA036	2010	2010-01-23	5	0	2.7		
EA036	2010	2010-01-23	5	15	2.8		
EA036	2010	2010-01-23	5	30	2.7		
EA036	2010	2010-01-23	5	45	2.6		
EA036	2010	2010-01-23	6	0	2.4		
EA036	2010	2010-01-23	6	15	2.5		
EA036	2010	2010-01-23	6	30	2.7		
EA036	2010	2010-01-23	6	45	2.8		
EA036	2010	2010-01-23	7	0	3.0		
EA036	2010	2010-01-23	7	15	3.2		
EA036	2010	2010-01-23	7	30	3.75		
EA036	2010	2010-01-23	7	45	4.225		
EA036	2010	2010-01-23	8	0	4.462		
EA036	2010	2010-01-23	8	15			
EA036	2010	2010-01-23	8	30	4.55		
EA036	2010	2010-01-23	8	45	4.95		
EA036	2010	2010-01-23	9	0	4.85		
EA036	2010	2010-01-23	9	15			
EA036	2010	2010-01-23	9	30	4.95		
EA036	2010	2010-01-23	9	45	4.65		
EA036	2010	2010-01-23	10	0			
EA036	2010	2010-01-23	10	15	5.313		
EA036	2010	2010-01-23	10	30	4.725		
EA036	2010	2010-01-23	10	45	5.8		
EA036	2010	2010-01-23	11	0	6.25		
EA036	2010	2010-01-23	11	15	5.825		
EA036	2010	2010-01-23	11	30	4.85		
EA036	2010	2010-01-23	11	45	5.9129999999999985		
EA036	2010	2010-01-23	12	0	6.825		
EA036	2010	2010-01-23	12	15	7.05		
EA036	2010	2010-01-23	12	30	7.15		
EA036	2010	2010-01-23	12	45	6.85		
EA036	2010	2010-01-23	13	0			
EA036	2010	2010-01-23	13	15	5.25		
EA036	2010	2010-01-23	13	30	4.95		
EA036	2010	2010-01-23	13	45	5.25		
