sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
EB040	2003	2003-04-01	0	0	4.4		
EB040	2003	2003-04-01	1	0	4.6		
EB040	2003	2003-04-01	2	0	4.5		
EB040	2003	2003-04-01	3	0	4.3		
EB040	2003	2003-04-01	4	0	4.1		
EB040	2003	2003-04-01	5	0	4.1		
EB040	2003	2003-04-01	6	0	4.95		
EB040	2003	2003-04-01	7	0	5.45		
EB040	2003	2003-04-01	8	0	5.6		
EB040	2003	2003-04-01	9	0	6.05		
EB040	2003	2003-04-01	10	0	7.425		
EB040	2003	2003-04-01	11	0	6.4129999999999985		
EB040	2003	2003-04-01	12	0	7.25		
EB040	2003	2003-04-01	13	0	7.75		
EB040	2003	2003-04-01	14	0	7.95		
EB040	2003	2003-04-01	15	0	7.75		
EB040	2003	2003-04-01	16	0	7.35		
EB040	2003	2003-04-01	17	0	7.35		
EB040	2003	2003-04-01	18	0	7.05		
EB040	2003	2003-04-01	19	0	6.3		
EB040	2003	2003-04-01	20	0	6.0		
EB040	2003	2003-04-01	21	0	5.7		
EB040	2003	2003-04-01	23	0	5.2		
EB040	2003	2003-04-02	1	0	4.6	4.6	1.0
EB040	2003	2003-04-02	2	0	4.6	4.5	1.0
EB040	2003	2003-04-02	4	0	4.0	4.1	1.0
EB040	2003	2003-04-02	5	0	3.9	4.1	1.0
EB040	2003	2003-04-02	6	0	4.85	4.95	1.0
EB040	2003	2003-04-02	7	0	5.85	5.45	1.0
EB040	2003	2003-04-02	8	0	6.425	5.6	1.0
EB040	2003	2003-04-02	9	0	7.45	6.05	1.0
EB040	2003	2003-04-02	10	0	7.725	7.425	1.0
EB040	2003	2003-04-02	11	0	8.7	6.4129999999999985	1.0
EB040	2003	2003-04-02	12	0	10.25	7.25	1.0
EB040	2003	2003-04-02	13	0	10.35	7.75	1.0
EB040	2003	2003-04-02	14	0	9.75	7.95	1.0
EB040	2003	2003-04-02	15	0	9.45	7.75	1.0
EB040	2003	2003-04-02	16	0	9.85	7.35	1.0
EB040	2003	2003-04-02	17	0	9.85	7.35	1.0
EB040	2003	2003-04-02	18	0	8.75	7.05	1.0
EB040	2003	2003-04-03	0	0	5.7	4.4	1.0
EB040	2003	2003-04-03	1	0	5.6	4.6	2.0
EB040	2003	2003-04-03	3	0	5.1	4.3	1.0
EB040	2003	2003-04-03	4	0	4.7	4.05	2.0
EB040	2003	2003-04-03	7	0	6.85	5.65	2.0
EB040	2003	2003-04-03	8	0	8.05	6.012499999999999	2.0
EB040	2003	2003-04-03	9	6	8.95		
EB040	2003	2003-04-03	10	2	8.725		
EB040	2003	2003-04-03	11	0	8.6	7.556499999999999	2.0
EB040	2003	2003-04-03	12	0	9.65	8.75	2.0
EB040	2003	2003-04-03	13	0	9.35	9.05	2.0
EB040	2003	2003-04-03	14	0	9.35	8.85	2.0
EB040	2003	2003-04-03	15	0	9.05	8.6	2.0
EB040	2003	2003-04-03	16	0	8.25	8.6	2.0
EB040	2003	2003-04-03	17	0	9.05	8.6	2.0
EB040	2003	2003-04-03	18	0	9.55	7.9	2.0
EB040	2003	2003-04-03	19	0	8.5	6.3	1.0
EB040	2003	2003-04-03	20	0	7.1	6.0	1.0
EB040	2003	2003-04-03	21	0	6.6	5.7	1.0
EB040	2003	2003-04-03	22	0	5.3		
EB040	2003	2003-04-03	23	0	5.4	5.2	1.0
EB040	2003	2003-04-04	0	0	4.9	5.050000000000001	2.0
EB040	2003	2003-04-04	1	0	4.9	4.933333333333333	3.0
EB040	2003	2003-04-04	2	0	4.7	4.55	2.0
EB040	2003	2003-04-04	3	0	4.5	4.699999999999999	2.0
EB040	2003	2003-04-04	4	0	4.4	4.266666666666667	3.0
EB040	2003	2003-04-04	5	0	4.0	4.0	2.0
EB040	2003	2003-04-04	6	0	5.25	4.9	2.0
EB040	2003	2003-04-04	8	0	7.05	6.691666666666666	3.0
EB040	2003	2003-04-04	9	0	7.2	6.75	2.0
EB040	2003	2003-04-04	10	0	8.75	7.574999999999999	2.0
EB040	2003	2003-04-04	11	0	10.35	7.904333333333333	3.0
EB040	2003	2003-04-04	12	0	11.45	9.049999999999999	3.0
EB040	2003	2003-04-04	13	0	11.25	9.15	3.0
EB040	2003	2003-04-04	14	0	10.05	9.016666666666666	3.0
EB040	2003	2003-04-04	15	0	10.05	8.75	3.0
EB040	2003	2003-04-04	16	0	10.55	8.483333333333333	3.0
EB040	2003	2003-04-04	17	0	10.85	8.75	3.0
EB040	2003	2003-04-04	18	0	10.55	8.450000000000001	3.0
EB040	2003	2003-04-04	19	0	9.4	7.4	2.0
EB040	2003	2003-04-04	20	0	6.4	6.55	2.0
EB040	2003	2003-04-04	21	0	5.7	6.15	2.0
EB040	2003	2003-04-04	22	0	5.4	5.3	1.0
EB040	2003	2003-04-04	23	0	5.0	5.300000000000001	2.0
EB040	2003	2003-04-05	0	0	5.0	5.000000000000001	3.0
EB040	2003	2003-04-05	1	0	5.0	4.925	4.0
EB040	2003	2003-04-05	2	0	5.0	4.6000000000000005	3.0
EB040	2003	2003-04-05	3	0	4.3	4.633333333333333	3.0
EB040	2003	2003-04-05	4	0	3.6	4.300000000000001	4.0
EB040	2003	2003-04-05	5	0	3.2	4.0	3.0
EB040	2003	2003-04-05	6	0	5.05	5.016666666666667	3.0
EB040	2003	2003-04-05	7	0	6.65	6.05	3.0
EB040	2003	2003-04-05	8	0	7.85	6.78125	4.0
EB040	2003	2003-04-05	9	0	7.825	6.8999999999999995	3.0
EB040	2003	2003-04-05	10	0	9.45	7.966666666666666	3.0
EB040	2003	2003-04-05	11	0	9.25	8.515749999999999	4.0
EB040	2003	2003-04-05	12	0	10.35	9.649999999999999	4.0
EB040	2003	2003-04-05	13	0	10.925	9.675	4.0
EB040	2003	2003-04-05	14	0	10.25	9.274999999999999	4.0
EB040	2003	2003-04-05	15	0	10.225	9.075	4.0
EB040	2003	2003-04-05	16	0	10.05	9.0	4.0
EB040	2003	2003-04-05	17	0	10.725	9.275	4.0
EB040	2003	2003-04-05	18	0	10.35	8.975000000000001	4.0
EB040	2003	2003-04-06	0	0	6.3	5.0	4.0
EB040	2003	2003-04-06	2	0	5.9	4.7	4.0
EB040	2003	2003-04-06	3	0	5.7	4.55	4.0
EB040	2003	2003-04-06	4	0	5.3	4.160000000000001	5.0
EB040	2003	2003-04-06	5	0	4.8	3.8	4.0
EB040	2003	2003-04-06	7	0	6.85	6.199999999999999	4.0
EB040	2003	2003-04-06	8	0	7.35	6.995	5.0
EB040	2003	2003-04-06	9	0	7.25	7.13125	4.0
EB040	2003	2003-04-06	10	0	7.75	8.337499999999999	4.0
EB040	2003	2003-04-06	11	0	8.45	8.6626	5.0
EB040	2003	2003-04-06	13	0	10.225	9.925	5.0
EB040	2003	2003-04-06	14	0	9.75	9.469999999999999	5.0
EB040	2003	2003-04-06	15	0	9.75	9.305	5.0
EB040	2003	2003-04-06	16	0	9.55	9.209999999999999	5.0
EB040	2003	2003-04-06	17	0	10.05	9.565000000000001	5.0
EB040	2003	2003-04-06	18	0	10.05	9.250000000000002	5.0
EB040	2003	2003-04-06	20	0	7.6	6.5	3.0
EB040	2003	2003-04-07	7	0	6.15	6.33	5.0
EB040	2003	2003-04-07	8	0	6.75	7.054166666666667	6.0
EB040	2003	2003-04-07	9	0	7.55	7.154999999999999	5.0
EB040	2003	2003-04-07	10	0	8.85	8.219999999999999	5.0
EB040	2003	2003-04-07	11	0	10.15	8.627166666666666	6.0
EB040	2003	2003-04-07	12	0	9.95	9.79	5.0
EB040	2003	2003-04-07	13	0	10.325	9.975	6.0
EB040	2003	2003-04-07	14	0	10.225	9.516666666666666	6.0
EB040	2003	2003-04-07	15	0	10.65	9.379166666666666	6.0
EB040	2003	2003-04-07	16	0	10.6	9.266666666666666	6.0
EB040	2003	2003-04-07	17	0	10.713	9.645833333333334	6.0
EB040	2003	2003-04-07	18	0	10.5	9.383333333333335	6.0
EB040	2003	2003-04-07	19	0	9.4	8.066666666666668	3.0
EB040	2003	2003-04-07	20	0	8.1	6.775	4.0
EB040	2003	2003-04-07	21	0	6.1	6.0	3.0
EB040	2003	2003-04-07	22	0	5.6	5.35	2.0
EB040	2003	2003-04-07	23	0	5.4	5.2	3.0
EB040	2003	2003-04-08	0	0	5.4	5.26	5.0
EB040	2003	2003-04-08	1	0	5.3	4.9399999999999995	5.0
EB040	2003	2003-04-08	2	0	5.0	4.94	5.0
EB040	2003	2003-04-08	3	0	5.1	4.779999999999999	5.0
EB040	2003	2003-04-08	4	0	5.0	4.3500000000000005	6.0
EB040	2003	2003-04-08	5	0	4.8	4.0	5.0
EB040	2003	2003-04-08	6	0	5.725	5.025	4.0
EB040	2003	2003-04-08	7	0	7.75	6.3	6.0
EB040	2003	2003-04-08	8	0	8.75	7.010714285714286	7.0
EB040	2003	2003-04-08	9	0	10.45	7.220833333333332	6.0
EB040	2003	2003-04-08	10	0	11.35	8.325	6.0
EB040	2003	2003-04-08	11	0	11.35	8.844714285714284	7.0
EB040	2003	2003-04-08	12	0	9.95	9.816666666666665	6.0
EB040	2003	2003-04-08	13	0	11.65	10.025	7.0
EB040	2003	2003-04-08	14	0	11.95	9.617857142857142	7.0
EB040	2003	2003-04-08	15	0	11.75	9.560714285714285	7.0
EB040	2003	2003-04-08	16	0	11.65	9.457142857142856	7.0
EB040	2003	2003-04-08	17	0	11.7	9.798285714285713	7.0
EB040	2003	2003-04-08	18	0	11.25	9.542857142857144	7.0
EB040	2003	2003-04-08	19	0	9.9	8.4	4.0
EB040	2003	2003-04-08	20	0	7.3	7.040000000000001	5.0
EB040	2003	2003-04-08	21	0	7.0	6.025	4.0
EB040	2003	2003-04-08	22	0	6.2	5.433333333333333	3.0
EB040	2003	2003-04-08	23	0	5.9	5.25	4.0
EB040	2003	2003-04-09	0	0	5.7	5.283333333333334	6.0
EB040	2003	2003-04-09	1	0	5.5	5.0	6.0
EB040	2003	2003-04-09	2	0	5.2	4.95	6.0
EB040	2003	2003-04-09	3	0	4.9	4.833333333333333	6.0
EB040	2003	2003-04-09	4	0	4.8	4.442857142857144	7.0
EB040	2003	2003-04-09	5	0	4.7	4.133333333333334	6.0
EB040	2003	2003-04-09	6	0	6.35	5.165000000000001	5.0
EB040	2003	2003-04-09	9	20	9.45		
EB040	2003	2003-04-09	10	0	9.9	8.757142857142856	7.0
EB040	2003	2003-04-09	13	0	8.85	10.228125	8.0
EB040	2003	2003-04-09	14	5	9.05		
EB040	2003	2003-04-09	15	0	9.35	9.834375	8.0
EB040	2003	2003-04-09	17	0	10.35	10.036	8.0
EB040	2003	2003-04-10	10	44	9.25		
EB040	2003	2003-04-10	13	17	11.15		
EB040	2003	2003-04-10	16	5	10.45		
EB040	2003	2003-04-10	17	0	9.65	10.070888888888888	9.0
EB040	2003	2003-04-10	20	0	9.8	7.083333333333333	6.0
EB040	2003	2003-04-10	21	0	7.2	6.220000000000001	5.0
EB040	2003	2003-04-10	22	0	6.1	5.624999999999999	4.0
EB040	2003	2003-04-10	23	0	5.8	5.38	5.0
EB040	2003	2003-04-11	0	0	5.4	5.342857142857143	7.0
EB040	2003	2003-04-11	1	0	4.9	5.071428571428571	7.0
EB040	2003	2003-04-11	2	0	4.6	4.985714285714287	7.0
EB040	2003	2003-04-11	3	0	4.6	4.8428571428571425	7.0
EB040	2003	2003-04-11	4	0	4.4	4.487500000000001	8.0
EB040	2003	2003-04-11	5	0	4.3	4.214285714285714	7.0
EB040	2003	2003-04-11	6	0	5.85	5.362500000000001	6.0
EB040	2003	2003-04-11	7	0	5.95	6.507142857142857	7.0
EB040	2003	2003-04-11	8	0	7.525	7.228125	8.0
EB040	2003	2003-04-11	9	0	6.25	7.682142857142856	7.0
EB040	2003	2003-04-11	10	0	5.625	8.9	8.0
EB040	2003	2003-04-11	11	0	6.15	9.157874999999999	8.0
EB040	2003	2003-04-11	12	0	6.75	9.835714285714285	7.0
