sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
GH64L	2004	2004-10-03	0	0	5.8370000000000015		
GH64L	2004	2004-10-03	1	0	6.375		
GH64L	2004	2004-10-03	2	0	5.982		
GH64L	2004	2004-10-03	3	0	6.1370000000000005		
GH64L	2004	2004-10-03	5	0	6.0470000000000015		
GH64L	2004	2004-10-03	6	0	6.147		
GH64L	2004	2004-10-03	7	0	6.181		
GH64L	2004	2004-10-03	8	0	7.0120000000000005		
GH64L	2004	2004-10-03	9	0	5.634		
GH64L	2004	2004-10-03	10	0	4.137		
GH64L	2004	2004-10-03	11	0	5.85		
GH64L	2004	2004-10-03	12	0	3.925		
GH64L	2004	2004-10-03	14	0	4.027		
GH64L	2004	2004-10-03	15	0	4.099		
GH64L	2004	2004-10-03	16	0	4.256		
GH64L	2004	2004-10-03	17	0	3.908		
GH64L	2004	2004-10-03	18	0	4.243		
GH64L	2004	2004-10-03	19	0	4.288		
GH64L	2004	2004-10-03	20	0	5.2010000000000005		
GH64L	2004	2004-10-03	21	0	5.1		
GH64L	2004	2004-10-03	22	0	4.376		
GH64L	2004	2004-10-04	0	0	4.769	5.8370000000000015	1.0
GH64L	2004	2004-10-04	1	0	5.747000000000001	6.375	1.0
GH64L	2004	2004-10-04	2	0	5.777	5.982	1.0
GH64L	2004	2004-10-04	3	0	5.3870000000000005	6.1370000000000005	1.0
GH64L	2004	2004-10-04	4	0	5.5760000000000005		
GH64L	2004	2004-10-04	5	0	5.061	6.0470000000000015	1.0
GH64L	2004	2004-10-04	7	0	5.158	6.181	1.0
GH64L	2004	2004-10-04	8	0	6.584	7.0120000000000005	1.0
GH64L	2004	2004-10-04	9	0	5.534	5.634	1.0
GH64L	2004	2004-10-04	10	0	4.685	4.137	1.0
GH64L	2004	2004-10-04	11	0	5.2029999999999985	5.85	1.0
GH64L	2004	2004-10-04	12	0	5.311	3.925	1.0
GH64L	2004	2004-10-04	13	0	5.496		
GH64L	2004	2004-10-04	14	0	4.459	4.027	1.0
GH64L	2004	2004-10-04	15	0	4.499	4.099	1.0
GH64L	2004	2004-10-04	16	0	5.475	4.256	1.0
GH64L	2004	2004-10-04	17	0	3.625	3.908	1.0
GH64L	2004	2004-10-04	18	0	4.743	4.243	1.0
GH64L	2004	2004-10-04	19	0	5.895	4.288	1.0
GH64L	2004	2004-10-04	20	0	6.095	5.2010000000000005	1.0
GH64L	2004	2004-10-04	21	0	6.6370000000000005	5.1	1.0
GH64L	2004	2004-10-04	22	0	7.926	4.376	1.0
GH64L	2004	2004-10-04	23	0	7.035		
GH64L	2004	2004-10-05	0	0	8.279	5.303000000000001	2.0
GH64L	2004	2004-10-05	1	0	7.77	6.061	2.0
GH64L	2004	2004-10-05	2	0	8.179	5.8795	2.0
GH64L	2004	2004-10-05	3	0	7.809	5.7620000000000005	2.0
GH64L	2004	2004-10-05	4	0	7.195	5.5760000000000005	1.0
GH64L	2004	2004-10-05	5	0		5.554	2.0
GH64L	2004	2004-10-05	7	0	7.103	5.6695	2.0
GH64L	2004	2004-10-05	8	0	5.9929999999999986	6.798	2.0
GH64L	2004	2004-10-05	9	0	5.813	5.584	2.0
GH64L	2004	2004-10-05	10	0	5.104	4.411	2.0
GH64L	2004	2004-10-05	11	0	4.945	5.526499999999999	2.0
GH64L	2004	2004-10-05	12	0	4.008	4.618	2.0
GH64L	2004	2004-10-05	23	0	7.4129999999999985	7.035	1.0
GH64L	2004	2004-10-06	0	0	7.226	6.295000000000001	3.0
GH64L	2004	2004-10-06	1	0	7.3820000000000014	6.6306666666666665	3.0
GH64L	2004	2004-10-06	4	0	7.451	6.3855	2.0
GH64L	2004	2004-10-06	5	0	7.099	5.554	2.0
GH64L	2004	2004-10-06	7	0	6.965	6.147333333333333	3.0
GH64L	2004	2004-10-06	8	0	6.7810000000000015	6.5296666666666665	3.0
GH64L	2004	2004-10-06	9	0	5.935	5.660333333333333	3.0
GH64L	2004	2004-10-06	10	0	5.365	4.6419999999999995	3.0
GH64L	2004	2004-10-06	11	0	5.332000000000002	5.3326666666666656	3.0
GH64L	2004	2004-10-06	12	0	5.134	4.414666666666666	3.0
GH64L	2004	2004-10-06	13	0	4.975	5.496	1.0
GH64L	2004	2004-10-06	14	0	4.649	4.243	2.0
GH64L	2004	2004-10-06	15	0	4.751	4.2989999999999995	2.0
GH64L	2004	2004-10-06	16	0	3.967	4.8655	2.0
GH64L	2004	2004-10-06	17	0	3.279	3.7664999999999997	2.0
GH64L	2004	2004-10-06	18	0	3.957	4.493	2.0
GH64L	2004	2004-10-06	19	0	5.63	5.0915	2.0
GH64L	2004	2004-10-06	21	0	6.621	5.8685	2.0
GH64L	2004	2004-10-06	22	0	7.586	6.151	2.0
GH64L	2004	2004-10-06	23	0	7.417999999999997	7.223999999999999	2.0
GH64L	2004	2004-10-07	0	0	7.6320000000000014	6.52775	4.0
GH64L	2004	2004-10-07	1	0	7.822	6.8185	4.0
GH64L	2004	2004-10-07	2	0	7.9220000000000015	6.646000000000001	3.0
GH64L	2004	2004-10-07	3	0	7.459	6.444333333333334	3.0
GH64L	2004	2004-10-07	4	0	6.988	6.740666666666667	3.0
GH64L	2004	2004-10-07	5	0	7.673999999999999	6.069	3.0
GH64L	2004	2004-10-07	7	0	8.277000000000001	6.35175	4.0
GH64L	2004	2004-10-07	8	0	7.246	6.5925	4.0
GH64L	2004	2004-10-07	9	0	6.843	5.728999999999999	4.0
GH64L	2004	2004-10-07	10	0	5.885	4.822749999999999	4.0
GH64L	2004	2004-10-07	11	0	5.733	5.3325	4.0
GH64L	2004	2004-10-07	12	0	5.093	4.5945	4.0
GH64L	2004	2004-10-07	13	0	5.852	5.2355	2.0
GH64L	2004	2004-10-07	14	0	4.578	4.378333333333334	3.0
GH64L	2004	2004-10-07	15	0	4.258	4.449666666666666	3.0
