sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
GM037	2016	2016-07-05	17	45	5.5		
GM037	2016	2016-07-06	17	45		5.5	1.0
GM037	2016	2016-07-07	17	45	5.7	5.5	1.0
GM037	2016	2016-07-08	17	45	5.6	5.6	2.0
GM037	2016	2016-07-09	17	45	6.5	5.599999999999999	3.0
GM037	2016	2016-07-10	17	45	7.0	5.824999999999999	4.0
GM037	2016	2016-07-11	17	45		6.06	5.0
GM037	2016	2016-07-12	17	45	6.0	6.06	5.0
GM037	2016	2016-07-13	17	45	7.7	6.05	6.0
GM037	2016	2016-07-14	17	45	6.9	6.285714285714286	7.0
GM037	2016	2016-07-15	17	45		6.3625	8.0
GM037	2016	2016-07-16	17	45		6.3625	8.0
GM037	2016	2016-07-17	17	45	6.7	6.3625	8.0
GM037	2016	2016-07-18	17	45	8.2	6.4	9.0
GM037	2016	2016-07-19	17	45	5.4	6.58	10.0
GM037	2016	2016-07-20	17	45		6.472727272727273	11.0
GM037	2016	2016-07-21	17	45	5.4	6.57	10.0
GM037	2016	2016-07-22	17	45	8.2	6.463636363636365	11.0
GM037	2016	2016-07-23	17	45	4.8	6.690909090909091	11.0
GM037	2016	2016-07-24	17	45	5.9	6.618181818181819	11.0
GM037	2016	2016-07-25	17	45	5.9	6.563636363636365	11.0
GM037	2016	2016-07-26	17	45	7.7	6.463636363636366	11.0
GM037	2016	2016-07-27	17	45		6.566666666666669	12.0
GM037	2016	2016-07-28	17	45	6.9	6.618181818181821	11.0
GM037	2016	2016-07-29	17	45		6.545454545454548	11.0
GM037	2016	2016-07-30	17	45	5.5	6.5100000000000025	10.0
GM037	2016	2016-07-31	17	45	5.9	6.418181818181821	11.0
GM037	2016	2016-08-01	17	45		6.375000000000003	12.0
GM037	2016	2016-08-02	17	45	7.3	6.3454545454545475	11.0
GM037	2016	2016-08-03	17	45		6.2636363636363654	11.0
GM037	2016	2016-08-04	17	45		6.350000000000002	10.0
GM037	2016	2016-08-05	17	45	6.0	6.350000000000002	10.0
GM037	2016	2016-08-06	17	45	5.9	6.410000000000002	10.0
GM037	2016	2016-08-07	17	45	7.2	6.180000000000002	10.0
GM037	2016	2016-08-08	17	45	6.0	6.4200000000000035	10.0
GM037	2016	2016-08-09	17	45	6.2	6.430000000000002	10.0
GM037	2016	2016-08-10	17	45	5.3	6.460000000000003	10.0
GM037	2016	2016-08-11	17	45		6.2200000000000015	10.0
GM037	2016	2016-08-12	17	45	6.1	6.2200000000000015	10.0
GM037	2016	2016-08-13	17	45	6.4	6.1400000000000015	10.0
GM037	2016	2016-08-14	17	45		6.163636363636365	11.0
GM037	2016	2016-08-15	17	45	6.5	6.230000000000001	10.0
GM037	2016	2016-08-16	17	45	7.3	6.290000000000001	10.0
GM037	2016	2016-08-17	17	45	6.3	6.381818181818184	11.0
GM037	2016	2016-08-18	17	45	6.2	6.290909090909093	11.0
GM037	2016	2016-08-19	17	45	6.3	6.283333333333335	12.0
GM037	2016	2016-08-20	17	45	5.2	6.284615384615386	13.0
GM037	2016	2016-08-21	17	45	7.0	6.223076923076925	13.0
GM037	2016	2016-08-22	17	45	6.6	6.307692307692308	13.0
GM037	2016	2016-08-23	17	45		6.261538461538462	13.0
GM037	2016	2016-08-24	17	45	5.2	6.283333333333334	12.0
GM037	2016	2016-08-25	17	45		6.2	12.0
GM037	2016	2016-08-26	17	45	7.8	6.281818181818182	11.0
GM037	2016	2016-08-27	17	45	7.4	6.408333333333334	12.0
GM037	2016	2016-08-28	17	45	7.7	6.516666666666668	12.0
GM037	2016	2016-08-29	17	45	7.9	6.625000000000001	12.0
GM037	2016	2016-08-30	17	45		6.723076923076925	13.0
GM037	2016	2016-08-31	17	45	8.0	6.741666666666668	12.0
GM037	2016	2016-09-01	17	45	7.0	6.800000000000002	12.0
GM037	2016	2016-09-02	17	45		6.858333333333335	12.0
GM037	2016	2016-09-03	17	45	5.6	6.918181818181821	11.0
GM037	2016	2016-09-04	17	45	5.4	6.854545454545456	11.0
GM037	2016	2016-09-05	17	45	6.6	6.872727272727275	11.0
GM037	2016	2016-09-06	17	45		6.836363636363638	11.0
GM037	2016	2016-09-07	17	45	6.5	6.860000000000002	10.0
GM037	2016	2016-09-08	17	45	6.9	6.827272727272729	11.0
GM037	2016	2016-09-09	17	45	6.3	6.981818181818184	11.0
GM037	2016	2016-10-05	17	45	5.2	6.925000000000002	12.0
GM037	2016	2016-10-06	17	45	6.1	6.708333333333336	12.0
GM037	2016	2016-10-07	17	45	4.9	6.600000000000001	12.0
GM037	2016	2016-10-08	17	45	3.9	6.366666666666668	12.0
GM037	2016	2016-10-09	17	45	4.2	6.033333333333335	12.0
GM037	2016	2016-10-10	17	45	5.3	5.8923076923076945	13.0
GM037	2016	2016-10-11	17	45	4.8	5.684615384615386	13.0
GM037	2016	2016-10-12	17	45		5.515384615384617	13.0
GM037	2016	2016-10-13	17	45	5.2	5.515384615384617	13.0
GM037	2016	2016-10-14	17	45	4.0	5.4846153846153864	13.0
GM037	2016	2016-10-15	17	45	3.8	5.376923076923078	13.0
GM037	2016	2016-10-16	17	45	3.4	5.161538461538464	13.0
GM037	2016	2016-10-17	17	45	3.4	5.035714285714287	14.0
GM037	2016	2016-10-18	17	45	3.6	4.814285714285717	14.0
GM037	2016	2016-10-19	17	45	2.3	4.57857142857143	14.0
GM037	2016	2016-10-20	17	45	3.6	4.2928571428571445	14.0
GM037	2016	2016-10-21	17	45	3.6	4.17857142857143	14.0
GM037	2016	2016-10-22	17	45		4.000000000000002	14.0
GM037	2016	2016-10-23	17	45	3.9	3.9307692307692323	13.0
GM037	2016	2016-10-24	17	45	5.3	3.9307692307692323	13.0
GM037	2016	2016-10-25	17	45	4.2	4.015384615384617	13.0
GM037	2016	2016-10-26	17	45	4.4	3.9307692307692323	13.0
