sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
GU421	2010	2010-01-22	0	0	4.8		
GU421	2010	2010-01-22	1	0	5.8		
GU421	2010	2010-01-22	2	0	6.8		
GU421	2010	2010-01-22	3	0	8.3		
GU421	2010	2010-01-22	4	0	8.8		
GU421	2010	2010-01-22	5	0	10.6		
GU421	2010	2010-01-22	6	0	11.2		
GU421	2010	2010-01-22	7	0	10.6		
GU421	2010	2010-01-22	8	0	9.8		
GU421	2010	2010-01-22	9	0	9.4		
GU421	2010	2010-01-22	10	0	6.5		
GU421	2010	2010-01-22	11	0	4.1		
GU421	2010	2010-01-22	12	0	3.3		
GU421	2010	2010-01-22	13	0	3.2		
GU421	2010	2010-01-22	14	0	2.3		
GU421	2010	2010-01-22	15	0	2.2		
GU421	2010	2010-01-22	16	0	2.3		
GU421	2010	2010-01-22	17	0	2.1		
GU421	2010	2010-01-22	18	0	2.6		
GU421	2010	2010-01-22	19	0	2.8		
GU421	2010	2010-01-22	20	0	2.2		
GU421	2010	2010-01-22	21	0	3.0		
GU421	2010	2010-01-22	22	0	2.1		
GU421	2010	2010-01-22	23	0	2.7		
GU421	2010	2010-01-23	0	0	4.9	4.8	1.0
GU421	2010	2010-01-23	1	0	5.4	5.8	1.0
GU421	2010	2010-01-23	2	0	6.0	6.8	1.0
GU421	2010	2010-01-23	3	0	5.9	8.3	1.0
GU421	2010	2010-01-23	4	0	7.0	8.8	1.0
GU421	2010	2010-01-23	5	0	8.6	10.6	1.0
GU421	2010	2010-01-23	6	0	11.5	11.2	1.0
GU421	2010	2010-01-23	7	0	12.6	10.6	1.0
GU421	2010	2010-01-23	8	0	13.2	9.8	1.0
GU421	2010	2010-01-23	9	0	12.0	9.4	1.0
GU421	2010	2010-01-23	10	0	10.9	6.5	1.0
GU421	2010	2010-01-23	11	0	8.4	4.1	1.0
GU421	2010	2010-01-23	12	0	5.8	3.3	1.0
GU421	2010	2010-01-23	13	0	5.7	3.2	1.0
GU421	2010	2010-01-23	14	0	2.5	2.3	1.0
GU421	2010	2010-01-23	15	0	3.9	2.2	1.0
GU421	2010	2010-01-23	16	0	2.6	2.3	1.0
GU421	2010	2010-01-23	17	0	2.2	2.1	1.0
GU421	2010	2010-01-23	18	0	2.2	2.6	1.0
GU421	2010	2010-01-23	19	0	2.4	2.8	1.0
GU421	2010	2010-01-23	20	0	2.7	2.2	1.0
GU421	2010	2010-01-23	21	0	2.1	3.0	1.0
GU421	2010	2010-01-23	22	0	2.3	2.1	1.0
GU421	2010	2010-01-23	23	0	3.0	2.7	1.0
GU421	2010	2010-01-24	0	0	6.4	4.85	2.0
GU421	2010	2010-01-24	1	0	6.4	5.6	2.0
GU421	2010	2010-01-24	2	0	5.7	6.4	2.0
GU421	2010	2010-01-24	3	0	5.4	7.1000000000000005	2.0
GU421	2010	2010-01-24	4	0	8.5	7.9	2.0
GU421	2010	2010-01-24	5	0	11.9	9.6	2.0
GU421	2010	2010-01-24	6	0	11.3	11.35	2.0
GU421	2010	2010-01-24	7	0	11.2	11.6	2.0
GU421	2010	2010-01-24	8	0	10.7	11.5	2.0
GU421	2010	2010-01-24	9	0	10.1	10.7	2.0
GU421	2010	2010-01-24	10	0	8.9	8.7	2.0
GU421	2010	2010-01-24	11	0	5.7	6.25	2.0
GU421	2010	2010-01-24	12	0	3.3	4.55	2.0
GU421	2010	2010-01-24	13	0	4.7	4.45	2.0
GU421	2010	2010-01-24	14	0	2.4	2.4	2.0
GU421	2010	2010-01-24	15	0	2.7	3.05	2.0
GU421	2010	2010-01-24	16	0	2.3	2.45	2.0
GU421	2010	2010-01-24	17	0	2.5	2.1500000000000004	2.0
GU421	2010	2010-01-24	18	0	2.3	2.4000000000000004	2.0
GU421	2010	2010-01-24	19	0	3.0	2.5999999999999996	2.0
GU421	2010	2010-01-24	20	0	2.8	2.45	2.0
GU421	2010	2010-01-24	21	0	1.8	2.55	2.0
GU421	2010	2010-01-24	22	0	1.5	2.2	2.0
GU421	2010	2010-01-24	23	0	2.7	2.85	2.0
GU421	2010	2010-01-25	0	0	5.5	5.366666666666667	3.0
GU421	2010	2010-01-25	1	0	6.1	5.866666666666667	3.0
GU421	2010	2010-01-25	2	0	6.6	6.166666666666667	3.0
GU421	2010	2010-01-25	3	0	6.3	6.533333333333334	3.0
GU421	2010	2010-01-25	4	0	8.0	8.1	3.0
GU421	2010	2010-01-25	5	0	8.7	10.366666666666667	3.0
GU421	2010	2010-01-25	6	0	11.0	11.333333333333334	3.0
GU421	2010	2010-01-25	7	0	11.0	11.466666666666667	3.0
GU421	2010	2010-01-25	8	0	10.6	11.233333333333334	3.0
GU421	2010	2010-01-25	9	0	11.2	10.5	3.0
GU421	2010	2010-01-25	10	0	9.1	8.766666666666666	3.0
GU421	2010	2010-01-25	11	0	7.8	6.066666666666666	3.0
GU421	2010	2010-01-25	12	0	6.4	4.133333333333333	3.0
GU421	2010	2010-01-25	13	0	5.9	4.533333333333334	3.0
GU421	2010	2010-01-25	14	0	3.9	2.4	3.0
GU421	2010	2010-01-25	15	0	3.2	2.9333333333333336	3.0
GU421	2010	2010-01-25	16	0	2.5	2.4	3.0
GU421	2010	2010-01-25	17	0	2.5	2.266666666666667	3.0
GU421	2010	2010-01-25	18	0	2.4	2.3666666666666667	3.0
GU421	2010	2010-01-25	19	0	2.4	2.733333333333333	3.0
GU421	2010	2010-01-25	20	0	2.9	2.566666666666667	3.0
GU421	2010	2010-01-25	21	0	2.8	2.3	3.0
GU421	2010	2010-01-25	22	0	1.8	1.9666666666666668	3.0
GU421	2010	2010-01-25	23	0	2.7	2.8000000000000003	3.0
GU421	2010	2010-01-26	0	0	4.9	5.4	4.0
GU421	2010	2010-01-26	1	0	5.5	5.925000000000001	4.0
GU421	2010	2010-01-26	2	0	5.9	6.275	4.0
GU421	2010	2010-01-26	3	0	8.3	6.4750000000000005	4.0
GU421	2010	2010-01-26	4	0	8.9	8.075	4.0
GU421	2010	2010-01-26	5	0	13.0	9.95	4.0
GU421	2010	2010-01-26	6	0	11.7	11.25	4.0
GU421	2010	2010-01-26	7	0	11.4	11.35	4.0
GU421	2010	2010-01-26	8	0	11.2	11.075000000000001	4.0
GU421	2010	2010-01-26	9	0	12.2	10.675	4.0
GU421	2010	2010-01-26	10	0	10.4	8.85	4.0
GU421	2010	2010-01-26	11	0	5.8	6.5	4.0
GU421	2010	2010-01-26	12	0	4.9	4.699999999999999	4.0
GU421	2010	2010-01-26	13	0	3.7	4.875	4.0
GU421	2010	2010-01-26	14	0	5.2	2.775	4.0
GU421	2010	2010-01-26	15	0	4.2	3.0	4.0
GU421	2010	2010-01-26	16	0	4.0	2.425	4.0
GU421	2010	2010-01-26	17	0	4.1	2.325	4.0
GU421	2010	2010-01-26	18	0	2.6	2.375	4.0
GU421	2010	2010-01-26	19	0	2.9	2.65	4.0
GU421	2010	2010-01-26	20	0	2.9	2.65	4.0
GU421	2010	2010-01-26	21	0	2.3	2.425	4.0
GU421	2010	2010-01-26	22	0	2.0	1.925	4.0
GU421	2010	2010-01-26	23	0	2.8	2.7750000000000004	4.0
GU421	2010	2010-01-27	0	0	5.6	5.3	5.0
GU421	2010	2010-01-27	1	0	6.1	5.840000000000001	5.0
GU421	2010	2010-01-27	2	0	5.8	6.2	5.0
GU421	2010	2010-01-27	3	0	6.5	6.840000000000001	5.0
GU421	2010	2010-01-27	4	0	6.8	8.239999999999998	5.0
GU421	2010	2010-01-27	5	0	8.8	10.559999999999999	5.0
GU421	2010	2010-01-27	6	0	10.7	11.34	5.0
GU421	2010	2010-01-27	7	0	11.9	11.36	5.0
GU421	2010	2010-01-27	8	0	10.8	11.1	5.0
GU421	2010	2010-01-27	9	0	10.6	10.98	5.0
GU421	2010	2010-01-27	10	0	8.1	9.16	5.0
GU421	2010	2010-01-27	11	0	5.6	6.36	5.0
GU421	2010	2010-01-27	12	0	5.2	4.739999999999999	5.0
GU421	2010	2010-01-27	13	0	5.1	4.64	5.0
GU421	2010	2010-01-27	14	0	3.7	3.2600000000000002	5.0
GU421	2010	2010-01-27	15	0	2.6	3.2399999999999998	5.0
GU421	2010	2010-01-27	16	0	2.7	2.7399999999999998	5.0
GU421	2010	2010-01-27	17	0	2.2	2.68	5.0
GU421	2010	2010-01-27	18	0	2.4	2.42	5.0
GU421	2010	2010-01-27	19	0	3.0	2.7	5.0
GU421	2010	2010-01-27	20	0	2.6	2.7	5.0
GU421	2010	2010-01-27	21	0	1.6	2.4	5.0
GU421	2010	2010-01-27	22	0	1.6	1.94	5.0
GU421	2010	2010-01-27	23	0	2.7	2.7800000000000002	5.0
GU421	2010	2010-01-28	0	0	5.3	5.3500000000000005	6.0
GU421	2010	2010-01-28	1	0	5.3	5.883333333333334	6.0
GU421	2010	2010-01-28	2	0	5.6	6.133333333333333	6.0
GU421	2010	2010-01-28	3	0	5.7	6.783333333333334	6.0
GU421	2010	2010-01-28	4	0	7.0	7.999999999999999	6.0
GU421	2010	2010-01-28	5	0	7.5	10.266666666666666	6.0
GU421	2010	2010-01-28	6	0	9.0	11.233333333333334	6.0
GU421	2010	2010-01-28	7	0	11.0	11.450000000000001	6.0
GU421	2010	2010-01-28	8	0	10.6	11.049999999999999	6.0
GU421	2010	2010-01-28	9	0	9.1	10.916666666666666	6.0
GU421	2010	2010-01-28	10	0	7.2	8.983333333333333	6.0
GU421	2010	2010-01-28	11	0	5.3	6.233333333333333	6.0
GU421	2010	2010-01-28	12	0	5.2	4.8166666666666655	6.0
GU421	2010	2010-01-28	13	0	5.8	4.716666666666666	6.0
GU421	2010	2010-01-28	14	0	4.8	3.3333333333333335	6.0
GU421	2010	2010-01-28	15	0	4.2	3.1333333333333333	6.0
GU421	2010	2010-01-28	16	0	3.1	2.733333333333333	6.0
GU421	2010	2010-01-28	17	0	2.4	2.6	6.0
GU421	2010	2010-01-28	18	0	2.6	2.4166666666666665	6.0
GU421	2010	2010-01-28	20	0	2.9	2.6833333333333336	6.0
GU421	2010	2010-01-28	21	0	2.7	2.2666666666666666	6.0
GU421	2010	2010-01-28	22	0	2.1	1.883333333333333	6.0
GU421	2010	2010-01-28	23	0	2.7	2.766666666666667	6.0
GU421	2010	2010-01-29	0	0	5.3	5.3428571428571425	7.0
GU421	2010	2010-01-29	1	0	5.4	5.8	7.0
GU421	2010	2010-01-29	2	0	6.2	6.057142857142857	7.0
GU421	2010	2010-01-29	3	0	6.4	6.628571428571429	7.0
GU421	2010	2010-01-29	4	0	7.6	7.857142857142856	7.0
GU421	2010	2010-01-29	5	0	7.6	9.87142857142857	7.0
GU421	2010	2010-01-29	6	0	9.3	10.914285714285715	7.0
GU421	2010	2010-01-29	7	0	8.6	11.385714285714286	7.0
GU421	2010	2010-01-29	8	0	7.9	10.985714285714284	7.0
GU421	2010	2010-01-29	9	0	9.1	10.657142857142857	7.0
GU421	2010	2010-01-29	10	0	7.6	8.72857142857143	7.0
GU421	2010	2010-01-29	11	0	7.0	6.1	7.0
GU421	2010	2010-01-29	12	0	5.7	4.871428571428571	7.0
GU421	2010	2010-01-29	13	0	5.1	4.871428571428571	7.0
GU421	2010	2010-01-29	14	0	4.0	3.542857142857143	7.0
GU421	2010	2010-01-29	15	0	3.5	3.2857142857142856	7.0
GU421	2010	2010-01-29	16	0	3.7	2.7857142857142856	7.0
GU421	2010	2010-01-29	17	0	3.7	2.5714285714285716	7.0
GU421	2010	2010-01-29	18	0	3.3	2.442857142857143	7.0
GU421	2010	2010-01-29	19	0	3.8	2.75	6.0
GU421	2010	2010-01-29	20	0	2.6	2.7142857142857144	7.0
GU421	2010	2010-01-29	21	0	1.8	2.3285714285714287	7.0
GU421	2010	2010-01-29	22	0	1.8	1.9142857142857141	7.0
GU421	2010	2010-01-29	23	0	2.4	2.757142857142857	7.0
GU421	2010	2010-01-30	0	0	4.6	5.3374999999999995	8.0
GU421	2010	2010-01-30	1	0	6.0	5.75	8.0
GU421	2010	2010-01-30	2	0	7.6	6.075	8.0
GU421	2010	2010-01-30	3	0	8.2	6.6000000000000005	8.0
GU421	2010	2010-01-30	4	0	6.3	7.824999999999999	8.0
GU421	2010	2010-01-30	5	0	5.9	9.587499999999999	8.0
GU421	2010	2010-01-30	6	0	5.9	10.7125	8.0
GU421	2010	2010-01-30	7	0	5.7	11.0375	8.0
GU421	2010	2010-01-30	8	0	4.7	10.6	8.0
GU421	2010	2010-01-30	9	0	5.5	10.462499999999999	8.0
GU421	2010	2010-01-30	10	0	5.4	8.5875	8.0
GU421	2010	2010-01-30	11	0	4.6	6.2124999999999995	8.0
GU421	2010	2010-01-30	12	0	4.6	4.975	8.0
GU421	2010	2010-01-30	13	0	5.3	4.8999999999999995	8.0
GU421	2010	2010-01-30	14	0	4.5	3.6	8.0
GU421	2010	2010-01-30	15	0	2.8	3.3125	8.0
GU421	2010	2010-01-30	16	0	2.6	2.9	8.0
GU421	2010	2010-01-30	17	0	2.3	2.7125	8.0
GU421	2010	2010-01-30	18	0	2.5	2.5500000000000003	8.0
GU421	2010	2010-01-30	19	0	2.7	2.9	7.0
GU421	2010	2010-01-30	20	0	2.9	2.7	8.0
GU421	2010	2010-01-30	21	0	1.9	2.2625	8.0
GU421	2010	2010-01-30	22	0	1.9	1.9	8.0
GU421	2010	2010-01-30	23	0	2.5	2.7125	8.0
GU421	2010	2010-01-31	0	0	4.6	5.2555555555555555	9.0
GU421	2010	2010-01-31	1	0	5.8	5.777777777777778	9.0
GU421	2010	2010-01-31	2	0	9.1	6.2444444444444445	9.0
