sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
HA419	2010	2010-02-15	12	0	11.1		
HA419	2010	2010-02-16	12	0	10.6	11.1	1.0
HA419	2010	2010-02-17	12	0	8.1	10.85	2.0
HA419	2010	2010-02-18	12	0	7.5	9.933333333333332	3.0
HA419	2010	2010-02-19	12	0	11.3	9.325	4.0
HA419	2010	2010-02-20	12	0	7.8	9.719999999999999	5.0
HA419	2010	2010-02-21	12	0	11.3	9.399999999999999	6.0
HA419	2010	2010-02-22	12	0	11.4	9.671428571428569	7.0
HA419	2010	2010-02-23	12	0	8.9	9.8875	8.0
HA419	2010	2010-02-24	12	0	11.4	9.777777777777779	9.0
HA419	2010	2010-02-25	12	0	11.5	9.940000000000001	10.0
HA419	2010	2010-02-26	12	0	9.9	10.081818181818182	11.0
HA419	2010	2010-02-27	12	0	12.3	10.066666666666668	12.0
HA419	2010	2010-02-28	12	0	8.2	10.23846153846154	13.0
HA419	2010	2010-03-01	12	0	10.5	10.092857142857143	14.0
HA419	2010	2010-03-02	12	0	8.6	10.120000000000001	15.0
HA419	2010	2010-03-03	12	0	8.9	9.953333333333335	15.0
HA419	2010	2010-03-04	12	0	10.0	9.840000000000002	15.0
HA419	2010	2010-03-05	12	0	9.4	9.966666666666669	15.0
HA419	2010	2010-03-06	12	0	9.0	10.093333333333335	15.0
HA419	2010	2010-03-07	12	0	9.7	9.940000000000001	15.0
HA419	2010	2010-03-08	12	0	11.5	10.066666666666666	15.0
HA419	2010	2010-03-09	12	0	13.2	10.08	15.0
HA419	2010	2010-03-10	12	0	12.5	10.199999999999998	15.0
HA419	2010	2010-03-11	12	0	12.0	10.439999999999998	15.0
HA419	2010	2010-03-13	12	0	13.0	10.479999999999997	15.0
HA419	2010	2010-03-14	12	0	13.0	10.579999999999997	15.0
HA419	2010	2010-03-15	12	0	14.5	10.786666666666664	15.0
HA419	2010	2010-03-16	12	0	13.8	10.93333333333333	15.0
HA419	2010	2010-03-17	12	0	9.9	11.306666666666665	15.0
HA419	2010	2010-03-18	12	0	11.9	11.266666666666664	15.0
HA419	2010	2010-03-19	12	0	11.6	11.486666666666666	15.0
HA419	2010	2010-03-20	12	0	11.8	11.666666666666664	15.0
HA419	2010	2010-03-21	12	0	10.8	11.786666666666665	15.0
HA419	2010	2010-03-22	12	0	13.1	11.879999999999999	15.0
HA419	2010	2010-03-23	12	0	13.8	12.153333333333332	15.0
HA419	2010	2010-03-24	12	0	12.8	12.426666666666668	15.0
HA419	2010	2010-03-25	12	0	11.6	12.513333333333334	15.0
HA419	2010	2010-03-26	12	0	12.7	12.406666666666668	15.0
HA419	2010	2010-03-27	12	0	11.0	12.42	15.0
HA419	2010	2010-03-28	12	0	12.1	12.353333333333333	15.0
HA419	2010	2010-03-29	12	0	12.2	12.293333333333333	15.0
HA419	2010	2010-03-30	12	0	8.8	12.24	15.0
HA419	2010	2010-03-31	12	0	10.6	11.860000000000001	15.0
HA419	2010	2010-04-01	12	0	9.5	11.646666666666667	15.0
HA419	2010	2010-04-02	12	0	9.3	11.62	15.0
HA419	2010	2010-04-03	12	0	9.8	11.446666666666665	15.0
HA419	2010	2010-04-04	12	0	9.2	11.326666666666666	15.0
HA419	2010	2010-04-05	12	0	10.7	11.153333333333332	15.0
HA419	2010	2010-04-06	12	0	10.6	11.146666666666665	15.0
HA419	2010	2010-04-07	12	0	12.5	10.979999999999997	15.0
HA419	2010	2010-04-08	12	0	13.5	10.893333333333329	15.0
HA419	2010	2010-04-09	12	0	11.5	10.939999999999996	15.0
HA419	2010	2010-04-10	12	0	11.8	10.93333333333333	15.0
HA419	2010	2010-04-11	12	0	10.4	10.873333333333331	15.0
HA419	2010	2010-04-12	12	0	7.3	10.833333333333332	15.0
HA419	2010	2010-04-13	12	0	8.8	10.513333333333332	15.0
HA419	2010	2010-04-14	12	0	10.2	10.286666666666667	15.0
HA419	2010	2010-04-15	12	0	10.6	10.379999999999999	15.0
