sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
HAJ45	2010	2010-02-04	0	0			
HAJ45	2010	2010-02-04	0	1	3.2960000000000003		
HAJ45	2010	2010-02-04	0	2	2.716		
HAJ45	2010	2010-02-04	0	3	2.622		
HAJ45	2010	2010-02-04	0	4	3.941		
HAJ45	2010	2010-02-04	0	5	2.593		
HAJ45	2010	2010-02-04	0	7	2.665		
HAJ45	2010	2010-02-04	0	8	2.52		
HAJ45	2010	2010-02-04	0	9	2.36		
HAJ45	2010	2010-02-04	0	10	2.724		
HAJ45	2010	2010-02-04	0	11	2.271		
HAJ45	2010	2010-02-04	0	12	2.394		
HAJ45	2010	2010-02-04	0	13	2.545		
HAJ45	2010	2010-02-04	0	15			
HAJ45	2010	2010-02-04	0	18			
HAJ45	2010	2010-02-04	0	19	3.269		
HAJ45	2010	2010-02-04	0	20	2.737		
HAJ45	2010	2010-02-04	0	21	2.619		
HAJ45	2010	2010-02-04	0	22	2.635		
HAJ45	2010	2010-02-04	0	23	2.169		
HAJ45	2010	2010-02-04	0	24	3.125		
HAJ45	2010	2010-02-04	0	25	2.27		
HAJ45	2010	2010-02-04	0	26	3.532		
HAJ45	2010	2010-02-04	0	27	2.574		
HAJ45	2010	2010-02-04	0	28	0.0		
HAJ45	2010	2010-02-04	0	29	3.292		
HAJ45	2010	2010-02-04	0	30	2.655		
HAJ45	2010	2010-02-04	0	31	2.798		
HAJ45	2010	2010-02-04	0	32	2.832		
HAJ45	2010	2010-02-04	0	33	3.4810000000000003		
HAJ45	2010	2010-02-04	0	34			
HAJ45	2010	2010-02-04	0	35			
HAJ45	2010	2010-02-04	0	36	2.662		
HAJ45	2010	2010-02-04	0	37			
HAJ45	2010	2010-02-04	0	38	2.883		
HAJ45	2010	2010-02-04	0	39	2.39		
HAJ45	2010	2010-02-04	0	40	3.091		
HAJ45	2010	2010-02-04	0	41	2.7430000000000003		
HAJ45	2010	2010-02-04	0	42	2.912		
HAJ45	2010	2010-02-04	0	43	2.932		
HAJ45	2010	2010-02-04	0	45	2.22		
HAJ45	2010	2010-02-04	0	46	2.812		
HAJ45	2010	2010-02-04	0	47	2.509		
HAJ45	2010	2010-02-04	0	48	3.013		
HAJ45	2010	2010-02-04	0	49			
HAJ45	2010	2010-02-04	0	50			
HAJ45	2010	2010-02-04	0	51	2.126		
HAJ45	2010	2010-02-04	0	52	2.729		
HAJ45	2010	2010-02-04	0	53			
HAJ45	2010	2010-02-04	0	55			
HAJ45	2010	2010-02-04	0	56	2.545		
HAJ45	2010	2010-02-04	0	57	2.596		
HAJ45	2010	2010-02-04	0	58	2.459		
HAJ45	2010	2010-02-04	0	59			
HAJ45	2010	2010-02-04	1	1			
HAJ45	2010	2010-02-04	1	2			
HAJ45	2010	2010-02-04	1	3	2.463		
HAJ45	2010	2010-02-04	1	4			
HAJ45	2010	2010-02-04	1	5			
HAJ45	2010	2010-02-04	1	6			
HAJ45	2010	2010-02-04	1	7			
HAJ45	2010	2010-02-04	1	8			
HAJ45	2010	2010-02-04	1	9			
HAJ45	2010	2010-02-04	1	10			
HAJ45	2010	2010-02-04	1	11			
HAJ45	2010	2010-02-04	1	12			
HAJ45	2010	2010-02-04	1	13			
HAJ45	2010	2010-02-04	1	14			
HAJ45	2010	2010-02-04	1	15	2.766		
HAJ45	2010	2010-02-04	1	16			
HAJ45	2010	2010-02-04	1	17			
HAJ45	2010	2010-02-04	1	18			
HAJ45	2010	2010-02-04	1	19			
HAJ45	2010	2010-02-04	1	20			
HAJ45	2010	2010-02-04	1	21			
HAJ45	2010	2010-02-04	1	22			
HAJ45	2010	2010-02-04	1	23	2.073		
HAJ45	2010	2010-02-04	1	24			
HAJ45	2010	2010-02-04	1	25			
HAJ45	2010	2010-02-04	1	26			
HAJ45	2010	2010-02-04	1	27			
HAJ45	2010	2010-02-04	1	28			
HAJ45	2010	2010-02-04	1	29			
HAJ45	2010	2010-02-04	1	30			
HAJ45	2010	2010-02-04	1	31			
HAJ45	2010	2010-02-04	1	32			
HAJ45	2010	2010-02-04	1	34	2.866		
HAJ45	2010	2010-02-04	1	35			
HAJ45	2010	2010-02-04	1	36			
HAJ45	2010	2010-02-04	1	37	2.125		
HAJ45	2010	2010-02-04	1	38	1.965		
HAJ45	2010	2010-02-04	1	39	2.286		
HAJ45	2010	2010-02-04	1	40	3.1060000000000003		
HAJ45	2010	2010-02-04	1	41			
HAJ45	2010	2010-02-04	1	42			
HAJ45	2010	2010-02-04	1	43			
HAJ45	2010	2010-02-04	1	44			
HAJ45	2010	2010-02-04	1	45	2.939		
HAJ45	2010	2010-02-04	1	46			
HAJ45	2010	2010-02-04	1	47			
HAJ45	2010	2010-02-04	1	48			
HAJ45	2010	2010-02-04	1	49			
HAJ45	2010	2010-02-04	1	50			
HAJ45	2010	2010-02-04	1	51			
HAJ45	2010	2010-02-04	1	52			
HAJ45	2010	2010-02-04	1	53			
HAJ45	2010	2010-02-04	1	54			
HAJ45	2010	2010-02-04	1	55			
HAJ45	2010	2010-02-04	1	56			
HAJ45	2010	2010-02-04	1	57			
HAJ45	2010	2010-02-04	1	58			
HAJ45	2010	2010-02-04	1	59			
HAJ45	2010	2010-02-04	2	1	0.0		
HAJ45	2010	2010-02-04	2	2			
HAJ45	2010	2010-02-04	2	4			
HAJ45	2010	2010-02-04	2	5	2.104		
HAJ45	2010	2010-02-04	2	6			
HAJ45	2010	2010-02-04	2	7			
HAJ45	2010	2010-02-04	2	8			
HAJ45	2010	2010-02-04	2	9			
HAJ45	2010	2010-02-04	2	10			
HAJ45	2010	2010-02-04	2	11			
HAJ45	2010	2010-02-04	2	12	3.023		
HAJ45	2010	2010-02-04	2	13	2.909		
HAJ45	2010	2010-02-04	2	15	2.9730000000000003		
HAJ45	2010	2010-02-04	2	16	2.964		
