sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
HE13N	2010	2010-01-23	0	0	2.925		
HE13N	2010	2010-01-23	0	15	2.95		
HE13N	2010	2010-01-23	0	30	2.975		
HE13N	2010	2010-01-23	0	45	2.975		
HE13N	2010	2010-01-23	1	0	2.975		
HE13N	2010	2010-01-23	1	15	2.925		
HE13N	2010	2010-01-23	1	30	2.875		
HE13N	2010	2010-01-23	1	45	2.825		
HE13N	2010	2010-01-23	2	0	2.8		
HE13N	2010	2010-01-23	2	15	2.725		
HE13N	2010	2010-01-23	2	30	2.725		
HE13N	2010	2010-01-23	2	45	2.65		
HE13N	2010	2010-01-23	3	0	2.575		
HE13N	2010	2010-01-23	3	15	2.75		
HE13N	2010	2010-01-23	3	30	2.825		
HE13N	2010	2010-01-23	3	45	3.175		
HE13N	2010	2010-01-23	4	0	3.725		
HE13N	2010	2010-01-23	4	15	4.05		
HE13N	2010	2010-01-23	4	30	4.387		
HE13N	2010	2010-01-23	4	45	4.675		
HE13N	2010	2010-01-23	5	0	4.988		
HE13N	2010	2010-01-23	5	15	5.337999999999999		
HE13N	2010	2010-01-23	5	30	5.337999999999999		
HE13N	2010	2010-01-23	5	45	5.438		
HE13N	2010	2010-01-23	6	0	5.488		
HE13N	2010	2010-01-23	6	15	5.863		
HE13N	2010	2010-01-23	6	30	6.113		
HE13N	2010	2010-01-23	6	45	6.2620000000000005		
HE13N	2010	2010-01-23	7	0	6.1629999999999985		
HE13N	2010	2010-01-23	7	15	6.087999999999999		
HE13N	2010	2010-01-23	7	30	6.1370000000000005		
HE13N	2010	2010-01-23	7	45	6.238		
HE13N	2010	2010-01-23	8	0	6.2879999999999985		
HE13N	2010	2010-01-23	8	15	6.225		
HE13N	2010	2010-01-23	8	30	5.988		
HE13N	2010	2010-01-23	8	45	5.625		
HE13N	2010	2010-01-23	9	0	5.5379999999999985		
HE13N	2010	2010-01-23	9	15	5.65		
HE13N	2010	2010-01-23	9	30	5.8		
