sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
IR352	2011	2011-01-20	17	30			
IR352	2011	2011-01-20	17	45			
IR352	2011	2011-01-20	18	0			
IR352	2011	2011-01-20	18	15			
IR352	2011	2011-01-20	18	30			
IR352	2011	2011-01-20	18	45			
IR352	2011	2011-01-20	19	0			
IR352	2011	2011-01-20	19	15			
IR352	2011	2011-01-20	19	30			
IR352	2011	2011-01-20	19	45	2.4		
IR352	2011	2011-01-20	20	0			
IR352	2011	2011-01-20	20	15			
IR352	2011	2011-01-20	20	30			
IR352	2011	2011-01-20	20	45	2.48		
IR352	2011	2011-01-20	21	0			
IR352	2011	2011-01-20	21	30	2.32		
IR352	2011	2011-01-20	21	45			
IR352	2011	2011-01-20	22	0	2.24		
IR352	2011	2011-01-20	22	15			
IR352	2011	2011-01-20	22	30			
IR352	2011	2011-01-20	22	45			
IR352	2011	2011-01-20	23	0			
IR352	2011	2011-01-20	23	15			
IR352	2011	2011-01-20	23	30			
IR352	2011	2011-01-20	23	45			
IR352	2011	2011-01-21	0	0			
IR352	2011	2011-01-21	0	30			
IR352	2011	2011-01-21	0	45			
IR352	2011	2011-01-21	1	0	3.44		
IR352	2011	2011-01-21	1	15	4.08		
IR352	2011	2011-01-21	1	30	4.64		
IR352	2011	2011-01-21	1	45	4.96		
IR352	2011	2011-01-21	2	0	5.2		
IR352	2011	2011-01-21	2	15	4.88		
IR352	2011	2011-01-21	2	30	4.8		
IR352	2011	2011-01-21	2	45	6.0		
IR352	2011	2011-01-21	3	0	5.92		
IR352	2011	2011-01-21	3	15	5.68		
IR352	2011	2011-01-21	3	30	6.32		
IR352	2011	2011-01-21	3	45	6.0		
IR352	2011	2011-01-21	4	0	5.76		
IR352	2011	2011-01-21	4	15	5.68		
IR352	2011	2011-01-21	4	30	5.84		
IR352	2011	2011-01-21	4	45	6.24		
IR352	2011	2011-01-21	5	0	6.4		
IR352	2011	2011-01-21	5	15	6.4		
IR352	2011	2011-01-21	5	30	5.84		
IR352	2011	2011-01-21	5	45	5.52		
IR352	2011	2011-01-21	6	0	5.76		
IR352	2011	2011-01-21	6	15	5.68		
IR352	2011	2011-01-21	6	30	5.68		
IR352	2011	2011-01-21	6	45	5.68		
IR352	2011	2011-01-21	7	0	5.76		
IR352	2011	2011-01-21	7	15	5.76		
IR352	2011	2011-01-21	7	30	6.0		
IR352	2011	2011-01-21	7	45	5.76		
IR352	2011	2011-01-21	8	0	5.52		
IR352	2011	2011-01-21	8	15	5.76		
IR352	2011	2011-01-21	8	30	5.28		
IR352	2011	2011-01-21	8	45	4.48		
IR352	2011	2011-01-21	9	0	4.32		
IR352	2011	2011-01-21	9	15	3.52		
IR352	2011	2011-01-21	9	30			
IR352	2011	2011-01-21	9	45			
IR352	2011	2011-01-21	10	0	2.88		
IR352	2011	2011-01-21	10	15			
IR352	2011	2011-01-21	10	30	2.72		
IR352	2011	2011-01-21	10	45			
IR352	2011	2011-01-21	11	0	2.8		
IR352	2011	2011-01-21	11	15			
IR352	2011	2011-01-21	11	30			
IR352	2011	2011-01-21	11	45			
IR352	2011	2011-01-21	12	0			
IR352	2011	2011-01-21	12	15			
IR352	2011	2011-01-21	12	30			
IR352	2011	2011-01-21	12	45			
IR352	2011	2011-01-21	13	0			
IR352	2011	2011-01-21	13	15			
IR352	2011	2011-01-21	13	30			
IR352	2011	2011-01-21	13	45			
IR352	2011	2011-01-21	14	0			
IR352	2011	2011-01-21	14	15			
IR352	2011	2011-01-21	14	30			
IR352	2011	2011-01-21	14	45			
IR352	2011	2011-01-21	15	0			
IR352	2011	2011-01-21	15	15			
IR352	2011	2011-01-21	15	30			
IR352	2011	2011-01-21	15	45			
IR352	2011	2011-01-21	16	0			
IR352	2011	2011-01-21	16	15	2.24		
IR352	2011	2011-01-21	16	30			
IR352	2011	2011-01-21	16	45			
IR352	2011	2011-01-21	17	0			
IR352	2011	2011-01-21	17	15	2.48		
IR352	2011	2011-01-21	17	30			0.0
IR352	2011	2011-01-21	17	45			0.0
IR352	2011	2011-01-21	18	0			0.0
IR352	2011	2011-01-21	18	15			0.0
IR352	2011	2011-01-21	18	30	2.72		0.0
IR352	2011	2011-01-21	18	45			0.0
IR352	2011	2011-01-21	19	0			0.0
IR352	2011	2011-01-21	19	15			0.0
IR352	2011	2011-01-21	19	30			0.0
IR352	2011	2011-01-21	19	45		2.4	1.0
IR352	2011	2011-01-21	20	0			0.0
IR352	2011	2011-01-21	20	15			0.0
IR352	2011	2011-01-21	20	30			0.0
IR352	2011	2011-01-21	20	45		2.48	1.0
IR352	2011	2011-01-21	21	0			0.0
IR352	2011	2011-01-21	21	15			
IR352	2011	2011-01-21	21	30		2.32	1.0
IR352	2011	2011-01-21	21	45			0.0
