sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
JB57N	2018	2018-08-10	2	18	3.905		
JB57N	2018	2018-08-10	2	20	3.693		
JB57N	2018	2018-08-10	2	22	3.42		
JB57N	2018	2018-08-10	2	25	3.815		
JB57N	2018	2018-08-10	2	27	3.812		
JB57N	2018	2018-08-10	2	29	3.977		
JB57N	2018	2018-08-10	2	31	3.927		
JB57N	2018	2018-08-10	2	33	3.774		
JB57N	2018	2018-08-10	2	35	3.815		
JB57N	2018	2018-08-10	2	37	3.815		
JB57N	2018	2018-08-10	2	40	3.609		
JB57N	2018	2018-08-10	2	42	3.692		
JB57N	2018	2018-08-10	2	44	4.065		
JB57N	2018	2018-08-10	2	46	3.905		
JB57N	2018	2018-08-10	2	48	3.857		
JB57N	2018	2018-08-10	2	50	3.815		
JB57N	2018	2018-08-10	2	52	3.957		
JB57N	2018	2018-08-10	2	54	3.612		
JB57N	2018	2018-08-10	2	57	3.957		
JB57N	2018	2018-08-10	2	59	3.905		
JB57N	2018	2018-08-10	3	1	3.534		
JB57N	2018	2018-08-10	3	3	4.065		
JB57N	2018	2018-08-10	3	5	3.801		
JB57N	2018	2018-08-10	3	7	3.792		
JB57N	2018	2018-08-10	3	9	4.065		
JB57N	2018	2018-08-10	3	12	3.733		
JB57N	2018	2018-08-10	3	14	3.612		
JB57N	2018	2018-08-10	3	16	3.398		
JB57N	2018	2018-08-10	3	18	3.957		
JB57N	2018	2018-08-10	3	20	3.957		
JB57N	2018	2018-08-10	3	22	3.749		
JB57N	2018	2018-08-10	3	24	5.115		
JB57N	2018	2018-08-10	3	26	4.174		
JB57N	2018	2018-08-10	3	29	3.815		
JB57N	2018	2018-08-10	3	31	3.957		
JB57N	2018	2018-08-10	3	33	3.774		
JB57N	2018	2018-08-10	3	35	4.011		
JB57N	2018	2018-08-10	3	37	4.458		
JB57N	2018	2018-08-10	3	39	4.458		
JB57N	2018	2018-08-10	3	41	3.712		
JB57N	2018	2018-08-10	3	44	4.011		
JB57N	2018	2018-08-10	3	46	4.011		
JB57N	2018	2018-08-10	3	48	4.065		
JB57N	2018	2018-08-10	3	50	3.957		
JB57N	2018	2018-08-10	3	52	3.457		
JB57N	2018	2018-08-10	3	54	3.852		
JB57N	2018	2018-08-10	3	56	3.792		
JB57N	2018	2018-08-10	3	58	4.174		
JB57N	2018	2018-08-10	4	1	3.692		
JB57N	2018	2018-08-10	4	3	4.011		
JB57N	2018	2018-08-10	4	5	4.065		
JB57N	2018	2018-08-10	4	7	3.852		
JB57N	2018	2018-08-10	4	9	3.52		
JB57N	2018	2018-08-10	4	11	3.957		
JB57N	2018	2018-08-10	4	13	4.011		
JB57N	2018	2018-08-10	4	16	3.833		
JB57N	2018	2018-08-10	4	18	3.749		
JB57N	2018	2018-08-10	4	20	4.819		
JB57N	2018	2018-08-10	4	22	4.5760000000000005		
JB57N	2018	2018-08-10	4	24	4.517		
JB57N	2018	2018-08-10	4	26	4.517		
JB57N	2018	2018-08-10	4	28	3.833		
JB57N	2018	2018-08-10	4	30	4.458		
JB57N	2018	2018-08-10	4	33	4.695		
JB57N	2018	2018-08-10	4	35	4.882		
JB57N	2018	2018-08-10	4	37	3.326		
JB57N	2018	2018-08-10	4	39	3.383		
JB57N	2018	2018-08-10	4	41	4.119		
JB57N	2018	2018-08-10	4	43	3.5010000000000003		
JB57N	2018	2018-08-10	4	45	3.957		
JB57N	2018	2018-08-10	4	48	3.539		
JB57N	2018	2018-08-10	4	50	3.4960000000000004		
JB57N	2018	2018-08-10	4	52	4.119		
JB57N	2018	2018-08-10	4	54	3.483		
JB57N	2018	2018-08-10	4	56	3.483		
JB57N	2018	2018-08-10	4	58	3.599		
JB57N	2018	2018-08-10	5	0	3.852		
JB57N	2018	2018-08-10	5	2	3.383		
JB57N	2018	2018-08-10	5	5	3.752		
JB57N	2018	2018-08-10	5	7	4.596		
JB57N	2018	2018-08-10	5	9	3.55		
JB57N	2018	2018-08-10	5	11	3.5010000000000003		
JB57N	2018	2018-08-10	5	13	3.358		
JB57N	2018	2018-08-10	5	15	0.0		
JB57N	2018	2018-08-10	5	17	3.233		
JB57N	2018	2018-08-10	5	20	3.265		
JB57N	2018	2018-08-10	5	22	2.899		
JB57N	2018	2018-08-10	5	24	3.405		
JB57N	2018	2018-08-10	5	26	3.3110000000000004		
JB57N	2018	2018-08-10	5	28	3.129		
JB57N	2018	2018-08-10	5	30	3.915		
JB57N	2018	2018-08-10	5	32	3.673		
JB57N	2018	2018-08-10	5	34	3.265		
JB57N	2018	2018-08-10	5	37	3.52		
JB57N	2018	2018-08-10	5	39	3.346		
JB57N	2018	2018-08-10	5	41	3.55		
JB57N	2018	2018-08-10	5	43	3.405		
JB57N	2018	2018-08-10	5	45	3.22		
JB57N	2018	2018-08-10	5	47	3.5010000000000003		
JB57N	2018	2018-08-10	5	49	3.55		
JB57N	2018	2018-08-10	5	52	4.636		
JB57N	2018	2018-08-10	5	54	4.517		
JB57N	2018	2018-08-10	5	56	3.22		
JB57N	2018	2018-08-10	5	58	3.4530000000000003		
JB57N	2018	2018-08-10	6	0	4.5760000000000005		
JB57N	2018	2018-08-10	6	2	3.165		
JB57N	2018	2018-08-10	6	4	3.085		
JB57N	2018	2018-08-10	6	6	3.265		
JB57N	2018	2018-08-10	6	9	3.338		
JB57N	2018	2018-08-10	6	11	2.557		
JB57N	2018	2018-08-10	6	13	2.759		
JB57N	2018	2018-08-10	6	15	2.878		
JB57N	2018	2018-08-10	6	17	2.809		
JB57N	2018	2018-08-10	6	19	2.827		
JB57N	2018	2018-08-10	6	21	2.778		
JB57N	2018	2018-08-10	6	24	3.265		
JB57N	2018	2018-08-10	6	26	3.22		
JB57N	2018	2018-08-10	6	28	3.133		
JB57N	2018	2018-08-10	6	30	3.3110000000000004		
JB57N	2018	2018-08-10	6	32	3.358		
JB57N	2018	2018-08-10	6	34	3.133		
JB57N	2018	2018-08-10	6	36	3.55		
JB57N	2018	2018-08-10	6	38	3.599		
JB57N	2018	2018-08-10	6	41	3.2030000000000003		
JB57N	2018	2018-08-10	6	43	3.238		
JB57N	2018	2018-08-10	6	45	3.383		
JB57N	2018	2018-08-10	6	47	3.649		
JB57N	2018	2018-08-10	6	49	3.683		
JB57N	2018	2018-08-10	6	51	4.065		
