sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
KB548	2006	2006-09-26	0	0			
KB548	2006	2006-09-26	1	0	6.6		
KB548	2006	2006-09-26	2	0	6.6		
KB548	2006	2006-09-26	3	0			
KB548	2006	2006-09-26	4	0			
KB548	2006	2006-09-26	5	0			
KB548	2006	2006-09-26	6	0			
KB548	2006	2006-09-26	7	0			
KB548	2006	2006-09-26	8	0			
KB548	2006	2006-09-26	9	0	5.0		
KB548	2006	2006-09-26	10	0	4.5		
KB548	2006	2006-09-26	11	0	4.4		
KB548	2006	2006-09-26	12	0	4.3		
KB548	2006	2006-09-26	13	0	4.3		
KB548	2006	2006-09-26	14	0	4.2		
KB548	2006	2006-09-26	15	0	4.0		
KB548	2006	2006-09-26	16	0	3.9		
KB548	2006	2006-09-26	17	0	3.8		
KB548	2006	2006-09-26	18	0	3.7		
KB548	2006	2006-09-26	19	0	3.6		
KB548	2006	2006-09-26	20	0	3.6		
KB548	2006	2006-09-26	21	0	3.8		
KB548	2006	2006-09-26	22	0	4.8		
KB548	2006	2006-09-26	23	0			
KB548	2006	2006-09-27	0	0			0.0
KB548	2006	2006-09-27	1	0		6.6	1.0
KB548	2006	2006-09-27	2	0		6.6	1.0
KB548	2006	2006-09-27	7	0	5.5		0.0
KB548	2006	2006-09-27	8	0	5.3		0.0
KB548	2006	2006-09-27	9	0	4.9	5.0	1.0
KB548	2006	2006-09-27	10	0	4.2	4.5	1.0
KB548	2006	2006-09-27	11	0	4.6	4.4	1.0
KB548	2006	2006-09-27	12	0	4.9	4.3	1.0
KB548	2006	2006-09-27	13	0	4.5	4.3	1.0
KB548	2006	2006-09-27	14	0	4.4	4.2	1.0
KB548	2006	2006-09-27	15	0	4.4	4.0	1.0
KB548	2006	2006-09-27	16	0	4.3	3.9	1.0
KB548	2006	2006-09-27	17	0	4.3	3.8	1.0
KB548	2006	2006-09-27	18	0	4.1	3.7	1.0
KB548	2006	2006-09-27	19	0	4.2	3.6	1.0
KB548	2006	2006-09-27	20	0	4.2	3.6	1.0
KB548	2006	2006-09-27	21	0	4.4	3.8	1.0
KB548	2006	2006-09-27	22	0	4.8	4.8	1.0
KB548	2006	2006-09-27	23	0	5.3		0.0
KB548	2006	2006-09-28	0	0	5.3		0.0
KB548	2006	2006-09-28	1	0	5.8	6.6	1.0
KB548	2006	2006-09-28	2	0	6.4	6.6	1.0
KB548	2006	2006-09-28	3	0	5.9		0.0
KB548	2006	2006-09-28	4	0	5.9		0.0
KB548	2006	2006-09-28	5	0	5.8		0.0
KB548	2006	2006-09-28	6	0	5.8		0.0
KB548	2006	2006-09-28	7	0	6.0	5.5	1.0
KB548	2006	2006-09-28	8	0	4.8	5.3	1.0
KB548	2006	2006-09-28	9	0	4.5	4.95	2.0
KB548	2006	2006-09-28	10	0	4.9	4.35	2.0
KB548	2006	2006-09-28	11	0	4.6	4.5	2.0
KB548	2006	2006-09-28	12	0	4.7	4.6	2.0
KB548	2006	2006-09-28	13	0	4.3	4.4	2.0
KB548	2006	2006-09-28	14	0	4.4	4.300000000000001	2.0
KB548	2006	2006-09-28	15	0	4.2	4.2	2.0
KB548	2006	2006-09-28	16	0	4.4	4.1	2.0
KB548	2006	2006-09-28	17	0	4.6	4.05	2.0
KB548	2006	2006-09-28	18	0	4.3	3.9	2.0
KB548	2006	2006-09-28	19	0	4.0	3.9000000000000004	2.0
KB548	2006	2006-09-28	20	0	4.2	3.9000000000000004	2.0
KB548	2006	2006-09-28	21	0	4.4	4.1	2.0
KB548	2006	2006-09-28	22	0	4.9	4.8	2.0
KB548	2006	2006-09-28	23	0	5.0	5.3	1.0
KB548	2006	2006-09-29	0	0	5.7	5.3	1.0
KB548	2006	2006-09-29	1	0	5.6	6.199999999999999	2.0
KB548	2006	2006-09-29	2	0	6.4	6.5	2.0
KB548	2006	2006-09-29	3	0	5.9	5.9	1.0
KB548	2006	2006-09-29	4	0	5.8	5.9	1.0
KB548	2006	2006-09-29	5	0	5.9	5.8	1.0
KB548	2006	2006-09-29	6	0	5.6	5.8	1.0
KB548	2006	2006-09-29	7	0	5.5	5.75	2.0
KB548	2006	2006-09-29	8	0	5.0	5.05	2.0
KB548	2006	2006-09-29	9	0	4.6	4.8	3.0
KB548	2006	2006-09-29	10	0	4.2	4.533333333333333	3.0
KB548	2006	2006-09-29	11	0	4.2	4.533333333333333	3.0
KB548	2006	2006-09-29	12	0	4.8	4.633333333333333	3.0
KB548	2006	2006-09-29	13	0	4.8	4.366666666666667	3.0
KB548	2006	2006-09-29	14	0	4.4	4.333333333333334	3.0
KB548	2006	2006-09-29	15	0	3.9	4.2	3.0
KB548	2006	2006-09-29	16	0	3.8	4.2	3.0
KB548	2006	2006-09-29	17	0	4.0	4.233333333333333	3.0
KB548	2006	2006-09-29	18	0	4.4	4.033333333333333	3.0
KB548	2006	2006-09-29	19	0	3.9	3.9333333333333336	3.0
KB548	2006	2006-09-29	20	0	4.1	4.0	3.0
KB548	2006	2006-09-29	21	0	5.7	4.2	3.0
KB548	2006	2006-09-29	22	0	6.0	4.833333333333333	3.0
KB548	2006	2006-09-29	23	0	5.4	5.15	2.0
KB548	2006	2006-09-30	0	0	5.6	5.5	2.0
KB548	2006	2006-09-30	1	0	6.0	6.0	3.0
KB548	2006	2006-09-30	2	0	6.3	6.466666666666666	3.0
KB548	2006	2006-09-30	9	0		4.75	4.0
KB548	2006	2006-09-30	10	0	6.0	4.45	4.0
KB548	2006	2006-09-30	11	0		4.45	4.0
KB548	2006	2006-09-30	12	0		4.675	4.0
KB548	2006	2006-09-30	13	0		4.4750000000000005	4.0
KB548	2006	2006-09-30	14	0		4.3500000000000005	4.0
KB548	2006	2006-09-30	15	0		4.125	4.0
KB548	2006	2006-09-30	16	0		4.1	4.0
KB548	2006	2006-09-30	17	0	4.5	4.175	4.0
KB548	2006	2006-09-30	18	0	4.5	4.125	4.0
KB548	2006	2006-09-30	19	0	4.3	3.9250000000000003	4.0
KB548	2006	2006-09-30	20	0	3.5	4.025	4.0
KB548	2006	2006-09-30	21	0	3.3	4.575	4.0
KB548	2006	2006-09-30	22	0	4.5	5.125	4.0
KB548	2006	2006-09-30	23	0	4.6	5.233333333333333	3.0
KB548	2006	2006-10-01	0	0	5.7	5.533333333333334	3.0
KB548	2006	2006-10-01	1	0	6.6	6.0	4.0
KB548	2006	2006-10-01	2	0	6.6	6.425	4.0
KB548	2006	2006-10-01	3	0	6.4	5.9	2.0
KB548	2006	2006-10-01	4	0		5.85	2.0
KB548	2006	2006-10-01	5	0	7.0	5.85	2.0
KB548	2006	2006-10-01	6	0	5.7	5.699999999999999	2.0
KB548	2006	2006-10-01	7	0	5.8	5.666666666666667	3.0
KB548	2006	2006-10-01	8	0	5.8	5.033333333333333	3.0
KB548	2006	2006-10-01	9	0	5.2	4.75	4.0
KB548	2006	2006-10-01	10	0	5.1	4.76	5.0
KB548	2006	2006-10-01	11	0	4.7	4.45	4.0
KB548	2006	2006-10-01	12	0	4.3	4.675	4.0
KB548	2006	2006-10-01	13	0		4.4750000000000005	4.0
KB548	2006	2006-10-01	14	0		4.3500000000000005	4.0
KB548	2006	2006-10-01	15	0	3.6	4.125	4.0
KB548	2006	2006-10-01	16	0	3.6	4.1	4.0
KB548	2006	2006-10-01	17	0	3.5	4.24	5.0
KB548	2006	2006-10-01	18	0	3.5	4.2	5.0
KB548	2006	2006-10-01	19	0	3.5	4.0	5.0
KB548	2006	2006-10-01	20	0	3.8	3.9200000000000004	5.0
KB548	2006	2006-10-01	21	0	3.5	4.32	5.0
KB548	2006	2006-10-01	22	0	4.9	5.0	5.0
KB548	2006	2006-10-01	23	0	5.4	5.075	4.0
KB548	2006	2006-10-02	0	0	6.3	5.575	4.0
KB548	2006	2006-10-02	1	0	6.2	6.12	5.0
KB548	2006	2006-10-02	2	0	5.8	6.459999999999999	5.0
KB548	2006	2006-10-02	3	0	5.8	6.066666666666667	3.0
KB548	2006	2006-10-02	4	0	6.1	5.85	2.0
KB548	2006	2006-10-02	5	0	5.7	6.233333333333333	3.0
KB548	2006	2006-10-02	6	0	5.7	5.699999999999999	3.0
KB548	2006	2006-10-02	7	0	5.8	5.7	4.0
KB548	2006	2006-10-02	8	0	5.8	5.225	4.0
KB548	2006	2006-10-02	9	0		4.84	5.0
KB548	2006	2006-10-02	10	0	5.4	4.816666666666666	6.0
KB548	2006	2006-10-02	11	0	5.4	4.5	5.0
KB548	2006	2006-10-02	12	0	5.3	4.6	5.0
KB548	2006	2006-10-02	13	0	4.0	4.4750000000000005	4.0
KB548	2006	2006-10-02	14	0	3.7	4.3500000000000005	4.0
