sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
LM42B	2000	2000-05-22	12	30	5.5		
LM42B	2000	2000-05-22	13	0	4.11		
LM42B	2000	2000-05-22	13	30	5.1		
LM42B	2000	2000-05-22	14	0	5.3		
LM42B	2000	2000-05-22	14	30	5.2		
LM42B	2000	2000-05-22	15	0	5.2		
LM42B	2000	2000-05-22	15	30	4.9		
LM42B	2000	2000-05-22	16	0	4.4		
LM42B	2000	2000-05-22	16	30	3.9		
LM42B	2000	2000-05-22	17	0	4.0		
LM42B	2000	2000-05-22	17	30	4.4		
LM42B	2000	2000-05-22	18	0	3.8		
LM42B	2000	2000-05-22	18	30	4.0		
LM42B	2000	2000-05-22	19	0	3.6		
LM42B	2000	2000-05-22	19	30	3.5		
LM42B	2000	2000-05-22	20	0	3.4		
LM42B	2000	2000-05-22	20	30	3.6		
LM42B	2000	2000-05-22	21	0	3.5		
LM42B	2000	2000-05-22	21	30	3.6		
LM42B	2000	2000-05-22	22	0	3.5		
LM42B	2000	2000-05-22	22	30	5.65		
LM42B	2000	2000-05-22	23	0	7.95		
LM42B	2000	2000-05-22	23	30	8.2		
LM42B	2000	2000-05-23	0	0	11.55		
LM42B	2000	2000-05-23	0	30	11.75		
LM42B	2000	2000-05-23	1	0	11.55		
LM42B	2000	2000-05-23	1	30	10.75		
LM42B	2000	2000-05-23	2	0	11.925		
LM42B	2000	2000-05-23	2	30	12.65		
LM42B	2000	2000-05-23	3	0	11.85		
LM42B	2000	2000-05-23	3	30	11.2		
LM42B	2000	2000-05-23	4	0	11.75		
LM42B	2000	2000-05-23	4	30	12.05		
LM42B	2000	2000-05-23	5	0	14.025		
LM42B	2000	2000-05-23	5	30	11.55		
LM42B	2000	2000-05-23	6	0	10.85		
LM42B	2000	2000-05-23	6	30	10.75		
LM42B	2000	2000-05-23	7	0	10.95		
LM42B	2000	2000-05-23	7	30	11.35		
LM42B	2000	2000-05-23	8	0	11.55		
LM42B	2000	2000-05-23	8	30	11.05		
LM42B	2000	2000-05-23	9	0	10.113		
LM42B	2000	2000-05-23	9	30	10.15		
LM42B	2000	2000-05-23	10	0	10.7		
LM42B	2000	2000-05-23	10	30	8.71		
LM42B	2000	2000-05-23	11	0	8.3		
LM42B	2000	2000-05-23	11	30	7.6		
LM42B	2000	2000-05-23	12	0	5.8		
LM42B	2000	2000-05-23	12	30	5.8	5.5	1.0
LM42B	2000	2000-05-23	13	0	5.7	4.11	1.0
LM42B	2000	2000-05-23	13	30	5.8	5.1	1.0
LM42B	2000	2000-05-23	14	0	5.2	5.3	1.0
LM42B	2000	2000-05-23	14	30	6.3	5.2	1.0
LM42B	2000	2000-05-23	15	0	4.6	5.2	1.0
LM42B	2000	2000-05-23	15	30	4.0	4.9	1.0
LM42B	2000	2000-05-23	16	0	3.95	4.4	1.0
LM42B	2000	2000-05-23	16	30	4.0	3.9	1.0
LM42B	2000	2000-05-23	17	0	4.0	4.0	1.0
LM42B	2000	2000-05-23	17	30	4.7	4.4	1.0
LM42B	2000	2000-05-23	18	0	4.95	3.8	1.0
LM42B	2000	2000-05-23	18	30	4.9	4.0	1.0
LM42B	2000	2000-05-23	19	0	4.75	3.6	1.0
LM42B	2000	2000-05-23	19	30	4.8	3.5	1.0
LM42B	2000	2000-05-23	20	0	3.51	3.4	1.0
LM42B	2000	2000-05-23	20	30	2.6	3.6	1.0
LM42B	2000	2000-05-23	21	0	2.4	3.5	1.0
LM42B	2000	2000-05-23	21	30	3.2	3.6	1.0
LM42B	2000	2000-05-23	22	0	3.0	3.5	1.0
LM42B	2000	2000-05-23	22	30	4.05	5.65	1.0
LM42B	2000	2000-05-23	23	0	8.51	7.95	1.0
LM42B	2000	2000-05-23	23	30	9.15	8.2	1.0
LM42B	2000	2000-05-24	0	0	10.45	11.55	1.0
LM42B	2000	2000-05-24	0	30	10.5	11.75	1.0
LM42B	2000	2000-05-24	1	0	9.95	11.55	1.0
LM42B	2000	2000-05-24	1	30	9.05	10.75	1.0
LM42B	2000	2000-05-24	2	0	11.15	11.925	1.0
LM42B	2000	2000-05-24	2	30	11.65	12.65	1.0
LM42B	2000	2000-05-24	3	0	12.05	11.85	1.0
LM42B	2000	2000-05-24	3	30	11.2	11.2	1.0
LM42B	2000	2000-05-24	4	0	11.75	11.75	1.0
LM42B	2000	2000-05-24	4	30	12.35	12.05	1.0
LM42B	2000	2000-05-24	5	0	11.55	14.025	1.0
LM42B	2000	2000-05-24	5	30	12.35	11.55	1.0
LM42B	2000	2000-05-24	6	0	13.875	10.85	1.0
LM42B	2000	2000-05-24	6	30	14.15	10.75	1.0
LM42B	2000	2000-05-24	7	0	13.55	10.95	1.0
LM42B	2000	2000-05-24	7	30	13.25	11.35	1.0
LM42B	2000	2000-05-24	8	0	11.225	11.55	1.0
LM42B	2000	2000-05-24	8	30	10.2	11.05	1.0
LM42B	2000	2000-05-24	9	0	10.21	10.113	1.0
LM42B	2000	2000-05-24	9	30	11.15	10.15	1.0
LM42B	2000	2000-05-24	10	0	11.5	10.7	1.0
LM42B	2000	2000-05-24	10	30	11.0	8.71	1.0
LM42B	2000	2000-05-24	11	0	9.032	8.3	1.0
LM42B	2000	2000-05-24	11	30	8.9	7.6	1.0
LM42B	2000	2000-05-24	12	0	9.6	5.8	1.0
LM42B	2000	2000-05-24	12	30	9.1	5.65	2.0
LM42B	2000	2000-05-24	13	0	8.4	4.905	2.0
LM42B	2000	2000-05-24	14	30	4.6	5.75	2.0
LM42B	2000	2000-05-24	15	0	5.0	4.9	2.0
LM42B	2000	2000-05-24	15	30	5.0	4.45	2.0
LM42B	2000	2000-05-24	16	0	4.7	4.175000000000001	2.0
LM42B	2000	2000-05-24	16	30	4.1	3.95	2.0
LM42B	2000	2000-05-24	17	0	3.9	4.0	2.0
LM42B	2000	2000-05-24	17	30	3.7	4.550000000000001	2.0
LM42B	2000	2000-05-24	18	0	4.0	4.375	2.0
LM42B	2000	2000-05-24	18	30	3.9	4.45	2.0
LM42B	2000	2000-05-24	19	0	4.2	4.175	2.0
LM42B	2000	2000-05-24	19	30	4.5	4.15	2.0
LM42B	2000	2000-05-24	20	0	4.0	3.455	2.0
LM42B	2000	2000-05-24	20	30	3.7	3.1	2.0
LM42B	2000	2000-05-24	21	0	3.0	2.95	2.0
LM42B	2000	2000-05-24	21	30	2.8	3.4000000000000004	2.0
LM42B	2000	2000-05-24	22	0	4.4	3.25	2.0
LM42B	2000	2000-05-24	22	30	3.875	4.85	2.0
LM42B	2000	2000-05-24	23	0	6.787999999999999	8.23	2.0
LM42B	2000	2000-05-24	23	30	9.45	8.675	2.0
LM42B	2000	2000-05-25	0	0	8.725	11.0	2.0
LM42B	2000	2000-05-25	0	30	10.25	11.125	2.0
LM42B	2000	2000-05-25	1	0	10.65	10.75	2.0
LM42B	2000	2000-05-25	1	30	10.85	9.9	2.0
LM42B	2000	2000-05-25	2	0	11.65	11.537500000000001	2.0
LM42B	2000	2000-05-25	2	30	12.513	12.15	2.0
LM42B	2000	2000-05-25	3	0	13.05	11.95	2.0
LM42B	2000	2000-05-25	3	30	12.75	11.2	2.0
LM42B	2000	2000-05-25	4	0	12.45	11.75	2.0
LM42B	2000	2000-05-25	4	30	12.35	12.2	2.0
LM42B	2000	2000-05-25	5	0	12.55	12.787500000000001	2.0
LM42B	2000	2000-05-25	5	30	11.95	11.95	2.0
