sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
LM42J	2011	2011-03-15	1	0	7.842		
LM42J	2011	2011-03-15	2	0	7.319		
LM42J	2011	2011-03-15	3	0	6.745		
LM42J	2011	2011-03-15	4	0	7.45		
LM42J	2011	2011-03-15	5	0	8.922		
LM42J	2011	2011-03-15	6	0	9.185		
LM42J	2011	2011-03-15	7	0	10.176		
LM42J	2011	2011-03-15	8	0	9.23		
LM42J	2011	2011-03-15	9	0	8.49		
LM42J	2011	2011-03-15	10	0	8.15		
LM42J	2011	2011-03-15	11	0			
LM42J	2011	2011-03-15	12	0			
LM42J	2011	2011-03-15	13	0	4.859		
LM42J	2011	2011-03-15	14	0	4.9060000000000015		
LM42J	2011	2011-03-15	15	0			
LM42J	2011	2011-03-15	16	0	4.46		
LM42J	2011	2011-03-15	17	0	4.252		
LM42J	2011	2011-03-15	18	0	4.412		
LM42J	2011	2011-03-15	19	0	4.152		
LM42J	2011	2011-03-15	20	0	3.099		
LM42J	2011	2011-03-15	21	0	3.112		
LM42J	2011	2011-03-15	22	0	3.298		
LM42J	2011	2011-03-15	23	0	5.709		
LM42J	2011	2011-03-16	0	0	6.7570000000000014		
LM42J	2011	2011-03-16	1	0	7.598	7.842	1.0
LM42J	2011	2011-03-16	2	0	8.046	7.319	1.0
LM42J	2011	2011-03-16	3	0	8.186	6.745	1.0
LM42J	2011	2011-03-16	4	0	7.747999999999997	7.45	1.0
LM42J	2011	2011-03-16	5	0	8.197000000000001	8.922	1.0
LM42J	2011	2011-03-16	6	0	8.315	9.185	1.0
LM42J	2011	2011-03-16	7	0	8.427999999999999	10.176	1.0
LM42J	2011	2011-03-16	8	0	8.737	9.23	1.0
LM42J	2011	2011-03-16	9	0	9.166	8.49	1.0
LM42J	2011	2011-03-16	10	0	10.021	8.15	1.0
LM42J	2011	2011-03-16	11	0	8.702		0.0
LM42J	2011	2011-03-16	12	0			0.0
LM42J	2011	2011-03-16	13	0		4.859	1.0
