sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
LV12P	2004	2004-11-21	0	0	3.825		
LV12P	2004	2004-11-21	0	30	3.425		
LV12P	2004	2004-11-21	1	0	3.125		
LV12P	2004	2004-11-21	1	30	3.125		
LV12P	2004	2004-11-21	2	0	3.125		
LV12P	2004	2004-11-21	2	30	2.725		
LV12P	2004	2004-11-21	3	0			
LV12P	2004	2004-11-21	3	30	3.75		
LV12P	2004	2004-11-21	4	0	4.925		
LV12P	2004	2004-11-21	4	30	5.675		
LV12P	2004	2004-11-21	5	0	6.188		
LV12P	2004	2004-11-21	5	30	6.75		
LV12P	2004	2004-11-21	6	0	7.175		
LV12P	2004	2004-11-21	6	30	7.675		
LV12P	2004	2004-11-21	7	0	7.675		
LV12P	2004	2004-11-21	7	30	8.425		
LV12P	2004	2004-11-21	7	59	8.475		
LV12P	2004	2004-11-21	8	30	8.575		
LV12P	2004	2004-11-21	9	0	8.905		
LV12P	2004	2004-11-21	9	30	9.375		
LV12P	2004	2004-11-21	10	0	9.563		
LV12P	2004	2004-11-21	10	30	9.625		
LV12P	2004	2004-11-21	11	0	9.275		
LV12P	2004	2004-11-21	11	30	9.275		
LV12P	2004	2004-11-21	12	0	9.113		
LV12P	2004	2004-11-21	12	30	9.475		
LV12P	2004	2004-11-21	13	0	9.425		
LV12P	2004	2004-11-21	13	30	9.575		
LV12P	2004	2004-11-21	14	0	9.175		
LV12P	2004	2004-11-21	14	30	9.425		
LV12P	2004	2004-11-21	15	0	9.275		
LV12P	2004	2004-11-21	15	30	9.425		
LV12P	2004	2004-11-21	16	0	9.275		
LV12P	2004	2004-11-21	16	30	9.4		
LV12P	2004	2004-11-21	17	0	9.45		
LV12P	2004	2004-11-21	17	30	9.0		
LV12P	2004	2004-11-21	18	0	7.85		
LV12P	2004	2004-11-21	18	30	7.5		
LV12P	2004	2004-11-21	19	0	6.375		
LV12P	2004	2004-11-21	19	30	5.8		
LV12P	2004	2004-11-21	20	0	5.175		
LV12P	2004	2004-11-21	20	30	4.975		
LV12P	2004	2004-11-21	21	0	4.9		
LV12P	2004	2004-11-21	22	0	4.8		
LV12P	2004	2004-11-21	22	30	4.7		
LV12P	2004	2004-11-21	23	0	4.6		
LV12P	2004	2004-11-21	23	30	4.4		
LV12P	2004	2004-11-22	0	0	4.475	3.825	1.0
LV12P	2004	2004-11-22	1	0	3.65	3.125	1.0
LV12P	2004	2004-11-22	1	30	3.275	3.125	1.0
LV12P	2004	2004-11-22	2	0	3.2	3.125	1.0
LV12P	2004	2004-11-22	2	30	3.175	2.725	1.0
LV12P	2004	2004-11-22	3	30	3.975	3.75	1.0
LV12P	2004	2004-11-22	4	0	5.575	4.925	1.0
LV12P	2004	2004-11-22	4	30	6.363	5.675	1.0
LV12P	2004	2004-11-22	5	0	6.488	6.188	1.0
LV12P	2004	2004-11-22	5	30	6.8	6.75	1.0
LV12P	2004	2004-11-22	6	0	7.825	7.175	1.0
LV12P	2004	2004-11-22	6	30	8.025	7.675	1.0
LV12P	2004	2004-11-22	7	0	7.975	7.675	1.0
LV12P	2004	2004-11-22	7	30	8.3	8.425	1.0
LV12P	2004	2004-11-22	8	0	8.575		
LV12P	2004	2004-11-22	8	30	9.125	8.575	1.0
