sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
LY164	2004	2004-11-25	11	30	7.287000000000001		
LY164	2004	2004-11-25	12	30	6.8370000000000015		
LY164	2004	2004-11-25	13	30	6.867000000000001		
LY164	2004	2004-11-25	14	30	0.0		
LY164	2004	2004-11-25	15	30	0.0		
LY164	2004	2004-11-25	16	30	2.638		
LY164	2004	2004-11-25	17	30	2.535		
LY164	2004	2004-11-25	18	30	3.024		
LY164	2004	2004-11-25	19	30	-3.743		
LY164	2004	2004-11-25	20	30	2.545		
LY164	2004	2004-11-25	21	30	4.089		
LY164	2004	2004-11-25	22	30	3.131		
LY164	2004	2004-11-26	0	30	3.131		
LY164	2004	2004-11-26	1	30	3.006		
LY164	2004	2004-11-26	2	30	0.0		
LY164	2004	2004-11-26	3	30	2.434		
LY164	2004	2004-11-26	4	30	2.099		
LY164	2004	2004-11-26	6	30	3.004		
LY164	2004	2004-11-26	7	30	4.645		
LY164	2004	2004-11-26	8	30	5.709		
LY164	2004	2004-11-26	9	30	6.422999999999999		
LY164	2004	2004-11-26	10	30	6.027		
LY164	2004	2004-11-26	12	30	6.062	6.8370000000000015	1.0
LY164	2004	2004-11-26	13	30	5.155	6.867000000000001	1.0
LY164	2004	2004-11-26	14	30	4.226	0.0	1.0
LY164	2004	2004-11-26	15	30	3.3080000000000003	0.0	1.0
LY164	2004	2004-11-26	16	30	2.0580000000000003	2.638	1.0
LY164	2004	2004-11-26	19	30	3.04	-3.743	1.0
LY164	2004	2004-11-26	20	30	2.929	2.545	1.0
LY164	2004	2004-11-26	21	30	5.749	4.089	1.0
LY164	2004	2004-11-26	22	30	3.38	3.131	1.0
LY164	2004	2004-11-26	23	30	3.447		
LY164	2004	2004-11-27	0	30	2.732	3.131	1.0
LY164	2004	2004-11-27	1	30	2.909	3.006	1.0
LY164	2004	2004-11-27	2	30	2.32	0.0	1.0
LY164	2004	2004-11-27	3	30	2.3280000000000003	2.434	1.0
LY164	2004	2004-11-27	4	30	0.0	2.099	1.0
LY164	2004	2004-11-27	6	30	0.0	3.004	1.0
LY164	2004	2004-11-27	7	30	3.935	4.645	1.0
LY164	2004	2004-11-27	8	30	5.296	5.709	1.0
LY164	2004	2004-11-27	9	30	5.8320000000000025	6.422999999999999	1.0
LY164	2004	2004-11-27	10	30	6.448	6.027	1.0
LY164	2004	2004-11-27	11	30	6.3	7.287000000000001	1.0
LY164	2004	2004-11-27	12	30	5.877999999999999	6.4495000000000005	2.0
LY164	2004	2004-11-27	13	30	4.979	6.011000000000001	2.0
