sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MA155	2012	2012-03-07	0	0	3.4		
MA155	2012	2012-03-07	0	15	3.2		
MA155	2012	2012-03-07	0	30	3.3		
MA155	2012	2012-03-07	0	45	3.2		
MA155	2012	2012-03-07	1	0	3.3		
MA155	2012	2012-03-07	1	15	3.5		
MA155	2012	2012-03-07	1	30	3.0		
MA155	2012	2012-03-07	1	45	3.0		
MA155	2012	2012-03-07	2	0	2.7		
MA155	2012	2012-03-07	2	15	2.7		
MA155	2012	2012-03-07	2	30	2.7		
MA155	2012	2012-03-07	2	45	2.8		
MA155	2012	2012-03-07	3	0	2.7		
MA155	2012	2012-03-07	3	15	2.4		
MA155	2012	2012-03-07	3	30	3.2		
MA155	2012	2012-03-07	3	45	3.0		
MA155	2012	2012-03-07	4	0	3.5		
MA155	2012	2012-03-07	4	15	3.9		
MA155	2012	2012-03-07	4	30	4.3		
MA155	2012	2012-03-07	4	45	4.3		
MA155	2012	2012-03-07	5	0	4.8		
MA155	2012	2012-03-07	5	15	5.4		
MA155	2012	2012-03-07	5	30	5.2		
MA155	2012	2012-03-07	5	45	4.9		
MA155	2012	2012-03-07	6	0	5.0		
MA155	2012	2012-03-07	6	15	5.0		
MA155	2012	2012-03-07	6	30	5.4		
MA155	2012	2012-03-07	6	45	5.8		
MA155	2012	2012-03-07	7	0	6.0		
MA155	2012	2012-03-07	7	15	5.2		
MA155	2012	2012-03-07	7	30	5.7		
MA155	2012	2012-03-07	7	45	5.7		
MA155	2012	2012-03-07	8	0	6.3		
MA155	2012	2012-03-07	8	15	6.2		
MA155	2012	2012-03-07	8	30	6.4		
MA155	2012	2012-03-07	8	45	6.5		
MA155	2012	2012-03-07	9	0	6.8		
MA155	2012	2012-03-07	9	15	6.8		
MA155	2012	2012-03-07	9	30	6.8		
MA155	2012	2012-03-07	9	45	6.8		
MA155	2012	2012-03-07	10	0	7.0		
MA155	2012	2012-03-07	10	15	6.7		
MA155	2012	2012-03-07	10	30	6.6		
MA155	2012	2012-03-07	10	45	7.0		
MA155	2012	2012-03-07	11	0	6.8		
MA155	2012	2012-03-07	11	15	7.0		
MA155	2012	2012-03-07	11	30	7.7		
MA155	2012	2012-03-07	11	45	7.6		
MA155	2012	2012-03-07	12	0	7.4		
MA155	2012	2012-03-07	12	15	7.0		
MA155	2012	2012-03-07	12	30	6.8		
MA155	2012	2012-03-07	12	45	6.5		
MA155	2012	2012-03-07	13	0	6.3		
MA155	2012	2012-03-07	13	15	6.2		
MA155	2012	2012-03-07	13	30	6.3		
MA155	2012	2012-03-07	13	45	6.0		
MA155	2012	2012-03-07	14	0	5.7		
MA155	2012	2012-03-07	14	15	5.9		
MA155	2012	2012-03-07	14	30	5.7		
MA155	2012	2012-03-07	14	45	5.9		
MA155	2012	2012-03-07	15	0	6.0		
MA155	2012	2012-03-07	15	15	6.0		
MA155	2012	2012-03-07	15	30	6.3		
MA155	2012	2012-03-07	15	45	5.6		
MA155	2012	2012-03-07	16	0	5.4		
MA155	2012	2012-03-07	16	15	5.2		
MA155	2012	2012-03-07	16	30	4.3		
MA155	2012	2012-03-07	16	45	4.8		
MA155	2012	2012-03-07	17	0	4.7		
MA155	2012	2012-03-07	17	15	4.3		
MA155	2012	2012-03-07	17	30	4.4		
MA155	2012	2012-03-07	17	45	4.3		
MA155	2012	2012-03-07	18	0	4.3		
MA155	2012	2012-03-07	18	15	2.9		
MA155	2012	2012-03-07	18	30	4.4		
MA155	2012	2012-03-07	18	45	4.8		
MA155	2012	2012-03-07	19	0	4.6		
MA155	2012	2012-03-07	19	15	4.3		
MA155	2012	2012-03-07	19	30	3.5		
MA155	2012	2012-03-07	19	45	3.5		
MA155	2012	2012-03-07	20	0	2.2		
MA155	2012	2012-03-07	20	15	2.4		
MA155	2012	2012-03-07	20	30	2.6		
MA155	2012	2012-03-07	20	45	3.1		
MA155	2012	2012-03-07	21	0	3.0		
MA155	2012	2012-03-07	21	15	2.8		
MA155	2012	2012-03-07	21	30	2.9		
MA155	2012	2012-03-07	21	45	2.6		
MA155	2012	2012-03-07	22	0	3.2		
MA155	2012	2012-03-07	22	15	2.1		
MA155	2012	2012-03-07	22	30	2.5		
MA155	2012	2012-03-07	22	45	2.5		
MA155	2012	2012-03-07	23	0	2.7		
MA155	2012	2012-03-07	23	15	2.2		
MA155	2012	2012-03-07	23	30	2.7		
MA155	2012	2012-03-07	23	45	2.3		
MA155	2012	2012-03-08	0	0	2.7	3.4	1.0
MA155	2012	2012-03-08	0	15	3.0	3.2	1.0
MA155	2012	2012-03-08	0	30	2.9	3.3	1.0
MA155	2012	2012-03-08	0	45	2.7	3.2	1.0
MA155	2012	2012-03-08	1	0	2.8	3.3	1.0
MA155	2012	2012-03-08	1	15	2.4	3.5	1.0
MA155	2012	2012-03-08	1	30	2.8	3.0	1.0
MA155	2012	2012-03-08	1	45	2.7	3.0	1.0
MA155	2012	2012-03-08	2	0	2.7	2.7	1.0
MA155	2012	2012-03-08	2	15	2.8	2.7	1.0
MA155	2012	2012-03-08	2	30	2.2	2.7	1.0
MA155	2012	2012-03-08	2	45	2.6	2.8	1.0
MA155	2012	2012-03-08	3	0	2.4	2.7	1.0
MA155	2012	2012-03-08	3	15	2.4	2.4	1.0
MA155	2012	2012-03-08	3	30	3.0	3.2	1.0
MA155	2012	2012-03-08	3	45	3.7	3.0	1.0
MA155	2012	2012-03-08	4	0	4.4	3.5	1.0
MA155	2012	2012-03-08	4	15	5.1	3.9	1.0
MA155	2012	2012-03-08	4	30	5.9	4.3	1.0
MA155	2012	2012-03-08	4	45	6.5	4.3	1.0
MA155	2012	2012-03-08	5	0	7.3	4.8	1.0
MA155	2012	2012-03-08	5	15	7.8	5.4	1.0
MA155	2012	2012-03-08	5	30	7.7	5.2	1.0
MA155	2012	2012-03-08	5	45	7.7	4.9	1.0
MA155	2012	2012-03-08	6	0	7.6	5.0	1.0
MA155	2012	2012-03-08	6	15	7.7	5.0	1.0
MA155	2012	2012-03-08	6	30	8.2	5.4	1.0
MA155	2012	2012-03-08	6	45	8.3	5.8	1.0
MA155	2012	2012-03-08	7	0	8.8	6.0	1.0
MA155	2012	2012-03-08	7	15	9.3	5.2	1.0
MA155	2012	2012-03-08	7	30	9.6	5.7	1.0
MA155	2012	2012-03-08	7	45	9.4	5.7	1.0
MA155	2012	2012-03-08	8	0	9.5	6.3	1.0
MA155	2012	2012-03-08	8	15	9.6	6.2	1.0
