sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
ML449	2011	2011-01-20	0	0	3.7		
ML449	2011	2011-01-20	1	0	4.7		
ML449	2011	2011-01-20	2	0	5.5		
ML449	2011	2011-01-20	3	0	6.0		
ML449	2011	2011-01-20	4	0	5.8		
ML449	2011	2011-01-20	5	0	5.6		
ML449	2011	2011-01-20	6	0	5.7		
ML449	2011	2011-01-20	7	0	5.3		
ML449	2011	2011-01-20	8	0	4.3		
ML449	2011	2011-01-20	9	0	3.3		
ML449	2011	2011-01-20	10	0	2.4		
ML449	2011	2011-01-20	11	0	2.4		
ML449	2011	2011-01-20	12	0	2.4		
ML449	2011	2011-01-20	13	0	2.5		
ML449	2011	2011-01-20	14	0	2.7		
ML449	2011	2011-01-20	15	0	2.5		
ML449	2011	2011-01-20	16	0	2.4		
ML449	2011	2011-01-20	17	0	2.5		
ML449	2011	2011-01-20	18	0	2.5		
ML449	2011	2011-01-20	19	0	2.5		
ML449	2011	2011-01-20	20	0	2.5		
ML449	2011	2011-01-20	21	0	2.6		
ML449	2011	2011-01-20	22	0	2.3		
ML449	2011	2011-01-20	23	0	2.0		
ML449	2011	2011-01-21	0	0	3.9	3.7	1.0
ML449	2011	2011-01-21	1	0	4.8	4.7	1.0
ML449	2011	2011-01-21	2	0	5.5	5.5	1.0
ML449	2011	2011-01-21	3	0	6.9	6.0	1.0
ML449	2011	2011-01-21	4	0	6.5	5.8	1.0
ML449	2011	2011-01-21	5	0	6.2	5.6	1.0
ML449	2011	2011-01-21	6	0	5.8	5.7	1.0
ML449	2011	2011-01-21	7	0	5.5	5.3	1.0
ML449	2011	2011-01-21	8	0	5.2	4.3	1.0
ML449	2011	2011-01-21	9	0	3.5	3.3	1.0
ML449	2011	2011-01-21	10	0	2.4	2.4	1.0
ML449	2011	2011-01-21	11	0	2.8	2.4	1.0
ML449	2011	2011-01-21	12	0	2.5	2.4	1.0
ML449	2011	2011-01-21	13	0	2.4	2.5	1.0
ML449	2011	2011-01-21	14	0	2.6	2.7	1.0
ML449	2011	2011-01-21	15	0	2.8	2.5	1.0
ML449	2011	2011-01-21	16	0	2.8	2.4	1.0
ML449	2011	2011-01-21	17	0	3.0	2.5	1.0
ML449	2011	2011-01-21	18	0	3.2	2.5	1.0
ML449	2011	2011-01-21	19	0	3.1	2.5	1.0
ML449	2011	2011-01-21	20	0	2.9	2.5	1.0
ML449	2011	2011-01-21	21	0	3.1	2.6	1.0
ML449	2011	2011-01-21	22	0	2.4	2.3	1.0
ML449	2011	2011-01-21	23	0	2.2	2.0	1.0
ML449	2011	2011-01-22	0	0	4.4	3.8	2.0
ML449	2011	2011-01-22	1	0	5.1	4.75	2.0
ML449	2011	2011-01-22	2	0	5.1	5.5	2.0
ML449	2011	2011-01-22	3	0	7.4	6.45	2.0
ML449	2011	2011-01-22	4	0	6.3	6.15	2.0
ML449	2011	2011-01-22	5	0	5.5	5.9	2.0
ML449	2011	2011-01-22	6	0	5.2	5.75	2.0
ML449	2011	2011-01-22	7	0	6.0	5.4	2.0
ML449	2011	2011-01-22	8	0	4.6	4.75	2.0
ML449	2011	2011-01-22	9	0	3.9	3.4	2.0
ML449	2011	2011-01-22	10	0	2.6	2.4	2.0
ML449	2011	2011-01-22	11	0	2.5	2.5999999999999996	2.0
ML449	2011	2011-01-22	12	0	2.7	2.45	2.0
ML449	2011	2011-01-22	13	0	2.5	2.45	2.0
ML449	2011	2011-01-22	14	0	2.8	2.6500000000000004	2.0
ML449	2011	2011-01-22	15	0	2.7	2.65	2.0
ML449	2011	2011-01-22	17	0	3.0	2.75	2.0
ML449	2011	2011-01-22	18	0	2.9	2.85	2.0
ML449	2011	2011-01-22	19	0	2.8	2.8	2.0
ML449	2011	2011-01-22	20	0	2.9	2.7	2.0
ML449	2011	2011-01-22	21	0	3.0	2.85	2.0
ML449	2011	2011-01-22	22	0	2.4	2.3499999999999996	2.0
ML449	2011	2011-01-22	23	0	2.0	2.1	2.0
ML449	2011	2011-01-23	0	0	3.8	4.0	3.0
ML449	2011	2011-01-23	1	0	4.6	4.866666666666666	3.0
ML449	2011	2011-01-23	2	0	5.5	5.366666666666667	3.0
ML449	2011	2011-01-23	3	0	6.7	6.766666666666667	3.0
ML449	2011	2011-01-23	4	0	4.8	6.2	3.0
ML449	2011	2011-01-23	5	0	6.0	5.766666666666667	3.0
ML449	2011	2011-01-23	6	0	5.8	5.566666666666666	3.0
ML449	2011	2011-01-23	7	0	5.8	5.6000000000000005	3.0
ML449	2011	2011-01-23	8	0	4.7	4.7	3.0
ML449	2011	2011-01-23	9	0	3.8	3.5666666666666664	3.0
ML449	2011	2011-01-23	10	0	2.9	2.466666666666667	3.0
ML449	2011	2011-01-23	11	0	2.5	2.5666666666666664	3.0
ML449	2011	2011-01-23	12	0	2.6	2.5333333333333337	3.0
ML449	2011	2011-01-23	13	0	2.4	2.466666666666667	3.0
ML449	2011	2011-01-23	14	0	3.0	2.7000000000000006	3.0
ML449	2011	2011-01-23	15	0	3.1	2.6666666666666665	3.0
ML449	2011	2011-01-23	16	0	3.1	2.5999999999999996	2.0
ML449	2011	2011-01-23	17	0	3.1	2.8333333333333335	3.0
ML449	2011	2011-01-23	18	0	3.4	2.8666666666666667	3.0
ML449	2011	2011-01-23	19	0	3.4	2.7999999999999994	3.0
ML449	2011	2011-01-23	20	0	3.6	2.766666666666667	3.0
ML449	2011	2011-01-23	21	0	3.2	2.9	3.0
ML449	2011	2011-01-23	22	0	3.2	2.3666666666666667	3.0
ML449	2011	2011-01-23	23	0	2.1	2.066666666666667	3.0
ML449	2011	2011-01-24	0	0	3.9	3.95	4.0
ML449	2011	2011-01-24	1	0	4.6	4.8	4.0
ML449	2011	2011-01-24	2	0	4.7	5.4	4.0
ML449	2011	2011-01-24	3	0	6.4	6.75	4.0
ML449	2011	2011-01-24	4	0	5.8	5.8500000000000005	4.0
ML449	2011	2011-01-24	5	0	5.8	5.825	4.0
ML449	2011	2011-01-24	6	0	5.2	5.625	4.0
ML449	2011	2011-01-24	7	0	5.5	5.65	4.0
ML449	2011	2011-01-24	8	0	4.9	4.7	4.0
ML449	2011	2011-01-24	9	0	4.2	3.625	4.0
ML449	2011	2011-01-24	10	0	2.8	2.575	4.0
ML449	2011	2011-01-24	11	0	2.7	2.55	4.0
ML449	2011	2011-01-24	12	0	2.5	2.5500000000000003	4.0
ML449	2011	2011-01-24	13	0	2.4	2.45	4.0
ML449	2011	2011-01-24	14	0	2.6	2.7750000000000004	4.0
ML449	2011	2011-01-24	15	0	2.8	2.775	4.0
ML449	2011	2011-01-24	16	0	3.0	2.766666666666666	3.0
ML449	2011	2011-01-24	17	0	3.0	2.9	4.0
ML449	2011	2011-01-24	18	0	3.0	3.0	4.0
ML449	2011	2011-01-24	19	0	3.1	2.9499999999999997	4.0
ML449	2011	2011-01-24	20	0	3.0	2.975	4.0
ML449	2011	2011-01-24	21	0	3.0	2.9749999999999996	4.0
ML449	2011	2011-01-24	22	0	2.5	2.575	4.0
ML449	2011	2011-01-24	23	0	2.3	2.075	4.0
ML449	2011	2011-01-25	0	0	3.9	3.94	5.0
ML449	2011	2011-01-25	1	0	5.2	4.76	5.0
ML449	2011	2011-01-25	2	0	5.8	5.26	5.0
ML449	2011	2011-01-25	3	0	6.8	6.68	5.0
ML449	2011	2011-01-25	4	0	5.8	5.840000000000001	5.0
ML449	2011	2011-01-25	5	0	6.0	5.82	5.0
ML449	2011	2011-01-25	6	0	5.6	5.54	5.0
ML449	2011	2011-01-25	7	0	5.4	5.62	5.0
ML449	2011	2011-01-25	8	0	5.2	4.74	5.0
ML449	2011	2011-01-25	9	0	4.3	3.7399999999999998	5.0
ML449	2011	2011-01-25	10	0	3.0	2.62	5.0
ML449	2011	2011-01-25	11	0	2.8	2.5799999999999996	5.0
ML449	2011	2011-01-25	12	0	2.5	2.54	5.0
ML449	2011	2011-01-25	13	0	2.5	2.4400000000000004	5.0
ML449	2011	2011-01-25	14	0	2.6	2.74	5.0
ML449	2011	2011-01-25	15	0	2.8	2.78	5.0
ML449	2011	2011-01-25	16	0	3.1	2.8249999999999997	4.0
ML449	2011	2011-01-25	17	0	3.2	2.92	5.0
ML449	2011	2011-01-25	18	0	3.2	3.0	5.0
ML449	2011	2011-01-25	19	0	3.3	2.9799999999999995	5.0
ML449	2011	2011-01-25	20	0	3.0	2.98	5.0
ML449	2011	2011-01-25	21	0	3.2	2.9799999999999995	5.0
ML449	2011	2011-01-25	22	0	2.9	2.56	5.0
ML449	2011	2011-01-25	23	0	2.6	2.12	5.0
ML449	2011	2011-01-26	0	0	3.7	3.933333333333333	6.0
ML449	2011	2011-01-26	1	0	4.9	4.833333333333333	6.0
ML449	2011	2011-01-26	2	0	5.0	5.3500000000000005	6.0
ML449	2011	2011-01-26	3	0	5.0	6.699999999999999	6.0
ML449	2011	2011-01-26	4	0	6.6	5.833333333333333	6.0
ML449	2011	2011-01-26	5	0	5.5	5.8500000000000005	6.0
ML449	2011	2011-01-26	6	0	5.7	5.55	6.0
ML449	2011	2011-01-26	7	0	6.8	5.583333333333333	6.0
ML449	2011	2011-01-26	8	0	5.3	4.816666666666667	6.0
ML449	2011	2011-01-26	9	0	4.3	3.8333333333333335	6.0
ML449	2011	2011-01-26	10	0	3.1	2.6833333333333336	6.0
ML449	2011	2011-01-26	11	0	2.9	2.6166666666666667	6.0
ML449	2011	2011-01-26	12	0	2.7	2.5333333333333337	6.0
ML449	2011	2011-01-26	13	0	2.8	2.45	6.0
ML449	2011	2011-01-26	14	0	3.2	2.716666666666667	6.0
ML449	2011	2011-01-26	15	0	3.2	2.783333333333333	6.0
ML449	2011	2011-01-26	16	0	3.4	2.88	5.0
ML449	2011	2011-01-26	17	0	3.4	2.966666666666667	6.0
ML449	2011	2011-01-26	18	0	3.5	3.033333333333333	6.0
ML449	2011	2011-01-26	19	0	3.5	3.033333333333333	6.0
ML449	2011	2011-01-26	20	0	3.8	2.983333333333333	6.0
ML449	2011	2011-01-26	21	0	3.4	3.016666666666666	6.0
ML449	2011	2011-01-26	22	0	3.8	2.6166666666666667	6.0
ML449	2011	2011-01-26	23	0	3.0	2.2	6.0
ML449	2011	2011-01-27	0	0	4.1	3.8999999999999995	7.0
ML449	2011	2011-01-27	1	0	4.7	4.8428571428571425	7.0
ML449	2011	2011-01-27	2	0	6.0	5.3	7.0
ML449	2011	2011-01-27	3	0	5.9	6.457142857142856	7.0
ML449	2011	2011-01-27	4	0	6.1	5.942857142857143	7.0
ML449	2011	2011-01-27	5	0	5.3	5.8	7.0
ML449	2011	2011-01-27	6	0	7.0	5.571428571428571	7.0
ML449	2011	2011-01-27	7	0	5.9	5.757142857142857	7.0
ML449	2011	2011-01-27	8	0	5.2	4.885714285714286	7.0
ML449	2011	2011-01-27	9	0	4.4	3.9	7.0
ML449	2011	2011-01-27	10	0	3.3	2.7428571428571433	7.0
ML449	2011	2011-01-27	11	0	3.2	2.657142857142857	7.0
ML449	2011	2011-01-27	12	0	2.6	2.5571428571428574	7.0
ML449	2011	2011-01-27	13	0	2.2	2.5	7.0
ML449	2011	2011-01-27	14	0	2.5	2.7857142857142856	7.0
ML449	2011	2011-01-27	15	0	2.8	2.8428571428571425	7.0
ML449	2011	2011-01-27	16	0	3.2	2.9666666666666663	6.0
ML449	2011	2011-01-27	17	0	3.1	3.0285714285714285	7.0
ML449	2011	2011-01-27	18	0	3.0	3.1	7.0
ML449	2011	2011-01-27	19	0	3.1	3.1	7.0
ML449	2011	2011-01-27	20	0	3.0	3.1	7.0
ML449	2011	2011-01-27	21	0	3.0	3.0714285714285707	7.0
ML449	2011	2011-01-27	22	0	3.1	2.7857142857142856	7.0
ML449	2011	2011-01-27	23	0	2.3	2.3142857142857145	7.0
ML449	2011	2011-01-28	0	0	4.4	3.925	8.0
ML449	2011	2011-01-28	1	0	4.5	4.825	8.0
ML449	2011	2011-01-28	2	0	4.8	5.3875	8.0
ML449	2011	2011-01-28	3	0	6.3	6.387499999999999	8.0
ML449	2011	2011-01-28	4	0	6.1	5.9625	8.0
ML449	2011	2011-01-28	5	0	5.2	5.7375	8.0
ML449	2011	2011-01-28	6	0	6.2	5.75	8.0
ML449	2011	2011-01-28	7	0	5.4	5.7749999999999995	8.0
ML449	2011	2011-01-28	8	0	5.2	4.925000000000001	8.0
ML449	2011	2011-01-28	9	0	3.9	3.9625000000000004	8.0
ML449	2011	2011-01-28	10	0	2.8	2.8125000000000004	8.0
ML449	2011	2011-01-28	11	0	2.5	2.7249999999999996	8.0
ML449	2011	2011-01-28	12	0	2.6	2.5625000000000004	8.0
ML449	2011	2011-01-28	13	0	2.7	2.4625	8.0
ML449	2011	2011-01-28	14	0	2.6	2.75	8.0
ML449	2011	2011-01-28	15	0	3.0	2.8375	8.0
ML449	2011	2011-01-28	16	0	3.3	2.9999999999999996	7.0
ML449	2011	2011-01-28	17	0	3.4	3.0375	8.0
ML449	2011	2011-01-28	18	0	3.4	3.0875	8.0
ML449	2011	2011-01-28	19	0	3.5	3.1	8.0
ML449	2011	2011-01-29	0	0	3.9	3.9777777777777774	9.0
ML449	2011	2011-01-29	1	0	4.9	4.788888888888889	9.0
ML449	2011	2011-01-29	2	0	6.0	5.322222222222222	9.0
ML449	2011	2011-01-29	3	0	6.7	6.377777777777776	9.0
ML449	2011	2011-01-29	4	0	5.8	5.977777777777778	9.0
ML449	2011	2011-01-29	5	0	6.1	5.677777777777778	9.0
ML449	2011	2011-01-29	6	0	6.2	5.800000000000001	9.0
ML449	2011	2011-01-29	7	0	5.4	5.7333333333333325	9.0
ML449	2011	2011-01-29	8	0	5.7	4.955555555555557	9.0
ML449	2011	2011-01-29	9	0	4.0	3.9555555555555557	9.0
ML449	2011	2011-01-29	10	0	4.2	2.811111111111112	9.0
ML449	2011	2011-01-29	11	0	4.3	2.6999999999999997	9.0
ML449	2011	2011-01-29	18	0	3.6	3.122222222222222	9.0
ML449	2011	2011-01-29	19	0	3.6	3.1444444444444444	9.0
ML449	2011	2011-01-29	20	0	3.8	3.0875	8.0
ML449	2011	2011-01-29	21	0	3.7	3.0624999999999996	8.0
ML449	2011	2011-01-29	22	0	3.1	2.825	8.0
ML449	2011	2011-01-29	23	0	3.1	2.3125000000000004	8.0
ML449	2011	2011-01-30	0	0	5.1	3.9699999999999998	10.0
ML449	2011	2011-01-30	1	0	5.4	4.8	10.0
ML449	2011	2011-01-30	2	0	5.5	5.39	10.0
ML449	2011	2011-01-30	3	0	6.0	6.409999999999999	10.0
ML449	2011	2011-01-30	4	0	6.4	5.96	10.0
ML449	2011	2011-01-30	5	0	5.9	5.720000000000001	10.0
ML449	2011	2011-01-30	6	0	5.9	5.840000000000001	10.0
ML449	2011	2011-01-30	7	0	5.2	5.699999999999999	10.0
ML449	2011	2011-01-30	8	0	5.1	5.030000000000001	10.0
ML449	2011	2011-01-30	9	0	4.5	3.96	10.0
