sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MM168	2005	2005-03-30	16	0	5.1		
MM168	2005	2005-03-30	17	0	4.4		
MM168	2005	2005-03-30	18	0	3.0		
MM168	2005	2005-03-30	19	0	2.8		
MM168	2005	2005-03-30	20	0	2.7		
MM168	2005	2005-03-30	21	0	3.1		
MM168	2005	2005-03-30	22	0	2.9		
MM168	2005	2005-03-30	23	0	3.2		
MM168	2005	2005-03-31	0	0	2.9		
MM168	2005	2005-03-31	1	0			
MM168	2005	2005-03-31	2	0			
MM168	2005	2005-03-31	3	0	3.2		
MM168	2005	2005-03-31	4	0	3.8		
MM168	2005	2005-03-31	5	0	4.3		
MM168	2005	2005-03-31	6	0	4.6		
MM168	2005	2005-03-31	7	0	4.8		
MM168	2005	2005-03-31	8	0	5.3		
MM168	2005	2005-03-31	9	0	5.8		
MM168	2005	2005-03-31	10	0			
MM168	2005	2005-03-31	11	0	6.3		
MM168	2005	2005-03-31	12	0	5.9		
MM168	2005	2005-03-31	13	0	5.7		
MM168	2005	2005-03-31	14	0	5.8		
MM168	2005	2005-03-31	15	0	5.6		
MM168	2005	2005-03-31	16	0	5.5	5.1	1.0
MM168	2005	2005-03-31	17	0	5.3	4.4	1.0
MM168	2005	2005-03-31	18	0	4.8	3.0	1.0
MM168	2005	2005-03-31	19	0	3.3	2.8	1.0
MM168	2005	2005-03-31	20	0		2.7	1.0
MM168	2005	2005-03-31	21	0		3.1	1.0
MM168	2005	2005-03-31	22	0		2.9	1.0
MM168	2005	2005-03-31	23	0	3.5	3.2	1.0
MM168	2005	2005-04-01	0	0	3.0	2.9	1.0
MM168	2005	2005-04-01	1	0	2.9		0.0
MM168	2005	2005-04-01	2	0	2.5		0.0
MM168	2005	2005-04-01	3	0	2.9	3.2	1.0
MM168	2005	2005-04-01	4	0	3.6	3.8	1.0
MM168	2005	2005-04-01	5	0	4.0	4.3	1.0
MM168	2005	2005-04-01	6	0	4.3	4.6	1.0
MM168	2005	2005-04-01	7	0	4.5	4.8	1.0
MM168	2005	2005-04-01	8	0	5.0	5.3	1.0
MM168	2005	2005-04-01	9	0	4.4	5.8	1.0
MM168	2005	2005-04-01	10	0	5.2		0.0
MM168	2005	2005-04-01	11	0	4.8	6.3	1.0
MM168	2005	2005-04-01	12	0	5.0	5.9	1.0
MM168	2005	2005-04-01	13	0	5.2	5.7	1.0
MM168	2005	2005-04-01	14	0	5.0	5.8	1.0
MM168	2005	2005-04-01	15	0	5.0	5.6	1.0
MM168	2005	2005-04-01	16	0	5.1	5.3	2.0
MM168	2005	2005-04-01	17	0	4.7	4.85	2.0
MM168	2005	2005-04-01	18	0	4.8	3.9	2.0
MM168	2005	2005-04-01	19	0	4.1	3.05	2.0
MM168	2005	2005-04-01	20	0	3.2	2.7	1.0
MM168	2005	2005-04-01	21	0	3.3	3.1	1.0
MM168	2005	2005-04-01	22	0	3.3	2.9	1.0
MM168	2005	2005-04-01	23	0	3.1	3.35	2.0
MM168	2005	2005-04-02	0	0	2.9	2.95	2.0
MM168	2005	2005-04-02	1	0	3.5	2.9	1.0
MM168	2005	2005-04-02	2	0	2.6	2.5	1.0
MM168	2005	2005-04-02	3	0	3.0	3.05	2.0
MM168	2005	2005-04-02	4	0	3.8	3.7	2.0
MM168	2005	2005-04-02	5	0	4.2	4.15	2.0
MM168	2005	2005-04-02	6	0	4.8	4.449999999999999	2.0
MM168	2005	2005-04-02	7	0	4.8	4.65	2.0
MM168	2005	2005-04-02	8	0	4.7	5.15	2.0
MM168	2005	2005-04-02	9	0	5.6	5.1	2.0
