sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MQ55M	2003	2003-04-04	3	0	9.326		
MQ55M	2004	2004-01-28	0	0	4.392		
MQ55M	2004	2004-01-28	1	0	9.662		
MQ55M	2004	2004-01-28	2	0	22.017		
MQ55M	2004	2004-01-28	3	0	4.435	9.326	1.0
MQ55M	2004	2004-01-28	4	0	5.484		
MQ55M	2004	2004-01-28	5	0	5.407		
MQ55M	2004	2004-01-28	6	0	8.417		
MQ55M	2004	2004-01-28	7	0	6.737		
MQ55M	2004	2004-01-28	8	0	5.4		
MQ55M	2004	2004-01-28	9	0	4.79		
MQ55M	2004	2004-01-28	10	0	19.096		
MQ55M	2004	2004-01-28	15	0	4.18		
MQ55M	2004	2004-01-28	18	0	20.862		
MQ55M	2004	2004-01-28	19	0	3.585		
MQ55M	2004	2004-01-28	20	0	5.28		
MQ55M	2004	2004-01-28	21	0	4.343		
MQ55M	2004	2004-01-28	22	0	3.617		
MQ55M	2004	2004-01-28	23	0	4.349		
MQ55M	2004	2004-01-29	0	0	5.147	4.392	1.0
MQ55M	2004	2004-01-29	1	0	4.891	9.662	1.0
MQ55M	2004	2004-01-29	2	0	5.528	22.017	1.0
MQ55M	2004	2004-01-29	3	0	4.404	6.8805	2.0
MQ55M	2004	2004-01-29	4	0	6.228	5.484	1.0
MQ55M	2004	2004-01-29	5	0	5.609	5.407	1.0
MQ55M	2004	2004-01-29	6	0	5.734	8.417	1.0
MQ55M	2004	2004-01-29	7	0	5.886	6.737	1.0
MQ55M	2004	2004-01-29	8	0	5.831	5.4	1.0
MQ55M	2004	2004-01-29	9	0	5.065	4.79	1.0
MQ55M	2004	2004-01-29	10	0	4.675	19.096	1.0
MQ55M	2004	2004-01-29	12	0	4.115		
MQ55M	2004	2004-01-29	13	0	5.805		
MQ55M	2004	2004-01-29	15	0	4.426	4.18	1.0
MQ55M	2004	2004-01-29	16	0	3.937		
MQ55M	2004	2004-01-29	17	0	3.187		
MQ55M	2004	2004-01-29	18	0	3.464	20.862	1.0
MQ55M	2004	2004-01-29	19	0	4.0360000000000005	3.585	1.0
MQ55M	2004	2004-01-29	20	0	3.929	5.28	1.0
MQ55M	2004	2004-01-29	21	0	4.759	4.343	1.0
MQ55M	2004	2004-01-29	22	0	5.2010000000000005	3.617	1.0
MQ55M	2004	2004-01-29	23	0	4.342	4.349	1.0
MQ55M	2004	2004-01-30	0	0	5.7070000000000025	4.769500000000001	2.0
MQ55M	2004	2004-01-30	1	0	5.545	7.2765	2.0
MQ55M	2004	2004-01-30	2	0	5.822	13.772499999999999	2.0
MQ55M	2004	2004-01-30	3	0	4.652	6.055	3.0
MQ55M	2004	2004-01-30	4	0	4.441	5.856	2.0
MQ55M	2004	2004-01-30	5	0	6.04	5.508	2.0
MQ55M	2004	2004-01-30	6	0		7.0755	2.0
MQ55M	2004	2004-01-30	7	0	11.295	6.3115000000000006	2.0
MQ55M	2004	2004-01-30	8	0	5.166	5.615500000000001	2.0
MQ55M	2004	2004-01-30	9	0	7.662000000000001	4.9275	2.0
MQ55M	2004	2004-01-30	13	0	4.107	5.805	1.0
MQ55M	2004	2004-01-30	14	0	6.473		
MQ55M	2004	2004-01-30	16	0	21.5	3.937	1.0
MQ55M	2004	2004-01-30	17	0	3.132	3.187	1.0
