sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MU43K	2004	2004-11-06	0	0	6.803		
MU43K	2004	2004-11-06	1	0	20.965		
MU43K	2004	2004-11-06	2	0	7.943		
MU43K	2004	2004-11-06	3	0	8.47		
MU43K	2004	2004-11-06	4	0	8.209		
MU43K	2004	2004-11-06	5	0	8.852		
MU43K	2004	2004-11-06	6	0	9.174		
MU43K	2004	2004-11-06	7	0	9.471		
MU43K	2004	2004-11-06	8	0	8.854		
MU43K	2004	2004-11-06	9	0	8.934		
MU43K	2004	2004-11-06	10	0	8.589		
MU43K	2004	2004-11-06	11	0	8.18		
MU43K	2004	2004-11-06	12	0	7.582000000000002		
MU43K	2004	2004-11-06	13	0	5.789		
MU43K	2004	2004-11-06	14	0	4.975		
MU43K	2004	2004-11-06	15	0	4.968		
MU43K	2004	2004-11-06	16	0	4.848		
MU43K	2004	2004-11-06	17	0	4.775		
MU43K	2004	2004-11-06	18	0	4.3		
MU43K	2004	2004-11-06	19	0	4.08		
MU43K	2004	2004-11-06	20	0	3.945		
MU43K	2004	2004-11-06	21	0	4.15		
MU43K	2004	2004-11-06	22	0	5.75		
MU43K	2004	2004-11-06	23	0	7.383999999999999		
MU43K	2004	2004-11-07	0	0	7.398	6.803	1.0
MU43K	2004	2004-11-07	1	0	7.1320000000000014	20.965	1.0
MU43K	2004	2004-11-07	2	0	7.1229999999999976	7.943	1.0
MU43K	2004	2004-11-07	3	0		8.47	1.0
MU43K	2004	2004-11-07	4	0	8.273	8.209	1.0
MU43K	2004	2004-11-07	5	0	8.59	8.852	1.0
MU43K	2004	2004-11-07	6	0	8.066	9.174	1.0
MU43K	2004	2004-11-07	7	0	9.436	9.471	1.0
MU43K	2004	2004-11-07	8	0	8.846	8.854	1.0
MU43K	2004	2004-11-07	9	0	8.439	8.934	1.0
MU43K	2004	2004-11-07	10	0	8.147	8.589	1.0
MU43K	2004	2004-11-07	11	0	7.947999999999999	8.18	1.0
MU43K	2004	2004-11-07	12	0	7.212999999999999	7.582000000000002	1.0
MU43K	2004	2004-11-07	13	0	6.319	5.789	1.0
MU43K	2004	2004-11-07	14	0	6.103	4.975	1.0
MU43K	2004	2004-11-07	15	0	5.487	4.968	1.0
MU43K	2004	2004-11-07	16	0	5.365	4.848	1.0
MU43K	2004	2004-11-07	17	0	4.907	4.775	1.0
MU43K	2004	2004-11-07	18	0	4.518	4.3	1.0
MU43K	2004	2004-11-07	19	0	4.553	4.08	1.0
MU43K	2004	2004-11-07	20	0	4.558	3.945	1.0
MU43K	2004	2004-11-07	21	0	4.643	4.15	1.0
MU43K	2004	2004-11-07	22	0	4.058	5.75	1.0
MU43K	2004	2004-11-07	23	0	4.2360000000000015	7.383999999999999	1.0
MU43K	2004	2004-11-08	0	0	4.067	7.1005	2.0
MU43K	2004	2004-11-08	1	0	4.203	14.0485	2.0
MU43K	2004	2004-11-08	2	0	4.3039999999999985	7.532999999999999	2.0
MU43K	2004	2004-11-08	3	0	4.272	8.47	1.0
MU43K	2004	2004-11-08	4	0	17.413	8.241	2.0
MU43K	2004	2004-11-08	5	0	22.21	8.721	2.0
MU43K	2004	2004-11-08	6	0	4.458	8.620000000000001	2.0
MU43K	2004	2004-11-08	7	0	4.857	9.4535	2.0
MU43K	2004	2004-11-08	8	0	5.02	8.85	2.0
MU43K	2004	2004-11-08	9	0	5.23	8.686499999999999	2.0
MU43K	2004	2004-11-08	10	0	8.136000000000001	8.368	2.0
MU43K	2004	2004-11-08	11	0	5.964	8.064	2.0
MU43K	2004	2004-11-08	12	0	6.471	7.397500000000001	2.0
MU43K	2004	2004-11-08	13	0	6.175	6.054	2.0
MU43K	2004	2004-11-08	14	0	4.784	5.539	2.0
MU43K	2004	2004-11-08	15	0	3.995	5.2275	2.0
MU43K	2004	2004-11-08	16	0	3.221	5.1065000000000005	2.0
MU43K	2004	2004-11-08	17	0	2.652	4.841	2.0
MU43K	2004	2004-11-08	18	0	3.268	4.409	2.0
MU43K	2004	2004-11-08	19	0	3.72	4.3165	2.0
MU43K	2004	2004-11-08	20	0	2.7880000000000003	4.2515	2.0
MU43K	2004	2004-11-08	21	0	3.129	4.3965	2.0
MU43K	2004	2004-11-08	22	0	3.987	4.904	2.0
MU43K	2004	2004-11-08	23	0		5.8100000000000005	2.0
MU43K	2004	2004-11-09	0	0	6.291	6.089333333333333	3.0
MU43K	2004	2004-11-09	1	0	11.064	10.766666666666667	3.0
MU43K	2004	2004-11-09	2	0	7.817	6.456666666666666	3.0
MU43K	2004	2004-11-09	3	0	8.068999999999999	6.371	2.0
MU43K	2004	2004-11-09	4	0	9.226	11.298333333333332	3.0
MU43K	2004	2004-11-09	5	0		13.217333333333334	3.0
MU43K	2004	2004-11-09	6	0	8.738999999999999	7.232666666666667	3.0
MU43K	2004	2004-11-09	7	0	7.381	7.921333333333333	3.0
MU43K	2004	2004-11-09	8	0	6.8870000000000005	7.573333333333333	3.0
MU43K	2004	2004-11-09	9	0	6.26	7.534333333333333	3.0
MU43K	2004	2004-11-09	10	0	5.7189999999999985	8.290666666666667	3.0
MU43K	2004	2004-11-09	11	0	5.289	7.364	3.0
MU43K	2004	2004-11-09	12	0	4.607	7.088666666666668	3.0
MU43K	2004	2004-11-09	13	0	4.221	6.094333333333334	3.0
MU43K	2004	2004-11-09	14	0	4.34	5.287333333333333	3.0
MU43K	2004	2004-11-09	15	0	3.972	4.816666666666666	3.0
MU43K	2004	2004-11-09	16	0	3.361	4.478000000000001	3.0
MU43K	2004	2004-11-09	17	0	3.289	4.1113333333333335	3.0
MU43K	2004	2004-11-09	18	0	2.494	4.028666666666666	3.0
MU43K	2004	2004-11-09	19	0	7.062	4.117666666666667	3.0
MU43K	2004	2004-11-09	20	0		3.763666666666667	3.0
MU43K	2004	2004-11-09	21	0	2.86	3.9739999999999998	3.0
MU43K	2004	2004-11-09	22	0	2.992	4.598333333333334	3.0
MU43K	2004	2004-11-09	23	0	5.172999999999999	5.8100000000000005	2.0
MU43K	2004	2004-11-10	0	0	3.63	6.13975	4.0
MU43K	2004	2004-11-10	1	0	3.862	10.841000000000001	4.0
MU43K	2004	2004-11-10	2	0	15.343	6.796749999999999	4.0
MU43K	2004	2004-11-10	3	0		6.937	3.0
MU43K	2004	2004-11-10	4	0	17.423	10.780249999999999	4.0
MU43K	2004	2004-11-10	5	0	17.028	13.217333333333334	3.0
MU43K	2004	2004-11-10	6	0	23.25800000000001	7.609249999999999	4.0
MU43K	2004	2004-11-10	7	0		7.78625	4.0
MU43K	2004	2004-11-10	8	0	3.812	7.40175	4.0
MU43K	2004	2004-11-10	9	0	5.7410000000000005	7.21575	4.0
MU43K	2004	2004-11-10	10	0	5.643	7.647749999999999	4.0
MU43K	2004	2004-11-10	11	0	7.587999999999999	6.84525	4.0
MU43K	2004	2004-11-10	12	0	4.459	6.46825	4.0
MU43K	2004	2004-11-10	13	0	5.686	5.626	4.0
MU43K	2004	2004-11-10	14	0	4.385	5.0504999999999995	4.0
MU43K	2004	2004-11-10	15	0	4.2	4.6055	4.0
MU43K	2004	2004-11-10	16	0	3.411	4.19875	4.0
MU43K	2004	2004-11-10	17	0	4.086	3.90575	4.0
MU43K	2004	2004-11-10	18	0	2.552	3.6449999999999996	4.0
MU43K	2004	2004-11-10	19	0	2.797	4.85375	4.0
MU43K	2004	2004-11-10	20	0	1.932	3.763666666666667	3.0
MU43K	2004	2004-11-10	21	0	2.5980000000000003	3.6954999999999996	4.0
MU43K	2004	2004-11-10	22	0	4.296	4.19675	4.0
MU43K	2004	2004-11-10	23	0	5.434	5.597666666666666	3.0
MU43K	2004	2004-11-11	0	0	5.705	5.6378	5.0
MU43K	2004	2004-11-11	1	0	5.666	9.445200000000002	5.0
MU43K	2004	2004-11-11	2	0	4.381	8.506	5.0
MU43K	2004	2004-11-11	3	0	4.6560000000000015	6.937	3.0
MU43K	2004	2004-11-11	4	0	4.34	12.108799999999999	5.0
MU43K	2004	2004-11-11	5	0	5.989	14.17	4.0
MU43K	2004	2004-11-11	6	0	5.904	10.739	5.0
MU43K	2004	2004-11-11	7	0	6.14	7.78625	4.0
MU43K	2004	2004-11-11	8	0	5.659	6.6838	5.0
MU43K	2004	2004-11-11	9	0	5.7189999999999985	6.9208	5.0
MU43K	2004	2004-11-11	10	0	6.2029999999999985	7.246799999999999	5.0
MU43K	2004	2004-11-11	11	0	5.4270000000000005	6.9938	5.0
MU43K	2004	2004-11-11	12	0	5.5539999999999985	6.0664	5.0
MU43K	2004	2004-11-11	13	0	4.457	5.638	5.0
MU43K	2004	2004-11-11	14	0	14.837	4.917399999999999	5.0
MU43K	2004	2004-11-11	15	0	3.522	4.5244	5.0
MU43K	2004	2004-11-11	16	0	2.917	4.041200000000001	5.0
MU43K	2004	2004-11-11	17	0	5.54	3.9417999999999997	5.0
MU43K	2004	2004-11-11	18	0	3.363	3.4263999999999997	5.0
MU43K	2004	2004-11-11	19	0		4.4424	5.0
MU43K	2004	2004-11-11	20	0	2.206	3.30575	4.0
MU43K	2004	2004-11-11	21	0	2.877	3.476	5.0
MU43K	2004	2004-11-11	22	0	4.349	4.2166	5.0
MU43K	2004	2004-11-11	23	0	5.0	5.55675	4.0
MU43K	2004	2004-11-12	0	0	5.416	5.649	6.0
MU43K	2004	2004-11-12	1	0	5.9220000000000015	8.815333333333335	6.0
MU43K	2004	2004-11-12	2	0	6.051	7.8185	6.0
MU43K	2004	2004-11-12	3	0	6.733	6.366750000000001	4.0
MU43K	2004	2004-11-12	4	0	7.022	10.814	6.0
MU43K	2004	2004-11-12	5	0	7.944	12.5338	5.0
MU43K	2004	2004-11-12	6	0	6.55	9.933166666666667	6.0
MU43K	2004	2004-11-12	7	0	5.876	7.456999999999999	5.0
MU43K	2004	2004-11-12	8	0	5.535	6.512999999999999	6.0
MU43K	2004	2004-11-12	9	0	5.7879999999999985	6.7205	6.0
MU43K	2004	2004-11-12	10	0	5.295	7.072833333333332	6.0
MU43K	2004	2004-11-12	11	0	5.817	6.732666666666667	6.0
MU43K	2004	2004-11-12	12	0	5.199	5.980999999999999	6.0
MU43K	2004	2004-11-12	13	0	4.431	5.441166666666667	6.0
MU43K	2004	2004-11-12	14	0	4.3180000000000005	6.570666666666665	6.0
MU43K	2004	2004-11-12	15	0	3.71	4.357333333333333	6.0
MU43K	2004	2004-11-12	16	0	3.136	3.853833333333334	6.0
MU43K	2004	2004-11-12	17	0	2.994	4.208166666666666	6.0
MU43K	2004	2004-11-12	18	0	2.915	3.415833333333333	6.0
MU43K	2004	2004-11-12	19	0	2.841	4.4424	5.0
MU43K	2004	2004-11-12	20	0	2.72	3.0858	5.0
MU43K	2004	2004-11-12	21	0	2.83	3.3761666666666663	6.0
MU43K	2004	2004-11-12	23	0	3.897	5.4454	5.0
MU43K	2004	2004-11-13	0	0	4.138	5.615714285714286	7.0
MU43K	2004	2004-11-13	1	0	4.302	8.402000000000003	7.0
MU43K	2004	2004-11-13	2	0	4.447	7.566000000000001	7.0
MU43K	2004	2004-11-13	3	0	4.464	6.44	5.0
MU43K	2004	2004-11-13	4	0	4.459	10.272285714285715	7.0
MU43K	2004	2004-11-13	5	0	4.985	11.768833333333333	6.0
MU43K	2004	2004-11-13	6	0	5.099	9.449857142857143	7.0
MU43K	2004	2004-11-13	7	0	5.1320000000000014	7.193499999999999	6.0
MU43K	2004	2004-11-13	8	0	5.1160000000000005	6.373285714285714	7.0
MU43K	2004	2004-11-13	9	0	5.006	6.587285714285714	7.0
MU43K	2004	2004-11-13	10	0	4.95	6.818857142857142	7.0
MU43K	2004	2004-11-13	11	0	5.027	6.601857142857143	7.0
MU43K	2004	2004-11-13	12	0	5.266	5.869285714285714	7.0
MU43K	2004	2004-11-13	13	0	4.591	5.296857142857142	7.0
MU43K	2004	2004-11-13	14	0	4.754	6.248857142857141	7.0
MU43K	2004	2004-11-13	15	0	3.954	4.264857142857143	7.0
MU43K	2004	2004-11-13	16	0	3.945	3.751285714285715	7.0
MU43K	2004	2004-11-13	17	0	3.663	4.034714285714285	7.0
MU43K	2004	2004-11-13	18	0	3.614	3.344285714285714	7.0
MU43K	2004	2004-11-13	19	0	3.654	4.1755	6.0
MU43K	2004	2004-11-13	20	0	3.4760000000000004	3.0248333333333335	6.0
MU43K	2004	2004-11-13	21	0	3.199	3.2981428571428566	7.0
MU43K	2004	2004-11-13	22	0	4.2639999999999985	4.238666666666666	6.0
MU43K	2004	2004-11-13	23	0	4.782	5.187333333333333	6.0
MU43K	2004	2004-11-14	0	0	4.8610000000000015	5.431	8.0
MU43K	2004	2004-11-14	1	0	5.624	7.889500000000002	8.0
MU43K	2004	2004-11-14	2	0	4.747	7.176125000000001	8.0
MU43K	2004	2004-11-14	3	0	5.791	6.110666666666667	6.0
MU43K	2004	2004-11-14	4	0	6.744	9.545625000000001	8.0
MU43K	2004	2004-11-14	5	0	8.193999999999999	10.799714285714286	7.0
MU43K	2004	2004-11-14	6	0	8.062000000000001	8.906	8.0
MU43K	2004	2004-11-14	7	0	7.757999999999999	6.898999999999999	7.0
MU43K	2004	2004-11-14	8	0	7.636	6.216125	8.0
MU43K	2004	2004-11-14	9	0	7.099	6.389625	8.0
MU43K	2004	2004-11-14	10	0	6.876	6.585249999999999	8.0
MU43K	2004	2004-11-14	11	0	6.3610000000000015	6.405	8.0
MU43K	2004	2004-11-14	12	0	5.768	5.793874999999999	8.0
MU43K	2004	2004-11-14	13	0	5.001	5.208625	8.0
MU43K	2004	2004-11-14	14	0	4.448	6.0619999999999985	8.0
MU43K	2004	2004-11-14	15	0	4.387	4.226	8.0
MU43K	2004	2004-11-14	16	0	4.2	3.7755000000000005	8.0
MU43K	2004	2004-11-14	17	0	4.0280000000000005	3.98825	8.0
MU43K	2004	2004-11-14	18	0	3.915	3.3779999999999997	8.0
MU43K	2004	2004-11-14	19	0	3.898	4.101	7.0
MU43K	2004	2004-11-14	20	0	3.39	3.0892857142857144	7.0
MU43K	2004	2004-11-14	21	0	3.495	3.2857499999999993	8.0
MU43K	2004	2004-11-14	22	0	4.863	4.242285714285714	7.0
MU43K	2004	2004-11-14	23	0		5.129428571428571	7.0
MU43K	2004	2004-11-15	0	0	5.558	5.3676666666666675	9.0
MU43K	2004	2004-11-15	1	0		7.637777777777779	9.0
MU43K	2004	2004-11-15	2	0	6.375	6.9062222222222225	9.0
MU43K	2004	2004-11-15	3	0		6.0649999999999995	7.0
MU43K	2004	2004-11-15	4	0	7.143	9.234333333333334	9.0
MU43K	2004	2004-11-15	5	0	7.834	10.474	8.0
MU43K	2004	2004-11-15	6	0	8.029	8.812222222222223	9.0
MU43K	2004	2004-11-15	7	0	7.741	7.0063749999999985	8.0
MU43K	2004	2004-11-15	8	0	7.407	6.373888888888889	9.0
MU43K	2004	2004-11-15	9	0	7.36	6.468444444444444	9.0
MU43K	2004	2004-11-15	10	0	7.206	6.617555555555555	9.0
MU43K	2004	2004-11-15	11	0	6.9129999999999985	6.400111111111112	9.0
MU43K	2004	2004-11-15	12	0	6.727	5.7909999999999995	9.0
MU43K	2004	2004-11-15	13	0	5.364	5.185555555555555	9.0
MU43K	2004	2004-11-15	14	0	4.947	5.882666666666665	9.0
MU43K	2004	2004-11-15	15	0	4.841	4.243888888888889	9.0
MU43K	2004	2004-11-15	16	0	4.914	3.822666666666667	9.0
MU43K	2004	2004-11-15	17	0	5.452000000000001	3.9926666666666666	9.0
MU43K	2004	2004-11-15	18	0	3.956	3.4376666666666664	9.0
MU43K	2004	2004-11-15	19	0	4.7860000000000005	4.0756250000000005	8.0
MU43K	2004	2004-11-15	20	0	5.043	3.126875	8.0
MU43K	2004	2004-11-15	21	0	4.557	3.3089999999999993	9.0
MU43K	2004	2004-11-15	23	0	5.666	5.129428571428571	7.0
MU43K	2004	2004-11-16	0	0	5.8279999999999985	5.3867	10.0
MU43K	2004	2004-11-16	1	0		7.637777777777779	9.0
MU43K	2004	2004-11-16	2	0	5.75	6.8531	10.0
MU43K	2004	2004-11-16	3	0	6.97	6.0649999999999995	7.0
MU43K	2004	2004-11-16	4	0	7.972	9.025200000000002	10.0
MU43K	2004	2004-11-16	5	0	8.388	10.180666666666667	9.0
MU43K	2004	2004-11-16	6	0	8.332	8.7339	10.0
MU43K	2004	2004-11-16	7	0	8.794	7.087999999999998	9.0
MU43K	2004	2004-11-16	8	0	8.384	6.477200000000001	10.0
MU43K	2004	2004-11-16	9	0	8.881	6.557599999999999	10.0
MU43K	2004	2004-11-16	10	0	8.384	6.676399999999999	10.0
MU43K	2004	2004-11-16	11	0	8.29	6.451400000000001	10.0
MU43K	2004	2004-11-16	12	0	7.069	5.884599999999999	10.0
MU43K	2004	2004-11-16	13	0	5.9129999999999985	5.203399999999999	10.0
MU43K	2004	2004-11-16	14	0	5.481	5.7890999999999995	10.0
MU43K	2004	2004-11-16	15	0	5.18	4.3036	10.0
MU43K	2004	2004-11-16	16	0	5.075	3.9318000000000004	10.0
MU43K	2004	2004-11-16	17	0	4.98	4.138599999999999	10.0
MU43K	2004	2004-11-16	18	0	5.165	3.4894999999999996	10.0
MU43K	2004	2004-11-16	19	0	4.852	4.1545555555555564	9.0
MU43K	2004	2004-11-16	20	0	4.0	3.339777777777778	9.0
MU43K	2004	2004-11-16	21	0	3.707	3.4337999999999993	10.0
MU43K	2004	2004-11-16	22	0	4.123	4.319875	8.0
MU43K	2004	2004-11-16	23	0	4.69	5.1965	8.0
MU43K	2004	2004-11-17	0	0	4.339	5.426818181818182	11.0
MU43K	2004	2004-11-17	1	0		7.637777777777779	9.0
MU43K	2004	2004-11-17	2	0	5.436	6.752818181818182	11.0
MU43K	2004	2004-11-17	3	0		6.178125	8.0
MU43K	2004	2004-11-17	4	0	6.191	8.929454545454545	11.0
MU43K	2004	2004-11-17	5	0	6.277	10.0014	10.0
MU43K	2004	2004-11-17	6	0	6.4179999999999975	8.697363636363635	11.0
MU43K	2004	2004-11-17	7	0	6.396	7.258599999999999	10.0
MU43K	2004	2004-11-17	8	0	6.449	6.650545454545455	11.0
MU43K	2004	2004-11-17	9	0	6.738	6.768818181818181	11.0
MU43K	2004	2004-11-17	10	0	6.836	6.831636363636363	11.0
MU43K	2004	2004-11-17	11	0	6.819	6.618545454545455	11.0
MU43K	2004	2004-11-17	12	0	6.816	5.992272727272726	11.0
MU43K	2004	2004-11-17	13	0	5.384	5.2679090909090895	11.0
MU43K	2004	2004-11-17	14	0	5.099	5.761090909090909	11.0
MU43K	2004	2004-11-17	15	0	4.627	4.383272727272727	11.0
MU43K	2004	2004-11-17	16	0	4.499	4.035727272727273	11.0
MU43K	2004	2004-11-17	17	0	5.791	4.215090909090909	11.0
MU43K	2004	2004-11-17	18	0	4.444	3.641818181818181	11.0
MU43K	2004	2004-11-17	19	0	3.745	4.224300000000001	10.0
MU43K	2004	2004-11-17	20	0	3.248	3.4058	10.0
MU43K	2004	2004-11-17	21	0	3.999	3.458636363636363	11.0
MU43K	2004	2004-11-17	22	0	5.069	4.297999999999999	9.0
MU43K	2004	2004-11-17	23	0	5.441	5.1402222222222225	9.0
MU43K	2004	2004-11-18	0	0	5.255	5.336166666666667	12.0
MU43K	2004	2004-11-18	1	0	5.4170000000000025	7.637777777777779	9.0
MU43K	2004	2004-11-18	2	0		6.643083333333334	12.0
MU43K	2004	2004-11-18	3	0	6.146	6.178125	8.0
MU43K	2004	2004-11-18	4	0	6.3439999999999985	8.70125	12.0
MU43K	2004	2004-11-18	5	0	7.101	9.662818181818183	11.0
MU43K	2004	2004-11-18	6	0	7.362	8.507416666666666	12.0
MU43K	2004	2004-11-18	7	0	7.192	7.180181818181817	11.0
MU43K	2004	2004-11-18	8	0	7.046	6.63375	12.0
MU43K	2004	2004-11-18	9	0	9.061	6.766249999999999	12.0
MU43K	2004	2004-11-18	10	0	7.05	6.832	12.0
MU43K	2004	2004-11-18	11	0	7.044	6.63525	12.0
MU43K	2004	2004-11-18	12	0	6.894	6.0609166666666665	12.0
MU43K	2004	2004-11-18	13	0	6.07	5.277583333333332	12.0
MU43K	2004	2004-11-18	14	0	4.32	5.705916666666666	12.0
MU43K	2004	2004-11-18	15	0	5.017	4.403583333333334	12.0
MU43K	2004	2004-11-18	16	0	4.868	4.0743333333333345	12.0
MU43K	2004	2004-11-18	17	0	5.009	4.346416666666666	12.0
MU43K	2004	2004-11-18	18	0	4.6960000000000015	3.7086666666666663	12.0
MU43K	2004	2004-11-18	19	0	4.207	4.180727272727274	11.0
MU43K	2004	2004-11-18	20	0	3.779	3.391454545454545	11.0
MU43K	2004	2004-11-18	21	0	4.2	3.5036666666666663	12.0
