sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MW26P	2004	2004-11-18	0	0	11.713		
MW26P	2004	2004-11-18	1	0	3.534		
MW26P	2004	2004-11-18	2	0	5.615		
MW26P	2004	2004-11-18	3	0	4.745		
MW26P	2004	2004-11-18	4	0			
MW26P	2004	2004-11-18	5	0	5.607		
MW26P	2004	2004-11-18	7	0	7.391		
MW26P	2004	2004-11-18	8	0	7.0820000000000025		
MW26P	2004	2004-11-18	9	0			
MW26P	2004	2004-11-18	10	0	4.566		
MW26P	2004	2004-11-18	11	0	6.579		
MW26P	2004	2004-11-18	12	0	6.502000000000002		
MW26P	2004	2004-11-18	13	0	4.8580000000000005		
MW26P	2004	2004-11-18	14	0	5.449		
MW26P	2004	2004-11-18	15	0	5.86		
MW26P	2004	2004-11-18	16	0	4.547		
MW26P	2004	2004-11-18	17	0	4.543		
MW26P	2004	2004-11-18	18	0	3.857		
MW26P	2004	2004-11-18	19	0	3.672		
MW26P	2004	2004-11-18	20	0	3.259		
MW26P	2004	2004-11-18	21	0	4.75		
MW26P	2004	2004-11-18	22	0	4.416		
MW26P	2004	2004-11-18	23	0			
MW26P	2004	2004-11-19	0	0	4.662	11.713	1.0
MW26P	2004	2004-11-19	1	0	4.901	3.534	1.0
MW26P	2004	2004-11-19	2	0	3.731	5.615	1.0
MW26P	2004	2004-11-19	3	0	8.052	4.745	1.0
MW26P	2004	2004-11-19	4	0			0.0
MW26P	2004	2004-11-19	5	0		5.607	1.0
MW26P	2004	2004-11-19	6	0			
MW26P	2004	2004-11-19	7	0	9.77	7.391	1.0
MW26P	2004	2004-11-19	8	0	8.199	7.0820000000000025	1.0
MW26P	2004	2004-11-19	9	0	7.843		0.0
MW26P	2004	2004-11-19	10	0	8.171	4.566	1.0
MW26P	2004	2004-11-19	11	0	7.1960000000000015	6.579	1.0
MW26P	2004	2004-11-19	12	0	6.845	6.502000000000002	1.0
MW26P	2004	2004-11-19	13	0	6.4	4.8580000000000005	1.0
MW26P	2004	2004-11-19	14	0	6.056	5.449	1.0
MW26P	2004	2004-11-19	15	0	6.474	5.86	1.0
MW26P	2004	2004-11-19	16	0	5.365	4.547	1.0
MW26P	2004	2004-11-19	17	0	4.238	4.543	1.0
MW26P	2004	2004-11-19	18	0	4.914	3.857	1.0
MW26P	2004	2004-11-19	19	0	4.103	3.672	1.0
MW26P	2004	2004-11-19	20	0	5.47	3.259	1.0
MW26P	2004	2004-11-19	21	0	3.791	4.75	1.0
MW26P	2004	2004-11-19	22	0	4.566	4.416	1.0
