sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
MZ152	2011	2011-02-04	0	0	2.8		
MZ152	2011	2011-02-04	0	30	2.9		
MZ152	2011	2011-02-04	1	0	2.9		
MZ152	2011	2011-02-04	1	30	3.0		
MZ152	2011	2011-02-04	2	0	3.0		
MZ152	2011	2011-02-04	2	30	2.7		
MZ152	2011	2011-02-04	3	0	2.3		
MZ152	2011	2011-02-04	3	30	2.3		
MZ152	2011	2011-02-04	4	0	2.1		
MZ152	2011	2011-02-04	4	30	1.9		
MZ152	2011	2011-02-04	5	0	1.9		
MZ152	2011	2011-02-04	6	0	3.2		
MZ152	2011	2011-02-04	6	30	4.5		
MZ152	2011	2011-02-04	7	0	5.1		
MZ152	2011	2011-02-04	7	30	5.1		
MZ152	2011	2011-02-04	8	0	5.8		
MZ152	2011	2011-02-04	8	30	6.7		
MZ152	2011	2011-02-04	9	0	5.3		
MZ152	2011	2011-02-04	9	30			
MZ152	2011	2011-02-04	14	0	5.1		
MZ152	2011	2011-02-04	14	30			
MZ152	2011	2011-02-04	15	0	4.7		
MZ152	2011	2011-02-04	15	30	4.9		
MZ152	2011	2011-02-04	16	0	5.0		
MZ152	2011	2011-02-04	16	30	4.9		
MZ152	2011	2011-02-04	17	0	4.1		
MZ152	2011	2011-02-04	17	30	3.8		
MZ152	2011	2011-02-04	18	0	3.2		
MZ152	2011	2011-02-04	18	30	2.7		
MZ152	2011	2011-02-04	19	0	2.3		
MZ152	2011	2011-02-04	19	30			
MZ152	2011	2011-02-04	20	0			
MZ152	2011	2011-02-04	20	30			
MZ152	2011	2011-02-04	21	0			
MZ152	2011	2011-02-04	21	30	2.6		
MZ152	2011	2011-02-04	22	30	3.4		
MZ152	2011	2011-02-04	23	0			
MZ152	2011	2011-02-04	23	30	2.9		
MZ152	2011	2011-02-05	0	0	3.3	2.8	1.0
MZ152	2011	2011-02-05	0	30	3.4	2.9	1.0
MZ152	2011	2011-02-05	1	0		2.9	1.0
MZ152	2011	2011-02-05	1	30		3.0	1.0
MZ152	2011	2011-02-05	2	0	2.1	3.0	1.0
MZ152	2011	2011-02-05	2	30	2.1	2.7	1.0
MZ152	2011	2011-02-05	3	30	2.1	2.3	1.0
MZ152	2011	2011-02-05	4	0		2.1	1.0
MZ152	2011	2011-02-05	4	30	1.9	1.9	1.0
MZ152	2011	2011-02-05	5	0	1.9	1.9	1.0
MZ152	2011	2011-02-05	5	30	2.1		
