sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
NI135	2015	2015-10-13	0	0	3.75		
NI135	2015	2015-10-13	0	7	3.675		
NI135	2015	2015-10-13	0	15	3.675		
NI135	2015	2015-10-13	0	22	3.8		
NI135	2015	2015-10-13	0	30	3.675		
NI135	2015	2015-10-13	0	37	3.775		
NI135	2015	2015-10-13	0	45	3.825		
NI135	2015	2015-10-13	0	52	3.775		
NI135	2015	2015-10-13	1	0	3.5		
NI135	2015	2015-10-13	1	7	3.65		
NI135	2015	2015-10-13	1	15	3.675		
NI135	2015	2015-10-13	1	22	3.525		
NI135	2015	2015-10-13	1	30	3.5		
NI135	2015	2015-10-13	1	37	3.5		
NI135	2015	2015-10-13	1	45	2.775		
NI135	2015	2015-10-13	1	52	3.5		
NI135	2015	2015-10-13	2	0	3.45		
NI135	2015	2015-10-13	2	7	3.45		
NI135	2015	2015-10-13	2	15	3.525		
NI135	2015	2015-10-13	2	22	3.625		
NI135	2015	2015-10-13	2	30	3.725		
NI135	2015	2015-10-13	2	37	3.775		
NI135	2015	2015-10-13	2	45	3.8		
NI135	2015	2015-10-13	2	52	3.925		
NI135	2015	2015-10-13	3	0	3.45		
NI135	2015	2015-10-13	3	7	4.025		
NI135	2015	2015-10-13	3	15	3.775		
NI135	2015	2015-10-13	3	22	3.625		
NI135	2015	2015-10-13	3	30	3.6		
NI135	2015	2015-10-13	3	37	3.775		
NI135	2015	2015-10-13	3	45	4.0		
NI135	2015	2015-10-13	3	52	4.15		
NI135	2015	2015-10-13	4	0	4.25		
NI135	2015	2015-10-13	4	7	4.575		
NI135	2015	2015-10-13	4	15	4.775		
NI135	2015	2015-10-13	4	22	5.025		
NI135	2015	2015-10-13	4	30	5.175		
NI135	2015	2015-10-13	4	37	5.425		
NI135	2015	2015-10-13	4	45	5.7		
NI135	2015	2015-10-13	4	52	5.825		
NI135	2015	2015-10-13	5	0	6.225		
NI135	2015	2015-10-13	5	7	6.363		
NI135	2015	2015-10-13	5	15	6.6		
NI135	2015	2015-10-13	5	22	6.488		
NI135	2015	2015-10-13	5	30	6.813		
NI135	2015	2015-10-13	5	37	7.0379999999999985		
NI135	2015	2015-10-13	5	45	7.087999999999999		
NI135	2015	2015-10-13	5	52	7.089		
NI135	2015	2015-10-13	6	0	6.875		
NI135	2015	2015-10-13	6	7	6.7620000000000005		
NI135	2015	2015-10-13	6	15	6.45		
NI135	2015	2015-10-13	6	22	6.238		
NI135	2015	2015-10-13	6	30	6.1		
NI135	2015	2015-10-13	6	37	6.063		
NI135	2015	2015-10-13	6	45	6.1		
NI135	2015	2015-10-13	6	52	6.3		
NI135	2015	2015-10-13	7	0	6.7		
NI135	2015	2015-10-13	7	7	6.837999999999999		
NI135	2015	2015-10-13	7	15	6.9		
NI135	2015	2015-10-13	7	22	6.8870000000000005		
NI135	2015	2015-10-13	7	30	6.938		
NI135	2015	2015-10-13	7	37	6.988		
NI135	2015	2015-10-13	7	45	7.1370000000000005		
NI135	2015	2015-10-13	7	52	7.2879999999999985		
NI135	2015	2015-10-13	8	0	7.313		
NI135	2015	2015-10-13	8	7	7.512		
NI135	2015	2015-10-13	8	15	7.612999999999999		
NI135	2015	2015-10-13	8	22	7.938		
NI135	2015	2015-10-13	8	30	7.962999999999999		
NI135	2015	2015-10-13	8	37	7.962999999999999		
NI135	2015	2015-10-13	8	45	7.987999999999999		
NI135	2015	2015-10-13	8	52	8.012		
NI135	2015	2015-10-13	9	0	7.813		
NI135	2015	2015-10-13	9	7	8.113		
NI135	2015	2015-10-13	9	15	8.05		
NI135	2015	2015-10-13	9	22	8.15		
NI135	2015	2015-10-13	9	30	7.962999999999999		
NI135	2015	2015-10-13	9	37	7.987999999999999		
NI135	2015	2015-10-13	9	45	8.062999999999999		
NI135	2015	2015-10-13	9	52	7.987999999999999		
NI135	2015	2015-10-13	10	0	7.9129999999999985		
NI135	2015	2015-10-13	10	7	7.8		
NI135	2015	2015-10-13	10	15	7.6		
NI135	2015	2015-10-13	10	22	7.563		
NI135	2015	2015-10-13	10	30	7.337999999999999		
NI135	2015	2015-10-13	10	37	7.237999999999999		
NI135	2015	2015-10-13	10	45	7.063		
NI135	2015	2015-10-13	10	52	7.125		
NI135	2015	2015-10-13	11	0	7.2879999999999985		
NI135	2015	2015-10-13	11	7	7.262		
NI135	2015	2015-10-13	11	15	7.0379999999999985		
NI135	2015	2015-10-13	11	22	6.807		
NI135	2015	2015-10-13	11	30	6.6		
NI135	2015	2015-10-13	11	37	6.35		
NI135	2015	2015-10-13	11	45	6.375		
NI135	2015	2015-10-13	11	52	6.35		
NI135	2015	2015-10-13	12	0	6.825		
NI135	2015	2015-10-13	12	7	7.05		
NI135	2015	2015-10-13	12	15	7.212999999999999		
NI135	2015	2015-10-13	12	22	7.325		
NI135	2015	2015-10-13	12	30	7.487999999999999		
NI135	2015	2015-10-13	12	37	7.563		
NI135	2015	2015-10-13	12	45	7.55		
NI135	2015	2015-10-13	12	52	7.65		
NI135	2015	2015-10-13	13	0	7.6629999999999985		
NI135	2015	2015-10-13	13	7	7.525		
NI135	2015	2015-10-13	13	15	7.35		
NI135	2015	2015-10-13	13	22	7.225		
NI135	2015	2015-10-13	13	30	7.225		
NI135	2015	2015-10-13	13	37	7.2		
NI135	2015	2015-10-13	13	45	7.175		
NI135	2015	2015-10-13	13	52	7.212999999999999		
NI135	2015	2015-10-13	14	0	7.188		
NI135	2015	2015-10-13	14	7	7.05		
NI135	2015	2015-10-13	14	15	7.125		
NI135	2015	2015-10-13	14	22	7.175		
NI135	2015	2015-10-13	14	30	7.225		
NI135	2015	2015-10-13	14	37	7.15		
NI135	2015	2015-10-13	14	45	6.9		
NI135	2015	2015-10-13	14	52	6.7		
NI135	2015	2015-10-13	15	0	6.375		
NI135	2015	2015-10-13	15	7	6.3		
NI135	2015	2015-10-13	15	15	6.35		
NI135	2015	2015-10-13	15	22	6.325		
NI135	2015	2015-10-13	15	30	6.1		
NI135	2015	2015-10-13	15	37	6.05		
NI135	2015	2015-10-13	15	45	5.775		
NI135	2015	2015-10-13	15	52	5.55		
NI135	2015	2015-10-13	16	0	5.45		
NI135	2015	2015-10-13	16	7	5.125		
NI135	2015	2015-10-13	16	15	5.075		
NI135	2015	2015-10-13	16	22	4.925		
NI135	2015	2015-10-13	16	30	4.725		
NI135	2015	2015-10-13	16	37	4.375		
NI135	2015	2015-10-13	16	45	3.9		
NI135	2015	2015-10-13	16	52	3.8		
NI135	2015	2015-10-13	17	0	3.45		
NI135	2015	2015-10-13	17	7	3.725		
NI135	2015	2015-10-13	17	15	3.95		
NI135	2015	2015-10-13	17	22	3.95		
NI135	2015	2015-10-13	17	30	3.95		
NI135	2015	2015-10-13	17	37	3.925		
NI135	2015	2015-10-13	17	45	3.9		
NI135	2015	2015-10-13	17	52	3.85		
NI135	2015	2015-10-13	18	0	3.875		
NI135	2015	2015-10-13	18	7	3.75		
NI135	2015	2015-10-13	18	15	3.85		
NI135	2015	2015-10-13	18	22	4.0		
NI135	2015	2015-10-13	18	30	4.05		
NI135	2015	2015-10-13	18	37	4.175		
NI135	2015	2015-10-13	18	45	4.2		
NI135	2015	2015-10-13	18	52	4.15		
NI135	2015	2015-10-13	19	0	4.125		
NI135	2015	2015-10-13	19	7	3.975		
NI135	2015	2015-10-13	19	15	3.925		
NI135	2015	2015-10-13	19	22	3.725		
NI135	2015	2015-10-13	19	30	3.675		
NI135	2015	2015-10-13	19	37	3.6		
NI135	2015	2015-10-13	19	45	3.7		
NI135	2015	2015-10-13	19	52	3.7		
NI135	2015	2015-10-13	20	0	3.725		
NI135	2015	2015-10-13	20	7	3.7		
NI135	2015	2015-10-13	20	15	3.95		
NI135	2015	2015-10-13	20	22	3.95		
NI135	2015	2015-10-13	20	30	4.025		
NI135	2015	2015-10-13	20	37	4.125		
NI135	2015	2015-10-13	20	45	4.2		
NI135	2015	2015-10-13	20	52	4.2		
NI135	2015	2015-10-13	21	0	4.3		
NI135	2015	2015-10-13	21	7	4.275		
NI135	2015	2015-10-13	21	15	4.2		
NI135	2015	2015-10-13	21	22	4.225		
NI135	2015	2015-10-13	21	30	4.1		
NI135	2015	2015-10-13	21	37	3.85		
NI135	2015	2015-10-13	21	45	3.45		
NI135	2015	2015-10-13	21	52	3.025		
NI135	2015	2015-10-13	22	0	2.85		
NI135	2015	2015-10-13	22	7	3.05		
NI135	2015	2015-10-13	22	15	2.725		
NI135	2015	2015-10-13	22	22	2.825		
NI135	2015	2015-10-13	22	30	2.875		
NI135	2015	2015-10-13	22	37	2.75		
NI135	2015	2015-10-13	22	45	2.85		
NI135	2015	2015-10-13	22	52			
NI135	2015	2015-10-13	23	0	2.725		
NI135	2015	2015-10-13	23	7	2.85		
NI135	2015	2015-10-13	23	15	2.95		
NI135	2015	2015-10-13	23	22	3.0		
NI135	2015	2015-10-13	23	30	3.075		
NI135	2015	2015-10-13	23	37	3.125		
NI135	2015	2015-10-13	23	45	3.075		
NI135	2015	2015-10-13	23	52	3.025		
NI135	2015	2015-10-14	0	0	2.975	3.75	1.0
NI135	2015	2015-10-14	0	7	2.975	3.675	1.0
NI135	2015	2015-10-14	0	15	2.95	3.675	1.0
NI135	2015	2015-10-14	0	22	2.925	3.8	1.0
NI135	2015	2015-10-14	0	30	2.825	3.675	1.0
NI135	2015	2015-10-14	0	37	2.925	3.775	1.0
NI135	2015	2015-10-14	0	45	2.95	3.825	1.0
NI135	2015	2015-10-14	0	52	2.975	3.775	1.0
NI135	2015	2015-10-14	1	0	2.85	3.5	1.0
NI135	2015	2015-10-14	1	7	2.95	3.65	1.0
NI135	2015	2015-10-14	1	15	2.975	3.675	1.0
NI135	2015	2015-10-14	1	22	2.95	3.525	1.0
NI135	2015	2015-10-14	1	30	2.825	3.5	1.0
NI135	2015	2015-10-14	1	37	2.85	3.5	1.0
NI135	2015	2015-10-14	1	45	3.0	2.775	1.0
NI135	2015	2015-10-14	1	52	3.025	3.5	1.0
NI135	2015	2015-10-14	2	0	3.075	3.45	1.0
NI135	2015	2015-10-14	2	7	3.125	3.45	1.0
NI135	2015	2015-10-14	2	15	3.25	3.525	1.0
NI135	2015	2015-10-14	2	22	3.25	3.625	1.0
NI135	2015	2015-10-14	2	30	3.125	3.725	1.0
NI135	2015	2015-10-14	2	37	2.8	3.775	1.0
NI135	2015	2015-10-14	2	45		3.8	1.0
NI135	2015	2015-10-14	2	52	2.95	3.925	1.0
NI135	2015	2015-10-14	3	0	2.725	3.45	1.0
NI135	2015	2015-10-14	3	7	2.95	4.025	1.0
NI135	2015	2015-10-14	3	15	2.85	3.775	1.0
NI135	2015	2015-10-14	3	22	2.925	3.625	1.0
NI135	2015	2015-10-14	3	30	3.025	3.6	1.0
NI135	2015	2015-10-14	3	37	3.45	3.775	1.0
NI135	2015	2015-10-14	3	45	3.675	4.0	1.0
NI135	2015	2015-10-14	3	52	4.125	4.15	1.0
NI135	2015	2015-10-14	4	0	4.45	4.25	1.0
NI135	2015	2015-10-14	4	7	4.975	4.575	1.0
NI135	2015	2015-10-14	4	15	5.4	4.775	1.0
NI135	2015	2015-10-14	4	22	5.45	5.025	1.0
NI135	2015	2015-10-15	14	15	7.8	7.125	1.0
NI135	2015	2015-10-15	14	22	7.875	7.175	1.0
NI135	2015	2015-10-15	14	30	7.75	7.225	1.0
NI135	2015	2015-10-15	14	37	7.65	7.15	1.0
NI135	2015	2015-10-15	14	45	7.7	6.9	1.0
NI135	2015	2015-10-15	14	52	7.65	6.7	1.0
NI135	2015	2015-10-15	15	0	7.15	6.375	1.0
NI135	2015	2015-10-15	15	7	6.8	6.3	1.0
NI135	2015	2015-10-15	15	15	6.375	6.35	1.0
NI135	2015	2015-10-15	15	22	6.075	6.325	1.0
NI135	2015	2015-10-15	15	30	5.8	6.1	1.0
NI135	2015	2015-10-15	15	37	5.55	6.05	1.0
NI135	2015	2015-10-15	15	45	5.05	5.775	1.0
NI135	2015	2015-10-15	15	52	5.075	5.55	1.0
NI135	2015	2015-10-15	16	0		5.45	1.0
NI135	2015	2015-10-15	16	7		5.125	1.0
NI135	2015	2015-10-15	16	15		5.075	1.0
NI135	2015	2015-10-15	16	22	4.525	4.925	1.0
NI135	2015	2015-10-15	16	30	4.375	4.725	1.0
NI135	2015	2015-10-15	16	37	4.35	4.375	1.0
NI135	2015	2015-10-15	16	45	4.275	3.9	1.0
NI135	2015	2015-10-15	16	52	4.0	3.8	1.0
NI135	2015	2015-10-15	17	0	3.575	3.45	1.0
NI135	2015	2015-10-15	17	7	3.35	3.725	1.0
NI135	2015	2015-10-15	17	15	3.575	3.95	1.0
NI135	2015	2015-10-15	17	22	3.55	3.95	1.0
NI135	2015	2015-10-15	17	30	3.8	3.95	1.0
NI135	2015	2015-10-15	17	37	3.875	3.925	1.0
NI135	2015	2015-10-15	17	45	3.9	3.9	1.0
NI135	2015	2015-10-15	17	52	3.95	3.85	1.0
NI135	2015	2015-10-15	18	0	3.95	3.875	1.0
NI135	2015	2015-10-15	18	7	4.0	3.75	1.0
NI135	2015	2015-10-15	18	15	4.05	3.85	1.0
NI135	2015	2015-10-15	18	22	4.075	4.0	1.0
NI135	2015	2015-10-15	18	30	4.05	4.05	1.0
NI135	2015	2015-10-15	18	37	3.975	4.175	1.0
NI135	2015	2015-10-15	18	45	4.025	4.2	1.0
NI135	2015	2015-10-15	18	52	4.0	4.15	1.0
NI135	2015	2015-10-15	19	0	4.0	4.125	1.0
NI135	2015	2015-10-15	19	7	4.025	3.975	1.0
NI135	2015	2015-10-15	19	15	3.975	3.925	1.0
NI135	2015	2015-10-15	19	22		3.725	1.0
NI135	2015	2015-10-15	19	30	4.075	3.675	1.0
NI135	2015	2015-10-15	19	37	3.475	3.6	1.0
NI135	2015	2015-10-15	19	45	3.975	3.7	1.0
NI135	2015	2015-10-15	19	52	4.125	3.7	1.0
NI135	2015	2015-10-15	20	0	3.975	3.725	1.0
NI135	2015	2015-10-15	20	7	3.95	3.7	1.0
NI135	2015	2015-10-15	20	15	3.975	3.95	1.0
NI135	2015	2015-10-15	20	22	4.125	3.95	1.0
NI135	2015	2015-10-15	20	30	3.675	4.025	1.0
NI135	2015	2015-10-15	20	37	4.175	4.125	1.0
NI135	2015	2015-10-15	20	45	3.875	4.2	1.0
NI135	2015	2015-10-15	20	52	4.175	4.2	1.0
NI135	2015	2015-10-15	21	0	4.175	4.3	1.0
NI135	2015	2015-10-15	21	7	4.2	4.275	1.0
