sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
NI63_	2004	2004-10-18	0	0	26.081		
NI63_	2004	2004-10-18	1	0	8.352		
NI63_	2004	2004-10-18	2	0			
NI63_	2004	2004-10-18	3	0	7.551		
NI63_	2004	2004-10-18	4	0	7.457999999999997		
NI63_	2004	2004-10-18	5	0	7.631		
NI63_	2004	2004-10-18	6	0	7.942		
NI63_	2004	2004-10-18	7	0	6.752999999999999		
NI63_	2004	2004-10-18	8	0	6.158		
NI63_	2004	2004-10-18	9	0	5.5779999999999985		
NI63_	2004	2004-10-18	10	0	6.066		
NI63_	2004	2004-10-18	11	0	5.5920000000000005		
NI63_	2004	2004-10-18	12	0	5.2429999999999986		
NI63_	2004	2004-10-18	13	0	5.062		
NI63_	2004	2004-10-18	14	0	5.08		
NI63_	2004	2004-10-18	15	0	4.927		
NI63_	2004	2004-10-18	16	0	3.823		
NI63_	2004	2004-10-18	17	0	3.084		
NI63_	2004	2004-10-18	18	0	3.515		
NI63_	2004	2004-10-18	19	0	6.049		
NI63_	2004	2004-10-18	20	0	6.82		
NI63_	2004	2004-10-18	21	0	7.225		
NI63_	2004	2004-10-18	22	0	7.377999999999999		
NI63_	2004	2004-10-18	23	0	8.592		
NI63_	2004	2004-10-19	0	0		26.081	1.0
NI63_	2004	2004-10-19	1	0	16.973	8.352	1.0
NI63_	2004	2004-10-19	2	0			0.0
NI63_	2004	2004-10-19	3	0	17.430999999999994	7.551	1.0
NI63_	2004	2004-10-19	4	0	7.425	7.457999999999997	1.0
NI63_	2004	2004-10-19	5	0	7.226	7.631	1.0
NI63_	2004	2004-10-19	6	0	7.713999999999999	7.942	1.0
NI63_	2004	2004-10-19	7	0	8.566	6.752999999999999	1.0
NI63_	2004	2004-10-19	8	0	8.208	6.158	1.0
NI63_	2004	2004-10-19	9	0	6.405	5.5779999999999985	1.0
NI63_	2004	2004-10-19	10	0	6.028	6.066	1.0
NI63_	2004	2004-10-19	11	0	6.32	5.5920000000000005	1.0
NI63_	2004	2004-10-19	12	0	5.7620000000000005	5.2429999999999986	1.0
NI63_	2004	2004-10-19	13	0	5.974	5.062	1.0
NI63_	2004	2004-10-19	14	0	5.559	5.08	1.0
NI63_	2004	2004-10-19	15	0	4.7330000000000005	4.927	1.0
NI63_	2004	2004-10-19	16	0	4.24	3.823	1.0
NI63_	2004	2004-10-19	17	0	4.188	3.084	1.0
NI63_	2004	2004-10-19	18	0	3.864	3.515	1.0
NI63_	2004	2004-10-19	19	0	5.799	6.049	1.0
NI63_	2004	2004-10-19	20	0	6.942	6.82	1.0
NI63_	2004	2004-10-19	21	0	17.428	7.225	1.0
NI63_	2004	2004-10-19	22	0	17.831	7.377999999999999	1.0
NI63_	2004	2004-10-19	23	0	17.921	8.592	1.0
NI63_	2004	2004-10-20	0	0	18.254	26.081	1.0
NI63_	2004	2004-10-20	1	0	26.191	12.6625	2.0
NI63_	2004	2004-10-20	2	0	17.82		0.0
NI63_	2004	2004-10-20	3	0	17.909000000000006	12.490999999999996	2.0
NI63_	2004	2004-10-20	4	0	17.352	7.441499999999998	2.0
NI63_	2004	2004-10-20	5	0	7.316	7.4285	2.0
NI63_	2004	2004-10-20	6	0	7.655	7.827999999999999	2.0
NI63_	2004	2004-10-20	7	0	8.552999999999999	7.6594999999999995	2.0
NI63_	2004	2004-10-20	8	0	8.585	7.183	2.0
NI63_	2004	2004-10-20	9	0	7.559	5.991499999999999	2.0
NI63_	2004	2004-10-20	10	0	8.477	6.047	2.0
NI63_	2004	2004-10-20	11	0	8.756	5.956	2.0
NI63_	2004	2004-10-20	12	0	7.721	5.5024999999999995	2.0
NI63_	2004	2004-10-20	13	0	6.311	5.518000000000001	2.0
NI63_	2004	2004-10-20	14	0	5.367000000000001	5.3195	2.0
NI63_	2004	2004-10-20	15	0	4.346	4.83	2.0
NI63_	2004	2004-10-20	16	0	3.824	4.0315	2.0
NI63_	2004	2004-10-20	17	0	3.958	3.636	2.0
NI63_	2004	2004-10-20	18	0	3.5410000000000004	3.6895	2.0
NI63_	2004	2004-10-20	19	0	5.153	5.924	2.0
NI63_	2004	2004-10-20	20	0	7.506	6.881	2.0
NI63_	2004	2004-10-20	21	0	23.571	12.3265	2.0
NI63_	2004	2004-10-20	22	0	17.864	12.6045	2.0
NI63_	2004	2004-10-20	23	0	23.496	13.256499999999999	2.0
NI63_	2004	2004-10-21	0	0	24.05	22.1675	2.0
NI63_	2004	2004-10-21	1	0	16.977999999999998	17.172	3.0
NI63_	2004	2004-10-21	2	0	17.831	17.82	1.0
NI63_	2004	2004-10-21	3	0	26.738000000000003	14.296999999999999	3.0
NI63_	2004	2004-10-21	4	0	7.834	10.745	3.0
NI63_	2004	2004-10-21	5	0		7.390999999999999	3.0
NI63_	2004	2004-10-21	6	0	5.441	7.770333333333333	3.0
NI63_	2004	2004-10-21	7	0	7.9689999999999985	7.957333333333334	3.0
NI63_	2004	2004-10-21	8	0	7.822	7.650333333333333	3.0
NI63_	2004	2004-10-21	9	0	8.396	6.513999999999999	3.0
NI63_	2004	2004-10-21	10	0	7.015	6.856999999999999	3.0
NI63_	2004	2004-10-21	11	0	6.881	6.889333333333333	3.0
NI63_	2004	2004-10-21	12	0	6.653	6.242	3.0
NI63_	2004	2004-10-21	13	0	6.472	5.782333333333334	3.0
NI63_	2004	2004-10-21	14	0	6.563	5.335333333333334	3.0
NI63_	2004	2004-10-21	15	0	5.435	4.668666666666667	3.0
NI63_	2004	2004-10-21	16	0	3.641	3.9623333333333335	3.0
NI63_	2004	2004-10-21	17	0	3.611	3.7433333333333336	3.0
NI63_	2004	2004-10-21	18	0	4.3610000000000015	3.64	3.0
NI63_	2004	2004-10-21	19	0	7.609	5.667000000000001	3.0
NI63_	2004	2004-10-21	20	0		7.089333333333333	3.0
NI63_	2004	2004-10-21	21	0		16.07466666666667	3.0
NI63_	2004	2004-10-21	22	0	7.807	14.357666666666667	3.0
NI63_	2004	2004-10-21	23	0	24.96	16.669666666666668	3.0
NI63_	2004	2004-10-22	0	0	23.463	22.795	3.0
NI63_	2004	2004-10-22	1	0	26.125	17.1235	4.0
NI63_	2004	2004-10-22	2	0	17.807000000000006	17.825499999999998	2.0
NI63_	2004	2004-10-22	3	0	23.804	17.40725	4.0
NI63_	2004	2004-10-22	4	0	7.659	10.01725	4.0
