sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
NO369	2011	2011-01-20	17	30			
NO369	2011	2011-01-20	17	45			
NO369	2011	2011-01-20	18	0	2.643		
NO369	2011	2011-01-20	18	15			
NO369	2011	2011-01-20	18	30			
NO369	2011	2011-01-20	18	45			
NO369	2011	2011-01-20	19	0			
NO369	2011	2011-01-20	19	15			
NO369	2011	2011-01-20	19	30			
NO369	2011	2011-01-20	19	45			
NO369	2011	2011-01-20	20	0	2.905		
NO369	2011	2011-01-20	20	15	2.66		
NO369	2011	2011-01-20	20	30	2.52		
NO369	2011	2011-01-20	20	45	2.52		
NO369	2011	2011-01-20	21	0	2.52		
NO369	2011	2011-01-20	21	15			
NO369	2011	2011-01-20	21	30	2.387		
NO369	2011	2011-01-20	21	45	2.03		
NO369	2011	2011-01-20	22	0			
NO369	2011	2011-01-20	22	15			
NO369	2011	2011-01-20	22	30			
NO369	2011	2011-01-20	22	45			
NO369	2011	2011-01-20	23	0			
NO369	2011	2011-01-20	23	15			
NO369	2011	2011-01-20	23	30			
NO369	2011	2011-01-20	23	45			
NO369	2011	2011-01-21	0	0			
NO369	2011	2011-01-21	0	15			
NO369	2011	2011-01-21	0	30			
NO369	2011	2011-01-21	0	45			
NO369	2011	2011-01-21	1	0			
NO369	2011	2011-01-21	1	15			
NO369	2011	2011-01-21	1	30			
NO369	2011	2011-01-21	1	45			
NO369	2011	2011-01-21	2	0			
NO369	2011	2011-01-21	2	15	1.82		
NO369	2011	2011-01-21	2	37	2.17		
NO369	2011	2011-01-21	3	0	2.8		
NO369	2011	2011-01-21	3	15	2.66		
NO369	2011	2011-01-21	3	30	3.115		
NO369	2011	2011-01-21	3	45	3.465		
NO369	2011	2011-01-21	4	0	3.78		
NO369	2011	2011-01-21	4	15	3.955		
NO369	2011	2011-01-21	4	30	3.815		
NO369	2011	2011-01-21	4	52	3.929		
NO369	2011	2011-01-21	5	15	4.725		
NO369	2011	2011-01-21	5	30	4.585		
NO369	2011	2011-01-21	5	45	4.795		
NO369	2011	2011-01-21	6	0	5.005		
NO369	2011	2011-01-21	6	15	5.04		
NO369	2011	2011-01-21	6	30	5.005		
NO369	2011	2011-01-21	6	45	5.075		
NO369	2011	2011-01-21	7	0	5.04		
NO369	2011	2011-01-21	7	15	5.25		
NO369	2011	2011-01-21	7	30	4.97		
NO369	2011	2011-01-21	7	45	4.83		
NO369	2011	2011-01-21	8	0	4.83		
NO369	2011	2011-01-21	8	15	4.655		
NO369	2011	2011-01-21	8	30	4.585		
NO369	2011	2011-01-21	8	52	4.2		
NO369	2011	2011-01-21	9	15	3.64		
NO369	2011	2011-01-21	9	30	3.5		
NO369	2011	2011-01-21	9	45	3.71		
NO369	2011	2011-01-21	10	0	3.71		
NO369	2011	2011-01-21	10	15	3.29		
NO369	2011	2011-01-21	10	30	3.08		
NO369	2011	2011-01-21	10	45	3.01		
NO369	2011	2011-01-21	11	0	2.59		
NO369	2011	2011-01-21	11	15	2.59		
NO369	2011	2011-01-21	11	30	2.45		
NO369	2011	2011-01-21	11	45	2.1		
NO369	2011	2011-01-21	12	0	2.03		
NO369	2011	2011-01-21	12	15			
NO369	2011	2011-01-21	12	30			
NO369	2011	2011-01-21	12	45			
NO369	2011	2011-01-21	13	0			
NO369	2011	2011-01-21	13	15			
NO369	2011	2011-01-21	13	30			
NO369	2011	2011-01-21	13	45			
NO369	2011	2011-01-21	14	0			
NO369	2011	2011-01-21	14	15			
NO369	2011	2011-01-21	14	30			
NO369	2011	2011-01-21	14	45			
NO369	2011	2011-01-21	15	0			
NO369	2011	2011-01-21	15	15			
NO369	2011	2011-01-21	15	30			
NO369	2011	2011-01-21	15	45			
NO369	2011	2011-01-21	16	0	2.4		
NO369	2011	2011-01-21	16	15			
NO369	2011	2011-01-21	16	30	2.275		
NO369	2011	2011-01-21	16	45			
NO369	2011	2011-01-21	17	0	2.59		
NO369	2011	2011-01-21	17	15	2.643		
NO369	2011	2011-01-21	17	30	2.345		0.0
NO369	2011	2011-01-21	17	45	2.117		0.0
NO369	2011	2011-01-21	18	0		2.643	1.0
NO369	2011	2011-01-21	18	15	2.275		0.0
NO369	2011	2011-01-21	18	30	2.835		0.0
NO369	2011	2011-01-21	18	45			0.0
NO369	2011	2011-01-21	19	0	2.695		0.0
NO369	2011	2011-01-21	19	15	2.45		0.0
NO369	2011	2011-01-21	19	30	2.625		0.0
NO369	2011	2011-01-21	19	45	2.625		0.0
NO369	2011	2011-01-21	20	0		2.905	1.0
NO369	2011	2011-01-21	20	15		2.66	1.0
NO369	2011	2011-01-21	20	30		2.52	1.0
NO369	2011	2011-01-21	20	45		2.52	1.0
NO369	2011	2011-01-21	21	0	2.529	2.52	1.0
NO369	2011	2011-01-21	21	15			0.0
NO369	2011	2011-01-21	21	30	2.38	2.387	1.0
NO369	2011	2011-01-21	21	45		2.03	1.0
NO369	2011	2011-01-21	22	0			0.0
NO369	2011	2011-01-21	22	15			0.0
NO369	2011	2011-01-22	2	7			
NO369	2011	2011-01-22	6	0	4.62	5.005	1.0
NO369	2011	2011-01-22	8	45	4.83		
NO369	2011	2011-01-22	10	30	2.94	3.08	1.0
NO369	2011	2011-01-22	12	22	2.17		
NO369	2011	2011-01-22	13	30			0.0
NO369	2011	2011-01-22	14	30			0.0
NO369	2011	2011-01-22	16	7			
NO369	2011	2011-01-22	17	52			
NO369	2011	2011-01-22	18	45			0.0
NO369	2011	2011-01-22	20	15		2.66	1.0
NO369	2011	2011-01-22	21	15			0.0
NO369	2011	2011-01-22	21	45		2.03	1.0
NO369	2011	2011-01-22	22	0			0.0
NO369	2011	2011-01-22	22	45			0.0
NO369	2011	2011-01-22	23	15			0.0
NO369	2011	2011-01-23	0	15			0.0
NO369	2011	2011-01-23	1	0			0.0
NO369	2011	2011-01-23	2	37	2.03	2.17	1.0
NO369	2011	2011-01-23	6	30	4.97	5.005	1.0
NO369	2011	2011-01-23	8	15	4.62	4.655	1.0
NO369	2011	2011-01-23	9	30		3.5	1.0
NO369	2011	2011-01-23	10	30	3.43	3.01	2.0
NO369	2011	2011-01-23	12	0		2.03	1.0
NO369	2011	2011-01-23	14	30			0.0
NO369	2011	2011-01-23	17	0		2.59	1.0
NO369	2011	2011-01-23	17	52			0.0
NO369	2011	2011-01-23	20	30		2.52	1.0
NO369	2011	2011-01-23	21	15			0.0
NO369	2011	2011-01-24	1	30			0.0
NO369	2011	2011-01-24	2	22			
NO369	2011	2011-01-24	4	0	4.095	3.78	1.0
NO369	2011	2011-01-24	4	45	4.445		
NO369	2011	2011-01-24	6	30	5.005	4.9875	2.0
NO369	2011	2011-01-24	7	0	4.795	5.04	1.0
NO369	2011	2011-01-24	7	52	4.795		
NO369	2011	2011-01-24	9	22	3.955		
NO369	2011	2011-01-24	11	0	2.8	2.59	1.0
NO369	2011	2011-01-24	12	45	2.03		0.0
NO369	2011	2011-01-24	14	45			0.0
NO369	2011	2011-01-24	16	52			
NO369	2011	2011-01-24	19	30		2.625	1.0
NO369	2011	2011-01-24	21	45		2.03	1.0
NO369	2011	2011-01-24	22	45			0.0
NO369	2011	2011-01-25	1	0			0.0
NO369	2011	2011-01-25	1	45			0.0
NO369	2011	2011-01-25	3	15	2.94	2.66	1.0
NO369	2011	2011-01-25	5	45	4.987	4.795	1.0
NO369	2011	2011-01-25	10	30	3.43	3.15	3.0
NO369	2011	2011-01-25	11	30	2.31	2.45	1.0
NO369	2011	2011-01-25	16	15			0.0
NO369	2011	2011-01-25	17	15		2.643	1.0
NO369	2011	2011-01-25	17	30		2.345	1.0
NO369	2011	2011-01-25	18	0		2.643	1.0
NO369	2011	2011-01-25	18	15		2.275	1.0
NO369	2011	2011-01-25	19	0		2.695	1.0
NO369	2011	2011-01-25	23	30			0.0
NO369	2011	2011-01-26	0	15			0.0
NO369	2011	2011-01-26	1	0			0.0
NO369	2011	2011-01-26	1	30			0.0
NO369	2011	2011-01-26	3	15	3.29	2.8	2.0
NO369	2011	2011-01-26	4	15	4.375	3.955	1.0
NO369	2011	2011-01-26	4	30	4.445	3.815	1.0
NO369	2011	2011-01-26	4	45	4.55	4.445	1.0
NO369	2011	2011-01-26	5	0	4.83		
NO369	2011	2011-01-26	5	15	5.4579999999999975	4.725	1.0
NO369	2011	2011-01-26	5	30	5.005	4.585	1.0
NO369	2011	2011-01-26	5	45	5.25	4.891	2.0
NO369	2011	2011-01-26	6	0	4.76	4.8125	2.0
NO369	2011	2011-01-26	6	15	5.075	5.04	1.0
NO369	2011	2011-01-26	6	30	5.215	4.993333333333333	3.0
NO369	2011	2011-01-26	6	45	5.075	5.075	1.0
NO369	2011	2011-01-26	7	0	5.005	4.9175	2.0
NO369	2011	2011-01-26	7	15	5.005	5.25	1.0
NO369	2011	2011-01-26	7	30	5.005	4.97	1.0
NO369	2011	2011-01-26	7	45	4.865	4.83	1.0
NO369	2011	2011-01-26	8	0		4.83	1.0
NO369	2011	2011-01-26	8	15	4.585	4.6375	2.0
NO369	2011	2011-01-26	8	30	4.402	4.585	1.0
NO369	2011	2011-01-26	8	45	4.34	4.83	1.0
NO369	2011	2011-01-26	9	0			
NO369	2011	2011-01-26	9	15	4.55	3.64	1.0
NO369	2011	2011-01-26	9	30	3.85	3.5	1.0
NO369	2011	2011-01-26	9	45	3.64	3.71	1.0
NO369	2011	2011-01-26	10	0	3.57	3.71	1.0
NO369	2011	2011-01-26	10	15	3.29	3.29	1.0
NO369	2011	2011-01-26	10	30	3.29	3.2199999999999998	4.0
NO369	2011	2011-01-26	10	45	3.36	3.01	1.0
NO369	2011	2011-01-26	11	0	3.15	2.695	2.0
NO369	2011	2011-01-26	11	22			
NO369	2011	2011-01-26	11	45	2.59	2.1	1.0
NO369	2011	2011-01-26	12	7	2.24		
NO369	2011	2011-01-26	12	30	2.24		0.0
NO369	2011	2011-01-26	12	45	2.1	2.03	1.0
NO369	2011	2011-01-26	13	0			0.0
NO369	2011	2011-01-26	13	15			0.0
NO369	2011	2011-01-26	13	30			0.0
NO369	2011	2011-01-26	13	52			
NO369	2011	2011-01-26	14	15			0.0
NO369	2011	2011-01-26	14	37			
NO369	2011	2011-01-26	15	0			0.0
NO369	2011	2011-01-26	15	15			0.0
NO369	2011	2011-01-26	15	30			0.0
NO369	2011	2011-01-26	15	45			0.0
NO369	2011	2011-01-26	16	0		2.4	1.0
NO369	2011	2011-01-26	16	22			
NO369	2011	2011-01-26	16	45			0.0
NO369	2011	2011-01-26	17	0		2.59	1.0
NO369	2011	2011-01-26	17	15		2.643	1.0
NO369	2011	2011-01-26	17	30		2.345	1.0
NO369	2011	2011-01-26	17	45		2.117	1.0
NO369	2011	2011-01-26	18	0		2.643	1.0
NO369	2011	2011-01-26	18	15		2.275	1.0
NO369	2011	2011-01-26	18	30	2.975	2.835	1.0
NO369	2011	2011-01-26	18	45	2.625		0.0
NO369	2011	2011-01-26	19	0		2.695	1.0
NO369	2011	2011-01-26	19	15		2.45	1.0
NO369	2011	2011-01-26	19	30		2.625	1.0
NO369	2011	2011-01-26	19	45		2.625	1.0
NO369	2011	2011-01-26	20	0		2.905	1.0
NO369	2011	2011-01-26	20	15		2.66	1.0
NO369	2011	2011-01-26	20	37			
NO369	2011	2011-01-26	21	0		2.5244999999999997	2.0
NO369	2011	2011-01-26	21	15			0.0
NO369	2011	2011-01-26	21	30		2.3834999999999997	2.0
