sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
NQJ61	2002	2002-09-29	0	0	5.8		
NQJ61	2002	2002-09-29	0	15	6.6		
NQJ61	2002	2002-09-29	0	30	6.5		
NQJ61	2002	2002-09-29	0	45	3.7		
NQJ61	2002	2002-09-29	1	0	4.9		
NQJ61	2002	2002-09-29	1	15	3.5		
NQJ61	2002	2002-09-29	1	30	5.6		
NQJ61	2002	2002-09-29	1	45	4.9		
NQJ61	2002	2002-09-29	2	0	3.7		
NQJ61	2002	2002-09-29	2	15	5.7		
NQJ61	2002	2002-09-29	2	30	5.5		
NQJ61	2002	2002-09-29	2	45	5.4		
NQJ61	2002	2002-09-29	3	0	5.41		
NQJ61	2002	2002-09-29	3	15	5.4		
NQJ61	2002	2002-09-29	3	30	5.1		
NQJ61	2002	2002-09-29	3	45	5.21		
NQJ61	2002	2002-09-29	4	0	4.91		
NQJ61	2002	2002-09-29	4	15	4.9		
NQJ61	2002	2002-09-29	4	30	4.9		
NQJ61	2002	2002-09-29	4	45	4.9		
NQJ61	2002	2002-09-29	5	0	5.475		
NQJ61	2002	2002-09-29	5	15	4.65		
NQJ61	2002	2002-09-29	5	30	4.5		
NQJ61	2002	2002-09-29	5	45	4.5939999999999985		
NQJ61	2002	2002-09-29	6	0	5.71		
NQJ61	2002	2002-09-29	6	15	4.6		
NQJ61	2002	2002-09-29	6	30	3.796		
NQJ61	2002	2002-09-29	6	45	3.75		
NQJ61	2002	2002-09-29	7	0	3.75		
NQJ61	2002	2002-09-29	7	15	3.7		
NQJ61	2002	2002-09-29	7	30	3.75		
NQJ61	2002	2002-09-29	7	45	3.75		
NQJ61	2002	2002-09-29	8	0	3.75		
NQJ61	2002	2002-09-29	8	15	3.775		
NQJ61	2002	2002-09-29	8	30	4.413		
NQJ61	2002	2002-09-29	8	45	4.55		
NQJ61	2002	2002-09-29	9	0	4.95		
NQJ61	2002	2002-09-29	9	15	5.35		
NQJ61	2002	2002-09-29	9	30	5.75		
NQJ61	2002	2002-09-29	9	45	6.05		
NQJ61	2002	2002-09-29	10	0	6.55		
NQJ61	2002	2002-09-29	10	15	6.85		
NQJ61	2002	2002-09-29	10	30	7.075		
NQJ61	2002	2002-09-29	10	45	7.25		
NQJ61	2002	2002-09-29	11	0	7.4		
NQJ61	2002	2002-09-29	11	15	7.3		
NQJ61	2002	2002-09-29	11	30	7.5		
NQJ61	2002	2002-09-29	11	45	7.8		
NQJ61	2002	2002-09-29	12	0	8.05		
NQJ61	2002	2002-09-29	12	15	8.21		
NQJ61	2002	2002-09-29	12	30	8.35		
NQJ61	2002	2002-09-29	12	45	8.45		
NQJ61	2002	2002-09-29	13	0	8.45		
NQJ61	2002	2002-09-29	13	15	8.45		
NQJ61	2002	2002-09-29	13	30	8.45		
NQJ61	2002	2002-09-29	13	45	8.65		
NQJ61	2002	2002-09-29	14	0	8.75		
NQJ61	2002	2002-09-29	14	15	8.85		
NQJ61	2002	2002-09-29	14	30	9.05		
NQJ61	2002	2002-09-29	14	45	9.15		
NQJ61	2002	2002-09-29	15	0	9.25		
NQJ61	2002	2002-09-29	15	15	9.45		
NQJ61	2002	2002-09-29	15	30	9.55		
NQJ61	2002	2002-09-29	15	45	9.55		
NQJ61	2002	2002-09-29	16	0	9.95		
NQJ61	2002	2002-09-29	16	15	9.75		
NQJ61	2002	2002-09-29	16	30	9.75		
NQJ61	2002	2002-09-29	16	45	10.35		
NQJ61	2002	2002-09-29	17	0	10.35		
NQJ61	2002	2002-09-29	17	15	10.35		
NQJ61	2002	2002-09-29	17	30	10.55		
NQJ61	2002	2002-09-29	17	45	10.35		
NQJ61	2002	2002-09-29	18	0	9.7		
NQJ61	2002	2002-09-29	18	15	10.6		
NQJ61	2002	2002-09-29	18	30	9.7		
NQJ61	2002	2002-09-29	18	45	10.55		
NQJ61	2002	2002-09-29	19	0	9.95		
NQJ61	2002	2002-09-29	19	15	9.35		
NQJ61	2002	2002-09-29	19	30	9.45		
NQJ61	2002	2002-09-29	19	45	9.35		
NQJ61	2002	2002-09-29	20	0	7.05		
NQJ61	2002	2002-09-29	20	15	9.35		
NQJ61	2002	2002-09-29	20	30	9.65		
NQJ61	2002	2002-09-29	20	45	9.15		
NQJ61	2002	2002-09-29	21	0	8.35		
NQJ61	2002	2002-09-29	21	15	8.45		
NQJ61	2002	2002-09-29	21	30	7.85		
NQJ61	2002	2002-09-29	21	45	7.0		
NQJ61	2002	2002-09-29	22	0	6.8		
NQJ61	2002	2002-09-29	22	15	6.61		
NQJ61	2002	2002-09-29	22	30	6.51		
NQJ61	2002	2002-09-29	22	45	5.6		
NQJ61	2002	2002-09-29	23	0	5.51		
NQJ61	2002	2002-09-29	23	15	5.31		
NQJ61	2002	2002-09-29	23	30	5.21		
NQJ61	2002	2002-09-29	23	45	5.21		
NQJ61	2002	2002-09-30	0	0	5.11	5.8	1.0
NQJ61	2002	2002-09-30	0	15	3.7	6.6	1.0
NQJ61	2002	2002-09-30	0	30	4.81	6.5	1.0
NQJ61	2002	2002-09-30	0	45	4.61	3.7	1.0
NQJ61	2002	2002-09-30	1	0	4.51	4.9	1.0
NQJ61	2002	2002-09-30	1	15	5.11	3.5	1.0
NQJ61	2002	2002-09-30	1	30	5.1	5.6	1.0
NQJ61	2002	2002-09-30	1	45	4.91	4.9	1.0
NQJ61	2002	2002-09-30	2	0	4.8	3.7	1.0
NQJ61	2002	2002-09-30	2	15	4.7	5.7	1.0
NQJ61	2002	2002-09-30	2	30	5.5	5.5	1.0
NQJ61	2002	2002-09-30	2	45		5.4	1.0
NQJ61	2002	2002-09-30	3	0		5.41	1.0
NQJ61	2002	2002-09-30	3	15		5.4	1.0
NQJ61	2002	2002-09-30	3	30		5.1	1.0
NQJ61	2002	2002-09-30	3	45	4.91	5.21	1.0
NQJ61	2002	2002-09-30	4	0	3.7	4.91	1.0
NQJ61	2002	2002-09-30	4	15	5.71	4.9	1.0
NQJ61	2002	2002-09-30	4	30	5.61	4.9	1.0
NQJ61	2002	2002-09-30	4	45	4.61	4.9	1.0
NQJ61	2002	2002-09-30	5	0		5.475	1.0
NQJ61	2002	2002-09-30	5	15		4.65	1.0
NQJ61	2002	2002-09-30	5	30		4.5	1.0
NQJ61	2002	2002-09-30	5	45		4.5939999999999985	1.0
NQJ61	2002	2002-09-30	6	0		5.71	1.0
NQJ61	2002	2002-09-30	6	15		4.6	1.0
NQJ61	2002	2002-09-30	6	30		3.796	1.0
NQJ61	2002	2002-09-30	6	45		3.75	1.0
NQJ61	2002	2002-09-30	7	0	4.9	3.75	1.0
NQJ61	2002	2002-09-30	7	15		3.7	1.0
NQJ61	2002	2002-09-30	7	30		3.75	1.0
NQJ61	2002	2002-09-30	7	45	4.6	3.75	1.0
NQJ61	2002	2002-09-30	8	0		3.75	1.0
NQJ61	2002	2002-09-30	8	15	5.7	3.775	1.0
NQJ61	2002	2002-09-30	8	30	5.3	4.413	1.0
NQJ61	2002	2002-09-30	8	45	5.9	4.55	1.0
NQJ61	2002	2002-09-30	9	0	5.5	4.95	1.0
NQJ61	2002	2002-09-30	9	15	5.3	5.35	1.0
NQJ61	2002	2002-09-30	9	30	5.15	5.75	1.0
NQJ61	2002	2002-09-30	9	45	4.9	6.05	1.0
NQJ61	2002	2002-09-30	10	0	5.6	6.55	1.0
NQJ61	2002	2002-09-30	10	15	6.0	6.85	1.0
NQJ61	2002	2002-09-30	10	30	5.1	7.075	1.0
NQJ61	2002	2002-09-30	10	45	5.1	7.25	1.0
NQJ61	2002	2002-09-30	11	0	4.9	7.4	1.0
NQJ61	2002	2002-09-30	11	15	5.2	7.3	1.0
NQJ61	2002	2002-09-30	11	30	5.7	7.5	1.0
NQJ61	2002	2002-09-30	11	45	5.8	7.8	1.0
NQJ61	2002	2002-09-30	12	0	5.925	8.05	1.0
NQJ61	2002	2002-09-30	12	15	6.113	8.21	1.0
NQJ61	2002	2002-09-30	12	30	6.45	8.35	1.0
NQJ61	2002	2002-09-30	12	45	6.45	8.45	1.0
NQJ61	2002	2002-09-30	13	0	6.95	8.45	1.0
NQJ61	2002	2002-09-30	13	15	6.5	8.45	1.0
NQJ61	2002	2002-09-30	13	30	6.45	8.45	1.0
NQJ61	2002	2002-09-30	13	45	6.31	8.65	1.0
NQJ61	2002	2002-09-30	14	0	6.6	8.75	1.0
NQJ61	2002	2002-09-30	14	15	8.01	8.85	1.0
NQJ61	2002	2002-09-30	14	30	8.4	9.05	1.0
NQJ61	2002	2002-09-30	14	45	9.35	9.15	1.0
NQJ61	2002	2002-09-30	15	0	9.4	9.25	1.0
NQJ61	2002	2002-09-30	15	15	9.5	9.45	1.0
NQJ61	2002	2002-09-30	15	30	8.85	9.55	1.0
NQJ61	2002	2002-09-30	15	45	8.25	9.55	1.0
NQJ61	2002	2002-09-30	16	0	7.4	9.95	1.0
NQJ61	2002	2002-09-30	16	15	7.225	9.75	1.0
NQJ61	2002	2002-09-30	16	30	7.15	9.75	1.0
NQJ61	2002	2002-09-30	16	45	6.801	10.35	1.0
NQJ61	2002	2002-09-30	17	0	6.45	10.35	1.0
NQJ61	2002	2002-09-30	17	15	6.65	10.35	1.0
