sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
PE43K	2011	2011-02-04	0	0	5.7879999999999985		
PE43K	2011	2011-02-04	1	0			
PE43K	2011	2011-02-04	2	0	5.135		
PE43K	2011	2011-02-04	3	0	4.647		
PE43K	2011	2011-02-04	4	0			
PE43K	2011	2011-02-04	5	0			
PE43K	2011	2011-02-04	6	0			
PE43K	2011	2011-02-04	7	0	7.255		
PE43K	2011	2011-02-04	8	0	6.994		
PE43K	2011	2011-02-04	9	0	6.3039999999999985		
PE43K	2011	2011-02-04	10	0	5.615		
PE43K	2011	2011-02-04	11	0	5.5		
PE43K	2011	2011-02-04	12	0	5.812		
PE43K	2011	2011-02-04	13	0	4.533		
PE43K	2011	2011-02-04	14	0	3.588		
PE43K	2011	2011-02-04	15	0	3.452		
PE43K	2011	2011-02-04	16	0	3.3		
PE43K	2011	2011-02-04	17	0	3.1830000000000003		
PE43K	2011	2011-02-04	18	0			
PE43K	2011	2011-02-04	19	0	2.628		
PE43K	2011	2011-02-04	20	0	2.562		
PE43K	2011	2011-02-04	21	0			
PE43K	2011	2011-02-04	22	0	3.263		
PE43K	2011	2011-02-04	23	0	3.705		
PE43K	2011	2011-02-05	0	0	3.812	5.7879999999999985	1.0
PE43K	2011	2011-02-05	1	0	4.28		0.0
PE43K	2011	2011-02-05	2	0	4.151	5.135	1.0
PE43K	2011	2011-02-05	3	0		4.647	1.0
PE43K	2011	2011-02-05	4	0	4.332		0.0
PE43K	2011	2011-02-05	5	0			0.0
PE43K	2011	2011-02-05	6	0			0.0
PE43K	2011	2011-02-05	7	0		7.255	1.0
PE43K	2011	2011-02-05	8	0	4.5310000000000015	6.994	1.0
PE43K	2011	2011-02-05	9	0	4.194	6.3039999999999985	1.0
PE43K	2011	2011-02-05	10	0	4.352	5.615	1.0
PE43K	2011	2011-02-05	11	0	4.395	5.5	1.0
PE43K	2011	2011-02-05	12	0	4.005	5.812	1.0
PE43K	2011	2011-02-05	13	0	3.691	4.533	1.0
PE43K	2011	2011-02-05	14	0	2.774	3.588	1.0
PE43K	2011	2011-02-05	15	0		3.452	1.0
PE43K	2011	2011-02-05	16	0		3.3	1.0
PE43K	2011	2011-02-05	17	0	4.645	3.1830000000000003	1.0
PE43K	2011	2011-02-05	18	0	4.145		0.0
PE43K	2011	2011-02-05	19	0	4.0539999999999985	2.628	1.0
PE43K	2011	2011-02-05	20	0	3.143	2.562	1.0
PE43K	2011	2011-02-05	21	0	3.079		0.0
PE43K	2011	2011-02-05	22	0	3.702	3.263	1.0
PE43K	2011	2011-02-05	23	0	4.391	3.705	1.0
PE43K	2011	2011-02-06	0	0	4.237	4.799999999999999	2.0
PE43K	2011	2011-02-06	1	0	4.27	4.28	1.0
PE43K	2011	2011-02-06	2	0	4.759	4.643	2.0
PE43K	2011	2011-02-06	3	0		4.647	1.0
PE43K	2011	2011-02-06	4	0		4.332	1.0
PE43K	2011	2011-02-06	5	0	4.435		0.0
PE43K	2011	2011-02-06	6	0	6.105		0.0
PE43K	2011	2011-02-06	7	0	6.028	7.255	1.0
PE43K	2011	2011-02-06	8	0	5.775	5.762500000000001	2.0
PE43K	2011	2011-02-06	9	0	5.2639999999999985	5.248999999999999	2.0
PE43K	2011	2011-02-06	10	0	5.067	4.9835	2.0
PE43K	2011	2011-02-06	11	0	5.006	4.9475	2.0
PE43K	2011	2011-02-06	12	0	5.039	4.9085	2.0
PE43K	2011	2011-02-06	13	0	4.96	4.112	2.0
PE43K	2011	2011-02-06	14	0	4.6530000000000005	3.181	2.0
PE43K	2011	2011-02-06	15	0	4.651	3.452	1.0
PE43K	2011	2011-02-06	16	0	4.359	3.3	1.0
PE43K	2011	2011-02-06	17	0	4.671	3.9139999999999997	2.0
PE43K	2011	2011-02-06	18	0	3.841	4.145	1.0
PE43K	2011	2011-02-06	19	0	3.2230000000000003	3.3409999999999993	2.0
PE43K	2011	2011-02-06	20	0	3.802	2.8525	2.0
PE43K	2011	2011-02-06	21	0	3.879	3.079	1.0
PE43K	2011	2011-02-06	22	0	3.552	3.4825	2.0
PE43K	2011	2011-02-06	23	0	3.918	4.048	2.0
PE43K	2011	2011-02-07	0	0	4.305	4.612333333333333	3.0
PE43K	2011	2011-02-07	1	0	4.542	4.275	2.0
PE43K	2011	2011-02-07	2	0		4.681666666666667	3.0
PE43K	2011	2011-02-07	3	0	4.581	4.647	1.0
PE43K	2011	2011-02-07	4	0	4.51	4.332	1.0
PE43K	2011	2011-02-07	5	0	4.46	4.435	1.0
PE43K	2011	2011-02-07	6	0	5.6670000000000025	6.105	1.0
PE43K	2011	2011-02-07	7	0	5.396	6.6415	2.0
PE43K	2011	2011-02-07	8	0	4.35	5.766666666666668	3.0
PE43K	2011	2011-02-07	9	0	5.1960000000000015	5.253999999999999	3.0
PE43K	2011	2011-02-07	10	0	5.165	5.011333333333334	3.0
PE43K	2011	2011-02-07	11	0	4.8039999999999985	4.967	3.0
PE43K	2011	2011-02-07	12	0	4.355	4.952	3.0
PE43K	2011	2011-02-07	13	0	3.719	4.394666666666667	3.0
PE43K	2011	2011-02-07	14	0	3.359	3.671666666666667	3.0
PE43K	2011	2011-02-07	15	0	3.773	4.0515	2.0
PE43K	2011	2011-02-07	16	0	4.029	3.8295	2.0
PE43K	2011	2011-02-07	17	0	3.624	4.166333333333333	3.0
PE43K	2011	2011-02-07	18	0	3.631	3.993	2.0
PE43K	2011	2011-02-07	19	0	3.3560000000000003	3.3016666666666663	3.0
PE43K	2011	2011-02-07	20	0	2.649	3.169	3.0
PE43K	2011	2011-02-07	21	0	2.615	3.479	2.0
PE43K	2011	2011-02-07	22	0	3.785	3.5056666666666665	3.0
PE43K	2011	2011-02-07	23	0	4.434	4.004666666666666	3.0
PE43K	2011	2011-02-08	0	0	4.189	4.535499999999999	4.0
PE43K	2011	2011-02-08	1	0	5.019	4.364	3.0
PE43K	2011	2011-02-08	2	0	5.374	4.681666666666667	3.0
PE43K	2011	2011-02-08	3	0	4.505	4.614000000000001	2.0
PE43K	2011	2011-02-08	4	0	6.235	4.420999999999999	2.0
PE43K	2011	2011-02-08	5	0	6.289	4.4475	2.0
