sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
PY52R	2006	2006-03-29	2	0			
PY52R	2006	2006-03-29	5	0	10.942		
PY52R	2006	2006-03-29	6	0	8.423		
PY52R	2006	2006-03-29	7	0	6.5520000000000005		
PY52R	2006	2006-03-29	8	0	4.872		
PY52R	2006	2006-03-29	9	0	6.4		
PY52R	2006	2006-03-29	10	0	4.763		
PY52R	2006	2006-03-29	11	0	5.189		
PY52R	2006	2006-03-29	12	0	4.686		
PY52R	2006	2006-03-29	13	0	4.395		
PY52R	2006	2006-03-29	14	0	4.067		
PY52R	2006	2006-03-29	15	0	1.635		
PY52R	2006	2006-03-29	16	0	4.089		
PY52R	2006	2006-03-29	17	0	3.5460000000000003		
PY52R	2006	2006-03-29	18	0	2.783		
PY52R	2006	2006-03-29	19	0	3.149		
PY52R	2006	2006-03-29	20	0	2.754		
PY52R	2006	2006-03-29	21	0	4.999		
PY52R	2006	2006-03-29	22	0	7.33		
PY52R	2006	2006-03-29	23	0	9.851		
PY52R	2006	2006-03-30	0	0	11.375		
PY52R	2006	2006-03-30	1	0	11.747		
PY52R	2006	2006-03-30	2	0	11.559		0.0
PY52R	2006	2006-03-30	3	0	12.800999999999998		
PY52R	2006	2006-03-30	4	0			
PY52R	2006	2006-03-30	5	0		10.942	1.0
PY52R	2006	2006-03-30	6	0	11.497	8.423	1.0
PY52R	2006	2006-03-30	7	0	8.165	6.5520000000000005	1.0
PY52R	2006	2006-03-30	8	0	6.0939999999999985	4.872	1.0
PY52R	2006	2006-03-30	9	0	4.724	6.4	1.0
PY52R	2006	2006-03-30	10	0	4.022	4.763	1.0
PY52R	2006	2006-03-30	11	0	4.915	5.189	1.0
PY52R	2006	2006-03-30	12	0	5.627000000000002	4.686	1.0
PY52R	2006	2006-03-30	13	0	5.23	4.395	1.0
PY52R	2006	2006-03-30	14	0		4.067	1.0
PY52R	2006	2006-03-30	15	0	7.635	1.635	1.0
PY52R	2006	2006-03-30	16	0	7.0539999999999985	4.089	1.0
PY52R	2006	2006-03-30	17	0	4.799	3.5460000000000003	1.0
PY52R	2006	2006-03-30	18	0	3.4930000000000003	2.783	1.0
PY52R	2006	2006-03-30	19	0	3.1830000000000003	3.149	1.0
PY52R	2006	2006-03-30	20	0	3.426	2.754	1.0
PY52R	2006	2006-03-30	21	0		4.999	1.0
PY52R	2006	2006-03-30	22	0	7.407999999999999	7.33	1.0
PY52R	2006	2006-03-30	23	0	9.385	9.851	1.0
PY52R	2006	2006-03-31	0	0	8.374	11.375	1.0
PY52R	2006	2006-04-03	0	0	8.796	9.874500000000001	2.0
PY52R	2006	2006-04-03	1	0	11.408	11.747	1.0
PY52R	2006	2006-04-03	2	0	10.609000000000002	11.559	1.0
PY52R	2006	2006-04-03	3	0	11.074000000000002	12.800999999999998	1.0
PY52R	2006	2006-04-03	4	0	9.375		0.0
PY52R	2006	2006-04-03	5	0	7.866	10.942	1.0
PY52R	2006	2006-04-03	6	0	8.892999999999997	9.96	2.0
PY52R	2006	2006-04-03	7	0	7.075	7.358499999999999	2.0
PY52R	2006	2006-04-03	8	0	7.336	5.482999999999999	2.0
PY52R	2006	2006-04-03	9	0	7.847	5.562	2.0
PY52R	2006	2006-04-03	10	0	7.97	4.3925	2.0
PY52R	2006	2006-04-03	11	0		5.052	2.0
PY52R	2006	2006-04-03	12	0	3.321	5.156500000000001	2.0
PY52R	2006	2006-04-03	13	0	3.1260000000000003	4.8125	2.0
PY52R	2006	2006-04-03	14	0	3.5	4.067	1.0
PY52R	2006	2006-04-03	15	0	3.355	4.635	2.0
PY52R	2006	2006-04-03	16	0	3.4810000000000003	5.5714999999999995	2.0
PY52R	2006	2006-04-03	17	0	2.676	4.1725	2.0
PY52R	2006	2006-04-03	18	0		3.138	2.0
PY52R	2006	2006-04-03	19	0		3.1660000000000004	2.0
PY52R	2006	2006-04-03	20	0	3.218	3.09	2.0
PY52R	2006	2006-04-03	21	0	7.2879999999999985	4.999	1.0
PY52R	2006	2006-04-03	22	0		7.369	2.0
PY52R	2006	2006-04-03	23	0	7.383999999999999	9.618	2.0
PY52R	2006	2006-04-04	0	0	8.552999999999999	9.515	3.0
PY52R	2006	2006-04-04	1	0	10.552	11.5775	2.0
PY52R	2006	2006-04-04	2	0	10.727	11.084	2.0
PY52R	2006	2006-04-04	3	0	10.909	11.9375	2.0
PY52R	2006	2006-04-04	4	0	9.741	9.375	1.0
PY52R	2006	2006-04-04	5	0	10.383	9.404	2.0
PY52R	2006	2006-04-04	6	0	8.3	9.604333333333333	3.0
PY52R	2006	2006-04-04	7	0	6.903	7.263999999999999	3.0
PY52R	2006	2006-04-04	9	0	7.975	6.323666666666667	3.0
PY52R	2006	2006-04-04	10	0	8.883	5.585	3.0
PY52R	2006	2006-04-04	11	0	5.5870000000000015	5.052	2.0
PY52R	2006	2006-04-04	12	0	4.067	4.544666666666667	3.0
PY52R	2006	2006-04-04	13	0	4.003	4.250333333333334	3.0
PY52R	2006	2006-04-04	14	0	4.6110000000000015	3.7835	2.0
PY52R	2006	2006-04-04	15	0	4.815	4.208333333333333	3.0
PY52R	2006	2006-04-04	16	0	5.018	4.874666666666666	3.0
PY52R	2006	2006-04-04	17	0	4.045	3.673666666666667	3.0
PY52R	2006	2006-04-04	18	0	2.852	3.138	2.0
PY52R	2006	2006-04-04	19	0	2.045	3.1660000000000004	2.0
PY52R	2006	2006-04-04	20	0	3.37	3.1326666666666667	3.0
