sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
RA041	2019	2019-08-02	0	0	3.3		
RA041	2019	2019-08-02	0	15	3.3		
RA041	2019	2019-08-02	0	30	3.2		
RA041	2019	2019-08-02	0	45	3.4		
RA041	2019	2019-08-02	1	0	3.5		
RA041	2019	2019-08-02	1	15	3.3		
RA041	2019	2019-08-02	1	30	3.2		
RA041	2019	2019-08-02	1	45	3.1		
RA041	2019	2019-08-02	2	0	2.9		
RA041	2019	2019-08-02	2	15	2.8		
RA041	2019	2019-08-02	2	30	2.8		
RA041	2019	2019-08-02	2	45	2.7		
RA041	2019	2019-08-02	3	0	2.7		
RA041	2019	2019-08-02	3	15	2.7		
RA041	2019	2019-08-02	3	30	2.9		
RA041	2019	2019-08-02	3	45	2.9		
RA041	2019	2019-08-02	4	0	3.1		
RA041	2019	2019-08-02	4	15	3.7		
RA041	2019	2019-08-02	4	30	4.1		
RA041	2019	2019-08-02	4	45	4.2		
RA041	2019	2019-08-02	5	0	4.0		
RA041	2019	2019-08-02	5	15	3.9		
RA041	2019	2019-08-02	5	30	4.0		
RA041	2019	2019-08-02	5	45	3.9		
RA041	2019	2019-08-02	6	0	4.0		
RA041	2019	2019-08-02	6	15	4.5		
RA041	2019	2019-08-02	6	30			
RA041	2019	2019-08-02	6	45			
RA041	2019	2019-08-02	7	0			
RA041	2019	2019-08-02	7	15			
RA041	2019	2019-08-02	7	30			
RA041	2019	2019-08-02	7	45			
RA041	2019	2019-08-02	8	0			
RA041	2019	2019-08-02	8	15			
RA041	2019	2019-08-02	8	30			
RA041	2019	2019-08-02	8	45			
RA041	2019	2019-08-02	9	0			
RA041	2019	2019-08-02	9	15			
RA041	2019	2019-08-02	9	30			
RA041	2019	2019-08-02	9	45			
RA041	2019	2019-08-02	10	0			
RA041	2019	2019-08-02	10	15			
RA041	2019	2019-08-02	10	30			
RA041	2019	2019-08-02	10	45			
RA041	2019	2019-08-02	11	0			
RA041	2019	2019-08-02	11	15			
RA041	2019	2019-08-02	11	30	4.7		
RA041	2019	2019-08-02	11	45	4.8		
RA041	2019	2019-08-02	12	0	5.0		
RA041	2019	2019-08-02	12	15	4.9		
RA041	2019	2019-08-02	12	30	5.0		
RA041	2019	2019-08-02	12	45	4.9		
RA041	2019	2019-08-02	13	0	4.8		
RA041	2019	2019-08-02	13	15	5.1		
RA041	2019	2019-08-02	13	30			
RA041	2019	2019-08-02	13	45			
RA041	2019	2019-08-02	14	0			
RA041	2019	2019-08-02	14	15			
RA041	2019	2019-08-02	14	30			
RA041	2019	2019-08-02	14	45			
RA041	2019	2019-08-02	15	0			
RA041	2019	2019-08-02	15	15			
RA041	2019	2019-08-02	15	30	4.5		
RA041	2019	2019-08-02	15	45	4.7		
RA041	2019	2019-08-02	16	0	5.0		
RA041	2019	2019-08-02	16	15	4.6		
RA041	2019	2019-08-02	16	30	4.7		
RA041	2019	2019-08-02	16	45	4.7		
RA041	2019	2019-08-02	17	0	4.0		
RA041	2019	2019-08-02	17	15	4.6		
RA041	2019	2019-08-02	17	30	4.7		
RA041	2019	2019-08-02	17	45	4.7		
RA041	2019	2019-08-02	18	0	4.7		
RA041	2019	2019-08-02	18	15	5.0		
RA041	2019	2019-08-02	18	30	5.1		
RA041	2019	2019-08-02	18	45	5.4		
RA041	2019	2019-08-02	19	0			
RA041	2019	2019-08-02	19	15	5.8		
RA041	2019	2019-08-02	19	30			
RA041	2019	2019-08-02	19	45	5.7		
RA041	2019	2019-08-02	20	0	5.6		
RA041	2019	2019-08-02	20	15	5.4		
RA041	2019	2019-08-02	20	30	5.3		
RA041	2019	2019-08-02	20	45	5.1		
RA041	2019	2019-08-02	21	0	4.8		
RA041	2019	2019-08-02	21	15	4.5		
RA041	2019	2019-08-02	21	30	4.7		
RA041	2019	2019-08-02	21	45	4.6		
RA041	2019	2019-08-02	22	0	4.4		
RA041	2019	2019-08-02	22	15	4.4		
RA041	2019	2019-08-02	22	30	4.2		
RA041	2019	2019-08-02	22	45	4.1		
RA041	2019	2019-08-02	23	0	4.0		
RA041	2019	2019-08-02	23	15	3.9		
RA041	2019	2019-08-02	23	30	3.7		
RA041	2019	2019-08-02	23	45	3.6		
RA041	2019	2019-08-03	0	0	3.5	3.3	1.0
RA041	2019	2019-08-03	0	15	3.5	3.3	1.0
RA041	2019	2019-08-03	0	30	3.4	3.2	1.0
RA041	2019	2019-08-03	0	45	3.2	3.4	1.0
RA041	2019	2019-08-03	1	0	3.2	3.5	1.0
RA041	2019	2019-08-03	1	15	3.0	3.3	1.0
RA041	2019	2019-08-03	1	30	2.9	3.2	1.0
RA041	2019	2019-08-03	1	45	2.9	3.1	1.0
RA041	2019	2019-08-03	2	0	2.9	2.9	1.0
RA041	2019	2019-08-03	2	15	2.8	2.8	1.0
RA041	2019	2019-08-03	2	30	2.5	2.8	1.0
RA041	2019	2019-08-03	2	45	2.8	2.7	1.0
RA041	2019	2019-08-03	3	0	2.7	2.7	1.0
RA041	2019	2019-08-03	3	15	2.4	2.7	1.0
RA041	2019	2019-08-03	3	30	2.4	2.9	1.0
RA041	2019	2019-08-03	3	45		2.9	1.0
RA041	2019	2019-08-03	4	0	2.8	3.1	1.0
RA041	2019	2019-08-03	4	15	3.1	3.7	1.0
RA041	2019	2019-08-03	4	30	3.1	4.1	1.0
RA041	2019	2019-08-03	4	45	3.7	4.2	1.0
RA041	2019	2019-08-03	5	0	3.8	4.0	1.0
RA041	2019	2019-08-03	5	15	3.7	3.9	1.0
RA041	2019	2019-08-03	5	30	3.9	4.0	1.0
RA041	2019	2019-08-03	5	45	4.6	3.9	1.0
RA041	2019	2019-08-03	6	0		4.0	1.0
RA041	2019	2019-08-03	6	15	4.2	4.5	1.0
RA041	2019	2019-08-03	6	30	4.2		0.0
RA041	2019	2019-08-03	6	45	4.3		0.0
RA041	2019	2019-08-03	7	0			0.0
RA041	2019	2019-08-03	7	15	4.5		0.0
RA041	2019	2019-08-03	7	30			0.0
RA041	2019	2019-08-03	7	45	4.8		0.0
RA041	2019	2019-08-03	8	0			0.0
RA041	2019	2019-08-03	8	15			0.0
RA041	2019	2019-08-03	8	30	4.7		0.0
RA041	2019	2019-08-03	8	45			0.0
RA041	2019	2019-08-03	9	0	5.0		0.0
RA041	2019	2019-08-03	9	15	5.0		0.0
RA041	2019	2019-08-03	9	30	5.0		0.0
RA041	2019	2019-08-03	9	45	5.2		0.0
RA041	2019	2019-08-03	10	0	5.3		0.0
RA041	2019	2019-08-03	10	15	5.5		0.0
RA041	2019	2019-08-03	10	30	5.6		0.0
RA041	2019	2019-08-03	10	45	5.0		0.0
RA041	2019	2019-08-03	11	0			0.0
RA041	2019	2019-08-03	11	15			0.0
RA041	2019	2019-08-03	11	30		4.7	1.0
RA041	2019	2019-08-03	11	45		4.8	1.0
RA041	2019	2019-08-03	12	0		5.0	1.0
RA041	2019	2019-08-03	12	15		4.9	1.0
RA041	2019	2019-08-03	12	30		5.0	1.0
RA041	2019	2019-08-03	12	45	4.7	4.9	1.0
RA041	2019	2019-08-03	13	0		4.8	1.0
RA041	2019	2019-08-03	13	15		5.1	1.0
RA041	2019	2019-08-03	13	30			0.0
RA041	2019	2019-08-03	13	45	4.7		0.0
RA041	2019	2019-08-03	14	0			0.0
RA041	2019	2019-08-03	14	15			0.0
RA041	2019	2019-08-03	14	30			0.0
RA041	2019	2019-08-03	14	45			0.0
RA041	2019	2019-08-03	15	0			0.0
RA041	2019	2019-08-03	15	15	4.7		0.0
RA041	2019	2019-08-03	15	30		4.5	1.0
RA041	2019	2019-08-03	15	45		4.7	1.0
RA041	2019	2019-08-03	16	0		5.0	1.0
RA041	2019	2019-08-03	17	0	4.1	4.0	1.0
RA041	2019	2019-08-03	17	15	4.3	4.6	1.0
RA041	2019	2019-08-03	17	45	4.7	4.7	1.0
RA041	2019	2019-08-03	18	0	4.8	4.7	1.0
RA041	2019	2019-08-03	18	15	5.3	5.0	1.0
RA041	2019	2019-08-03	18	30	5.4	5.1	1.0
RA041	2019	2019-08-03	18	45	5.8	5.4	1.0
RA041	2019	2019-08-03	19	0	5.9		0.0
RA041	2019	2019-08-03	19	15		5.8	1.0
RA041	2019	2019-08-03	19	30	5.9		0.0
RA041	2019	2019-08-03	20	0	5.9	5.6	1.0
RA041	2019	2019-08-03	20	15	5.7	5.4	1.0
RA041	2019	2019-08-03	20	30	5.8	5.3	1.0
RA041	2019	2019-08-03	20	45	5.8	5.1	1.0
RA041	2019	2019-08-03	21	0	5.9	4.8	1.0
RA041	2019	2019-08-03	21	15	5.8	4.5	1.0
RA041	2019	2019-08-03	21	30	5.3	4.7	1.0
RA041	2019	2019-08-03	21	45	4.9	4.6	1.0
RA041	2019	2019-08-03	22	0		4.4	1.0
RA041	2019	2019-08-03	22	15	4.3	4.4	1.0
RA041	2019	2019-08-03	22	30	4.2	4.2	1.0
RA041	2019	2019-08-03	22	45	4.2	4.1	1.0
RA041	2019	2019-08-03	23	0	4.2	4.0	1.0
RA041	2019	2019-08-03	23	15	3.7	3.9	1.0
RA041	2019	2019-08-03	23	30	3.0	3.7	1.0
RA041	2019	2019-08-03	23	45	2.9	3.6	1.0
RA041	2019	2019-08-04	0	0	2.5	3.4	2.0
RA041	2019	2019-08-04	0	15	2.4	3.4	2.0
RA041	2019	2019-08-04	0	30	2.4	3.3	2.0
RA041	2019	2019-08-04	0	45	2.4	3.3	2.0
RA041	2019	2019-08-04	1	0	2.4	3.35	2.0
RA041	2019	2019-08-04	1	15	2.1	3.15	2.0
RA041	2019	2019-08-04	1	30	2.4	3.05	2.0
RA041	2019	2019-08-04	1	45	2.2	3.0	2.0
RA041	2019	2019-08-04	2	0	2.1	2.9	2.0
RA041	2019	2019-08-04	2	15	2.1	2.8	2.0
RA041	2019	2019-08-04	2	30	2.1	2.65	2.0
RA041	2019	2019-08-04	2	45	1.9	2.75	2.0
RA041	2019	2019-08-04	3	0	2.2	2.7	2.0
RA041	2019	2019-08-04	3	15	2.3	2.55	2.0
RA041	2019	2019-08-04	3	30	2.0	2.65	2.0
RA041	2019	2019-08-04	3	45	2.1	2.9	1.0
RA041	2019	2019-08-04	4	0	2.6	2.95	2.0
RA041	2019	2019-08-04	4	15	2.8	3.4000000000000004	2.0
RA041	2019	2019-08-04	4	30	3.1	3.5999999999999996	2.0
RA041	2019	2019-08-04	4	45	3.4	3.95	2.0
RA041	2019	2019-08-04	5	0	3.6	3.9	2.0
RA041	2019	2019-08-04	5	15	3.9	3.8	2.0
RA041	2019	2019-08-04	5	30	4.1	3.95	2.0
RA041	2019	2019-08-04	5	45	4.6	4.25	2.0
RA041	2019	2019-08-04	6	0	5.1	4.0	1.0
RA041	2019	2019-08-04	6	15	4.8	4.35	2.0
RA041	2019	2019-08-04	6	30	4.7	4.2	1.0
RA041	2019	2019-08-04	6	45	4.6	4.3	1.0
RA041	2019	2019-08-04	7	0	4.6		0.0
RA041	2019	2019-08-04	7	15	4.7	4.5	1.0
RA041	2019	2019-08-04	7	30			0.0
RA041	2019	2019-08-04	7	45		4.8	1.0
RA041	2019	2019-08-04	8	0	5.6		0.0
RA041	2019	2019-08-04	8	15			0.0
RA041	2019	2019-08-04	8	30		4.7	1.0
RA041	2019	2019-08-04	8	45	4.8		0.0
RA041	2019	2019-08-04	9	0		5.0	1.0
RA041	2019	2019-08-04	9	15	4.8	5.0	1.0
RA041	2019	2019-08-04	9	30		5.0	1.0
RA041	2019	2019-08-04	9	45		5.2	1.0
RA041	2019	2019-08-04	10	0		5.3	1.0
RA041	2019	2019-08-04	10	15		5.5	1.0
RA041	2019	2019-08-04	10	30		5.6	1.0
RA041	2019	2019-08-04	10	45	6.1	5.0	1.0
RA041	2019	2019-08-04	11	0			0.0
RA041	2019	2019-08-04	11	15			0.0
RA041	2019	2019-08-04	11	30		4.7	1.0
RA041	2019	2019-08-04	11	45		4.8	1.0
RA041	2019	2019-08-04	12	0		5.0	1.0
RA041	2019	2019-08-04	12	15		4.9	1.0
RA041	2019	2019-08-04	12	30		5.0	1.0
RA041	2019	2019-08-04	12	45		4.800000000000001	2.0
RA041	2019	2019-08-04	13	0		4.8	1.0
RA041	2019	2019-08-04	13	15		5.1	1.0
RA041	2019	2019-08-04	13	30	5.3		0.0
RA041	2019	2019-08-04	13	45		4.7	1.0
RA041	2019	2019-08-04	14	0			0.0
RA041	2019	2019-08-04	14	15			0.0
RA041	2019	2019-08-04	14	30			0.0
RA041	2019	2019-08-04	14	45			0.0
RA041	2019	2019-08-04	15	0			0.0
RA041	2019	2019-08-04	15	15	4.5	4.7	1.0
RA041	2019	2019-08-04	15	30	4.6	4.5	1.0
RA041	2019	2019-08-04	15	45	4.7	4.7	1.0
RA041	2019	2019-08-04	16	0	4.6	5.0	1.0
RA041	2019	2019-08-04	16	15	4.4	4.6	1.0
RA041	2019	2019-08-04	16	30	4.3	4.7	1.0
RA041	2019	2019-08-04	16	45	4.4	4.7	1.0
RA041	2019	2019-08-04	17	0	4.5	4.05	2.0
RA041	2019	2019-08-04	17	15	4.7	4.449999999999999	2.0
