sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
RL052	2004	2004-11-21	0	0	3.6		
RL052	2004	2004-11-21	0	10	3.6		
RL052	2004	2004-11-21	0	20	3.6		
RL052	2004	2004-11-21	0	30	3.45		
RL052	2004	2004-11-21	0	40	3.45		
RL052	2004	2004-11-21	0	50	3.65		
RL052	2004	2004-11-21	1	0	3.65		
RL052	2004	2004-11-21	1	10	3.75		
RL052	2004	2004-11-21	1	20	3.7		
RL052	2004	2004-11-21	1	30	3.8		
RL052	2004	2004-11-21	1	40	3.7		
RL052	2004	2004-11-21	1	50	3.6		
RL052	2004	2004-11-21	2	0	3.65		
RL052	2004	2004-11-21	2	10	3.7		
RL052	2004	2004-11-21	2	20	3.55		
RL052	2004	2004-11-21	2	30	3.555		
RL052	2004	2004-11-21	2	40	3.3		
RL052	2004	2004-11-21	2	50	3.3		
RL052	2004	2004-11-21	3	0	3.3		
RL052	2004	2004-11-21	3	10	3.2		
RL052	2004	2004-11-21	3	20	3.1		
RL052	2004	2004-11-21	3	30	3.15		
RL052	2004	2004-11-21	3	40	3.1		
RL052	2004	2004-11-21	3	50	3.2		
RL052	2004	2004-11-21	4	0	3.15		
RL052	2004	2004-11-21	4	10	3.05		
RL052	2004	2004-11-21	4	20	2.95		
RL052	2004	2004-11-21	4	30	2.95		
RL052	2004	2004-11-21	4	40	3.1		
RL052	2004	2004-11-21	4	50	2.95		
RL052	2004	2004-11-21	5	0	3.15		
RL052	2004	2004-11-21	5	10	3.1		
RL052	2004	2004-11-21	5	20	3.2		
RL052	2004	2004-11-21	5	30	3.2		
RL052	2004	2004-11-21	5	40	3.1		
RL052	2004	2004-11-21	5	50	3.2		
RL052	2004	2004-11-21	6	0	3.2		
RL052	2004	2004-11-21	6	10	3.15		
RL052	2004	2004-11-21	6	20	3.15		
RL052	2004	2004-11-21	6	30	3.1		
RL052	2004	2004-11-21	6	40	3.15		
RL052	2004	2004-11-21	6	50	3.35		
RL052	2004	2004-11-21	7	0	3.95		
RL052	2004	2004-11-21	7	10	4.05		
