sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
SMJ67	2002	2002-09-29	0	0	5.35		
SMJ67	2002	2002-09-29	0	15	4.95		
SMJ67	2002	2002-09-29	0	30	5.9		
SMJ67	2002	2002-09-29	0	45	4.85		
SMJ67	2002	2002-09-29	1	0	4.8		
SMJ67	2002	2002-09-29	1	15	4.15		
SMJ67	2002	2002-09-29	1	30	4.75		
SMJ67	2002	2002-09-29	1	45	3.9		
SMJ67	2002	2002-09-29	2	0	4.1		
SMJ67	2002	2002-09-29	2	15	4.0		
SMJ67	2002	2002-09-29	2	30	4.55		
SMJ67	2002	2002-09-29	2	45	4.4		
SMJ67	2002	2002-09-29	3	0	4.405		
SMJ67	2002	2002-09-29	3	15			
SMJ67	2002	2002-09-29	3	30			
SMJ67	2002	2002-09-29	3	45	3.95		
SMJ67	2002	2002-09-29	4	0			
SMJ67	2002	2002-09-29	4	15	4.25		
SMJ67	2002	2002-09-29	4	30	4.3		
SMJ67	2002	2002-09-29	4	45	4.5		
SMJ67	2002	2002-09-29	5	0	4.4		
SMJ67	2002	2002-09-29	5	15	4.45		
SMJ67	2002	2002-09-29	5	30	4.35		
SMJ67	2002	2002-09-29	5	45	3.95		
SMJ67	2002	2002-09-29	6	0			
SMJ67	2002	2002-09-29	6	15	3.8		
SMJ67	2002	2002-09-29	6	30	4.2		
SMJ67	2002	2002-09-29	6	45			
SMJ67	2002	2002-09-29	7	0	3.9		
SMJ67	2002	2002-09-29	7	15	3.6		
SMJ67	2002	2002-09-29	7	30	4.55		
SMJ67	2002	2002-09-29	7	45	4.85		
SMJ67	2002	2002-09-29	8	0	5.6		
SMJ67	2002	2002-09-29	8	15	4.95		
SMJ67	2002	2002-09-29	8	30	4.85		
SMJ67	2002	2002-09-29	8	45			
SMJ67	2002	2002-09-29	9	0	3.9		
SMJ67	2002	2002-09-29	9	15	2.127		
SMJ67	2002	2002-09-29	9	30	4.9		
SMJ67	2002	2002-09-29	9	45	5.388		
SMJ67	2002	2002-09-29	10	0	4.025		
SMJ67	2002	2002-09-29	10	15			
SMJ67	2002	2002-09-29	10	30	6.4		
SMJ67	2002	2002-09-29	10	45	6.375		
SMJ67	2002	2002-09-29	11	0	6.25		
SMJ67	2002	2002-09-29	11	15	7.05		
SMJ67	2002	2002-09-29	11	30	7.05		
SMJ67	2002	2002-09-29	11	45	8.0		
SMJ67	2002	2002-09-29	12	0	7.85		
SMJ67	2002	2002-09-29	12	15	7.8		
SMJ67	2002	2002-09-29	12	30	4.875		
SMJ67	2002	2002-09-29	12	45	7.975		
SMJ67	2002	2002-09-29	13	0	8.025		
SMJ67	2002	2002-09-29	13	15	8.075		
SMJ67	2002	2002-09-29	13	30	8.575		
SMJ67	2002	2002-09-29	13	45	4.713		
SMJ67	2002	2002-09-29	14	0	8.525		
SMJ67	2002	2002-09-29	14	15	8.5		
SMJ67	2002	2002-09-29	14	30	8.625		
SMJ67	2002	2002-09-29	14	45	8.7		
SMJ67	2002	2002-09-29	15	0	9.075		
SMJ67	2002	2002-09-29	15	15	9.238		
SMJ67	2002	2002-09-29	15	30	6.825		
SMJ67	2002	2002-09-29	15	45	8.775		
SMJ67	2002	2002-09-29	16	0	9.305		
SMJ67	2002	2002-09-29	16	15	8.675		
SMJ67	2002	2002-09-29	16	30	8.775		
SMJ67	2002	2002-09-29	16	45	8.625		
SMJ67	2002	2002-09-29	17	0	7.825		
SMJ67	2002	2002-09-29	17	15	8.025		
SMJ67	2002	2002-09-29	17	30	6.775		
SMJ67	2002	2002-09-29	17	45	4.725		
SMJ67	2002	2002-09-29	18	0	6.8		
SMJ67	2002	2002-09-29	18	15	7.1		
SMJ67	2002	2002-09-29	18	30	7.975		
SMJ67	2002	2002-09-29	18	45			
SMJ67	2002	2002-09-29	19	0	7.55		
SMJ67	2002	2002-09-29	19	15	8.2		
SMJ67	2002	2002-09-29	19	30	8.35		
SMJ67	2002	2002-09-29	19	45	7.7		
SMJ67	2002	2002-09-29	20	0	6.85		
SMJ67	2002	2002-09-29	20	15	6.8		
SMJ67	2002	2002-09-29	20	30	6.65		
SMJ67	2002	2002-09-29	20	45	6.65		
SMJ67	2002	2002-09-29	21	0	6.8		
SMJ67	2002	2002-09-29	21	15	4.85		
SMJ67	2002	2002-09-29	21	30	5.95		
SMJ67	2002	2002-09-29	21	45	4.4		
SMJ67	2002	2002-09-29	22	0	6.8		
SMJ67	2002	2002-09-29	22	15	6.7		
SMJ67	2002	2002-09-29	22	30	5.35		
SMJ67	2002	2002-09-29	22	45	3.455		
SMJ67	2002	2002-09-29	23	0	6.005		
