sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
SQ67Q	2004	2004-11-20	18	0			
SQ67Q	2004	2004-11-21	1	0	5.086		
SQ67Q	2004	2004-11-21	2	0	5.478		
SQ67Q	2004	2004-11-21	3	0	6.31		
SQ67Q	2004	2004-11-21	4	0	5.1720000000000015		
SQ67Q	2004	2004-11-21	6	0	6.711		
SQ67Q	2004	2004-11-21	7	0	4.654		
SQ67Q	2004	2004-11-21	8	0	3.762		
SQ67Q	2004	2004-11-21	9	0	5.21		
SQ67Q	2004	2004-11-21	10	0	4.83		
SQ67Q	2004	2004-11-21	11	0	5.291		
SQ67Q	2004	2004-11-21	12	0	3.709		
SQ67Q	2004	2004-11-21	13	0			
SQ67Q	2004	2004-11-21	14	0	3.5		
SQ67Q	2004	2004-11-21	15	0	3.305		
SQ67Q	2004	2004-11-21	16	0	10.924		
SQ67Q	2004	2004-11-21	17	0	3.732		
SQ67Q	2004	2004-11-21	18	0	4.748		0.0
SQ67Q	2004	2004-11-21	19	0	4.074		
SQ67Q	2004	2004-11-21	20	0	4.02		
SQ67Q	2004	2004-11-21	22	0	4.503		
SQ67Q	2004	2004-11-21	23	0	4.562		
SQ67Q	2004	2004-11-24	20	0		4.02	1.0
SQ67Q	2004	2004-11-24	21	0	4.18		
SQ67Q	2004	2004-11-24	22	0	7.409	4.503	1.0
SQ67Q	2004	2004-11-24	23	0	4.516	4.562	1.0
SQ67Q	2004	2004-11-28	0	0	4.025		
SQ67Q	2004	2004-11-28	1	0	4.228	5.086	1.0
SQ67Q	2004	2004-11-28	2	0	26.191	5.478	1.0
SQ67Q	2004	2004-11-28	3	0	7.249	6.31	1.0
SQ67Q	2004	2004-11-28	4	0	6.035	5.1720000000000015	1.0
SQ67Q	2004	2004-11-28	5	0	4.221		
SQ67Q	2004	2004-11-28	6	0	4.2360000000000015	6.711	1.0
SQ67Q	2004	2004-11-28	7	0	3.708	4.654	1.0
SQ67Q	2004	2004-11-28	8	0	3.982	3.762	1.0
SQ67Q	2004	2004-11-28	9	0	4.327	5.21	1.0
SQ67Q	2004	2004-11-28	10	0	4.075	4.83	1.0
SQ67Q	2004	2004-11-28	11	0	3.59	5.291	1.0
SQ67Q	2004	2004-11-28	13	0	2.859		0.0
SQ67Q	2004	2004-11-28	14	0	4.3	3.5	1.0
SQ67Q	2004	2004-11-28	15	0	3.955	3.305	1.0
SQ67Q	2004	2004-11-28	16	0	3.876	10.924	1.0
SQ67Q	2004	2004-11-28	17	0	3.986	3.732	1.0
SQ67Q	2004	2004-11-28	18	0	4.553	4.748	1.0
SQ67Q	2004	2004-11-28	19	0	7.183	4.074	1.0
SQ67Q	2004	2004-11-28	20	0	4.466	4.02	1.0
SQ67Q	2004	2004-11-28	21	0	5.27	4.18	1.0
SQ67Q	2004	2004-11-28	22	0	6.6560000000000015	5.9559999999999995	2.0
SQ67Q	2004	2004-11-28	23	0	4.0280000000000005	4.539	2.0
SQ67Q	2004	2004-12-04	0	0	6.617000000000001	4.025	1.0
SQ67Q	2004	2004-12-04	1	0	4.32	4.657	2.0
SQ67Q	2004	2004-12-04	2	0	4.6389999999999985	15.834499999999998	2.0
SQ67Q	2004	2004-12-04	3	0	4.3	6.7795	2.0
SQ67Q	2004	2004-12-04	4	0	10.939	5.6035	2.0
SQ67Q	2004	2004-12-12	17	0		3.859	2.0
SQ67Q	2004	2004-12-13	0	0		5.321000000000001	2.0
SQ67Q	2004	2004-12-13	1	0	4.136	4.544666666666667	3.0
SQ67Q	2004	2004-12-13	9	0	3.83	4.7684999999999995	2.0
SQ67Q	2004	2004-12-14	19	0		5.6285	2.0
SQ67Q	2004	2004-12-15	0	0	4.223	5.321000000000001	2.0
