sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
THJ77	2002	2002-09-29	0	0	6.1		
THJ77	2002	2002-09-29	0	15	6.3		
THJ77	2002	2002-09-29	0	30	5.9		
THJ77	2002	2002-09-29	0	45	5.81		
THJ77	2002	2002-09-29	1	0	5.81		
THJ77	2002	2002-09-29	1	15	5.6		
THJ77	2002	2002-09-29	1	30	5.5		
THJ77	2002	2002-09-29	1	45	4.6		
THJ77	2002	2002-09-29	2	0	5.2		
THJ77	2002	2002-09-29	2	15	5.21		
THJ77	2002	2002-09-29	2	30	5.5		
THJ77	2002	2002-09-29	2	45	5.3		
THJ77	2002	2002-09-29	3	0	5.2		
THJ77	2002	2002-09-29	3	15	4.7		
THJ77	2002	2002-09-29	3	30	4.5		
THJ77	2002	2002-09-29	3	45	4.3		
THJ77	2002	2002-09-29	4	0	4.3		
THJ77	2002	2002-09-29	4	15	4.3		
THJ77	2002	2002-09-29	4	30	3.9		
THJ77	2002	2002-09-29	4	45	4.9		
THJ77	2002	2002-09-29	5	0	5.7		
THJ77	2002	2002-09-29	5	15	4.3		
THJ77	2002	2002-09-29	5	30	4.6		
THJ77	2002	2002-09-29	5	45	3.3		
THJ77	2002	2002-09-29	6	0	4.0		
THJ77	2002	2002-09-29	6	15	4.4		
THJ77	2002	2002-09-29	6	30	3.4		
THJ77	2002	2002-09-29	6	45	4.1		
THJ77	2002	2002-09-29	7	0			
THJ77	2002	2002-09-29	7	15	3.2		
THJ77	2002	2002-09-29	7	30	3.5		
THJ77	2002	2002-09-29	7	45	3.3		
THJ77	2002	2002-09-29	8	0	3.0		
THJ77	2002	2002-09-29	8	15	3.51		
THJ77	2002	2002-09-29	8	30	3.25		
THJ77	2002	2002-09-29	8	45	4.55		
THJ77	2002	2002-09-29	9	0	4.25		
THJ77	2002	2002-09-29	9	15	3.1		
THJ77	2002	2002-09-29	9	30	5.31		
THJ77	2002	2002-09-29	9	45	3.4		
THJ77	2002	2002-09-29	10	0	4.55		
THJ77	2002	2002-09-29	10	15	5.25		
THJ77	2002	2002-09-29	10	30	4.25		
THJ77	2002	2002-09-29	10	45	7.294		
THJ77	2002	2002-09-29	11	0	6.45		
THJ77	2002	2002-09-29	11	15	6.15		
THJ77	2002	2002-09-29	11	30	6.05		
THJ77	2002	2002-09-29	11	45	6.25		
THJ77	2002	2002-09-29	12	0	6.65		
THJ77	2002	2002-09-29	12	15	6.85		
THJ77	2002	2002-09-29	12	30	6.95		
THJ77	2002	2002-09-29	12	45	6.75		
THJ77	2002	2002-09-29	13	0	6.25		
THJ77	2002	2002-09-29	13	15	7.05		
THJ77	2002	2002-09-29	13	30	7.05		
THJ77	2002	2002-09-29	13	45	5.95		
THJ77	2002	2002-09-29	14	0	6.45		
THJ77	2002	2002-09-29	14	15	6.95		
THJ77	2002	2002-09-29	14	30	7.25		
THJ77	2002	2002-09-29	14	45	7.1		
THJ77	2002	2002-09-29	15	0	7.35		
THJ77	2002	2002-09-29	15	15	6.45		
THJ77	2002	2002-09-29	15	30	6.45		
THJ77	2002	2002-09-29	15	45	6.9		
THJ77	2002	2002-09-29	16	0	8.125		
THJ77	2002	2002-09-29	16	15			
THJ77	2002	2002-09-29	16	30	6.4		
THJ77	2002	2002-09-29	16	45			
THJ77	2002	2002-09-29	17	0			
THJ77	2002	2002-09-29	17	15			
THJ77	2002	2002-09-29	17	30			
THJ77	2002	2002-09-29	17	45			
THJ77	2002	2002-09-29	18	0	7.6		
THJ77	2002	2002-09-29	18	15	7.8		
THJ77	2002	2002-09-29	18	30	7.9		
THJ77	2002	2002-09-29	18	45	7.05		
THJ77	2002	2002-09-29	19	0	7.95		
THJ77	2002	2002-09-29	19	15	7.85		
THJ77	2002	2002-09-29	19	30	7.85		
THJ77	2002	2002-09-29	19	45	7.65		
THJ77	2002	2002-09-29	20	0	7.75		
THJ77	2002	2002-09-29	20	15	7.75		
THJ77	2002	2002-09-29	20	30	7.75		
THJ77	2002	2002-09-29	20	45	7.65		
THJ77	2002	2002-09-29	21	0	7.65		
THJ77	2002	2002-09-29	21	15	7.55		
THJ77	2002	2002-09-29	21	30	6.45		
THJ77	2002	2002-09-29	21	45	6.55		
THJ77	2002	2002-09-29	22	0	6.425		
THJ77	2002	2002-09-29	22	15	5.61		
THJ77	2002	2002-09-29	22	30	7.25		
THJ77	2002	2002-09-29	22	45	7.25		
THJ77	2002	2002-09-29	23	0	7.15		
THJ77	2002	2002-09-29	23	15	7.1		
THJ77	2002	2002-09-29	23	30	7.1		
THJ77	2002	2002-09-29	23	45	6.0		
THJ77	2002	2002-09-30	0	0	7.0	6.1	1.0
THJ77	2002	2002-09-30	0	15	6.9	6.3	1.0
THJ77	2002	2002-09-30	0	30	6.8	5.9	1.0
THJ77	2002	2002-09-30	0	45	6.8	5.81	1.0
THJ77	2002	2002-09-30	1	0	4.6	5.81	1.0
THJ77	2002	2002-09-30	1	15	4.7	5.6	1.0
THJ77	2002	2002-09-30	1	30	4.11	5.5	1.0
THJ77	2002	2002-09-30	1	45	6.6	4.6	1.0
THJ77	2002	2002-09-30	2	0	6.4	5.2	1.0
THJ77	2002	2002-09-30	2	15	6.4	5.21	1.0
THJ77	2002	2002-09-30	2	30	6.5	5.5	1.0
THJ77	2002	2002-09-30	2	45		5.3	1.0
THJ77	2002	2002-09-30	3	0	5.7	5.2	1.0
THJ77	2002	2002-09-30	3	15	6.359	4.7	1.0
THJ77	2002	2002-09-30	3	30	6.2	4.5	1.0
THJ77	2002	2002-09-30	3	45	6.1	4.3	1.0
THJ77	2002	2002-09-30	4	0	6.1	4.3	1.0
THJ77	2002	2002-09-30	4	15	6.2	4.3	1.0
THJ77	2002	2002-09-30	4	30	6.1	3.9	1.0
THJ77	2002	2002-09-30	4	45	6.0	4.9	1.0
THJ77	2002	2002-09-30	5	0	4.1	5.7	1.0
THJ77	2002	2002-09-30	5	15	5.8	4.3	1.0
THJ77	2002	2002-09-30	5	30	6.0710000000000015	4.6	1.0
THJ77	2002	2002-09-30	5	45	3.4	3.3	1.0
THJ77	2002	2002-09-30	6	0	6.0	4.0	1.0
THJ77	2002	2002-09-30	6	15	3.2	4.4	1.0
THJ77	2002	2002-09-30	6	30	2.8	3.4	1.0
THJ77	2002	2002-09-30	6	45	3.8	4.1	1.0
THJ77	2002	2002-09-30	7	0	6.2		0.0
THJ77	2002	2002-09-30	7	15	3.9	3.2	1.0
THJ77	2002	2002-09-30	7	30	6.2	3.5	1.0
THJ77	2002	2002-09-30	7	45	3.9	3.3	1.0
THJ77	2002	2002-09-30	8	0	4.4	3.0	1.0
THJ77	2002	2002-09-30	8	15	3.9	3.51	1.0
THJ77	2002	2002-09-30	8	30	2.71	3.25	1.0
THJ77	2002	2002-09-30	8	45	4.2	4.55	1.0
THJ77	2002	2002-09-30	9	0	3.2	4.25	1.0
THJ77	2002	2002-09-30	9	15	3.9	3.1	1.0
THJ77	2002	2002-09-30	9	30	4.05	5.31	1.0
THJ77	2002	2002-09-30	9	45	4.2	3.4	1.0
THJ77	2002	2002-09-30	10	0	4.207	4.55	1.0
THJ77	2002	2002-09-30	10	15	4.95	5.25	1.0
THJ77	2002	2002-09-30	10	30	3.75	4.25	1.0
THJ77	2002	2002-09-30	10	45	3.888	7.294	1.0
THJ77	2002	2002-09-30	11	0	6.15	6.45	1.0
THJ77	2002	2002-09-30	11	15	4.25	6.15	1.0
THJ77	2002	2002-09-30	11	30	3.55	6.05	1.0
THJ77	2002	2002-09-30	11	45	3.65	6.25	1.0
THJ77	2002	2002-09-30	12	0	4.388	6.65	1.0
THJ77	2002	2002-09-30	12	15	3.75	6.85	1.0
THJ77	2002	2002-09-30	12	30	4.05	6.95	1.0
THJ77	2002	2002-09-30	12	45	5.25	6.75	1.0
THJ77	2002	2002-09-30	13	0	5.25	6.25	1.0
THJ77	2002	2002-09-30	13	15	6.25	7.05	1.0
THJ77	2002	2002-09-30	13	30	4.85	7.05	1.0
THJ77	2002	2002-09-30	13	45	4.45	5.95	1.0
THJ77	2002	2002-09-30	14	0	4.65	6.45	1.0
THJ77	2002	2002-09-30	14	15	4.55	6.95	1.0
THJ77	2002	2002-09-30	14	30	4.475	7.25	1.0
THJ77	2002	2002-09-30	14	45	4.35	7.1	1.0
THJ77	2002	2002-09-30	15	0	3.91	7.35	1.0
THJ77	2002	2002-09-30	15	15	5.41	6.45	1.0
THJ77	2002	2002-09-30	15	30	5.85	6.45	1.0
THJ77	2002	2002-09-30	15	45	4.25	6.9	1.0
THJ77	2002	2002-09-30	16	0	5.35	8.125	1.0
THJ77	2002	2002-09-30	16	15	5.25		0.0
THJ77	2002	2002-09-30	16	30	5.05	6.4	1.0
THJ77	2002	2002-09-30	16	45	5.35		0.0
THJ77	2002	2002-09-30	17	0	5.25		0.0
THJ77	2002	2002-09-30	17	15	5.45		0.0
THJ77	2002	2002-09-30	17	30	4.85		0.0
THJ77	2002	2002-09-30	17	45	6.15		0.0
THJ77	2002	2002-09-30	18	0	6.55	7.6	1.0
THJ77	2002	2002-09-30	18	15	6.45	7.8	1.0
THJ77	2002	2002-09-30	18	30	5.65	7.9	1.0
THJ77	2002	2002-09-30	18	45	5.325	7.05	1.0
THJ77	2002	2002-09-30	19	0	5.65	7.95	1.0
THJ77	2002	2002-09-30	19	15	6.188	7.85	1.0
THJ77	2002	2002-09-30	19	30	4.85	7.85	1.0
THJ77	2002	2002-09-30	19	45	5.307	7.65	1.0
THJ77	2002	2002-09-30	20	0	5.55	7.75	1.0
THJ77	2002	2002-09-30	20	15	4.35	7.75	1.0
THJ77	2002	2002-09-30	20	30	4.013	7.75	1.0
THJ77	2002	2002-09-30	20	45	6.81	7.65	1.0
THJ77	2002	2002-09-30	21	0	3.95	7.65	1.0
THJ77	2002	2002-09-30	21	15	4.513	7.55	1.0
THJ77	2002	2002-09-30	21	30	4.15	6.45	1.0
THJ77	2002	2002-09-30	21	45	4.05	6.55	1.0
THJ77	2002	2002-09-30	22	0	5.41	6.425	1.0
THJ77	2002	2002-09-30	22	15	4.35	5.61	1.0
THJ77	2002	2002-09-30	22	30	4.15	7.25	1.0
THJ77	2002	2002-09-30	22	45	4.65	7.25	1.0
THJ77	2002	2002-09-30	23	0	4.31	7.15	1.0
THJ77	2002	2002-09-30	23	15	3.4	7.1	1.0
THJ77	2002	2002-09-30	23	30	3.2	7.1	1.0
THJ77	2002	2002-09-30	23	45	2.9	6.0	1.0
THJ77	2002	2002-10-01	0	0	3.3	6.55	2.0
THJ77	2002	2002-10-01	0	15	3.2	6.6	2.0
THJ77	2002	2002-10-01	0	30	3.0	6.35	2.0
THJ77	2002	2002-10-01	0	45	2.6	6.305	2.0
THJ77	2002	2002-10-01	1	0	3.3	5.205	2.0
THJ77	2002	2002-10-01	1	15	3.2	5.15	2.0
THJ77	2002	2002-10-01	1	30	3.2	4.805	2.0
THJ77	2002	2002-10-01	1	45	3.81	5.6	2.0
THJ77	2002	2002-10-01	2	0	4.0	5.800000000000001	2.0
THJ77	2002	2002-10-01	2	15	2.71	5.805	2.0
THJ77	2002	2002-10-01	2	30	2.9	6.0	2.0
THJ77	2002	2002-10-01	2	45	2.9	5.3	1.0
THJ77	2002	2002-10-01	3	0	2.8	5.45	2.0
THJ77	2002	2002-10-01	3	15		5.5295000000000005	2.0
THJ77	2002	2002-10-01	3	30	2.6	5.35	2.0
THJ77	2002	2002-10-01	3	45	2.9	5.199999999999999	2.0
THJ77	2002	2002-10-01	4	0	2.2	5.199999999999999	2.0
THJ77	2002	2002-10-01	4	15	2.6	5.25	2.0
THJ77	2002	2002-10-01	4	30	2.4	5.0	2.0
THJ77	2002	2002-10-01	4	45	3.5	5.45	2.0
THJ77	2002	2002-10-01	5	0	2.8	4.9	2.0
THJ77	2002	2002-10-01	5	15	2.9	5.05	2.0
THJ77	2002	2002-10-01	5	30	4.2	5.335500000000001	2.0
THJ77	2002	2002-10-01	5	45	2.7	3.3499999999999996	2.0
THJ77	2002	2002-10-01	6	0	3.0	5.0	2.0
THJ77	2002	2002-10-01	6	15	3.3	3.8000000000000003	2.0
THJ77	2002	2002-10-01	6	30	2.5	3.0999999999999996	2.0
THJ77	2002	2002-10-01	6	45	2.9	3.9499999999999997	2.0
THJ77	2002	2002-10-01	7	0	2.2	6.2	1.0
THJ77	2002	2002-10-01	7	15	3.1	3.55	2.0
THJ77	2002	2002-10-01	7	30	2.7	4.85	2.0
THJ77	2002	2002-10-01	7	45	2.8	3.5999999999999996	2.0
THJ77	2002	2002-10-01	8	0	3.9	3.7	2.0
THJ77	2002	2002-10-01	8	15	3.6	3.705	2.0
THJ77	2002	2002-10-01	8	30	4.1	2.98	2.0
THJ77	2002	2002-10-01	8	45	3.3	4.375	2.0
THJ77	2002	2002-10-01	9	0	5.05	3.725	2.0
THJ77	2002	2002-10-01	9	15	4.25	3.5	2.0
THJ77	2002	2002-10-01	9	30	4.3	4.68	2.0
THJ77	2002	2002-10-01	9	45	4.35	3.8	2.0
THJ77	2002	2002-10-01	10	0	4.55	4.3785	2.0
THJ77	2002	2002-10-01	10	15	4.95	5.1	2.0
THJ77	2002	2002-10-01	10	30	5.75	4.0	2.0
THJ77	2002	2002-10-01	10	45	4.55	5.590999999999999	2.0
THJ77	2002	2002-10-01	11	0	5.45	6.300000000000001	2.0
THJ77	2002	2002-10-01	11	15	5.85	5.2	2.0
THJ77	2002	2002-10-01	11	30	6.75	4.8	2.0
THJ77	2002	2002-10-01	11	45	5.65	4.95	2.0
THJ77	2002	2002-10-01	12	0	5.45	5.519	2.0
THJ77	2002	2002-10-01	12	15	5.513	5.3	2.0
THJ77	2002	2002-10-01	12	30	7.75	5.5	2.0
THJ77	2002	2002-10-01	12	45	5.807	6.0	2.0
THJ77	2002	2002-10-01	13	0	7.85	5.75	2.0
THJ77	2002	2002-10-01	13	15	7.05	6.65	2.0
THJ77	2002	2002-10-01	13	30	6.65	5.949999999999999	2.0
THJ77	2002	2002-10-01	13	45	7.15	5.2	2.0
