sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
TK356	2005	2005-03-30	15	0	4.9		
TK356	2005	2005-03-30	16	0	4.1		
TK356	2005	2005-03-30	17	0	3.5		
TK356	2005	2005-03-30	18	0	3.1		
TK356	2005	2005-03-30	19	0	3.0		
TK356	2005	2005-03-30	20	0	2.8		
TK356	2005	2005-03-30	21	0	2.8		
TK356	2005	2005-03-30	22	0	2.9		
TK356	2005	2005-03-30	23	0	2.3		
TK356	2005	2005-03-31	0	0	3.1		
TK356	2005	2005-03-31	1	0	4.0		
TK356	2005	2005-03-31	2	0	4.6		
TK356	2005	2005-03-31	3	0	5.2		
TK356	2005	2005-03-31	4	0	5.6		
TK356	2005	2005-03-31	5	0	6.4		
TK356	2005	2005-03-31	6	0	6.8		
TK356	2005	2005-03-31	7	0	6.6		
TK356	2005	2005-03-31	8	0	6.7		
TK356	2005	2005-03-31	9	0			
TK356	2005	2005-03-31	10	0	6.6		
TK356	2005	2005-03-31	11	0	6.5		
TK356	2005	2005-03-31	12	0	6.0		
TK356	2005	2005-03-31	13	0	5.8		
TK356	2005	2005-04-01	19	0	3.0	3.0	1.0
TK356	2005	2005-04-01	20	0	2.7	2.8	1.0
TK356	2005	2005-04-01	21	0	2.6	2.8	1.0
TK356	2005	2005-04-01	22	0	2.6	2.9	1.0
TK356	2005	2005-04-01	23	0	2.7	2.3	1.0
TK356	2005	2005-04-02	0	0	4.2	3.1	1.0
TK356	2005	2005-04-02	1	0	5.2	4.0	1.0
TK356	2005	2005-04-02	2	0	5.7	4.6	1.0
TK356	2005	2005-04-02	3	0	6.3	5.2	1.0
TK356	2005	2005-04-02	4	0	7.1	5.6	1.0
TK356	2005	2005-04-02	5	0	7.9	6.4	1.0
TK356	2005	2005-04-02	6	0	7.6	6.8	1.0
TK356	2005	2005-04-02	7	0	6.7	6.6	1.0
TK356	2005	2005-04-02	8	0	6.6	6.7	1.0
TK356	2005	2005-04-02	9	0	6.6		0.0
TK356	2005	2005-04-02	10	0	6.3	6.6	1.0
TK356	2005	2005-04-02	11	0	6.4	6.5	1.0
TK356	2005	2005-04-02	12	0	5.8	6.0	1.0
TK356	2005	2005-04-02	13	0	5.9	5.8	1.0
TK356	2005	2005-04-02	14	0	5.6		
TK356	2005	2005-04-02	15	0	5.4	4.9	1.0
TK356	2005	2005-04-02	16	0	4.7	4.1	1.0
