sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
TO536	2010	2010-01-05	20	0			
TO536	2010	2010-01-06	20	0			0.0
TO536	2010	2010-01-07	20	0	2.56		0.0
TO536	2010	2010-01-08	20	0		2.56	1.0
TO536	2010	2010-01-12	20	0	2.26	2.56	1.0
TO536	2010	2010-01-13	20	0		2.41	2.0
TO536	2010	2010-01-14	20	0		2.41	2.0
TO536	2010	2010-01-15	20	0		2.41	2.0
TO536	2010	2010-01-16	20	0		2.41	2.0
TO536	2010	2010-01-17	20	0		2.41	2.0
TO536	2010	2010-01-18	20	0		2.41	2.0
TO536	2010	2010-01-19	20	0	2.66	2.41	2.0
TO536	2010	2010-01-20	20	0	2.76	2.4933333333333336	3.0
TO536	2010	2010-01-21	20	0	2.56	2.56	4.0
TO536	2010	2010-01-22	20	0		2.56	5.0
TO536	2010	2010-01-24	20	0	2.86	2.56	5.0
TO536	2010	2010-01-25	20	0	2.76	2.61	6.0
TO536	2010	2010-01-26	20	0	2.26	2.6314285714285717	7.0
TO536	2010	2010-01-27	20	0		2.5885714285714285	7.0
TO536	2010	2010-01-28	20	0		2.5885714285714285	7.0
TO536	2010	2010-01-29	20	0	2.56	2.6433333333333335	6.0
TO536	2010	2010-01-30	20	0		2.6314285714285717	7.0
TO536	2010	2010-01-31	20	0		2.6314285714285717	7.0
TO536	2010	2010-02-01	20	0		2.6314285714285717	7.0
TO536	2010	2010-02-02	20	0		2.6314285714285717	7.0
TO536	2010	2010-02-03	20	0		2.6314285714285717	7.0
TO536	2010	2010-02-04	20	0		2.6314285714285717	7.0
TO536	2010	2010-02-05	20	0		2.626666666666667	6.0
TO536	2010	2010-02-06	20	0		2.6000000000000005	5.0
TO536	2010	2010-02-08	20	0	2.56	2.6100000000000003	4.0
TO536	2010	2010-02-09	20	0	6.76	2.6000000000000005	5.0
TO536	2010	2010-02-10	20	0	2.86	3.3800000000000003	5.0
TO536	2010	2010-02-11	20	0	2.96	3.4	5.0
TO536	2010	2010-02-12	20	0	2.16	3.5400000000000005	5.0
TO536	2010	2010-02-13	20	0	2.86	3.3100000000000005	6.0
TO536	2010	2010-02-14	20	0	2.26	3.245714285714286	7.0
TO536	2010	2010-02-15	20	0	2.96	3.2028571428571437	7.0
TO536	2010	2010-02-16	20	0	2.76	3.1725000000000008	8.0
TO536	2010	2010-02-17	20	0		3.1266666666666674	9.0
TO536	2010	2010-02-18	20	0		3.1266666666666674	9.0
TO536	2010	2010-02-20	20	0		3.1266666666666674	9.0
TO536	2010	2010-02-21	20	0	2.96	3.1266666666666674	9.0
TO536	2010	2010-02-22	20	0		3.1100000000000008	10.0
TO536	2010	2010-02-24	20	0	3.36	3.1100000000000008	10.0
TO536	2010	2010-02-26	20	0	3.36	3.1327272727272732	11.0
TO536	2010	2010-02-27	20	0	2.56	3.205454545454546	11.0
TO536	2010	2010-03-01	20	0		2.8236363636363646	11.0
TO536	2010	2010-03-03	20	0	2.96	2.820000000000001	10.0
TO536	2010	2010-03-04	20	0	2.06	2.820000000000001	10.0
TO536	2010	2010-03-07	20	0	2.76	2.810000000000001	10.0
TO536	2010	2010-03-08	20	0	2.76	2.8000000000000007	10.0
TO536	2010	2010-03-09	20	0	3.06	2.8500000000000005	10.0
TO536	2010	2010-03-10	20	0	3.7	2.8600000000000003	10.0
TO536	2010	2010-03-11	20	0	2.96	2.9540000000000006	10.0
TO536	2010	2010-03-13	20	0		2.954545454545455	11.0
TO536	2010	2010-03-14	20	0	3.86	2.954545454545455	11.0
TO536	2010	2010-03-17	20	0		3.0300000000000007	12.0
TO536	2010	2010-03-18	20	0	3.36	3.036363636363637	11.0
TO536	2010	2010-03-19	20	0	3.46	3.063333333333334	12.0
TO536	2010	2010-03-20	20	0	3.06	3.071666666666667	12.0
TO536	2010	2010-03-22	20	0		3.0466666666666673	12.0
TO536	2010	2010-03-23	20	0		3.0909090909090917	11.0
TO536	2010	2010-03-24	20	0		3.0909090909090917	11.0
TO536	2010	2010-03-25	20	0	2.76	3.1040000000000005	10.0
TO536	2010	2010-03-26	20	0	2.66	3.1740000000000004	10.0
TO536	2010	2010-03-27	20	0	2.66	3.1640000000000006	10.0
TO536	2010	2010-03-29	20	0		3.1540000000000012	10.0
TO536	2010	2010-03-30	20	0	2.56	3.164444444444446	9.0
TO536	2010	2010-03-31	20	0		3.0377777777777792	9.0
TO536	2010	2010-04-01	20	0	2.76	3.0475000000000017	8.0
TO536	2010	2010-04-02	20	0	3.06	3.015555555555557	9.0
TO536	2010	2010-04-03	20	0	2.96	2.926666666666668	9.0
TO536	2010	2010-04-04	20	0		2.9300000000000015	10.0
