sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
TUJ2O	2001	2001-07-10	1	45			
TUJ2O	2001	2001-07-10	2	0			
TUJ2O	2001	2001-07-10	2	15			
TUJ2O	2001	2001-07-10	2	30			
TUJ2O	2001	2001-07-10	2	45			
TUJ2O	2001	2001-07-10	3	0			
TUJ2O	2001	2001-07-10	3	15			
TUJ2O	2001	2001-07-10	3	30			
TUJ2O	2001	2001-07-10	3	45			
TUJ2O	2001	2001-07-10	4	0			
TUJ2O	2001	2001-07-10	4	15			
TUJ2O	2001	2001-07-10	4	30			
TUJ2O	2001	2001-07-10	4	45			
TUJ2O	2001	2001-07-10	5	0			
TUJ2O	2001	2001-07-10	5	15			
TUJ2O	2001	2001-07-10	5	30			
TUJ2O	2001	2001-07-10	5	45			
TUJ2O	2001	2001-07-10	6	0			
TUJ2O	2001	2001-07-10	6	15			
TUJ2O	2001	2001-07-10	6	30			
TUJ2O	2001	2001-07-10	6	45	4.5		
TUJ2O	2001	2001-07-10	7	0			
TUJ2O	2001	2001-07-10	7	15			
TUJ2O	2001	2001-07-10	7	30			
TUJ2O	2001	2001-07-10	7	45			
TUJ2O	2001	2001-07-10	8	0			
TUJ2O	2001	2001-07-10	8	15	4.3		
TUJ2O	2001	2001-07-10	8	30			
TUJ2O	2001	2001-07-10	8	45			
TUJ2O	2001	2001-07-10	9	0			
TUJ2O	2001	2001-07-10	9	15			
TUJ2O	2001	2001-07-10	9	30			
TUJ2O	2001	2001-07-10	9	45			
TUJ2O	2001	2001-07-10	10	0			
TUJ2O	2001	2001-07-10	10	15			
TUJ2O	2001	2001-07-10	10	30			
TUJ2O	2001	2001-07-10	10	45			
TUJ2O	2001	2001-07-10	11	0			
TUJ2O	2001	2001-07-10	11	15			
TUJ2O	2001	2001-07-10	11	30			
TUJ2O	2001	2001-07-10	11	45			
TUJ2O	2001	2001-07-10	12	0			
TUJ2O	2001	2001-07-10	12	15			
TUJ2O	2001	2001-07-10	12	30			
TUJ2O	2001	2001-07-10	12	45			
TUJ2O	2001	2001-07-10	13	0			
TUJ2O	2001	2001-07-10	13	15			
TUJ2O	2001	2001-07-10	13	30			
TUJ2O	2001	2001-07-10	13	45			
TUJ2O	2001	2001-07-10	14	0			
TUJ2O	2001	2001-07-10	14	15			
TUJ2O	2001	2001-07-10	14	30			
TUJ2O	2001	2001-07-10	14	45			
TUJ2O	2001	2001-07-10	15	0			
TUJ2O	2001	2001-07-10	15	15			
TUJ2O	2001	2001-07-10	15	30			
TUJ2O	2001	2001-07-10	15	45			
TUJ2O	2001	2001-07-10	16	0			
TUJ2O	2001	2001-07-10	16	15			
TUJ2O	2001	2001-07-10	16	30			
TUJ2O	2001	2001-07-10	16	45			
TUJ2O	2001	2001-07-10	17	0	12.5		
TUJ2O	2001	2001-07-10	17	15	12.8		
TUJ2O	2001	2001-07-10	17	30			
TUJ2O	2001	2001-07-10	17	45			
TUJ2O	2001	2001-07-10	18	0			
TUJ2O	2001	2001-07-10	18	15			
TUJ2O	2001	2001-07-10	18	30			
TUJ2O	2001	2001-07-10	18	45			
TUJ2O	2001	2001-07-10	19	0			
TUJ2O	2001	2001-07-10	19	15			
TUJ2O	2001	2001-07-10	19	30			
TUJ2O	2001	2001-07-10	19	45			
TUJ2O	2001	2001-07-10	19	59			
TUJ2O	2001	2001-07-10	20	0			
TUJ2O	2001	2001-07-10	20	6			
TUJ2O	2001	2001-07-10	20	11			
TUJ2O	2001	2001-07-10	20	15			
TUJ2O	2001	2001-07-10	20	30			
TUJ2O	2001	2001-07-10	20	38			
TUJ2O	2001	2001-07-10	20	45			
TUJ2O	2001	2001-07-10	20	56			
TUJ2O	2001	2001-07-10	21	0	11.6		
TUJ2O	2001	2001-07-10	21	7			
TUJ2O	2001	2001-07-10	21	15			
TUJ2O	2001	2001-07-10	21	30			
TUJ2O	2001	2001-07-10	21	45			
TUJ2O	2001	2001-07-10	22	0			
TUJ2O	2001	2001-07-10	22	3			
TUJ2O	2001	2001-07-10	22	15			
TUJ2O	2001	2001-07-10	22	36			
TUJ2O	2001	2001-07-10	22	45			
TUJ2O	2001	2001-07-10	22	50			
TUJ2O	2001	2001-07-10	22	52	6.3		
TUJ2O	2001	2001-07-10	22	56			
TUJ2O	2001	2001-07-10	23	0			
TUJ2O	2001	2001-07-10	23	5			
TUJ2O	2001	2001-07-10	23	15			
TUJ2O	2001	2001-07-10	23	30			
TUJ2O	2001	2001-07-10	23	34			
TUJ2O	2001	2001-07-10	23	38			
TUJ2O	2001	2001-07-10	23	45			
TUJ2O	2001	2001-07-11	0	0			
TUJ2O	2001	2001-07-11	0	15			
TUJ2O	2001	2001-07-11	0	30			
TUJ2O	2001	2001-07-11	0	45			
TUJ2O	2001	2001-07-11	1	0			
TUJ2O	2001	2001-07-11	1	15			
TUJ2O	2001	2001-07-11	1	30			
TUJ2O	2001	2001-07-11	1	45			0.0
TUJ2O	2001	2001-07-11	2	0			0.0
TUJ2O	2001	2001-07-11	2	15			0.0
TUJ2O	2001	2001-07-11	2	30			0.0
TUJ2O	2001	2001-07-11	2	45			0.0
TUJ2O	2001	2001-07-11	3	0			0.0
TUJ2O	2001	2001-07-11	3	15			0.0
TUJ2O	2001	2001-07-11	3	30			0.0
TUJ2O	2001	2001-07-11	3	45	5.8		0.0
