sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
TV51R	2004	2004-10-22	0	0	9.412		
TV51R	2004	2004-10-22	1	0	9.733		
TV51R	2004	2004-10-22	2	0	10.112		
TV51R	2004	2004-10-22	3	0	10.351		
TV51R	2004	2004-10-22	4	0	9.228		
TV51R	2004	2004-10-22	5	0	8.832		
TV51R	2004	2004-10-22	6	0	8.443999999999999		
TV51R	2004	2004-10-22	7	0	8.423		
TV51R	2004	2004-10-22	8	0	9.163		
TV51R	2004	2004-10-22	9	0	7.515		
TV51R	2004	2004-10-22	10	0	8.62		
TV51R	2004	2004-10-22	11	0	9.137		
TV51R	2004	2004-10-22	12	0	7.6960000000000015		
TV51R	2004	2004-10-22	13	0	7.796		
TV51R	2004	2004-10-22	14	0	8.232000000000001		
TV51R	2004	2004-10-22	15	0	7.181		
TV51R	2004	2004-10-22	16	0	6.28		
TV51R	2004	2004-10-22	17	0	5.039		
TV51R	2004	2004-10-22	18	0	5.5379999999999985		
TV51R	2004	2004-10-22	19	0	5.445		
TV51R	2004	2004-10-22	20	0	5.674		
TV51R	2004	2004-10-22	21	0	8.156		
TV51R	2004	2004-10-22	22	0	9.986		
TV51R	2004	2004-10-22	23	0	10.577		
TV51R	2004	2004-10-23	0	0	10.647	9.412	1.0
TV51R	2004	2004-10-23	1	0	10.848	9.733	1.0
TV51R	2004	2004-10-23	2	0	10.498	10.112	1.0
TV51R	2004	2004-10-23	3	0	9.833	10.351	1.0
TV51R	2004	2004-10-23	4	0	10.03	9.228	1.0
TV51R	2004	2004-10-23	5	0	9.433	8.832	1.0
TV51R	2004	2004-10-23	6	0	8.775	8.443999999999999	1.0
TV51R	2004	2004-10-23	7	0		8.423	1.0
TV51R	2004	2004-10-23	8	0	9.627	9.163	1.0
TV51R	2004	2004-10-23	9	0	9.241	7.515	1.0
TV51R	2004	2004-10-23	10	0	9.031	8.62	1.0
TV51R	2004	2004-10-23	11	0	8.261000000000001	9.137	1.0
TV51R	2004	2004-10-23	12	0	8.488999999999999	7.6960000000000015	1.0
TV51R	2004	2004-10-23	13	0	8.524	7.796	1.0
TV51R	2004	2004-10-23	14	0	6.345	8.232000000000001	1.0
TV51R	2004	2004-10-23	15	0	11.796	7.181	1.0
TV51R	2004	2004-10-23	16	0	5.859	6.28	1.0
TV51R	2004	2004-10-23	17	0	6.209	5.039	1.0
TV51R	2004	2004-10-23	18	0	5.335	5.5379999999999985	1.0
TV51R	2004	2004-10-23	19	0	5.875	5.445	1.0
TV51R	2004	2004-10-23	20	0	6.757999999999999	5.674	1.0
TV51R	2004	2004-10-23	21	0		8.156	1.0
TV51R	2004	2004-10-23	22	0	9.584	9.986	1.0
TV51R	2004	2004-10-23	23	0	10.586	10.577	1.0
TV51R	2004	2004-10-24	0	0	11.856	10.0295	2.0
TV51R	2004	2004-10-24	1	0	11.976	10.290500000000002	2.0
TV51R	2004	2004-10-24	2	0	12.113	10.305	2.0
TV51R	2004	2004-10-24	3	0	11.732	10.092	2.0
TV51R	2004	2004-10-24	5	0	11.805	9.1325	2.0
TV51R	2004	2004-10-24	6	0	9.591	8.6095	2.0
TV51R	2004	2004-10-24	7	0	8.932	8.423	1.0
TV51R	2004	2004-10-24	8	0	8.863	9.395	2.0
TV51R	2004	2004-10-24	9	0	7.617000000000001	8.378	2.0
TV51R	2004	2004-10-24	10	0	8.046	8.8255	2.0
TV51R	2004	2004-10-24	11	0	8.406	8.699000000000002	2.0
TV51R	2004	2004-10-24	12	0	9.05	8.092500000000001	2.0
TV51R	2004	2004-10-24	13	0	7.572999999999999	8.16	2.0
TV51R	2004	2004-10-24	14	0	6.522	7.288500000000001	2.0
TV51R	2004	2004-10-24	15	0	8.826	9.4885	2.0
TV51R	2004	2004-10-24	16	0	6.13	6.0695	2.0
TV51R	2004	2004-10-24	17	0	5.545	5.624	2.0
TV51R	2004	2004-10-24	18	0	6.3420000000000005	5.436499999999999	2.0
TV51R	2004	2004-10-24	19	0	5.1370000000000005	5.66	2.0
TV51R	2004	2004-10-24	20	0	4.9289999999999985	6.215999999999999	2.0
TV51R	2004	2004-10-24	21	0	6.939	8.156	1.0
TV51R	2004	2004-10-24	22	0	7.902	9.785	2.0
TV51R	2004	2004-10-24	23	0	7.902	10.5815	2.0
TV51R	2004	2004-10-25	0	0	8.562999999999999	10.638333333333334	3.0
TV51R	2004	2004-10-25	1	0	9.155	10.852333333333334	3.0
TV51R	2004	2004-10-25	2	0	10.745	10.907666666666666	3.0
TV51R	2004	2004-10-25	3	0	10.52	10.638666666666667	3.0
TV51R	2004	2004-10-25	4	0		9.629	2.0
TV51R	2004	2004-10-25	5	0	9.441	10.023333333333333	3.0
TV51R	2004	2004-10-25	6	0	9.183	8.936666666666667	3.0
TV51R	2004	2004-10-25	7	0	9.019	8.6775	2.0
TV51R	2004	2004-10-25	8	0	7.856	9.217666666666666	3.0
TV51R	2004	2004-10-25	9	0	7.382999999999999	8.124333333333334	3.0
TV51R	2004	2004-10-25	11	0	8.498	8.601333333333335	3.0
TV51R	2004	2004-10-25	12	0	8.402000000000001	8.411666666666667	3.0
TV51R	2004	2004-10-25	13	0	5.671	7.964333333333333	3.0
TV51R	2004	2004-10-25	14	0	8.4	7.033000000000001	3.0
TV51R	2004	2004-10-25	15	0	7.39	9.267666666666667	3.0
TV51R	2004	2004-10-25	16	0	3.861	6.089666666666666	3.0
TV51R	2004	2004-10-25	17	0	5.476	5.597666666666666	3.0
TV51R	2004	2004-10-25	18	0	6.103	5.738333333333332	3.0
TV51R	2004	2004-10-25	19	0	5.32	5.485666666666667	3.0
TV51R	2004	2004-10-25	20	0	5.6160000000000005	5.786999999999999	3.0
TV51R	2004	2004-10-25	21	0		7.5475	2.0
TV51R	2004	2004-10-25	22	0	7.59	9.157333333333334	3.0
TV51R	2004	2004-10-25	23	0	7.882999999999999	9.688333333333334	3.0
TV51R	2004	2004-10-26	0	0	7.421	10.119499999999999	4.0
TV51R	2004	2004-10-26	1	0	8.906	10.428	4.0
TV51R	2004	2004-10-26	2	0	9.782	10.866999999999999	4.0
TV51R	2004	2004-10-26	3	0	8.766	10.609	4.0
TV51R	2004	2004-10-26	5	0	8.221	9.87775	4.0
TV51R	2004	2004-10-26	6	0	7.477	8.99825	4.0
TV51R	2004	2004-10-26	7	0	6.6770000000000005	8.791333333333334	3.0
TV51R	2004	2004-10-26	8	0	6.797999999999999	8.87725	4.0
TV51R	2004	2004-10-26	9	0	8.583	7.939	4.0
TV51R	2004	2004-10-26	10	0	8.247	8.565666666666667	3.0
TV51R	2004	2004-10-26	11	0	6.84	8.5755	4.0
TV51R	2004	2004-10-26	12	0	8.352	8.40925	4.0
TV51R	2004	2004-10-26	13	0	7.285	7.391	4.0
TV51R	2004	2004-10-26	14	0	7.914	7.374750000000001	4.0
TV51R	2004	2004-10-26	15	0	7.081	8.79825	4.0
TV51R	2004	2004-10-26	16	0	5.8260000000000005	5.5325	4.0
TV51R	2004	2004-10-26	17	0	5.7429999999999986	5.56725	4.0
TV51R	2004	2004-10-26	18	0	5.768	5.8294999999999995	4.0
TV51R	2004	2004-10-26	19	0	6.752000000000002	5.44425	4.0
TV51R	2004	2004-10-26	20	0	5.36	5.744249999999999	4.0
