sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
VA50L	2003	2003-04-04	3	0	13.985999999999999		
VA50L	2004	2004-02-17	3	0	12.372	13.985999999999999	1.0
VA50L	2004	2004-02-18	3	0	11.025	13.178999999999998	2.0
VA50L	2004	2004-02-19	3	0	11.645	12.460999999999999	3.0
VA50L	2004	2004-02-20	3	0	12.622	12.256999999999998	4.0
VA50L	2004	2004-02-21	3	0	11.546	12.329999999999998	5.0
VA50L	2004	2004-02-23	3	0	7.3260000000000005	12.199333333333334	6.0
VA50L	2004	2004-02-24	3	0	11.374	11.503142857142857	7.0
VA50L	2004	2004-02-25	3	0	11.057	11.486999999999998	8.0
VA50L	2004	2004-02-26	3	0	5.346	11.43922222222222	9.0
VA50L	2004	2004-02-27	3	0	10.790999999999999	10.829899999999999	10.0
VA50L	2004	2004-02-28	3	0	11.097000000000001	10.826363636363636	11.0
VA50L	2004	2004-02-29	3	0	12.544	10.848916666666666	12.0
VA50L	2004	2004-03-01	3	0	11.706	10.979307692307692	13.0
VA50L	2004	2004-03-02	3	0	11.732000000000001	11.031214285714285	14.0
VA50L	2004	2004-03-03	3	0	11.401	11.077933333333332	15.0
VA50L	2004	2004-03-04	3	0	11.663	10.9056	15.0
VA50L	2004	2004-03-05	3	0	12.876	10.858333333333333	15.0
VA50L	2004	2004-03-06	3	0	13.214	10.981733333333333	15.0
VA50L	2004	2004-03-07	3	0	10.436	11.086333333333332	15.0
VA50L	2004	2004-03-10	3	0	11.952	10.940599999999998	15.0
VA50L	2004	2004-03-12	3	0	12.890999999999998	10.967666666666666	15.0
VA50L	2004	2004-03-13	3	0	12.588	11.338666666666665	15.0
VA50L	2004	2004-03-14	3	0	13.171	11.419599999999999	15.0
VA50L	2004	2004-03-15	3	0	13.732000000000001	11.560533333333332	15.0
VA50L	2004	2004-03-17	3	0	14.388	12.119599999999998	15.0
VA50L	2004	2004-03-18	3	0	12.764000000000001	12.359399999999999	15.0
VA50L	2004	2004-03-19	3	0	15.124	12.470533333333332	15.0
VA50L	2004	2004-03-20	3	0	12.899000000000001	12.642533333333331	15.0
VA50L	2004	2004-03-22	3	0	12.304	12.722066666666667	15.0
