sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
WK546	2011	2011-01-20	2	30	6.06		
WK546	2011	2011-01-20	4	55	5.28		
WK546	2011	2011-01-20	9	55	2.96		
WK546	2011	2011-01-20	12	45	2.76		
WK546	2011	2011-01-20	14	55			
WK546	2011	2011-01-20	17	45	2.96		
WK546	2011	2011-01-20	20	30			
WK546	2011	2011-01-20	23	45	5.36		
WK546	2011	2011-01-21	2	30	6.86	6.06	1.0
WK546	2011	2011-01-21	6	45	4.66		
WK546	2011	2011-01-21	8	0			
WK546	2011	2011-01-21	10	30			
WK546	2011	2011-01-21	13	15			
WK546	2011	2011-01-21	15	0	2.66		
WK546	2011	2011-01-21	15	15			
WK546	2011	2011-01-21	15	30			
WK546	2011	2011-01-21	15	55			
WK546	2011	2011-01-21	16	0			
WK546	2011	2011-01-21	16	15			
WK546	2011	2011-01-21	16	30			
WK546	2011	2011-01-21	16	55			
WK546	2011	2011-01-21	17	0			
WK546	2011	2011-01-21	17	15			
WK546	2011	2011-01-21	17	30			
WK546	2011	2011-01-21	17	55			
WK546	2011	2011-01-21	18	0			
WK546	2011	2011-01-21	18	15			
WK546	2011	2011-01-21	18	30			
WK546	2011	2011-01-21	18	55			
WK546	2011	2011-01-21	19	0			
WK546	2011	2011-01-21	19	15			
WK546	2011	2011-01-21	19	30			
WK546	2011	2011-01-21	19	55			
WK546	2011	2011-01-21	20	0			
WK546	2011	2011-01-21	20	30	2.26		0.0
WK546	2011	2011-01-21	20	55			
WK546	2011	2011-01-21	21	0			
WK546	2011	2011-01-21	21	15			
WK546	2011	2011-01-21	21	30			
WK546	2011	2011-01-21	21	55			
WK546	2011	2011-01-21	22	0			
WK546	2011	2011-01-21	22	15			
WK546	2011	2011-01-21	22	30			
WK546	2011	2011-01-21	22	55	4.5		
WK546	2011	2011-01-21	23	0	4.36		
WK546	2011	2011-01-21	23	15	4.76		
WK546	2011	2011-01-21	23	30	4.56		
WK546	2011	2011-01-21	23	55			
WK546	2011	2011-01-22	0	0			
WK546	2011	2011-01-22	0	15	5.46		
WK546	2011	2011-01-22	0	30	6.56		
WK546	2011	2011-01-22	0	55	6.48		
WK546	2011	2011-01-22	1	0	6.46		
WK546	2011	2011-01-22	1	15	6.36		
WK546	2011	2011-01-22	1	30	6.46		
WK546	2011	2011-01-22	1	55	6.38		
WK546	2011	2011-01-22	2	0	6.46		
WK546	2011	2011-01-22	2	15	6.36		
WK546	2011	2011-01-22	2	30	5.86	6.46	2.0
WK546	2011	2011-01-22	2	55			
WK546	2011	2011-01-22	3	0	5.56		
WK546	2011	2011-01-22	3	15	5.96		
WK546	2011	2011-01-22	3	30	6.16		
WK546	2011	2011-01-22	3	55			
WK546	2011	2011-01-22	4	0	6.56		
WK546	2011	2011-01-22	4	15	6.16		
WK546	2011	2011-01-22	4	30	5.7120000000000015		
WK546	2011	2011-01-22	4	45	5.76		
WK546	2011	2011-01-22	4	55	5.88	5.28	1.0
WK546	2011	2011-01-22	5	15	6.16		
WK546	2011	2011-01-22	5	30	5.66		
WK546	2011	2011-01-22	5	55	6.08		
WK546	2011	2011-01-22	6	0	4.76		
WK546	2011	2011-01-22	6	15	4.86		
WK546	2011	2011-01-22	6	30	5.16		
WK546	2011	2011-01-22	6	55			
WK546	2011	2011-01-22	7	0			
WK546	2011	2011-01-22	7	15			
WK546	2011	2011-01-22	7	30			
WK546	2011	2011-01-22	7	55			
WK546	2011	2011-01-22	8	0	3.46		0.0
WK546	2011	2011-01-22	8	15	4.16		
WK546	2011	2011-01-22	8	30	4.06		
WK546	2011	2011-01-22	8	55	2.96		
WK546	2011	2011-01-22	9	0	4.26		
WK546	2011	2011-01-22	9	15	2.36		
WK546	2011	2011-01-22	9	30	4.06		
WK546	2011	2011-01-22	9	45			
WK546	2011	2011-01-22	10	0	2.96		
WK546	2011	2011-01-22	10	15			
WK546	2011	2011-01-22	10	30	3.06		0.0
WK546	2011	2011-01-22	10	55	2.96		
WK546	2011	2011-01-22	11	0	2.86		
WK546	2011	2011-01-22	11	15			
WK546	2011	2011-01-22	11	30	2.96		
WK546	2011	2011-01-22	11	45			
WK546	2011	2011-01-22	11	55	2.96		
WK546	2011	2011-01-22	12	0	2.96		
WK546	2011	2011-01-22	12	15			
WK546	2011	2011-01-22	12	30			
WK546	2011	2011-01-22	12	45		2.76	1.0
WK546	2011	2011-01-22	12	55			
WK546	2011	2011-01-22	13	0			
WK546	2011	2011-01-22	13	15			0.0
WK546	2011	2011-01-22	13	45			
WK546	2011	2011-01-22	14	0			
WK546	2011	2011-01-22	14	15			
WK546	2011	2011-01-22	14	30			
WK546	2011	2011-01-22	14	55			0.0
WK546	2011	2011-01-22	15	0		2.66	1.0
WK546	2011	2011-01-22	15	15			0.0
WK546	2011	2011-01-22	15	30			0.0
WK546	2011	2011-01-22	15	55			0.0
WK546	2011	2011-01-22	16	15			0.0
WK546	2011	2011-01-22	16	30			0.0
WK546	2011	2011-01-22	16	55			0.0
WK546	2011	2011-01-22	17	0			0.0
WK546	2011	2011-01-22	17	15			0.0
WK546	2011	2011-01-22	17	30			0.0
WK546	2011	2011-01-22	17	55			0.0
WK546	2011	2011-01-22	18	15			0.0
WK546	2011	2011-01-22	18	30			0.0
WK546	2011	2011-01-22	18	55			0.0
WK546	2011	2011-01-22	19	0			0.0
WK546	2011	2011-01-22	19	30			0.0
WK546	2011	2011-01-22	19	45			
WK546	2011	2011-01-22	20	15			
WK546	2011	2011-01-22	20	30		2.26	1.0
WK546	2011	2011-01-22	20	45			
WK546	2011	2011-01-22	21	0			0.0
WK546	2011	2011-01-22	21	15			0.0
WK546	2011	2011-01-22	21	30			0.0
WK546	2011	2011-01-22	21	45			
WK546	2011	2011-01-22	21	55			0.0
WK546	2011	2011-01-22	22	0	3.36		0.0
WK546	2011	2011-01-22	22	15	3.46		0.0
WK546	2011	2011-01-22	22	30	4.36		0.0
WK546	2011	2011-01-22	22	55	5.3	4.5	1.0
WK546	2011	2011-01-22	23	0	5.36	4.36	1.0
WK546	2011	2011-01-22	23	30	4.96	4.56	1.0
WK546	2011	2011-01-22	23	55	4.98		0.0
WK546	2011	2011-01-23	0	0	4.96		0.0
WK546	2011	2011-01-23	0	15	5.36	5.46	1.0
WK546	2011	2011-01-23	0	30	5.06	6.56	1.0
WK546	2011	2011-01-23	0	45	4.86		
WK546	2011	2011-01-23	0	55	5.48	6.48	1.0
WK546	2011	2011-01-23	1	0	4.96	6.46	1.0
WK546	2011	2011-01-23	1	15	4.56	6.36	1.0
WK546	2011	2011-01-23	1	30	4.11	6.46	1.0
WK546	2011	2011-01-23	1	55	6.68	6.38	1.0
WK546	2011	2011-01-23	2	0	6.46	6.46	1.0
WK546	2011	2011-01-23	2	15	6.66	6.36	1.0
WK546	2011	2011-01-23	2	30	6.66	6.260000000000001	3.0
WK546	2011	2011-01-23	2	55	6.68		0.0
WK546	2011	2011-01-23	3	0	6.46	5.56	1.0
WK546	2011	2011-01-23	3	30	6.36	6.16	1.0
WK546	2011	2011-01-23	3	55	6.48		0.0
WK546	2011	2011-01-23	4	0	6.56	6.56	1.0
WK546	2011	2011-01-23	4	15	6.36	6.16	1.0
WK546	2011	2011-01-23	4	30	5.96	5.7120000000000015	1.0
WK546	2011	2011-01-23	4	55	4.48	5.58	2.0
WK546	2011	2011-01-23	5	0	3.86		
WK546	2011	2011-01-23	5	15	6.06	6.16	1.0
WK546	2011	2011-01-23	5	30	5.56	5.66	1.0
WK546	2011	2011-01-23	5	55	6.18	6.08	1.0
WK546	2011	2011-01-23	6	0	6.36	4.76	1.0
WK546	2011	2011-01-23	6	15	5.26	4.86	1.0
WK546	2011	2011-01-23	6	30	5.9	5.16	1.0
WK546	2011	2011-01-23	6	45	5.16	4.66	1.0
WK546	2011	2011-01-23	6	55	4.78		0.0
WK546	2011	2011-01-23	7	0	5.26		0.0
WK546	2011	2011-01-23	7	15	4.66		0.0
WK546	2011	2011-01-23	7	30	4.26		0.0
WK546	2011	2011-01-23	7	55	3.2		0.0
WK546	2011	2011-01-23	8	0	2.96	3.46	1.0
WK546	2011	2011-01-23	8	15		4.16	1.0
WK546	2011	2011-01-23	8	30	2.96	4.06	1.0
WK546	2011	2011-01-23	8	55	2.66	2.96	1.0
WK546	2011	2011-01-23	9	0		4.26	1.0
WK546	2011	2011-01-23	9	15		2.36	1.0
WK546	2011	2011-01-23	9	30		4.06	1.0
WK546	2011	2011-01-23	9	55		2.96	1.0
WK546	2011	2011-01-23	10	15	3.16		0.0
WK546	2011	2011-01-23	10	30	3.16	3.06	1.0
WK546	2011	2011-01-23	10	55	3.06	2.96	1.0
WK546	2011	2011-01-23	11	0		2.86	1.0
WK546	2011	2011-01-23	11	15	2.76		0.0
WK546	2011	2011-01-23	11	30	2.56	2.96	1.0
WK546	2011	2011-01-23	11	55		2.96	1.0
WK546	2011	2011-01-23	12	15	2.46		0.0
WK546	2011	2011-01-23	12	30			0.0
WK546	2011	2011-01-23	12	55			0.0
WK546	2011	2011-01-23	13	0			0.0
WK546	2011	2011-01-23	13	15			0.0
WK546	2011	2011-01-23	13	30			
WK546	2011	2011-01-23	13	45			0.0
WK546	2011	2011-01-23	13	55			
WK546	2011	2011-01-23	14	0			0.0
WK546	2011	2011-01-23	14	15			0.0
WK546	2011	2011-01-23	14	30			0.0
WK546	2011	2011-01-23	14	55			0.0
WK546	2011	2011-01-23	15	15			0.0
WK546	2011	2011-01-23	15	30			0.0
WK546	2011	2011-01-23	15	55			0.0
WK546	2011	2011-01-23	16	0			0.0
WK546	2011	2011-01-23	16	30			0.0
WK546	2011	2011-01-23	16	45			
WK546	2011	2011-01-23	17	0			0.0
WK546	2011	2011-01-23	17	15	4.16		0.0
WK546	2011	2011-01-23	17	30			0.0
WK546	2011	2011-01-23	17	55			0.0
WK546	2011	2011-01-23	18	0			0.0
WK546	2011	2011-01-23	18	15			0.0
WK546	2011	2011-01-23	18	30			0.0
WK546	2011	2011-01-23	18	55			0.0
WK546	2011	2011-01-23	19	15			0.0
WK546	2011	2011-01-23	19	30			0.0
WK546	2011	2011-01-23	19	45			0.0
WK546	2011	2011-01-23	20	0			0.0
WK546	2011	2011-01-23	20	15			0.0
WK546	2011	2011-01-23	20	45	2.86		0.0
WK546	2011	2011-01-23	21	0	2.26		0.0
WK546	2011	2011-01-23	21	15			0.0
WK546	2011	2011-01-23	21	30			0.0
WK546	2011	2011-01-23	21	55	3.36		0.0
WK546	2011	2011-01-23	22	0	3.56	3.36	1.0
WK546	2011	2011-01-23	22	30	4.16	4.36	1.0
WK546	2011	2011-01-23	22	55	5.0	4.9	2.0
WK546	2011	2011-01-23	23	0	4.76	4.86	2.0
WK546	2011	2011-01-23	23	30	5.46	4.76	2.0
WK546	2011	2011-01-23	23	45	5.86	5.36	1.0
WK546	2011	2011-01-23	23	55	5.5	4.98	1.0
WK546	2011	2011-01-24	0	0	4.86	4.96	1.0
WK546	2011	2011-01-24	0	15	5.96	5.41	2.0
WK546	2011	2011-01-24	0	30	6.26	5.81	2.0
WK546	2011	2011-01-24	0	45	5.2	4.86	1.0
WK546	2011	2011-01-24	0	55	3.904	5.98	2.0
WK546	2011	2011-01-24	1	15	5.96	5.46	2.0
WK546	2011	2011-01-24	1	45	6.26		
WK546	2011	2011-01-24	2	0	6.66	6.46	2.0
WK546	2011	2011-01-24	2	15	5.76	6.51	2.0
WK546	2011	2011-01-24	2	45	6.26		
WK546	2011	2011-01-24	2	55	6.12	6.68	1.0
WK546	2011	2011-01-24	3	0	5.76	6.01	2.0
WK546	2011	2011-01-24	3	30	6.46	6.26	2.0
WK546	2011	2011-01-24	4	0	6.46	6.56	2.0
WK546	2011	2011-01-24	4	15	6.36	6.26	2.0
WK546	2011	2011-01-24	4	30	6.56	5.836	2.0
WK546	2011	2011-01-24	4	55	5.88	5.213333333333334	3.0
WK546	2011	2011-01-24	5	0	5.76	3.86	1.0
WK546	2011	2011-01-24	5	15	6.46	6.109999999999999	2.0
WK546	2011	2011-01-24	5	30	6.56	5.609999999999999	2.0
WK546	2011	2011-01-24	5	55	5.78	6.13	2.0
WK546	2011	2011-01-24	6	0	5.4	5.5600000000000005	2.0
WK546	2011	2011-01-24	6	15	5.5	5.0600000000000005	2.0
WK546	2011	2011-01-24	6	45	5.36	4.91	2.0
WK546	2011	2011-01-24	7	0	4.16	5.26	1.0
WK546	2011	2011-01-24	7	15		4.66	1.0
WK546	2011	2011-01-24	7	30		4.26	1.0
WK546	2011	2011-01-24	8	0		3.21	2.0
WK546	2011	2011-01-24	8	15		4.16	1.0
WK546	2011	2011-01-24	8	30	6.36	3.51	2.0
WK546	2011	2011-01-24	8	55	3.26	2.81	2.0
WK546	2011	2011-01-24	9	15	2.96	2.36	1.0
WK546	2011	2011-01-24	9	30		4.06	1.0
WK546	2011	2011-01-24	9	55		2.96	1.0
WK546	2011	2011-01-24	10	0		2.96	1.0
WK546	2011	2011-01-24	10	15		3.16	1.0
WK546	2011	2011-01-24	10	30		3.1100000000000003	2.0
WK546	2011	2011-01-24	10	55	2.96	3.01	2.0
WK546	2011	2011-01-24	11	15	3.36	2.76	1.0
WK546	2011	2011-01-24	11	30		2.76	2.0
WK546	2011	2011-01-24	11	45			0.0
WK546	2011	2011-01-24	11	55		2.96	1.0
WK546	2011	2011-01-24	12	15	3.36	2.46	1.0
WK546	2011	2011-01-24	12	30	2.945		0.0
WK546	2011	2011-01-24	12	55			0.0
WK546	2011	2011-01-24	13	15	3.46		0.0
WK546	2011	2011-01-24	13	30			0.0
WK546	2011	2011-01-24	14	0			0.0
WK546	2011	2011-01-24	14	15			0.0
WK546	2011	2011-01-24	14	45			
WK546	2011	2011-01-24	14	55			0.0
WK546	2011	2011-01-24	15	15			0.0
WK546	2011	2011-01-24	15	45			
WK546	2011	2011-01-24	15	55			0.0
WK546	2011	2011-01-24	16	0			0.0
WK546	2011	2011-01-24	16	15			0.0
WK546	2011	2011-01-24	16	30			0.0
WK546	2011	2011-01-24	17	0			0.0
WK546	2011	2011-01-24	17	15		4.16	1.0
WK546	2011	2011-01-24	17	30			0.0
WK546	2011	2011-01-24	18	15			0.0
WK546	2011	2011-01-24	18	30			0.0
WK546	2011	2011-01-24	18	55			0.0
WK546	2011	2011-01-24	19	0			0.0
WK546	2011	2011-01-24	19	30			0.0
WK546	2011	2011-01-24	19	45			0.0
WK546	2011	2011-01-24	19	55	2.46		0.0
WK546	2011	2011-01-24	20	30		2.26	1.0
WK546	2011	2011-01-24	20	45		2.86	1.0
WK546	2011	2011-01-24	21	0		2.26	1.0
WK546	2011	2011-01-24	21	15			0.0
WK546	2011	2011-01-24	21	30			0.0
WK546	2011	2011-01-24	21	55		3.36	1.0
WK546	2011	2011-01-24	22	0		3.46	2.0
WK546	2011	2011-01-24	22	30	4.76	4.26	2.0
WK546	2011	2011-01-24	22	45	5.16		
WK546	2011	2011-01-24	23	0	5.36	4.826666666666667	3.0
WK546	2011	2011-01-24	23	15	6.16	4.76	1.0
WK546	2011	2011-01-24	23	30	5.36	4.993333333333333	3.0
WK546	2011	2011-01-24	23	45	5.36	5.61	2.0
WK546	2011	2011-01-25	0	15	5.36	5.593333333333334	3.0
WK546	2011	2011-01-25	0	30	5.16	5.96	3.0
WK546	2011	2011-01-25	0	45	6.06	5.03	2.0
WK546	2011	2011-01-25	0	55		5.288	3.0
WK546	2011	2011-01-25	1	0	5.66	5.71	2.0
WK546	2011	2011-01-25	1	15	5.752000000000002	5.626666666666666	3.0
WK546	2011	2011-01-25	1	30	5.76	5.285	2.0
WK546	2011	2011-01-25	2	0	7.6	6.526666666666666	3.0
WK546	2011	2011-01-25	2	30	6.66	6.36	4.0
WK546	2011	2011-01-25	2	55	5.78	6.4	2.0
WK546	2011	2011-01-25	3	15	6.66	5.96	1.0
WK546	2011	2011-01-25	3	45	6.16		
WK546	2011	2011-01-25	4	0	6.46	6.526666666666666	3.0
WK546	2011	2011-01-25	4	15	6.56	6.293333333333333	3.0
WK546	2011	2011-01-25	4	45	5.46	5.76	1.0
WK546	2011	2011-01-25	5	0	5.76	4.81	2.0
WK546	2011	2011-01-25	5	15	6.36	6.226666666666667	3.0
WK546	2011	2011-01-25	5	30	6.46	5.926666666666666	3.0
WK546	2011	2011-01-25	5	55	6.62	6.013333333333333	3.0
WK546	2011	2011-01-25	6	0	6.16	5.506666666666668	3.0
WK546	2011	2011-01-25	6	15	6.06	5.206666666666667	3.0
WK546	2011	2011-01-25	6	30	5.96	5.53	2.0
WK546	2011	2011-01-25	7	0	5.0	4.71	2.0
WK546	2011	2011-01-25	7	30	4.4	4.26	1.0
WK546	2011	2011-01-25	7	45	4.16		
WK546	2011	2011-01-25	8	15		4.16	1.0
WK546	2011	2011-01-25	8	30	3.36	4.46	3.0
WK546	2011	2011-01-25	8	45			
WK546	2011	2011-01-25	9	0		4.26	1.0
WK546	2011	2011-01-25	9	15		2.66	2.0
WK546	2011	2011-01-25	9	30		4.06	1.0
WK546	2011	2011-01-25	9	55	3.46	2.96	1.0
WK546	2011	2011-01-25	10	0		2.96	1.0
WK546	2011	2011-01-25	10	15		3.16	1.0
WK546	2011	2011-01-25	10	45			
WK546	2011	2011-01-25	11	0		2.86	1.0
WK546	2011	2011-01-25	11	15	2.96	3.0599999999999996	2.0
WK546	2011	2011-01-25	11	30		2.76	2.0
WK546	2011	2011-01-25	11	55		2.96	1.0
WK546	2011	2011-01-25	12	0		2.96	1.0
WK546	2011	2011-01-25	12	15		2.91	2.0
WK546	2011	2011-01-25	12	30		2.945	1.0
WK546	2011	2011-01-25	13	0			0.0
WK546	2011	2011-01-25	13	15		3.46	1.0
WK546	2011	2011-01-25	13	30	3.36		0.0
WK546	2011	2011-01-25	13	55			0.0
WK546	2011	2011-01-25	14	0			0.0
WK546	2011	2011-01-25	14	30			0.0
WK546	2011	2011-01-25	14	45			0.0
WK546	2011	2011-01-25	14	55	3.36		0.0
WK546	2011	2011-01-25	15	0	3.96	2.66	1.0
WK546	2011	2011-01-25	17	45		2.96	1.0
WK546	2011	2011-01-25	23	0		4.96	4.0
WK546	2011	2011-01-26	2	15	7.06	6.260000000000001	3.0
WK546	2011	2011-01-26	4	45	6.66	5.609999999999999	2.0
WK546	2011	2011-01-26	7	55	3.4	3.2	1.0
WK546	2011	2011-01-26	10	45			0.0
WK546	2011	2011-01-26	14	55		3.36	1.0
WK546	2011	2011-01-26	16	15			0.0
WK546	2011	2011-01-26	21	45			0.0
WK546	2011	2011-01-27	0	30	5.06	5.76	4.0
WK546	2011	2011-01-27	3	15	6.06	6.3100000000000005	2.0
WK546	2011	2011-01-27	8	15		4.16	1.0
WK546	2011	2011-01-27	11	0	2.86	2.86	1.0
WK546	2011	2011-01-27	13	45			0.0
WK546	2011	2011-01-27	15	15			0.0
WK546	2011	2011-01-27	15	30			0.0
WK546	2011	2011-01-27	15	55			0.0
WK546	2011	2011-01-27	16	0			0.0
WK546	2011	2011-01-27	16	15	3.26		0.0
WK546	2011	2011-01-27	16	45	3.16		0.0
WK546	2011	2011-01-27	16	55	3.26		0.0
WK546	2011	2011-01-27	17	0	3.16		0.0
WK546	2011	2011-01-27	17	15		4.16	1.0
WK546	2011	2011-01-27	17	30			0.0
WK546	2011	2011-01-27	17	55	4.36		0.0
WK546	2011	2011-01-27	18	0	3.36		0.0
WK546	2011	2011-01-27	18	15			0.0
WK546	2011	2011-01-27	18	30	3.36		0.0
WK546	2011	2011-01-27	19	0			0.0
WK546	2011	2011-01-27	19	45			0.0
WK546	2011	2011-01-27	19	55	3.26	2.46	1.0
WK546	2011	2011-01-27	20	15	4.16		0.0
WK546	2011	2011-01-27	20	30	2.56	2.26	1.0
WK546	2011	2011-01-27	20	55			0.0
WK546	2011	2011-01-27	21	0		2.26	1.0
WK546	2011	2011-01-27	21	30	4.46		0.0
WK546	2011	2011-01-27	21	55	3.36	3.36	1.0
WK546	2011	2011-01-27	22	15	3.76	3.46	1.0
WK546	2011	2011-01-27	22	30	4.26	4.426666666666667	3.0
WK546	2011	2011-01-27	22	55	4.36	4.933333333333334	3.0
WK546	2011	2011-01-27	23	15	4.56	5.46	2.0
WK546	2011	2011-01-27	23	45	5.76	5.526666666666667	3.0
WK546	2011	2011-01-27	23	55	4.96	5.24	2.0
WK546	2011	2011-01-28	0	15	5.16	5.535	4.0
WK546	2011	2011-01-28	0	30	5.46	5.619999999999999	5.0
WK546	2011	2011-01-28	0	55	5.58	5.288	3.0
WK546	2011	2011-01-28	1	15	5.46	5.658	4.0
WK546	2011	2011-01-28	1	30	5.66	5.4433333333333325	3.0
WK546	2011	2011-01-28	1	55	5.96	6.529999999999999	2.0
WK546	2011	2011-01-28	2	0	6.36	6.795	4.0
WK546	2011	2011-01-28	2	15	6.26	6.46	4.0
WK546	2011	2011-01-28	2	30	5.66	6.42	5.0
