sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
WP937	2004	2004-11-21	0	0	5.5		
WP937	2004	2004-11-21	0	15	4.9		
WP937	2004	2004-11-21	0	30	4.9		
WP937	2004	2004-11-21	0	45	4.65		
WP937	2004	2004-11-21	1	0	4.65		
WP937	2004	2004-11-21	1	15	4.65		
WP937	2004	2004-11-21	1	30	3.7		
WP937	2004	2004-11-21	1	45	4.5		
WP937	2004	2004-11-21	2	0	4.15		
WP937	2004	2004-11-21	2	15	3.45		
WP937	2004	2004-11-21	2	30	3.7		
WP937	2004	2004-11-21	2	45	3.6		
WP937	2004	2004-11-21	3	0	3.6		
WP937	2004	2004-11-21	3	15	3.405		
WP937	2004	2004-11-21	3	30	3.05		
WP937	2004	2004-11-21	3	45	3.6		
WP937	2004	2004-11-21	4	0	3.65		
WP937	2004	2004-11-21	4	15	3.35		
WP937	2004	2004-11-21	4	30	3.65		
WP937	2004	2004-11-21	4	45	3.4		
WP937	2004	2004-11-21	5	0	4.15		
WP937	2004	2004-11-21	5	15	4.2		
WP937	2004	2004-11-21	5	30	4.5		
WP937	2004	2004-11-21	5	45	4.45		
WP937	2004	2004-11-21	6	0	4.4		
WP937	2004	2004-11-21	6	15	4.5		
WP937	2004	2004-11-21	6	30	4.75		
WP937	2004	2004-11-21	6	45	4.85		
WP937	2004	2004-11-21	7	0	4.85		
WP937	2004	2004-11-21	7	15	4.85		
WP937	2004	2004-11-21	7	30	4.8		
WP937	2004	2004-11-21	7	45	4.75		
WP937	2004	2004-11-21	8	0	4.65		
WP937	2004	2004-11-21	8	15	4.55		
WP937	2004	2004-11-21	8	30	4.45		
WP937	2004	2004-11-21	8	45	4.25		
WP937	2004	2004-11-21	9	0	4.25		
WP937	2004	2004-11-21	9	15	4.2		
WP937	2004	2004-11-21	9	30			
WP937	2004	2004-11-21	9	45	4.2		
WP937	2004	2004-11-21	10	0	4.3		
WP937	2004	2004-11-21	10	15	4.563		
WP937	2004	2004-11-21	10	30	4.5		
WP937	2004	2004-11-21	10	45	4.5		
WP937	2004	2004-11-21	11	0	4.5		
WP937	2004	2004-11-21	11	15	4.35		
WP937	2004	2004-11-21	11	30	4.5		
WP937	2004	2004-11-21	11	45	4.9		
WP937	2004	2004-11-21	12	0	5.4		
WP937	2004	2004-11-21	12	15	5.5		
WP937	2004	2004-11-21	12	30	5.75		
WP937	2004	2004-11-21	12	45	6.55		
WP937	2004	2004-11-21	13	0	7.15		
WP937	2004	2004-11-21	13	15	7.6		
WP937	2004	2004-11-21	13	30	8.1		
WP937	2004	2004-11-21	13	45	7.75		
WP937	2004	2004-11-21	14	0	7.8		
WP937	2004	2004-11-21	14	15	7.875		
WP937	2004	2004-11-21	14	30	7.975		
WP937	2004	2004-11-21	14	45	8.175		
WP937	2004	2004-11-21	15	0	8.155		
WP937	2004	2004-11-21	15	15	8.475		
WP937	2004	2004-11-21	15	30	9.3		
WP937	2004	2004-11-21	15	45	9.325		
WP937	2004	2004-11-21	16	0	9.6		
WP937	2004	2004-11-21	16	15	9.45		
WP937	2004	2004-11-21	16	30	9.0		
WP937	2004	2004-11-21	16	45	9.187999999999999		
WP937	2004	2004-11-21	17	0	8.95		
WP937	2004	2004-11-21	17	15	8.775		
WP937	2004	2004-11-21	17	30	9.625		
WP937	2004	2004-11-21	17	45	9.825		
WP937	2004	2004-11-21	18	0	9.7		
WP937	2004	2004-11-21	18	15	9.15		
WP937	2004	2004-11-21	18	30	9.275		
WP937	2004	2004-11-21	18	45	9.325		
WP937	2004	2004-11-21	19	0	8.9		
WP937	2004	2004-11-21	19	15	8.75		
WP937	2004	2004-11-21	19	30	8.6		
WP937	2004	2004-11-21	19	45	9.0		
WP937	2004	2004-11-21	20	0	8.9		
WP937	2004	2004-11-21	20	15	8.7		
WP937	2004	2004-11-21	20	30	9.1		
WP937	2004	2004-11-21	20	45	8.8		
WP937	2004	2004-11-21	21	0	8.35		
WP937	2004	2004-11-21	21	15	8.2		
WP937	2004	2004-11-21	21	30	8.25		
WP937	2004	2004-11-21	21	45	7.55		
WP937	2004	2004-11-21	22	0	7.4		
WP937	2004	2004-11-21	22	15	7.4		
WP937	2004	2004-11-21	22	30	6.65		
WP937	2004	2004-11-21	22	45	5.75		
WP937	2004	2004-11-21	23	0	5.705		
WP937	2004	2004-11-21	23	15	5.5		
WP937	2004	2004-11-21	23	30	5.3		
WP937	2004	2004-11-21	23	45	4.85		
WP937	2004	2004-11-22	0	0	4.655	5.5	1.0
WP937	2004	2004-11-22	0	15	4.5	4.9	1.0
WP937	2004	2004-11-22	0	30	4.45	4.9	1.0
WP937	2004	2004-11-22	0	45	4.45	4.65	1.0
WP937	2004	2004-11-22	1	0	4.5	4.65	1.0
WP937	2004	2004-11-22	1	15	4.5	4.65	1.0
WP937	2004	2004-11-22	1	30	4.455	3.7	1.0
WP937	2004	2004-11-22	1	45	4.5	4.5	1.0
WP937	2004	2004-11-22	2	0	4.2	4.15	1.0
WP937	2004	2004-11-22	2	15	4.2	3.45	1.0
WP937	2004	2004-11-22	2	30	3.7	3.7	1.0
WP937	2004	2004-11-22	2	45	3.7	3.6	1.0
WP937	2004	2004-11-22	3	0	3.8	3.6	1.0
WP937	2004	2004-11-22	3	15	3.7	3.405	1.0
WP937	2004	2004-11-22	3	30	3.8	3.05	1.0
WP937	2004	2004-11-22	3	45	3.8	3.6	1.0
WP937	2004	2004-11-22	4	0	4.3	3.65	1.0
WP937	2004	2004-11-22	4	15	4.4	3.35	1.0
WP937	2004	2004-11-22	4	30	4.25	3.65	1.0
WP937	2004	2004-11-22	4	45	4.4	3.4	1.0
WP937	2004	2004-11-22	5	0	4.15	4.15	1.0
WP937	2004	2004-11-22	5	15	4.55	4.2	1.0
WP937	2004	2004-11-22	5	30	4.4	4.5	1.0
WP937	2004	2004-11-22	5	45	4.2	4.45	1.0
WP937	2004	2004-11-22	6	0	4.2	4.4	1.0
WP937	2004	2004-11-22	6	15	3.9	4.5	1.0
WP937	2004	2004-11-22	6	30	4.1	4.75	1.0
WP937	2004	2004-11-22	6	45	3.8	4.85	1.0
WP937	2004	2004-11-22	7	0	4.15	4.85	1.0
WP937	2004	2004-11-22	7	15	4.2	4.85	1.0
WP937	2004	2004-11-22	7	30	4.45	4.8	1.0
WP937	2004	2004-11-22	7	45	4.5	4.75	1.0
WP937	2004	2004-11-22	8	0	4.65	4.65	1.0
WP937	2004	2004-11-22	8	15	4.55	4.55	1.0
WP937	2004	2004-11-22	8	30	4.45	4.45	1.0
WP937	2004	2004-11-22	8	45	4.25	4.25	1.0
WP937	2004	2004-11-22	9	0	4.2	4.25	1.0
WP937	2004	2004-11-22	9	15	4.15	4.2	1.0
WP937	2004	2004-11-22	9	30	4.45		0.0
WP937	2004	2004-11-22	9	45	4.15	4.2	1.0
WP937	2004	2004-11-22	10	0	4.2	4.3	1.0
