sonde	year	date	h	m	foF2	foF2_running_avg	foF2_n_days
YA462	2011	2011-01-20	17	30			
YA462	2011	2011-01-20	17	35			
YA462	2011	2011-01-20	17	40			
YA462	2011	2011-01-20	17	45			
YA462	2011	2011-01-20	17	50			
YA462	2011	2011-01-20	17	55			
YA462	2011	2011-01-20	18	0			
YA462	2011	2011-01-20	18	5			
YA462	2011	2011-01-20	18	10			
YA462	2011	2011-01-20	18	15			
YA462	2011	2011-01-20	18	20			
YA462	2011	2011-01-20	18	25			
YA462	2011	2011-01-20	18	30			
YA462	2011	2011-01-20	18	35			
YA462	2011	2011-01-20	18	40			
YA462	2011	2011-01-20	18	45			
YA462	2011	2011-01-20	18	50			
YA462	2011	2011-01-20	18	55			
YA462	2011	2011-01-20	19	0			
YA462	2011	2011-01-20	19	5			
YA462	2011	2011-01-20	19	10			
YA462	2011	2011-01-20	19	15			
YA462	2011	2011-01-20	19	20			
YA462	2011	2011-01-20	19	25			
YA462	2011	2011-01-20	19	30			
YA462	2011	2011-01-20	19	35			
YA462	2011	2011-01-20	19	40			
YA462	2011	2011-01-20	19	45			
YA462	2011	2011-01-20	19	50			
YA462	2011	2011-01-20	19	55			
YA462	2011	2011-01-20	20	0			
YA462	2011	2011-01-20	20	5			
YA462	2011	2011-01-20	20	10			
YA462	2011	2011-01-20	20	15			
YA462	2011	2011-01-20	20	20			
YA462	2011	2011-01-20	20	25			
YA462	2011	2011-01-20	20	30			
YA462	2011	2011-01-20	20	40			
YA462	2011	2011-01-20	20	45			
YA462	2011	2011-01-20	20	50			
YA462	2011	2011-01-20	20	55			
YA462	2011	2011-01-20	21	0			
YA462	2011	2011-01-20	21	5			
YA462	2011	2011-01-20	21	10			
YA462	2011	2011-01-20	21	15			
YA462	2011	2011-01-20	21	20			
YA462	2011	2011-01-20	21	25			
YA462	2011	2011-01-20	21	30			
YA462	2011	2011-01-20	21	35			
YA462	2011	2011-01-20	21	40			
YA462	2011	2011-01-20	21	45			
YA462	2011	2011-01-20	21	50			
YA462	2011	2011-01-20	21	55			
YA462	2011	2011-01-20	22	0			
YA462	2011	2011-01-20	22	5			
YA462	2011	2011-01-20	22	10			
YA462	2011	2011-01-20	22	15			
YA462	2011	2011-01-20	22	20			
YA462	2011	2011-01-20	22	25			
YA462	2011	2011-01-20	22	35			
YA462	2011	2011-01-20	22	40			
YA462	2011	2011-01-20	22	45			
YA462	2011	2011-01-20	22	50			
YA462	2011	2011-01-20	22	55			
YA462	2011	2011-01-20	23	0			
YA462	2011	2011-01-20	23	5			
YA462	2011	2011-01-20	23	10			
YA462	2011	2011-01-20	23	15			
YA462	2011	2011-01-20	23	20			
YA462	2011	2011-01-20	23	25			
YA462	2011	2011-01-20	23	30	2.15		
YA462	2011	2011-01-20	23	35	2.45		
YA462	2011	2011-01-20	23	40	2.7		
YA462	2011	2011-01-20	23	45	2.8		
YA462	2011	2011-01-20	23	50	3.05		
YA462	2011	2011-01-20	23	55	3.4		
YA462	2011	2011-01-21	0	0	3.45		
YA462	2011	2011-01-21	0	5	3.7		
YA462	2011	2011-01-21	0	10	3.7		
YA462	2011	2011-01-21	0	15	4.2		
YA462	2011	2011-01-21	0	20	3.8		
YA462	2011	2011-01-21	0	25	3.9		
YA462	2011	2011-01-21	0	30	4.25		
YA462	2011	2011-01-21	0	35	4.45		
YA462	2011	2011-01-21	0	40	4.7		
YA462	2011	2011-01-21	0	45	4.55		
YA462	2011	2011-01-21	0	50	4.65		
YA462	2011	2011-01-21	0	55	4.45		
YA462	2011	2011-01-21	1	0	4.45		
YA462	2011	2011-01-21	1	15	4.65		
YA462	2011	2011-01-21	1	30	3.75		
YA462	2011	2011-01-21	1	45	4.975		
YA462	2011	2011-01-21	2	0	5.307		
YA462	2011	2011-01-21	2	15	5.85		
YA462	2011	2011-01-21	2	30			
YA462	2011	2011-01-21	2	45	5.1		
YA462	2011	2011-01-21	3	0	5.25		
YA462	2011	2011-01-21	3	15	5.4		
YA462	2011	2011-01-21	3	30	5.75		
YA462	2011	2011-01-21	3	45	6.4		
YA462	2011	2011-01-21	4	0	5.475		
YA462	2011	2011-01-21	4	5	5.7		
YA462	2011	2011-01-21	4	10	5.675		
YA462	2011	2011-01-21	4	15	5.75		
YA462	2011	2011-01-21	4	20	5.75		
YA462	2011	2011-01-21	4	25	5.85		
YA462	2011	2011-01-21	4	30	5.8		
YA462	2011	2011-01-21	4	35	5.5470000000000015		
YA462	2011	2011-01-21	4	40	5.525		
YA462	2011	2011-01-21	4	45	5.2		
YA462	2011	2011-01-21	4	50	5.775		
YA462	2011	2011-01-21	4	55	5.9		
YA462	2011	2011-01-21	5	0	6.0		
YA462	2011	2011-01-21	5	5	6.4		
YA462	2011	2011-01-21	5	10			
YA462	2011	2011-01-21	5	15	5.85		
YA462	2011	2011-01-21	5	20	5.75		
YA462	2011	2011-01-21	5	25	5.775		
YA462	2011	2011-01-21	5	30	5.725		
YA462	2011	2011-01-21	5	35	5.3		
YA462	2011	2011-01-21	5	40	5.15		
YA462	2011	2011-01-21	5	45	4.95		
YA462	2011	2011-01-21	5	50	4.9		
YA462	2011	2011-01-21	5	55	4.95		
YA462	2011	2011-01-21	6	0	5.35		
YA462	2011	2011-01-21	6	5	5.3		
YA462	2011	2011-01-21	6	10	5.35		
YA462	2011	2011-01-21	6	15	5.1		
YA462	2011	2011-01-21	6	20	5.1		
YA462	2011	2011-01-21	6	25	5.45		
YA462	2011	2011-01-21	6	30	4.65		
YA462	2011	2011-01-21	6	35	4.55		
YA462	2011	2011-01-21	6	40	4.5		
YA462	2011	2011-01-21	6	45	4.45		
YA462	2011	2011-01-21	6	50	4.65		
YA462	2011	2011-01-21	6	55	4.35		
YA462	2011	2011-01-21	7	0	4.5		
YA462	2011	2011-01-21	7	5	4.1		
YA462	2011	2011-01-21	7	10	4.1		
YA462	2011	2011-01-21	7	15	4.1		
YA462	2011	2011-01-21	7	20	4.0		
YA462	2011	2011-01-21	7	25	4.05		
YA462	2011	2011-01-21	7	30	3.8		
YA462	2011	2011-01-21	7	35	3.8		
YA462	2011	2011-01-21	7	40	3.55		
YA462	2011	2011-01-21	7	45	3.55		
YA462	2011	2011-01-21	7	50	3.35		
YA462	2011	2011-01-21	7	55	3.45		
YA462	2011	2011-01-21	8	0	3.3		
YA462	2011	2011-01-21	8	5	3.2		
YA462	2011	2011-01-21	8	10	3.75		
YA462	2011	2011-01-21	8	15	3.35		
YA462	2011	2011-01-21	8	20	2.6		
YA462	2011	2011-01-21	8	25	3.2		
YA462	2011	2011-01-21	8	30	3.7		
YA462	2011	2011-01-21	8	35			
YA462	2011	2011-01-21	8	40			
YA462	2011	2011-01-21	8	45			
YA462	2011	2011-01-21	8	50			
YA462	2011	2011-01-21	8	55	2.75		
YA462	2011	2011-01-21	9	0	2.8		
YA462	2011	2011-01-21	9	5	2.4		
YA462	2011	2011-01-21	9	10	2.35		
YA462	2011	2011-01-21	9	15	2.3		
YA462	2011	2011-01-21	9	20			
YA462	2011	2011-01-21	9	25	2.3		
YA462	2011	2011-01-21	9	30	2.3		
YA462	2011	2011-01-21	9	35			
YA462	2011	2011-01-21	9	40			
YA462	2011	2011-01-21	9	45			
YA462	2011	2011-01-21	9	50			
YA462	2011	2011-01-21	9	55			
YA462	2011	2011-01-21	10	0			
YA462	2011	2011-01-21	10	5			
YA462	2011	2011-01-21	10	10			
YA462	2011	2011-01-21	10	15			
YA462	2011	2011-01-21	10	20			
YA462	2011	2011-01-21	10	25			
YA462	2011	2011-01-21	10	30			
YA462	2011	2011-01-21	10	35			
YA462	2011	2011-01-21	10	40			
YA462	2011	2011-01-21	10	45			
YA462	2011	2011-01-21	10	50			
YA462	2011	2011-01-21	10	55			
YA462	2011	2011-01-21	11	0			
YA462	2011	2011-01-21	11	5			
YA462	2011	2011-01-21	11	10			
YA462	2011	2011-01-21	11	15			
YA462	2011	2011-01-21	11	20			
YA462	2011	2011-01-21	11	25			
YA462	2011	2011-01-21	11	30			
YA462	2011	2011-01-21	11	35			
YA462	2011	2011-01-21	11	40			
YA462	2011	2011-01-21	11	45			
YA462	2011	2011-01-21	11	50			
YA462	2011	2011-01-21	11	55			
YA462	2011	2011-01-21	12	0			
YA462	2011	2011-01-21	12	5			
YA462	2011	2011-01-21	12	10			
YA462	2011	2011-01-21	12	15			
YA462	2011	2011-01-21	12	20			
YA462	2011	2011-01-21	12	25			
YA462	2011	2011-01-21	12	30			
YA462	2011	2011-01-21	12	35			
YA462	2011	2011-01-21	12	40			
YA462	2011	2011-01-21	12	45			
YA462	2011	2011-01-21	12	50			
YA462	2011	2011-01-21	12	55			
YA462	2011	2011-01-21	13	0			
YA462	2011	2011-01-21	13	5			
YA462	2011	2011-01-21	13	10			
YA462	2011	2011-01-21	13	15			
YA462	2011	2011-01-21	13	20			
YA462	2011	2011-01-21	13	25			
YA462	2011	2011-01-21	13	30			
YA462	2011	2011-01-21	13	35			
YA462	2011	2011-01-21	13	40			
YA462	2011	2011-01-21	13	45			
YA462	2011	2011-01-21	13	50			
YA462	2011	2011-01-21	13	55			
YA462	2011	2011-01-21	14	0			
YA462	2011	2011-01-21	14	5			
YA462	2011	2011-01-21	14	10			
YA462	2011	2011-01-21	14	15			
YA462	2011	2011-01-21	14	20			
YA462	2011	2011-01-21	14	25			
YA462	2011	2011-01-21	14	30			
YA462	2011	2011-01-21	14	35			
YA462	2011	2011-01-21	14	40			
YA462	2011	2011-01-21	14	45			
YA462	2011	2011-01-21	14	50			
YA462	2011	2011-01-21	14	55			
YA462	2011	2011-01-21	15	0			
YA462	2011	2011-01-21	15	5			
YA462	2011	2011-01-21	15	10			
YA462	2011	2011-01-21	15	15			
YA462	2011	2011-01-21	15	20			
YA462	2011	2011-01-21	15	25			
YA462	2011	2011-01-21	15	30			
YA462	2011	2011-01-21	15	35			
YA462	2011	2011-01-21	15	40			
YA462	2011	2011-01-21	15	45			
YA462	2011	2011-01-21	15	50			
YA462	2011	2011-01-21	15	55			
YA462	2011	2011-01-21	16	0			
YA462	2011	2011-01-21	16	5			
YA462	2011	2011-01-21	16	10			
YA462	2011	2011-01-21	16	15			
YA462	2011	2011-01-21	16	20			
YA462	2011	2011-01-21	16	25			
YA462	2011	2011-01-21	16	30			
YA462	2011	2011-01-21	16	35			
YA462	2011	2011-01-21	16	40			
YA462	2011	2011-01-21	16	45			
YA462	2011	2011-01-21	16	50			
YA462	2011	2011-01-21	16	55			
YA462	2011	2011-01-21	17	0			
YA462	2011	2011-01-21	17	5			
YA462	2011	2011-01-21	17	10			
YA462	2011	2011-01-21	17	15			
YA462	2011	2011-01-21	17	20			
YA462	2011	2011-01-21	17	25			
YA462	2011	2011-01-21	17	30			0.0
YA462	2011	2011-01-21	17	35			0.0
YA462	2011	2011-01-21	17	40			0.0
YA462	2011	2011-01-21	17	45			0.0
YA462	2011	2011-01-21	17	50			0.0
YA462	2011	2011-01-21	17	55			0.0
YA462	2011	2011-01-21	18	0			0.0
YA462	2011	2011-01-21	18	5			0.0
YA462	2011	2011-01-21	18	10			0.0
YA462	2011	2011-01-21	18	15			0.0
YA462	2011	2011-01-21	18	20			0.0
YA462	2011	2011-01-21	18	25			0.0
YA462	2011	2011-01-21	18	30			0.0
YA462	2011	2011-01-21	18	35			0.0
YA462	2011	2011-01-21	18	40			0.0
YA462	2011	2011-01-21	18	45			0.0
YA462	2011	2011-01-21	18	50			0.0
YA462	2011	2011-01-21	18	55			0.0
YA462	2011	2011-01-21	19	0			0.0
YA462	2011	2011-01-21	19	5			0.0
YA462	2011	2011-01-21	19	10			0.0
YA462	2011	2011-01-21	19	15			0.0
YA462	2011	2011-01-21	19	20			0.0
YA462	2011	2011-01-21	19	25			0.0
YA462	2011	2011-01-21	19	30			0.0
YA462	2011	2011-01-21	19	35			0.0
YA462	2011	2011-01-21	19	40			0.0
YA462	2011	2011-01-21	19	45			0.0
YA462	2011	2011-01-21	19	50			0.0
YA462	2011	2011-01-21	19	55			0.0
YA462	2011	2011-01-21	20	0			0.0
YA462	2011	2011-01-21	20	5			0.0
YA462	2011	2011-01-21	20	10			0.0
YA462	2011	2011-01-21	20	15			0.0
YA462	2011	2011-01-21	20	20			0.0
YA462	2011	2011-01-21	20	25			0.0
YA462	2011	2011-01-21	20	30			0.0
YA462	2011	2011-01-21	20	35			
YA462	2011	2011-01-21	20	40			0.0
YA462	2011	2011-01-21	20	45			0.0
YA462	2011	2011-01-21	20	50			0.0
YA462	2011	2011-01-21	20	55			0.0
YA462	2011	2011-01-21	21	0			0.0
YA462	2011	2011-01-21	21	5			0.0
YA462	2011	2011-01-21	21	10			0.0
YA462	2011	2011-01-21	21	15			0.0
YA462	2011	2011-01-21	21	20			0.0
YA462	2011	2011-01-21	21	25			0.0
YA462	2011	2011-01-21	21	30			0.0
YA462	2011	2011-01-21	21	35			0.0
YA462	2011	2011-01-21	21	40			0.0
YA462	2011	2011-01-21	21	45			0.0
YA462	2011	2011-01-21	21	50			0.0
YA462	2011	2011-01-21	21	55			0.0
YA462	2011	2011-01-21	22	0			0.0
YA462	2011	2011-01-21	22	5			0.0
YA462	2011	2011-01-21	22	10			0.0
YA462	2011	2011-01-21	22	15			0.0
YA462	2011	2011-01-21	22	20			0.0
YA462	2011	2011-01-21	22	25			0.0
YA462	2011	2011-01-21	22	30			
YA462	2011	2011-01-21	22	35			0.0
YA462	2011	2011-01-21	22	40			0.0
YA462	2011	2011-01-21	22	45			0.0
YA462	2011	2011-01-21	22	50			0.0
YA462	2011	2011-01-21	22	55			0.0
YA462	2011	2011-01-21	23	0			0.0
YA462	2011	2011-01-21	23	5			0.0
YA462	2011	2011-01-21	23	10			0.0
YA462	2011	2011-01-21	23	15			0.0
YA462	2011	2011-01-21	23	20			0.0
YA462	2011	2011-01-21	23	25			0.0
YA462	2011	2011-01-21	23	30	2.3	2.15	1.0
YA462	2011	2011-01-21	23	35	2.45	2.45	1.0
YA462	2011	2011-01-21	23	40	2.55	2.7	1.0
YA462	2011	2011-01-21	23	45	2.8	2.8	1.0
YA462	2011	2011-01-21	23	50	3.05	3.05	1.0
YA462	2011	2011-01-21	23	55	3.35	3.4	1.0
YA462	2011	2011-01-22	0	0	3.25	3.45	1.0
YA462	2011	2011-01-22	0	5	3.45	3.7	1.0
YA462	2011	2011-01-22	0	10	3.6	3.7	1.0
YA462	2011	2011-01-22	0	15	3.75	4.2	1.0
YA462	2011	2011-01-22	0	20	3.95	3.8	1.0
YA462	2011	2011-01-22	0	25	4.0	3.9	1.0
YA462	2011	2011-01-22	0	30	4.05	4.25	1.0
YA462	2011	2011-01-22	0	35	4.25	4.45	1.0
YA462	2011	2011-01-22	0	40	4.45	4.7	1.0
YA462	2011	2011-01-22	0	45	4.55	4.55	1.0
YA462	2011	2011-01-22	0	50	4.7	4.65	1.0
YA462	2011	2011-01-22	0	55	5.2	4.45	1.0
YA462	2011	2011-01-22	1	0	4.7	4.45	1.0
YA462	2011	2011-01-22	1	15	4.6	4.65	1.0
YA462	2011	2011-01-22	1	30	5.35	3.75	1.0
YA462	2011	2011-01-22	1	45	5.6	4.975	1.0
YA462	2011	2011-01-22	2	0	5.35	5.307	1.0
